raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
a length ball in the channel. Left alone. On the bounce to the keeper",0.1,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .a length ball in the channel. Left alone. On the bounce to the keeper",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
down the track and looks to smash this length ball through covers. Gets beaten. Are 
Bangladesh already going for the NRR?",0.2,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .down the track and looks to smash this length ball through covers. Gets beaten. Are  .Bangladesh already going for the NRR?",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
length ball outside off and shaping away. Tanzid throws his bat at it with little footwork. 
Gets beaten again",0.3,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .length ball outside off and shaping away. Tanzid throws his bat at it with little footwork.  .Gets beaten again",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Fazalhaq Farooqi to Tanzid Hasan, 1 wide 
full but down the leg side and swinging further down. A diving one-handed take by the 
substitute wicketkeeer Ikram Alikhil",0.4,1w,1.0,"Fazalhaq Farooqi to Tanzid Hasan, 1 wide  .full but down the leg side and swinging further down. A diving one-handed take by the  .substitute wicketkeeer Ikram Alikhil",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
finally some bat on the ball. A length ball outside off, pushed towards covers",0.4,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .finally some bat on the ball. A length ball outside off, pushed towards covers",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Fazalhaq Farooqi to Tanzid Hasan, FOUR runs 
length ball, and Tanzid flicks it uppishly to the left of mid-on. Naveen puts in a dive but 
cannot get a hand to it. And worse, he looks in some pain",0.5,4,4.0,"Fazalhaq Farooqi to Tanzid Hasan, FOUR runs  .length ball, and Tanzid flicks it uppishly to the left of mid-on. Naveen puts in a dive but  .cannot get a hand to it. And worse, he looks in some pain",Fazalhaq Farooqi,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
length outside off. Pushes at it and misses 
end of over 15 runs  
BAN: 5/0CRR: 5.00 • RRR: 3.10 • Need 152 runs from 49 overs 
Tanzid Hasan4 (6b 1x4) 
Litton Das0 (0b) 
Fazalhaq Farooqi 1-0-5-0 
As expected, Mujeeb from the other end. One slip",0.6,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .length outside off. Pushes at it and misses",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Mujeeb to Litton Das, no run 
length ball around off. Punched towards mid-on",1.1,0,0.0,"Mujeeb to Litton Das, no run  .length ball around off. Punched towards mid-on",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Mujeeb to Litton Das, FOUR runs 
length but sliding down the leg side. Litton helps it between the keeper and short fine 
leg. Off the mark with a boundary",1.2,4,4.0,"Mujeeb to Litton Das, FOUR runs  .length but sliding down the leg side. Litton helps it between the keeper and short fine  .leg. Off the mark with a boundary",Mujeeb,Litton Das,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Mujeeb to Litton Das, 1 run 
length ball around off. Punched towards long-on 
Around the wicket to the left-hander",1.3,1,1.0,"Mujeeb to Litton Das, 1 run  .length ball around off. Punched towards long-on  .Around the wicket to the left-hander",Mujeeb,Litton Das,1.0,0,0,1,1,1.0,0,,1
"1.4 
1 
Mujeeb to Tanzid Hasan, 1 run 
length ball at the stumps. Punched towards long-on",1.4,1,1.0,"Mujeeb to Tanzid Hasan, 1 run  .length ball at the stumps. Punched towards long-on",Mujeeb,Tanzid Hasan,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Mujeeb to Litton Das, no run 
looked like a googly. Too full on the stumps. Punched back",1.5,0,0.0,"Mujeeb to Litton Das, no run  .looked like a googly. Too full on the stumps. Punched back",Mujeeb,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Mujeeb to Litton Das, FOUR runs 
length ball, straying down the leg side once again and Litton flicks it to the left of short 
fine leg this time 
end of over 210 runs  
BAN: 15/0CRR: 7.50 • RRR: 2.95 • Need 142 runs from 48 overs 
Litton Das9 (5b 2x4) 
Tanzid Hasan5 (7b 1x4) 
Mujeeb Ur Rahman 1-0-10-0 
Fazalhaq Farooqi 1-0-5-0",1.6,4,4.0,"Mujeeb to Litton Das, FOUR runs  .length ball, straying down the leg side once again and Litton flicks it to the left of short  .fine leg this time",Mujeeb,Litton Das,4.0,1,0,1,1,4.0,0,,1
"2.1 
1w 
Fazalhaq Farooqi to Tanzid Hasan, 1 wide 
length ball but swinging down the leg side for another wide",2.1,1w,1.0,"Fazalhaq Farooqi to Tanzid Hasan, 1 wide  .length ball but swinging down the leg side for another wide",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,0,0,1.0,0,,1
"2.1 
• 
Fazalhaq Farooqi to Tanzid Hasan, no run 
length ball swinging in. Tanzid is standing outside his crease. He goes for the flick and 
gets an inside edge onto the pads",2.1,0,0.0,"Fazalhaq Farooqi to Tanzid Hasan, no run  .length ball swinging in. Tanzid is standing outside his crease. He goes for the flick and  .gets an inside edge onto the pads",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"2.2 
1lb 
Fazalhaq Farooqi to Tanzid Hasan, 1 leg bye 
an inswinging yorker. Tanzid goes for the flick but misses. Gets a leg-bye to square leg",2.2,1lb,1.0,"Fazalhaq Farooqi to Tanzid Hasan, 1 leg bye  .an inswinging yorker. Tanzid goes for the flick but misses. Gets a leg-bye to square leg",Fazalhaq Farooqi,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Fazalhaq Farooqi to Litton Das, no run 
length ball in the channel. Left alone",2.3,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .length ball in the channel. Left alone",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Fazalhaq Farooqi to Litton Das, no run 
length ball in the channel. Left alone once again",2.4,0,0.0,"Fazalhaq Farooqi to Litton Das, no run  .length ball in the channel. Left alone once again",Fazalhaq Farooqi,Litton Das,0.0,0,0,1,1,0.0,0,,0
