raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Taskin to Gurbaz, no run 
Back of a length outside off at 136kph, Gurbaz pulls to mid-on",0.1,0,0.0,"Taskin to Gurbaz, no run  .Back of a length outside off at 136kph, Gurbaz pulls to mid-on",Taskin,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Taskin to Gurbaz, no run 
Full outside off, Gurbaz presses forward but shoulders arms",0.2,0,0.0,"Taskin to Gurbaz, no run  .Full outside off, Gurbaz presses forward but shoulders arms",Taskin,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Taskin to Gurbaz, 1 run 
On a length around off, Gurbaz drops it towards midwicket for a quick single to get 
Afghanistan's chase off the mark 
Aruna: ""So as a Sri Lankan I should either hope for Afghans to win or to be completely 
crushed. Right?"" Sounds about right.",0.3,1,1.0,"Taskin to Gurbaz, 1 run  .On a length around off, Gurbaz drops it towards midwicket for a quick single to get  .Afghanistan's chase off the mark",Taskin,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Taskin to Ibrahim Zadran, no run 
Length ball, wide of off and left alone by Zadran 
Afsha Afghan: ""My eight sense says that Afghanistan chase would end in 45 overs, 
winning or losing."" Let's see how this pans out!",0.4,0,0.0,"Taskin to Ibrahim Zadran, no run  .Length ball, wide of off and left alone by Zadran",Taskin,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Taskin to Ibrahim Zadran, no run 
Back of a length on off and he punches it towards point. They take off for a run but 
Zadran is sent back and he has to put in a dive as the throw at the striker's end goes 
wide",0.5,0,0.0,"Taskin to Ibrahim Zadran, no run  .Back of a length on off and he punches it towards point. They take off for a run but  .Zadran is sent back and he has to put in a dive as the throw at the striker's end goes  .wide",Taskin,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Taskin to Ibrahim Zadran, no run 
On a length on middle and off, Zadran defends 
end of over 11 run  
AFG: 1/0CRR: 1.00 • RRR: 6.81 • Need 334 runs from 49 overs 
Ibrahim Zadran0 (3b) 
Rahmanullah Gurbaz1 (3b) 
Taskin Ahmed 1-0-1-0 
Left-arm quick Shoriful Islam from the other end. From over the wicket",0.6,0,0.0,"Taskin to Ibrahim Zadran, no run  .On a length on middle and off, Zadran defends",Taskin,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shoriful Islam to Gurbaz, no run 
Length ball outside off and angling away from the batter, who leaves it alone",1.1,0,0.0,"Shoriful Islam to Gurbaz, no run  .Length ball outside off and angling away from the batter, who leaves it alone",Shoriful Islam,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Shoriful Islam to Gurbaz, no run 
Bangladesh are up in appeal as Gurbaz misses his flick to a ball that pitches on a length 
on leg and straightens. Not given and they don't review",1.2,0,0.0,"Shoriful Islam to Gurbaz, no run  .Bangladesh are up in appeal as Gurbaz misses his flick to a ball that pitches on a length  .on leg and straightens. Not given and they don't review",Shoriful Islam,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Shoriful Islam to Gurbaz, no run 
Full on middle, he inside edges it onto his pads. Shoriful getting some inward movement 
Replays show that had Bangladesh reviewed that LBW shout, DRS would have returned 
three reds with the ball crashing into leg stump!",1.3,0,0.0,"Shoriful Islam to Gurbaz, no run  .Full on middle, he inside edges it onto his pads. Shoriful getting some inward movement  .Replays show that had Bangladesh reviewed that LBW shout, DRS would have returned  .three reds with the ball crashing into leg stump!",Shoriful Islam,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Shoriful Islam to Gurbaz, OUT 
But maybe it matters not! Gurbaz misses his flick again and this time it's given. Gurbaz 
reviews, though. This is full on middle and leg and swinging in. Was there any bat? 
Nope. It's umpire's call on wickets, with the ball clipping the leg bail according to ball 
tracking, so Gurbaz has to go! The non-review does not cost Bangladesh any runs as 
Gurbaz is gone two balls later and Shoriful has provided a huge breakthrough 
Rahmanullah Gurbaz lbw b Shoriful Islam 1 (7b 0x4 0x6 10m) SR: 14.28 
Rahmat Shah is in at No. 3",1.4,W,0.0,"Shoriful Islam to Gurbaz, OUT  .But maybe it matters not! Gurbaz misses his flick again and this time it's given. Gurbaz  .reviews, though. This is full on middle and leg and swinging in. Was there any bat?  .Nope. It's umpire's call on wickets, with the ball clipping the leg bail according to ball  .tracking, so Gurbaz has to go! The non-review does not cost Bangladesh any runs as  .Gurbaz is gone two balls later and Shoriful has provided a huge breakthrough  .Rahmanullah Gurbaz lbw b Shoriful Islam 1 (7b 0x4 0x6 10m) SR: 14.28",Shoriful Islam,Gurbaz,0.0,0,0,1,1,0.0,1,lbw b Shoriful Islam,0
"1.5 
• 
Shoriful Islam to Rahmat, no run 
Full on off, he clips it square off the inside half of the bat 
gurbaz: ""damn, i was manifesting gurbaz to score 200 and here he is gone on 0. uff "" 
Well, one not zero, if that's any consolation!",1.5,0,0.0,"Shoriful Islam to Rahmat, no run  .Full on off, he clips it square off the inside half of the bat",Shoriful Islam,Rahmat,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Shoriful Islam to Rahmat, no run 
Fuller side of good length outside off and seaming in, Rahmat leaves it alone and 
Shoriful starts off with a wicket maiden! 
end of over 2Wicket maiden 
AFG: 1/1CRR: 0.50 • RRR: 6.95 • Need 334 runs from 48 overs 
Rahmat Shah0 (2b) 
Ibrahim Zadran0 (3b) 
Shoriful Islam 1-1-0-1 
Taskin Ahmed 1-0-1-0",1.6,0,0.0,"Shoriful Islam to Rahmat, no run  .Fuller side of good length outside off and seaming in, Rahmat leaves it alone and  .Shoriful starts off with a wicket maiden!",Shoriful Islam,Rahmat,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Taskin to Ibrahim Zadran, no run 
Full and wide, swinging away, Zadran swishes at it away from his body and is beaten",2.1,0,0.0,"Taskin to Ibrahim Zadran, no run  .Full and wide, swinging away, Zadran swishes at it away from his body and is beaten",Taskin,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Taskin to Ibrahim Zadran, no run 
Length ball outside off sits up nicely and Zadran punches it to cover point",2.2,0,0.0,"Taskin to Ibrahim Zadran, no run  .Length ball outside off sits up nicely and Zadran punches it to cover point",Taskin,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"2.3 
4 
Taskin to Ibrahim Zadran, FOUR runs 
Lovely stroke. Great placement. It's fuller and closer to off and Zadran opens the face to 
drive it square on the off side, perfectly bisecting cover point and backward point",2.3,4,4.0,"Taskin to Ibrahim Zadran, FOUR runs  .Lovely stroke. Great placement. It's fuller and closer to off and Zadran opens the face to  .drive it square on the off side, perfectly bisecting cover point and backward point",Taskin,Ibrahim Zadran,4.0,1,0,1,1,4.0,0,,1
"2.4 
4 
Taskin to Ibrahim Zadran, FOUR runs 
Stand and deliver! Stands tall on his back foot and punches this length ball through the 
point region. Back-to-back boundaries through the same area for Zadran",2.4,4,4.0,"Taskin to Ibrahim Zadran, FOUR runs  .Stand and deliver! Stands tall on his back foot and punches this length ball through the  .point region. Back-to-back boundaries through the same area for Zadran",Taskin,Ibrahim Zadran,4.0,1,0,1,1,4.0,0,,1
"2.5 
1 
Taskin to Ibrahim Zadran, 1 run 
Full and straight on middle, he parries it through midwicket for a single. They wanted a 
second but decided against it late",2.5,1,1.0,"Taskin to Ibrahim Zadran, 1 run  .Full and straight on middle, he parries it through midwicket for a single. They wanted a  .second but decided against it late",Taskin,Ibrahim Zadran,1.0,0,0,1,1,1.0,0,,1
