raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shapoor to TC Bastiampillai, no run",0.1,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shapoor to TC Bastiampillai, no run",0.2,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shapoor to TC Bastiampillai, no run",0.3,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shapoor to TC Bastiampillai, no run",0.4,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Shapoor to TC Bastiampillai, FOUR runs",0.5,4,4.0,"Shapoor to TC Bastiampillai, FOUR runs",Shapoor,TC Bastiampillai,4.0,1,0,1,1,4.0,0,,1
"0.6 
1 
Shapoor to TC Bastiampillai, 1 run 
end of over 15 runs  
CAN: 5/0CRR: 5.00 • RRR: 5.81 
Trevin Bastiampillai5 (6b 1x4) 
Rizwan Cheema0 (0b) 
Shapoor Zadran 1-0-5-0",0.6,1,1.0,"Shapoor to TC Bastiampillai, 1 run",Shapoor,TC Bastiampillai,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Dawlat to TC Bastiampillai, 1 run",1.1,1,1.0,"Dawlat to TC Bastiampillai, 1 run",Dawlat,TC Bastiampillai,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Dawlat to Cheema, no run",1.2,0,0.0,"Dawlat to Cheema, no run",Dawlat,Cheema,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Dawlat to Cheema, no run",1.3,0,0.0,"Dawlat to Cheema, no run",Dawlat,Cheema,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Dawlat to Cheema, no run",1.4,0,0.0,"Dawlat to Cheema, no run",Dawlat,Cheema,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Dawlat to Cheema, 1 run",1.5,1,1.0,"Dawlat to Cheema, 1 run",Dawlat,Cheema,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Dawlat to TC Bastiampillai, 1 run 
end of over 23 runs  
CAN: 8/0CRR: 4.00 • RRR: 5.87 
Trevin Bastiampillai7 (8b 1x4) 
Rizwan Cheema1 (4b) 
Dawlat Ahmadzai 1-0-3-0",1.6,1,1.0,"Dawlat to TC Bastiampillai, 1 run",Dawlat,TC Bastiampillai,1.0,0,0,1,1,1.0,0,,1
"2.1 
2 
Shapoor to TC Bastiampillai, 2 runs",2.1,2,2.0,"Shapoor to TC Bastiampillai, 2 runs",Shapoor,TC Bastiampillai,2.0,0,0,1,1,2.0,0,,1
"2.2 
• 
Shapoor to TC Bastiampillai, no run",2.2,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Shapoor to TC Bastiampillai, no run",2.3,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
Shapoor to TC Bastiampillai, FOUR runs",2.4,4,4.0,"Shapoor to TC Bastiampillai, FOUR runs",Shapoor,TC Bastiampillai,4.0,1,0,1,1,4.0,0,,1
"2.5 
4 
Shapoor to TC Bastiampillai, FOUR runs",2.5,4,4.0,"Shapoor to TC Bastiampillai, FOUR runs",Shapoor,TC Bastiampillai,4.0,1,0,1,1,4.0,0,,1
"2.6 
• 
Shapoor to TC Bastiampillai, no run 
end of over 310 runs  
CAN: 18/0CRR: 6.00 • RRR: 5.78 
Trevin Bastiampillai17 (14b 3x4) 
Rizwan Cheema1 (4b) 
Shapoor Zadran 2-0-15-0",2.6,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Dawlat to Cheema, no run",3.1,0,0.0,"Dawlat to Cheema, no run",Dawlat,Cheema,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Dawlat to Cheema, FOUR runs",3.2,4,4.0,"Dawlat to Cheema, FOUR runs",Dawlat,Cheema,4.0,1,0,1,1,4.0,0,,1
"3.3 
1lb 
Dawlat to Cheema, 1 leg bye",3.3,1lb,1.0,"Dawlat to Cheema, 1 leg bye",Dawlat,Cheema,0.0,0,0,1,1,0.0,0,,0
"3.4 
2 
Dawlat to TC Bastiampillai, 2 runs",3.4,2,2.0,"Dawlat to TC Bastiampillai, 2 runs",Dawlat,TC Bastiampillai,2.0,0,0,1,1,2.0,0,,1
"3.5 
4 
Dawlat to TC Bastiampillai, FOUR runs",3.5,4,4.0,"Dawlat to TC Bastiampillai, FOUR runs",Dawlat,TC Bastiampillai,4.0,1,0,1,1,4.0,0,,1
"3.6 
1 
Dawlat to TC Bastiampillai, 1 run 
end of over 412 runs  
CAN: 30/0CRR: 7.50 • RRR: 5.65 
Trevin Bastiampillai24 (17b 4x4) 
Rizwan Cheema5 (7b 1x4) 
Dawlat Ahmadzai 2-0-14-0",3.6,1,1.0,"Dawlat to TC Bastiampillai, 1 run",Dawlat,TC Bastiampillai,1.0,0,0,1,1,1.0,0,,1
"4.1 
1 
Shapoor to TC Bastiampillai, 1 run",4.1,1,1.0,"Shapoor to TC Bastiampillai, 1 run",Shapoor,TC Bastiampillai,1.0,0,0,1,1,1.0,0,,1
"4.2 
4 
Shapoor to Cheema, FOUR runs",4.2,4,4.0,"Shapoor to Cheema, FOUR runs",Shapoor,Cheema,4.0,1,0,1,1,4.0,0,,1
"4.3 
1 
Shapoor to Cheema, 1 run",4.3,1,1.0,"Shapoor to Cheema, 1 run",Shapoor,Cheema,1.0,0,0,1,1,1.0,0,,1
"4.4 
• 
Shapoor to TC Bastiampillai, no run",4.4,0,0.0,"Shapoor to TC Bastiampillai, no run",Shapoor,TC Bastiampillai,0.0,0,0,1,1,0.0,0,,0
"4.5 
4 
Shapoor to TC Bastiampillai, FOUR runs",4.5,4,4.0,"Shapoor to TC Bastiampillai, FOUR runs",Shapoor,TC Bastiampillai,4.0,1,0,1,1,4.0,0,,1
"4.6 
1w 
Shapoor to TC Bastiampillai, 1 wide",4.6,1w,1.0,"Shapoor to TC Bastiampillai, 1 wide",Shapoor,TC Bastiampillai,0.0,0,0,0,0,1.0,0,,1
