raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Archer to Gurbaz, 1 run 
width outside off to start, 86mph/138kph. Opens the face and guides this down to deep 
third",0.1,1,1.0,"Archer to Gurbaz, 1 run  .width outside off to start, 86mph/138kph. Opens the face and guides this down to deep  .third",Archer,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Archer to Ibrahim Zadran, no run 
tighter fourth-stump line, hard length. Punched defensively into the covers",0.2,0,0.0,"Archer to Ibrahim Zadran, no run  .tighter fourth-stump line, hard length. Punched defensively into the covers",Archer,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Archer to Ibrahim Zadran, no run 
nip-backer from short of a good length. 85mph/137kph, jagging back. Inside-edged into 
the midriff",0.3,0,0.0,"Archer to Ibrahim Zadran, no run  .nip-backer from short of a good length. 85mph/137kph, jagging back. Inside-edged into  .the midriff",Archer,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Archer to Ibrahim Zadran, no run 
sixth-stump line, bashing away at a hard length. Punched into the covers on the bounce",0.4,0,0.0,"Archer to Ibrahim Zadran, no run  .sixth-stump line, bashing away at a hard length. Punched into the covers on the bounce",Archer,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.5 
1lb 
Archer to Ibrahim Zadran, 1 leg bye 
strays onto the hip, Zadran swivel-pulls down to long leg. 85mph/136kph",0.5,1lb,1.0,"Archer to Ibrahim Zadran, 1 leg bye  .strays onto the hip, Zadran swivel-pulls down to long leg. 85mph/136kph",Archer,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Archer to Gurbaz, 1 wide 
strays down the leg side, just past Gurbaz's attempted flick as he leans across towards 
the off side",0.6,1w,1.0,"Archer to Gurbaz, 1 wide  .strays down the leg side, just past Gurbaz's attempted flick as he leans across towards  .the off side",Archer,Gurbaz,0.0,0,0,0,0,1.0,0,,1
"0.6 
1 
Archer to Gurbaz, 1 run 
inswinger, fuller and targeting off stump. Flicked out to deep backward square 
Sam: ""Do we know if the pitch is a used pitch?"" -- Fresh one. Two strips across from the 
Australia game at the weekend. 
end of over 14 runs  
AFG: 4/0CRR: 4.00  
Rahmanullah Gurbaz2 (2b) 
Ibrahim Zadran0 (4b) 
Jofra Archer 1-0-3-0 
Motown: ""So Afghanistan have to play two 50 over games in three days while India gets 
a week off so they can play their matches at weekends. Wishful thinking I know, but 
wouldn't it be nice for once in a global tournament if sporting integrity took precedence 
over money."" -- Afghanistan do seem to have had the worst of the schedule, but India 
played Thursday-Sunday last week. 
Two slips for Mark Wood. He was belted by Australia on Saturday night.",0.6,1,1.0,"Archer to Gurbaz, 1 run  .inswinger, fuller and targeting off stump. Flicked out to deep backward square",Archer,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Wood to Gurbaz, no run 
back of a length, outside off stump. Left alone. 89mph/144kph",1.1,0,0.0,"Wood to Gurbaz, no run  .back of a length, outside off stump. Left alone. 89mph/144kph",Wood,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Wood to Gurbaz, no run 
wide on the crease in release, cranks it up to 92mph/148kph. Left alone outside off",1.2,0,0.0,"Wood to Gurbaz, no run  .wide on the crease in release, cranks it up to 92mph/148kph. Left alone outside off",Wood,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Wood to Gurbaz, 1 run 
skiddy, good-length ball towards off stump at 92mph/148kph. Tip-and-run into the off 
side as Salt races in and flicks underarm at the stumps. Direct hit from close range but 
Zadran's full-length dive means he was comfortably home",1.3,1,1.0,"Wood to Gurbaz, 1 run  .skiddy, good-length ball towards off stump at 92mph/148kph. Tip-and-run into the off  .side as Salt races in and flicks underarm at the stumps. Direct hit from close range but  .Zadran's full-length dive means he was comfortably home",Wood,Gurbaz,1.0,0,0,1,1,1.0,0,,1
