raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Young to Gurbaz, no run 
length, on middle, driven towards the bowler",0.1,0,0.0,"Young to Gurbaz, no run  .length, on middle, driven towards the bowler",Young,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Young to Gurbaz, no run",0.2,0,0.0,"Young to Gurbaz, no run",Young,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Young to Gurbaz, 1 run 
length ball, goes back to work it towards fine leg",0.3,1,1.0,"Young to Gurbaz, 1 run  .length ball, goes back to work it towards fine leg",Young,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Young to Javed, no run 
pushed to point",0.4,0,0.0,"Young to Javed, no run  .pushed to point",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Young to Javed, no run 
back of a length, pushed towards short mid-wicket",0.5,0,0.0,"Young to Javed, no run  .back of a length, pushed towards short mid-wicket",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Young to Javed, no run 
end of over 11 run  
AFG: 1/0CRR: 1.00 • RRR: 5.28 
Javed Ahmadi0 (3b) 
Rahmanullah Gurbaz1 (3b) 
Craig Young 1-0-1-0 
Here's Simi Singh",0.6,0,0.0,"Young to Javed, no run",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Simi Singh to Gurbaz, 1 run 
length, driven to long on",1.1,1,1.0,"Simi Singh to Gurbaz, 1 run  .length, driven to long on",Simi Singh,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"1.2 
• 
Simi Singh to Javed, no run 
length, driven back to the bowler",1.2,0,0.0,"Simi Singh to Javed, no run  .length, driven back to the bowler",Simi Singh,Javed,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Simi Singh to Javed, no run 
length, driven to cover",1.3,0,0.0,"Simi Singh to Javed, no run  .length, driven to cover",Simi Singh,Javed,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Simi Singh to Javed, no run 
cut away to point",1.4,0,0.0,"Simi Singh to Javed, no run  .cut away to point",Simi Singh,Javed,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Simi Singh to Javed, 1 run 
works this with the spin towards long on",1.5,1,1.0,"Simi Singh to Javed, 1 run  .works this with the spin towards long on",Simi Singh,Javed,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Simi Singh to Gurbaz, no run 
defended to short mid-wicket 
end of over 22 runs  
AFG: 3/0CRR: 1.50 • RRR: 5.35 
Rahmanullah Gurbaz2 (5b) 
Javed Ahmadi1 (7b) 
Simi Singh 1-0-2-0 
Craig Young 1-0-1-0",1.6,0,0.0,"Simi Singh to Gurbaz, no run  .defended to short mid-wicket",Simi Singh,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Young to Javed, no run 
length, driven to cover",2.1,0,0.0,"Young to Javed, no run  .length, driven to cover",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Young to Javed, no run 
length, looks to drive towards long-off, but comes off Young's boot on the follow-
through, and deflects to mid-on 
Balbirnie removes the slips. There's not much pace on this wicket, and there's a greater 
likelihood of catching batsmen on the drive",2.2,0,0.0,"Young to Javed, no run  .length, looks to drive towards long-off, but comes off Young's boot on the follow- .through, and deflects to mid-on  .Balbirnie removes the slips. There's not much pace on this wicket, and there's a greater  .likelihood of catching batsmen on the drive",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Young to Javed, no run 
driven to point with the incoming angle",2.3,0,0.0,"Young to Javed, no run  .driven to point with the incoming angle",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Young to Javed, no run 
length, drops this towards short cover",2.4,0,0.0,"Young to Javed, no run  .length, drops this towards short cover",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Young to Javed, no run 
fuller, driven back towards the bowler, who fields low to his left",2.5,0,0.0,"Young to Javed, no run  .fuller, driven back towards the bowler, who fields low to his left",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Young to Javed, no run 
length, around off, defended with a forward press 
Good over again. Ireland right on the money with the new ball 
end of over 3Maiden 
AFG: 3/0CRR: 1.00 • RRR: 5.46 
Javed Ahmadi1 (13b) 
Rahmanullah Gurbaz2 (5b) 
Craig Young 2-1-1-0 
Simi Singh 1-0-2-0",2.6,0,0.0,"Young to Javed, no run  .length, around off, defended with a forward press  .Good over again. Ireland right on the money with the new ball",Young,Javed,0.0,0,0,1,1,0.0,0,,0
"3.1 
4 
Simi Singh to Gurbaz, FOUR runs 
length, just around off, and he pulls out the slog sweep. Able to get the placement spot 
on, towards deep mid-wicket. Looks to have landed just short of the rope 
Further man in the deep on the leg side now, with long-off moving up to mid-off",3.1,4,4.0,"Simi Singh to Gurbaz, FOUR runs  .length, just around off, and he pulls out the slog sweep. Able to get the placement spot  .on, towards deep mid-wicket. Looks to have landed just short of the rope  .Further man in the deep on the leg side now, with long-off moving up to mid-off",Simi Singh,Gurbaz,4.0,1,0,1,1,4.0,0,,1
"3.2 
• 
Simi Singh to Gurbaz, no run 
length, defended back towards the bowler with the turn",3.2,0,0.0,"Simi Singh to Gurbaz, no run  .length, defended back towards the bowler with the turn",Simi Singh,Gurbaz,0.0,0,0,1,1,0.0,0,,0
