raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Boult to Gurbaz, no run 
Swing straight away for Boult! Length ball on middle stump moving into the batter. 
Defended.",0.1,0,0.0,"Boult to Gurbaz, no run  .Swing straight away for Boult! Length ball on middle stump moving into the batter.  .Defended.",Boult,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Boult to Gurbaz, no run 
Full at the stumps, with a bit of shape in. Punched back to the bowler with the full face 
of the bat",0.2,0,0.0,"Boult to Gurbaz, no run  .Full at the stumps, with a bit of shape in. Punched back to the bowler with the full face  .of the bat",Boult,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
1w 
Boult to Gurbaz, 1 wide 
Swing again but down leg. Was a back of a length ball but the line goes awry. Gurbaz 
shoulders arms with the ball sliding down",0.3,1w,1.0,"Boult to Gurbaz, 1 wide  .Swing again but down leg. Was a back of a length ball but the line goes awry. Gurbaz  .shoulders arms with the ball sliding down",Boult,Gurbaz,0.0,0,0,0,0,1.0,0,,1
"0.3 
• 
Boult to Gurbaz, no run 
Good length ball angling away from Gurbaz who stands tall and punches to cover",0.3,0,0.0,"Boult to Gurbaz, no run  .Good length ball angling away from Gurbaz who stands tall and punches to cover",Boult,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Boult to Gurbaz, 1 wide 
Fuller but the line this time is well outside off stump, past the tramline. Another wide.",0.4,1w,1.0,"Boult to Gurbaz, 1 wide  .Fuller but the line this time is well outside off stump, past the tramline. Another wide.",Boult,Gurbaz,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Boult to Gurbaz, no run 
On a length angling away from Gurbaz, who think about an expansive drive before 
bailing out",0.4,0,0.0,"Boult to Gurbaz, no run  .On a length angling away from Gurbaz, who think about an expansive drive before  .bailing out",Boult,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Boult to Gurbaz, no run 
Appeal for lbw, not given. Two questions possibly to ask: did that pitch in line? Was the 
impact in line? And New Zealand have taken the review. The impact is not in question. 
But the ball has pitched well outside leg. Boult got that on a length with a hint of shape 
away from Gurbaz who misses and is struck in front of the stumps.",0.5,0,0.0,"Boult to Gurbaz, no run  .Appeal for lbw, not given. Two questions possibly to ask: did that pitch in line? Was the  .impact in line? And New Zealand have taken the review. The impact is not in question.  .But the ball has pitched well outside leg. Boult got that on a length with a hint of shape  .away from Gurbaz who misses and is struck in front of the stumps.",Boult,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Boult to Gurbaz, 1 run 
Length outside off stump, he opens the face of the bat and glides to deep third to get 
off the mark. 
end of over 13 runs  
AFG: 3/0CRR: 3.00 • RRR: 5.83 • Need 286 runs from 49 overs 
Rahmanullah Gurbaz1 (6b) 
Ibrahim Zadran0 (0b) 
Trent Boult 1-0-3-0 
Matt Henry, the joint leading wicket-taker so far in the CWC, with the new ball from the 
other end. He is over the wicket with one slip in place",0.6,1,1.0,"Boult to Gurbaz, 1 run  .Length outside off stump, he opens the face of the bat and glides to deep third to get  .off the mark.",Boult,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Henry to Gurbaz, 1 run 
Length ball aiming at Gurbaz's pads. He squirts it off the inside-half of the blade behind 
square 
Stays over to Zadran",1.1,1,1.0,"Henry to Gurbaz, 1 run  .Length ball aiming at Gurbaz's pads. He squirts it off the inside-half of the blade behind  .square  .Stays over to Zadran",Henry,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Henry to Ibrahim Zadran, 1 run 
On a length with a hint of movement away from Zadram who taps to deep third with an 
open face",1.2,1,1.0,"Henry to Ibrahim Zadran, 1 run  .On a length with a hint of movement away from Zadram who taps to deep third with an  .open face",Henry,Ibrahim Zadran,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Henry to Gurbaz, no run 
Huge, huge appeal from Henry as Gurbaz plays all around a full-length ball, but the 
umpire says not out. Will they review this? Nope, they aren't. Slipping down leg? 
Perhaps.",1.3,0,0.0,"Henry to Gurbaz, no run  .Huge, huge appeal from Henry as Gurbaz plays all around a full-length ball, but the  .umpire says not out. Will they review this? Nope, they aren't. Slipping down leg?  .Perhaps.",Henry,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Henry to Gurbaz, no run 
Length on middle stump, Gurbaz is hit high on the pads again",1.4,0,0.0,"Henry to Gurbaz, no run  .Length on middle stump, Gurbaz is hit high on the pads again",Henry,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Henry to Gurbaz, 1 run 
On a length shaping away from Gurbaz who gets a thick outside edge down to deep 
third",1.5,1,1.0,"Henry to Gurbaz, 1 run  .On a length shaping away from Gurbaz who gets a thick outside edge down to deep  .third",Henry,Gurbaz,1.0,0,0,1,1,1.0,0,,1
