raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rajitha to Gurbaz, no run 
Short of a length outside of, 136kph, left alone. Bit of shape away and some extra 
bounce too",0.1,0,0.0,"Rajitha to Gurbaz, no run  .Short of a length outside of, 136kph, left alone. Bit of shape away and some extra  .bounce too",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rajitha to Gurbaz, no run 
full and shaping away, 138kph, driven straight to mid-off",0.2,0,0.0,"Rajitha to Gurbaz, no run  .full and shaping away, 138kph, driven straight to mid-off",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rajitha to Gurbaz, no run 
good length on off, pushes forward and gets an inside edge into the boot",0.3,0,0.0,"Rajitha to Gurbaz, no run  .good length on off, pushes forward and gets an inside edge into the boot",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Rajitha to Gurbaz, no run 
What an effort at point! This was cut hard and low to the right of point, who gets a hand 
to this, but the ball just doesn't stick. That would have been an absolute blinder of a 
catch by Sadeera",0.4,0,0.0,"Rajitha to Gurbaz, no run  .What an effort at point! This was cut hard and low to the right of point, who gets a hand  .to this, but the ball just doesn't stick. That would have been an absolute blinder of a  .catch by Sadeera",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Rajitha to Gurbaz, FOUR runs 
First boundary of the innings! This time he places it behind point. Races away with no 
chance for third man to reach it",0.5,4,4.0,"Rajitha to Gurbaz, FOUR runs  .First boundary of the innings! This time he places it behind point. Races away with no  .chance for third man to reach it",Rajitha,Gurbaz,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Rajitha to Gurbaz, no run 
full on off, shapes away. Gets an inside edge on the drive towards midwicket 
end of over 14 runs  
AFG: 4/0CRR: 4.00 • RRR: 5.87 • Need 288 runs from 49 overs 
Rahmanullah Gurbaz4 (6b 1x4) 
Ibrahim Zadran0 (0b) 
Kasun Rajitha 1-0-4-0 
hasan: ""If Afghan gets that total by 37 over Bangladesh should be out, because 
Bangladesh's net run rate is less than Lankan. Am I right?"" --- You're forgetting that Sri 
Lanka's NRR will be heavily impacted by such a defeat. It'll invariably end below 
Bangladesh's. 
Theekshana straight away. This is the big battle, how will they attack him?",0.6,0,0.0,"Rajitha to Gurbaz, no run  .full on off, shapes away. Gets an inside edge on the drive towards midwicket",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Theekshana to Ibrahim Zadran, no run 
Slides down leg first up, huge appeal for a caught behind, but nothing given. No wide 
given either, so can only presume the umpire thinks that clips the pad on the way",1.1,0,0.0,"Theekshana to Ibrahim Zadran, no run  .Slides down leg first up, huge appeal for a caught behind, but nothing given. No wide  .given either, so can only presume the umpire thinks that clips the pad on the way",Theekshana,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Theekshana to Ibrahim Zadran, no run 
good length ball on off, drifts back in sharply towards off. Back foot punch to mid-off",1.2,0,0.0,"Theekshana to Ibrahim Zadran, no run  .good length ball on off, drifts back in sharply towards off. Back foot punch to mid-off",Theekshana,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Theekshana to Ibrahim Zadran, no run 
full on off, front foot push to mid-off now",1.3,0,0.0,"Theekshana to Ibrahim Zadran, no run  .full on off, front foot push to mid-off now",Theekshana,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.4 
2 
Theekshana to Ibrahim Zadran, 2 runs 
full on the pads, whipped past midwicket for a couple as square leg rushes around to 
collect",1.4,2,2.0,"Theekshana to Ibrahim Zadran, 2 runs  .full on the pads, whipped past midwicket for a couple as square leg rushes around to  .collect",Theekshana,Ibrahim Zadran,2.0,0,0,1,1,2.0,0,,1
"1.5 
• 
Theekshana to Ibrahim Zadran, no run 
good length on off, angled in towards off at 93kph, pushed to mid-off",1.5,0,0.0,"Theekshana to Ibrahim Zadran, no run  .good length on off, angled in towards off at 93kph, pushed to mid-off",Theekshana,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Theekshana to Ibrahim Zadran, FOUR runs 
Slightly short and punished! This was just short of a length outside off and Zadran goes 
hard at it. Slashes straight to cover, but a misfield allows it to go through the man 
end of over 26 runs  
AFG: 10/0CRR: 5.00 • RRR: 5.87 • Need 282 runs from 48 overs 
Ibrahim Zadran6 (6b 1x4) 
Rahmanullah Gurbaz4 (6b 1x4) 
Maheesh Theekshana 1-0-6-0 
Kasun Rajitha 1-0-4-0 
Sachinvehale: ""Stastically what Srilanka needs to ensure to avoid being eliminated ?"" --- 
They just need to bowl",1.6,4,4.0,"Theekshana to Ibrahim Zadran, FOUR runs  .Slightly short and punished! This was just short of a length outside off and Zadran goes  .hard at it. Slashes straight to cover, but a misfield allows it to go through the man",Theekshana,Ibrahim Zadran,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Rajitha to Gurbaz, no run 
full on off, driven straight to mid-off",2.1,0,0.0,"Rajitha to Gurbaz, no run  .full on off, driven straight to mid-off",Rajitha,Gurbaz,0.0,0,0,1,1,0.0,0,,0
