raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Ben Curran, no run 
full length delivery swinging in towards leg stump, looks to flick and misses. Appeals for 
lbw but going down the leg side",0.1,0,0.0,"Fazalhaq Farooqi to Ben Curran, no run  .full length delivery swinging in towards leg stump, looks to flick and misses. Appeals for  .lbw but going down the leg side",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Fazalhaq Farooqi to Ben Curran, no run 
full length ball pitched outside off stump, Curran frees his arms and pushes this 
towards point",0.2,0,0.0,"Fazalhaq Farooqi to Ben Curran, no run  .full length ball pitched outside off stump, Curran frees his arms and pushes this  .towards point",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Fazalhaq Farooqi to Ben Curran, no run 
full length ball around off stump, knocks it to cover-point",0.3,0,0.0,"Fazalhaq Farooqi to Ben Curran, no run  .full length ball around off stump, knocks it to cover-point",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Fazalhaq Farooqi to Ben Curran, no run 
full and outside off stump, swinging away, Curran lets it go",0.4,0,0.0,"Fazalhaq Farooqi to Ben Curran, no run  .full and outside off stump, swinging away, Curran lets it go",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Fazalhaq Farooqi to Ben Curran, no run 
full length ball pitched on sixth stump outswinger, leaves this alone",0.5,0,0.0,"Fazalhaq Farooqi to Ben Curran, no run  .full length ball pitched on sixth stump outswinger, leaves this alone",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,,0
"0.6 
W 
Fazalhaq Farooqi to Ben Curran, OUT 
Is he gone? Looks like it. Excellent throw from Shahidi. Curran has already started 
walking back. Afghanistan are celebrating. Full length delivery on off stump, taps this to 
mid on gently and takes off. But Shahidi's quick throw at non-striker's end means Curran 
is well short of the crease 
Ben Curran run out (Hashmatullah Shahidi) 0 (6b 0x4 0x6 4m) SR: 0 
end of over 1Wicket maiden 
ZIM: 0/1CRR: 0.00 • RRR: 5.85 • Need 287 runs from 49 overs 
Tadiwanashe Marumani0 (0b) 
Fazalhaq Farooqi 1-1-0-0 
Myers now",0.6,W,0.0,"Fazalhaq Farooqi to Ben Curran, OUT  .Is he gone? Looks like it. Excellent throw from Shahidi. Curran has already started  .walking back. Afghanistan are celebrating. Full length delivery on off stump, taps this to  .mid on gently and takes off. But Shahidi's quick throw at non-striker's end means Curran  .is well short of the crease  .Ben Curran run out (Hashmatullah Shahidi) 0 (6b 0x4 0x6 4m) SR: 0",Fazalhaq Farooqi,Ben Curran,0.0,0,0,1,1,0.0,0,run out (Hashmatullah Shahidi),0
"1.1 
1 
Azmatullah to Myers, 1 run 
full length ball around off stump, driven towards extra cover to get off the mark. Bit of a 
fumble there",1.1,1,1.0,"Azmatullah to Myers, 1 run  .full length ball around off stump, driven towards extra cover to get off the mark. Bit of a  .fumble there",Azmatullah,Myers,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Azmatullah to Marumani, 1 run 
length ball on the stumps, flicks this away on the backfoot to deep fine leg",1.2,1,1.0,"Azmatullah to Marumani, 1 run  .length ball on the stumps, flicks this away on the backfoot to deep fine leg",Azmatullah,Marumani,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Azmatullah to Myers, no run 
bowls this full length ball on off stump, Myers pushes this in front of cover",1.3,0,0.0,"Azmatullah to Myers, no run  .bowls this full length ball on off stump, Myers pushes this in front of cover",Azmatullah,Myers,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Azmatullah to Myers, no run 
length ball pitched on off stump, works this to point",1.4,0,0.0,"Azmatullah to Myers, no run  .length ball pitched on off stump, works this to point",Azmatullah,Myers,0.0,0,0,1,1,0.0,0,,0
