raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Starc to Gurbaz, 1 run 
at face and dinks a single to deep third 
very full, angling away, swinging away, Gurbaz opens the b 
Azweer : ""I can smell a Rashid performance today...""",0.1,1,1.0,"Starc to Gurbaz, 1 run  .at face and dinks a single to deep third  .very full, angling away, swinging away, Gurbaz opens the b",Starc,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Starc to Ibrahim Zadran, no run 
very full and speared wide of off stump, no shot from Ibrahim",0.2,0,0.0,"Starc to Ibrahim Zadran, no run  .very full and speared wide of off stump, no shot from Ibrahim",Starc,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Starc to Ibrahim Zadran, no run 
gem of a delivery from Mitch Starc! Good length, lands on middle and then bends away 
outside off. How did that miss the outside edge. ""Shades of Wasim Akram,"" says Ian 
Smith on the broadcast 
Arif: ""Is it a good decision to drop Farooqi? What if Maxi start smashing sixes against 
afgan spinners? who will stop him? """,0.3,0,0.0,"Starc to Ibrahim Zadran, no run  .gem of a delivery from Mitch Starc! Good length, lands on middle and then bends away",Starc,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"0.4 
3 
Starc to Ibrahim Zadran, 3 runs 
follows the outswinger with an inswinger, which is picked away past midwicket. Ibrahim 
gets three",0.4,3,3.0,"Starc to Ibrahim Zadran, 3 runs  .follows the outswinger with an inswinger, which is picked away past midwicket. Ibrahim  .gets three",Starc,Ibrahim Zadran,3.0,0,0,1,1,3.0,0,,1
"0.5 
1 
Starc to Gurbaz, 1 run 
on a length and on a fourth-stump line, bunted to the left of mid-off for a sharp single",0.5,1,1.0,"Starc to Gurbaz, 1 run  .on a length and on a fourth-stump line, bunted to the left of mid-off for a sharp single",Starc,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Starc to Ibrahim Zadran, no run 
pitched-up delivery, attached with width outside off, crashed straight to Labuschagne at 
cover-point 
end of over 15 runs  
AFG: 5/0CRR: 5.00  
Ibrahim Zadran3 (4b) 
Rahmanullah Gurbaz2 (2b) 
Mitchell Starc 1-0-5-0 
Hazlewood. Right-arm over",0.6,0,0.0,"Starc to Ibrahim Zadran, no run  .pitched-up delivery, attached with width outside off, crashed straight to Labuschagne at  .cover-point",Starc,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Hazlewood to Gurbaz, no run 
full, threatens to angle in, but largely holds its line outside off and goes past the outside 
edge. Good start from Halzewood 
Two slips in position 
Bharat: ""Ref. Ball",1.1,0,0.0,"Hazlewood to Gurbaz, no run  .full, threatens to angle in, but largely holds its line outside off and goes past the outside  .edge. Good start from Halzewood  .Two slips in position",Hazlewood,Gurbaz,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Hazlewood to Gurbaz, 1 run 
fullish and angling into a front-foot push to mid-on 
Shafiqullah Ayu: ""What an honor to see Afghanistan on such a big stage with four wins 
against the champions. I'm proud of you, the Blue Tigers.""",1.2,1,1.0,"Hazlewood to Gurbaz, 1 run  .fullish and angling into a front-foot push to mid-on",Hazlewood,Gurbaz,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Hazlewood to Ibrahim Zadran, no run 
Test-match length, homing in at the top of off stump, played back to Hazlewood 
Gurkirt: ""I think it is a brave call from AFG. You can win the World Cup by making calls 
out of fear, AFG is backing their strength and skill, which is awesome to see. Only if 
other teams (ENG, SL) had made the same calls, the World Cup would have been a lot 
more interesting!""",1.3,0,0.0,"Hazlewood to Ibrahim Zadran, no run  .Test-match length, homing in at the top of off stump, played back to Hazlewood",Hazlewood,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hazlewood to Ibrahim Zadran, no run 
good length and on off stump, Ibrahim gets right behind the line and fends",1.4,0,0.0,"Hazlewood to Ibrahim Zadran, no run  .good length and on off stump, Ibrahim gets right behind the line and fends",Hazlewood,Ibrahim Zadran,0.0,0,0,1,1,0.0,0,,0
