raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Woakes to Warner, 1 run 
full on middle and leg, clipped to square leg. Sloppy work from England first up, allowing 
the single, with Tom Curran failing to collect the ball cleanly 
Slip stays for Finch. The other catcher is short midwicket",0.1,1,1.0,"Woakes to Warner, 1 run  .full on middle and leg, clipped to square leg. Sloppy work from England first up, allowing  .the single, with Tom Curran failing to collect the ball cleanly  .Slip stays for Finch. The other catcher is short midwicket",Woakes,Warner,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Woakes to Finch, no run 
length on the stumps, moving a touch away, Finch hops into the tuck past short 
midwicket, but can't go past mid-on",0.2,0,0.0,"Woakes to Finch, no run  .length on the stumps, moving a touch away, Finch hops into the tuck past short  .midwicket, but can't go past mid-on",Woakes,Finch,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Woakes to Finch, 1 run 
full on the stumps, driven back firmly and he sets off for the single. Woakes got his 
hand to it and half-stopped it. Mid-off swoops in and lets fly a throw. Finch wasn't even 
in the frame but the ball doesn't hit the stumps. Morgan the fielder",0.3,1,1.0,"Woakes to Finch, 1 run  .full on the stumps, driven back firmly and he sets off for the single. Woakes got his  .hand to it and half-stopped it. Mid-off swoops in and lets fly a throw. Finch wasn't even  .in the frame but the ball doesn't hit the stumps. Morgan the fielder",Woakes,Finch,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Woakes to Warner, no run 
back of a length moving across him, stays on the back foot and defends to short cover",0.4,0,0.0,"Woakes to Warner, no run  .back of a length moving across him, stays on the back foot and defends to short cover",Woakes,Warner,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Woakes to Warner, no run 
back of a length, he rocks back to pull. Not short enough, gets an under-edge that 
square leg is onto quickly 
square leg dropping back",0.5,0,0.0,"Woakes to Warner, no run  .back of a length, he rocks back to pull. Not short enough, gets an under-edge that  .square leg is onto quickly  .square leg dropping back",Woakes,Warner,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Woakes to Warner, 1 run 
full on the stumps, looked like Warner might have been hanging on the back foot a bit, 
but he gets bat in front to steer to third man's left 
end of over 13 runs  
AUS: 3/0CRR: 3.00 • RRR: 4.67 
David Warner2 (4b) 
Aaron Finch1 (2b) 
Chris Woakes 1-0-3-0 
- not sure I agree. Australia have good depth 
Muskaan Mittal: ""Lot will depend upon David Warner.he needs to fire all cylinders in 
order to achieve the target""",0.6,1,1.0,"Woakes to Warner, 1 run  .full on the stumps, looked like Warner might have been hanging on the back foot a bit,  .but he gets bat in front to steer to third man's left",Woakes,Warner,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Archer to Warner, no run 
ooh he has a bit of a waft at it but then pulls his bat away. Back of a length and going 
across him from Archer",1.1,0,0.0,"Archer to Warner, no run  .ooh he has a bit of a waft at it but then pulls his bat away. Back of a length and going  .across him from Archer",Archer,Warner,0.0,0,0,1,1,0.0,0,,0
"1.2 
3 
Archer to Warner, 3 runs 
short and wide, Warner goes after it but only gets a toe-end to the cut. Carries over point 
but not enough legs to go to the boundary 
fine leg and deep square leg are the men on the boundary",1.2,3,3.0,"Archer to Warner, 3 runs  .short and wide, Warner goes after it but only gets a toe-end to the cut. Carries over point  .but not enough legs to go to the boundary  .fine leg and deep square leg are the men on the boundary",Archer,Warner,3.0,0,0,1,1,3.0,0,,1
"1.3 
• 
Archer to Finch, no run 
bluffs with a full straight one on middle. Finch stays beside it and drives to cover",1.3,0,0.0,"Archer to Finch, no run  .bluffs with a full straight one on middle. Finch stays beside it and drives to cover",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Archer to Finch, no run 
length ball in the channel, pushed to point",1.4,0,0.0,"Archer to Finch, no run  .length ball in the channel, pushed to point",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Archer to Finch, no run 
length ball in the channel again, tries to punch off the back-foot, mis-times to point",1.5,0,0.0,"Archer to Finch, no run  .length ball in the channel again, tries to punch off the back-foot, mis-times to point",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Archer to Finch, no run 
superb yorker to finish, Finch just about gets his bat down in time in front of middle 
stump to squirt it away towards mid-off 
end of over 23 runs  
AUS: 6/0CRR: 3.00 • RRR: 4.70 
Aaron Finch1 (6b) 
David Warner5 (6b) 
Jofra Archer 1-0-3-0 
Chris Woakes 1-0-3-0 
Mustafa Moudi : ""All the Aussies need to do here is save their Wickets. Even if they 
reach just 110 in 30 overs, am sure they would easily chase it with Marsh and Maxwell 
in the lower order !!""",1.6,0,0.0,"Archer to Finch, no run  .superb yorker to finish, Finch just about gets his bat down in time in front of middle  .stump to squirt it away towards mid-off",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Woakes to Warner, no run 
length ball, stump to stump, blocked towards mid-off",2.1,0,0.0,"Woakes to Warner, no run  .length ball, stump to stump, blocked towards mid-off",Woakes,Warner,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Woakes to Warner, no run 
length on off, pushes on the back foot to mid-off. Ball goes off the end of the bat",2.2,0,0.0,"Woakes to Warner, no run  .length on off, pushes on the back foot to mid-off. Ball goes off the end of the bat",Woakes,Warner,0.0,0,0,1,1,0.0,0,,0
"2.3 
1 
Woakes to Warner, 1 run 
too straight that time, and Warner tucks through midwicket off his pads",2.3,1,1.0,"Woakes to Warner, 1 run  .too straight that time, and Warner tucks through midwicket off his pads",Woakes,Warner,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Woakes to Finch, no run 
sharp in-cutter that catches Finch on the crease. Loud appeal but probably going down. 
Inside edge too. Finch was rooted to his crease and trying to punch",2.4,0,0.0,"Woakes to Finch, no run  .sharp in-cutter that catches Finch on the crease. Loud appeal but probably going down.  .Inside edge too. Finch was rooted to his crease and trying to punch",Woakes,Finch,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Woakes to Finch, 1 run 
down the track, takes it on the half-volley and drives firmly straight past the bowler. 
Archer at mid-on moves to his left and tumbles to stop it. Good work",2.5,1,1.0,"Woakes to Finch, 1 run  .down the track, takes it on the half-volley and drives firmly straight past the bowler.  .Archer at mid-on moves to his left and tumbles to stop it. Good work",Woakes,Finch,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Woakes to Warner, no run 
fuller outside off, driven - but can't beat the in-field 
end of over 32 runs  
AUS: 8/0CRR: 2.66 • RRR: 4.76 
David Warner6 (10b) 
Aaron Finch2 (8b) 
Chris Woakes 2-0-5-0 
Jofra Archer 1-0-3-0 
Tasmeem: ""Just sensible batting is the only thing that's required. They're not chasing an 
above par total, I would go as far as to say it's well below par. Could've been a lot less, 
but still shouldn't be too tough. The Aussies would've taken the opportunity to chase 
232 at the start of the game gleefully.""",2.6,0,0.0,"Woakes to Warner, no run  .fuller outside off, driven - but can't beat the in-field",Woakes,Warner,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Archer to Finch, no run 
pacy ball on a length on off stump, Finch defends towards mid-off on the back foot",3.1,0,0.0,"Archer to Finch, no run  .pacy ball on a length on off stump, Finch defends towards mid-off on the back foot",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Archer to Finch, no run 
good bouncer, at 88 mph. Finch decides to go after it but he's beaten for pace. Too late 
on the pull and can't connect as the ball flies past",3.2,0,0.0,"Archer to Finch, no run  .good bouncer, at 88 mph. Finch decides to go after it but he's beaten for pace. Too late  .on the pull and can't connect as the ball flies past",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Archer to Finch, 1 run 
strays on the pads and Finch tickles it fine. There's a man back there",3.3,1,1.0,"Archer to Finch, 1 run  .strays on the pads and Finch tickles it fine. There's a man back there",Archer,Finch,1.0,0,0,1,1,1.0,0,,1
"3.4 
W 
Archer to Warner, OUT 
got him again! Archer has the wood on Warner. This was a scorcher at 91 mph, back of 
a length and moves across, has Warner poking at it in the channel. Awkward height too, 
with the ball near rib-cage. Takes a thin edge through to Buttler. 
David Warner c †Buttler b Archer 6 (11b 0x4 0x6 17m) SR: 54.54 
Matt Roller has this telling stat: Archer to Warner in all international cricket: 76 balls, 57 
runs, 7 wickets",3.4,W,0.0,"Archer to Warner, OUT  .got him again! Archer has the wood on Warner. This was a scorcher at 91 mph, back of  .a length and moves across, has Warner poking at it in the channel. Awkward height too,  .with the ball near rib-cage. Takes a thin edge through to Buttler.  .David Warner c †Buttler b Archer 6 (11b 0x4 0x6 17m) SR: 54.54",Archer,Warner,0.0,0,0,1,1,0.0,1,c †Buttler b Archer,0
"3.5 
• 
Archer to Stoinis, no run 
back of a length outside off, pushed tentatively to point",3.5,0,0.0,"Archer to Stoinis, no run  .back of a length outside off, pushed tentatively to point",Archer,Stoinis,0.0,0,0,1,1,0.0,0,,0
"3.6 
1 
Archer to Stoinis, 1 run 
back of a length, dug into the pitch but down leg, he clips it off his hips to square leg 
end of over 42 runs • 1 wicket 
AUS: 10/1CRR: 2.50 • RRR: 4.82 
Marcus Stoinis1 (2b) 
Aaron Finch3 (11b) 
Jofra Archer 2-0-5-1 
Chris Woakes 2-0-5-0 
Abhijato: ""Broad in the Ashes, now Archer in ODIs - Warner seems to have a knack for 
being the bunny to England's new ball bowlers!""",3.6,1,1.0,"Archer to Stoinis, 1 run  .back of a length, dug into the pitch but down leg, he clips it off his hips to square leg",Archer,Stoinis,1.0,0,0,1,1,1.0,0,,1
"4.1 
• 
Woakes to Stoinis, no run 
full outside off, pushed to extra cover on the front foot",4.1,0,0.0,"Woakes to Stoinis, no run  .full outside off, pushed to extra cover on the front foot",Woakes,Stoinis,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Woakes to Stoinis, no run 
fuller on the pads, clipped but can't beat short midwicket",4.2,0,0.0,"Woakes to Stoinis, no run  .fuller on the pads, clipped but can't beat short midwicket",Woakes,Stoinis,0.0,0,0,1,1,0.0,0,,0
"4.3 
6 
Woakes to Stoinis, SIX runs 
stunning. Where did that come from?! Down the track and Stoinis drives with a very 
straight bat, lofts it all the way over the bowler and the boundary line. What a hit. That's 
a shot that deserves a roaring audience.",4.3,6,6.0,"Woakes to Stoinis, SIX runs  .stunning. Where did that come from?! Down the track and Stoinis drives with a very  .straight bat, lofts it all the way over the bowler and the boundary line. What a hit. That's  .a shot that deserves a roaring audience.",Woakes,Stoinis,6.0,0,1,1,1,6.0,0,,1
"4.4 
• 
Woakes to Stoinis, no run 
fuller on off, driven to mid-off",4.4,0,0.0,"Woakes to Stoinis, no run  .fuller on off, driven to mid-off",Woakes,Stoinis,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Woakes to Stoinis, no run 
back of a length coming into him, defended back to the bowler",4.5,0,0.0,"Woakes to Stoinis, no run  .back of a length coming into him, defended back to the bowler",Woakes,Stoinis,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Woakes to Stoinis, no run 
length ball coming into him, blocked back 
end of over 56 runs  
AUS: 16/1CRR: 3.20 • RRR: 4.80 
Marcus Stoinis7 (8b 1x6) 
Aaron Finch3 (11b) 
Chris Woakes 3-0-11-0 
Jofra Archer 2-0-5-1 
- not sure who Australia play next, but Warner's going to play the IPL next. 
Aj : ""So last time an English player had the wood over Warner the following series he put 
up monstrous numbers, who do Aus play in ODIs next """,4.6,0,0.0,"Woakes to Stoinis, no run  .length ball coming into him, blocked back",Woakes,Stoinis,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Archer to Finch, no run 
length ball on the stumps, tapped towards short midwicket. Thinks about a single, but 
decides against it. Wisely",5.1,0,0.0,"Archer to Finch, no run  .length ball on the stumps, tapped towards short midwicket. Thinks about a single, but  .decides against it. Wisely",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
"5.2 
4 
Archer to Finch, FOUR runs 
gets on top of this and beats a diving point fielder to get a boundary. Width offered 
outside off, and room too with it being back of length. Finch gets on top of it and cuts 
nicely",5.2,4,4.0,"Archer to Finch, FOUR runs  .gets on top of this and beats a diving point fielder to get a boundary. Width offered  .outside off, and room too with it being back of length. Finch gets on top of it and cuts  .nicely",Archer,Finch,4.0,1,0,1,1,4.0,0,,1
"5.3 
• 
Archer to Finch, no run 
fuller and straight on middle, goes back and across to clip from in front of his pads to 
midwicket",5.3,0,0.0,"Archer to Finch, no run  .fuller and straight on middle, goes back and across to clip from in front of his pads to  .midwicket",Archer,Finch,0.0,0,0,1,1,0.0,0,,0
