raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Shami to Head, 1 wide 
round the wicket, short and very wide, Head chases and can't reach...a wide to start",0.1,1w,1.0,"Shami to Head, 1 wide  .round the wicket, short and very wide, Head chases and can't reach...a wide to start",Shami,Head,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Shami to Head, no run 
dropped! A chance for Shami. Back of a length, angling in, Head closing the face to the 
leg side, gets a leading edge to Shami's right and he can't hold on 
See all photos 
How big will that prove?",0.1,0,0.0,"Shami to Head, no run  .dropped! A chance for Shami. Back of a length, angling in, Head closing the face to the  .leg side, gets a leading edge to Shami's right and he can't hold on  .See all photos  .How big will that prove?",Shami,Head,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shami to Head, no run 
angled in at off stump, 136kph, played into midwicket",0.2,0,0.0,"Shami to Head, no run  .angled in at off stump, 136kph, played into midwicket",Shami,Head,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Shami to Head, 1 run 
full outside off, Head drives powerfully to the right of mid-off but good work by Gill 
intercepts 
Connolly opening for the first time at international level",0.3,1,1.0,"Shami to Head, 1 run  .full outside off, Head drives powerfully to the right of mid-off but good work by Gill  .intercepts  .Connolly opening for the first time at international level",Shami,Head,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Shami to Connolly, no run 
back of a length outside off, defended square towards point",0.4,0,0.0,"Shami to Connolly, no run  .back of a length outside off, defended square towards point",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shami to Connolly, no run 
into the stumps from round the wicket, defended towards mid-on",0.5,0,0.0,"Shami to Connolly, no run  .into the stumps from round the wicket, defended towards mid-on",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shami to Connolly, no run 
flashing drive, misses! Looking to go on the up through the off side and is beaten on the 
inside edge 
end of over 12 runs  
AUS: 2/0CRR: 2.00  
Cooper Connolly0 (3b) 
Travis Head1 (3b) 
Mohammed Shami 1-0-2-0 
Hardik Pandya. So no early spin as yet 
 
Travis Head vs Hardik Pandya 
BALLS 
14 
RUNS 
21 
OUTS 
2 
SR 
150.00 
4s/6s 
3/0",0.6,0,0.0,"Shami to Connolly, no run  .flashing drive, misses! Looking to go on the up through the off side and is beaten on the  .inside edge",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
Hardik to Head, 1 wide 
short of a length down the leg side, also starts with a wide",1.1,1w,1.0,"Hardik to Head, 1 wide  .short of a length down the leg side, also starts with a wide",Hardik,Head,0.0,0,0,0,0,1.0,0,,1
"1.1 
• 
Hardik to Head, no run 
not far away! Short of a length, Head pops it into the on side and just short of square 
leg. Slowness of the pitch troubling Head",1.1,0,0.0,"Hardik to Head, no run  .not far away! Short of a length, Head pops it into the on side and just short of square  .leg. Slowness of the pitch troubling Head",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Hardik to Head, no run 
short outside off, he drags a pull to the on side but can't beat mid-on. Timing doesn't 
look easy",1.2,0,0.0,"Hardik to Head, no run  .short outside off, he drags a pull to the on side but can't beat mid-on. Timing doesn't  .look easy",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hardik to Head, no run 
pulls over the top of this one, a small appeal for KL Rahul, Rohit isn't interested in a 
review",1.3,0,0.0,"Hardik to Head, no run  .pulls over the top of this one, a small appeal for KL Rahul, Rohit isn't interested in a  .review",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hardik to Head, no run 
short of a length at off stump, 133kph, on his toes and defends square into the off side 
Matt: ""Has Connolly ever opened at domestic level? If so what are his numbers?"" He did 
it briefly in the BBL two seasons ago (and once in List A cricket) with very limited 
returns",1.4,0,0.0,"Hardik to Head, no run  .short of a length at off stump, 133kph, on his toes and defends square into the off side",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Hardik to Head, no run 
on the stumps, flicked into midwicket",1.5,0,0.0,"Hardik to Head, no run  .on the stumps, flicked into midwicket",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Hardik to Head, no run 
short outside off, square drives off the back foot to point but again can't get the timing 
end of over 21 run  
AUS: 3/0CRR: 1.50  
Travis Head1 (9b) 
Cooper Connolly0 (3b) 
Hardik Pandya 1-0-1-0 
Mohammed Shami 1-0-2-0",1.6,0,0.0,"Hardik to Head, no run  .short outside off, square drives off the back foot to point but again can't get the timing",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Shami to Connolly, no run 
wide outside off, Connolly drives over the top of it...142kph",2.1,0,0.0,"Shami to Connolly, no run  .wide outside off, Connolly drives over the top of it...142kph",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Shami to Connolly, no run 
plays and misses again! Connolly looking to drive, beaten on the inside edge this time 
as it angles back",2.2,0,0.0,"Shami to Connolly, no run  .plays and misses again! Connolly looking to drive, beaten on the inside edge this time  .as it angles back",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"2.3 
1w 
Shami to Connolly, 1 wide 
140kph, short and wide, Connolly slashes and misses with a square cut but gets the 
wide call",2.3,1w,1.0,"Shami to Connolly, 1 wide  .140kph, short and wide, Connolly slashes and misses with a square cut but gets the  .wide call",Shami,Connolly,0.0,0,0,0,0,1.0,0,,1
"2.3 
• 
Shami to Connolly, no run 
four in a row! Connolly struggling. This one was nicely bowled, fuller outside off, feet 
not going anywhere as he pokes at it",2.3,0,0.0,"Shami to Connolly, no run  .four in a row! Connolly struggling. This one was nicely bowled, fuller outside off, feet  .not going anywhere as he pokes at it",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Shami to Connolly, no run 
make that five! Aims for a square drive on the up, slides past the edge 
Two slips now",2.4,0,0.0,"Shami to Connolly, no run  .make that five! Aims for a square drive on the up, slides past the edge  .Two slips now",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Shami to Connolly, no run 
beaten again, six out of six...drives over the top of it as he targets square through the 
off side",2.5,0,0.0,"Shami to Connolly, no run  .beaten again, six out of six...drives over the top of it as he targets square through the  .off side",Shami,Connolly,0.0,0,0,1,1,0.0,0,,0
"2.6 
W 
Shami to Connolly, OUT 
has he edged it this time?! India are very convinced. Wide outside off, Connolly playing 
a square drive, was it an under edge? Yes, it's taken the toe end. They are just checking 
the ball has carried to KL Rahul. It's clean 
Cooper Connolly c †Rahul b Mohammed Shami 0 (9b 0x4 0x6 17m) SR: 0 
See all photos 
Well, after six plays and misses Connolly finally hit one, but it brought his downfall. A 
tough lesson for him. 
end of over 31 run • 1 wicket 
AUS: 4/1CRR: 1.33  
Travis Head1 (9b) 
Mohammed Shami 2-0-3-1 
Hardik Pandya 1-0-1-0 
Steve Smith to the middle",2.6,W,0.0,"Shami to Connolly, OUT  .has he edged it this time?! India are very convinced. Wide outside off, Connolly playing  .a square drive, was it an under edge? Yes, it's taken the toe end. They are just checking  .the ball has carried to KL Rahul. It's clean  .Cooper Connolly c †Rahul b Mohammed Shami 0 (9b 0x4 0x6 17m) SR: 0",Shami,Connolly,0.0,0,0,1,1,0.0,1,c †Rahul b Mohammed Shami,0
"3.1 
1w 
Hardik to Head, 1 wide 
short over off stump, sways out of the line. Pandya not happy with the wide call",3.1,1w,1.0,"Hardik to Head, 1 wide  .short over off stump, sways out of the line. Pandya not happy with the wide call",Hardik,Head,0.0,0,0,0,0,1.0,0,,1
"3.1 
• 
Hardik to Head, no run 
back of a length at off stump, 131kph, chopped square towards point 
deep: ""had that marginal wide not been given, connnolly would still have been out there! 
funny how the game works!""",3.1,0,0.0,"Hardik to Head, no run  .back of a length at off stump, 131kph, chopped square towards point",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Hardik to Head, no run 
well bowled, extra bounce from back of a length, Head squares fully squared up as he 
defends",3.2,0,0.0,"Hardik to Head, no run  .well bowled, extra bounce from back of a length, Head squares fully squared up as he  .defends",Hardik,Head,0.0,0,0,1,1,0.0,0,,0
"3.3 
1w 
Hardik to Head, 1 wide 
short and down the leg side...wides a big player for Australia at the moment 
James: ""Mindless decision to gamble with the opener slot in a semi backfires in 
predictable fashion. dear me. Hopefully his dismissal is a circuit breaker ad the Aussies 
can get going.""",3.3,1w,1.0,"Hardik to Head, 1 wide  .short and down the leg side...wides a big player for Australia at the moment",Hardik,Head,0.0,0,0,0,0,1.0,0,,1
"3.3 
4 
Hardik to Head, FOUR runs 
clears mid-off! Head manages to get one away. Takes on a fuller delivery, but he still 
drives on the up. Was actually just straight of the fielder as well",3.3,4,4.0,"Hardik to Head, FOUR runs  .clears mid-off! Head manages to get one away. Takes on a fuller delivery, but he still  .drives on the up. Was actually just straight of the fielder as well",Hardik,Head,4.0,1,0,1,1,4.0,0,,1
"3.4 
6 
Hardik to Head, SIX runs 
super shot! Length ball on the pads, Head flicks it away with immense power and timing 
over deep square leg",3.4,6,6.0,"Hardik to Head, SIX runs  .super shot! Length ball on the pads, Head flicks it away with immense power and timing  .over deep square leg",Hardik,Head,6.0,0,1,1,1,6.0,0,,1
"3.5 
1 
Hardik to Head, 1 run 
tight run! A better delivery, short of a length and straight, Head drives square off the 
back too point and a direct hit from Jadeja looks like it would have had him 
 
Steven Smith vs Hardik Pandya 
BALLS 
82 
RUNS 
84 
OUTS 
5 
SR 
102.43 
4s/6s 
13/0",3.5,1,1.0,"Hardik to Head, 1 run  .tight run! A better delivery, short of a length and straight, Head drives square off the  .back too point and a direct hit from Jadeja looks like it would have had him  .  .Steven Smith vs Hardik Pandya  .BALLS  .82  .RUNS  .84  .OUTS  .5  .SR  .102.43  .4s/6s  .13/0",Hardik,Head,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Hardik to Smith, no run 
back of a length outside off, Smith across the crease and defends 
Grahaml: ""@james. It wasn't a gamble, Short is injured so he needed to be replaced."" I'd 
say there are others in the XI better equipped, but they would have wanted as few 
positional changes to the order as possible 
end of over 413 runs  
AUS: 17/1CRR: 4.25  
Steven Smith0 (1b) 
Travis Head12 (14b 1x4 1x6) 
Hardik Pandya 2-0-14-0 
Mohammed Shami 2-0-3-1 
Bhargav: ""Two chances already for Head. Is today his day?""",3.6,0,0.0,"Hardik to Smith, no run  .back of a length outside off, Smith across the crease and defends",Hardik,Smith,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Shami to Head, no run 
wide outside off, square drives to point",4.1,0,0.0,"Shami to Head, no run  .wide outside off, square drives to point",Shami,Head,0.0,0,0,1,1,0.0,0,,0
"4.2 
2 
Shami to Head, 2 runs 
round the wicket, short of a length outside off, drags a one-handed pull through 
midwicket",4.2,2,2.0,"Shami to Head, 2 runs  .round the wicket, short of a length outside off, drags a one-handed pull through  .midwicket",Shami,Head,2.0,0,0,1,1,2.0,0,,1
"4.3 
4 
Shami to Head, FOUR runs 
short of a length outside off, Head latches onto the width and thrashes it through the 
covers",4.3,4,4.0,"Shami to Head, FOUR runs  .short of a length outside off, Head latches onto the width and thrashes it through the  .covers",Shami,Head,4.0,1,0,1,1,4.0,0,,1
"4.4 
4 
Shami to Head, FOUR runs 
gets some luck! Swings across the line aiming to the leg side, takes a bottom edge past 
the stumps to fine leg",4.4,4,4.0,"Shami to Head, FOUR runs  .gets some luck! Swings across the line aiming to the leg side, takes a bottom edge past  .the stumps to fine leg",Shami,Head,4.0,1,0,1,1,4.0,0,,1
"4.5 
4 
Shami to Head, FOUR runs 
great shot! That's the best of Head. Full but not that wide outside off, he laces a square 
drive through point. Power and placement",4.5,4,4.0,"Shami to Head, FOUR runs  .great shot! That's the best of Head. Full but not that wide outside off, he laces a square  .drive through point. Power and placement",Shami,Head,4.0,1,0,1,1,4.0,0,,1
"4.6 
• 
Shami to Head, no run 
over the wicket, back of a length, defended to cover. Head is up and running 
end of over 514 runs  
AUS: 31/1CRR: 6.20  
Travis Head26 (20b 4x4 1x6) 
Steven Smith0 (1b) 
Mohammed Shami 3-0-17-1 
Hardik Pandya 2-0-14-0 
John: ""Definitely a silly gamble playing Connoly when Inglis, Carey even marnus are 
better options. I just don't see what all the fuss is about with him. Had 1 half decent bbl 
season and made runs in a final. His bowling average too IMO"" 
Time for spin: Kuldeep Yadav",4.6,0,0.0,"Shami to Head, no run  .over the wicket, back of a length, defended to cover. Head is up and running",Shami,Head,0.0,0,0,1,1,0.0,0,,0
"5.1 
1 
Kuldeep to Smith, 1 run 
over the wicket, Smith flicks it firmly down the ground to long-on",5.1,1,1.0,"Kuldeep to Smith, 1 run  .over the wicket, Smith flicks it firmly down the ground to long-on",Kuldeep,Smith,1.0,0,0,1,1,1.0,0,,1
"5.2 
• 
Kuldeep to Head, no run 
leans back and drives this off the stumps to cover 
Aaron: ""Probably the two Aussies you'd want out there at the start of an innings. Good 
balance of aggression and stability.""",5.2,0,0.0,"Kuldeep to Head, no run  .leans back and drives this off the stumps to cover",Kuldeep,Head,0.0,0,0,1,1,0.0,0,,0
"5.3 
1 
Kuldeep to Head, 1 run 
full at the pads, worked into midwicket",5.3,1,1.0,"Kuldeep to Head, 1 run  .full at the pads, worked into midwicket",Kuldeep,Head,1.0,0,0,1,1,1.0,0,,1
"5.4 
1 
Kuldeep to Smith, 1 run 
moves across the stumps and nudges this from outside off into midwicket 
From Namooh: Only the second time Kuldeep Yadav has come to bowl this early in an 
ODI, previously also came to bowl in 6th over vs Australia in 2017.",5.4,1,1.0,"Kuldeep to Smith, 1 run  .moves across the stumps and nudges this from outside off into midwicket  .From Namooh: Only the second time Kuldeep Yadav has come to bowl this early in an  .ODI, previously also came to bowl in 6th over vs Australia in 2017.",Kuldeep,Smith,1.0,0,0,1,1,1.0,0,,1
"5.5 
1 
Kuldeep to Head, 1 run 
uses his feet and clips a full delivery through the on side",5.5,1,1.0,"Kuldeep to Head, 1 run  .uses his feet and clips a full delivery through the on side",Kuldeep,Head,1.0,0,0,1,1,1.0,0,,1
