raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bumrah to Warner, no run 
over the wicket, banged on a length at 136kph/84mph and shaping away, past the 
wafted bat! Big noise around the ground as that zipped through to the keeper",0.1,0,0.0,"Bumrah to Warner, no run  .over the wicket, banged on a length at 136kph/84mph and shaping away, past the  .wafted bat! Big noise around the ground as that zipped through to the keeper",Bumrah,Warner,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Bumrah to Warner, 1 run 
touch short and tapped down into the point region for a hustled single",0.2,1,1.0,"Bumrah to Warner, 1 run  .touch short and tapped down into the point region for a hustled single",Bumrah,Warner,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Bumrah to Marsh, no run 
in the corridor, good pace and bounce through to Rahul again",0.3,0,0.0,"Bumrah to Marsh, no run  .in the corridor, good pace and bounce through to Rahul again",Bumrah,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bumrah to Marsh, no run 
pitched up and blocked into the point region",0.4,0,0.0,"Bumrah to Marsh, no run  .pitched up and blocked into the point region",Bumrah,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bumrah to Marsh, no run 
fuller, 141kph/88mph outside off and again Marsh bunts it square",0.5,0,0.0,"Bumrah to Marsh, no run  .fuller, 141kph/88mph outside off and again Marsh bunts it square",Bumrah,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bumrah to Marsh, no run 
tight line, 139kph/86mph and Marsh is across on off stump to drop the ball watchfully 
into the covers 
end of over 11 run  
AUS: 1/0CRR: 1.00  
Mitchell Marsh0 (4b) 
David Warner1 (2b) 
Jasprit Bumrah 1-0-1-0 
It'll be Mohammed Siraj from the other end. Slip in, fine leg and deep third",0.6,0,0.0,"Bumrah to Marsh, no run  .tight line, 139kph/86mph and Marsh is across on off stump to drop the ball watchfully  .into the covers",Bumrah,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Siraj to Warner, FOUR runs 
full and tempting, thrashed through backward point for the first boundary! Plenty of 
room to free the arms and Warner does so with aplomb, crashing the ball to the rope off 
the back foot",1.1,4,4.0,"Siraj to Warner, FOUR runs  .full and tempting, thrashed through backward point for the first boundary! Plenty of  .room to free the arms and Warner does so with aplomb, crashing the ball to the rope off  .the back foot",Siraj,Warner,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Siraj to Warner, no run 
better line from Siraj, nibbling away outside off as Warner shoulders arms",1.2,0,0.0,"Siraj to Warner, no run  .better line from Siraj, nibbling away outside off as Warner shoulders arms",Siraj,Warner,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Siraj to Warner, no run 
short of a length on fifth stump, chopped into the turf towards backward point",1.3,0,0.0,"Siraj to Warner, no run  .short of a length on fifth stump, chopped into the turf towards backward point",Siraj,Warner,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Siraj to Warner, no run 
good length, shaping across the left-hander, who defends into the off side and is 
looking for one. Marsh sends him back 
Abinash Das: ""Eager to see Labuschagne vs Ashwin's technical, tactical and mental 
battle at the Chepauk surface. It'll be an on-ground personification of chessboard on the 
cricket pitch with two of the current best theorists putting their best foot forward on the 
grandest stage."" I just hope Marnus is ready for the reverse-carrom ball this time...",1.4,0,0.0,"Siraj to Warner, no run  .good length, shaping across the left-hander, who defends into the off side and is  .looking for one. Marsh sends him back",Siraj,Warner,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Siraj to Warner, no run 
slightly back of a length and cut towards point, Ishan Kishan is sharp as a tack this 
morning and collects, firing in a throw as Warner went wandering out of his crease",1.5,0,0.0,"Siraj to Warner, no run  .slightly back of a length and cut towards point, Ishan Kishan is sharp as a tack this  .morning and collects, firing in a throw as Warner went wandering out of his crease",Siraj,Warner,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Siraj to Warner, no run 
fuller and curving away, stays a little low, too, as Warner pushes forward and is beaten. 
Not sure it carried to Rahul, in the end 
end of over 24 runs  
AUS: 5/0CRR: 2.50  
David Warner5 (8b 1x4) 
Mitchell Marsh0 (4b) 
Mohammed Siraj 1-0-4-0 
Jasprit Bumrah 1-0-1-0 
Still two slips for Bumrah to Marsh",1.6,0,0.0,"Siraj to Warner, no run  .fuller and curving away, stays a little low, too, as Warner pushes forward and is beaten.  .Not sure it carried to Rahul, in the end",Siraj,Warner,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Bumrah to Marsh, no run 
length ball around fourth stump, Marsh prods at it and gets a thickish inside edge 
Slip goes to midwicket",2.1,0,0.0,"Bumrah to Marsh, no run  .length ball around fourth stump, Marsh prods at it and gets a thickish inside edge  .Slip goes to midwicket",Bumrah,Marsh,0.0,0,0,1,1,0.0,0,,0
"2.2 
W 
Bumrah to Marsh, OUT 
edged and taken! Bumrah strikes early, Kohli with the tumbling catch! No need to worry 
about there only being one man in the cordon when he's able to swallow those. 
Tentative prod from Marsh and a thick edge, needed the dive from Kohli, going low to 
his left. Chepauk, however full it is, bursts into life to celebrate India's first wicket at this 
World Cup 
Mitchell Marsh c Kohli b Bumrah 0 (6b 0x4 0x6 11m) SR: 0 
Steven Smith walks out at No. 3. Two slips again",2.2,W,0.0,"Bumrah to Marsh, OUT  .edged and taken! Bumrah strikes early, Kohli with the tumbling catch! No need to worry  .about there only being one man in the cordon when he's able to swallow those.  .Tentative prod from Marsh and a thick edge, needed the dive from Kohli, going low to  .his left. Chepauk, however full it is, bursts into life to celebrate India's first wicket at this  .World Cup  .Mitchell Marsh c Kohli b Bumrah 0 (6b 0x4 0x6 11m) SR: 0",Bumrah,Marsh,0.0,0,0,1,1,0.0,1,c Kohli b Bumrah,0
"2.3 
• 
Bumrah to Smith, no run 
length on off and Smith gets into line to defend",2.3,0,0.0,"Bumrah to Smith, no run  .length on off and Smith gets into line to defend",Bumrah,Smith,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Bumrah to Smith, no run 
fuller and pushed into the off side coming across",2.4,0,0.0,"Bumrah to Smith, no run  .fuller and pushed into the off side coming across",Bumrah,Smith,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Bumrah to Smith, 1 run 
tighter, short of a length on fourth stump, dropped into the covers for his first run",2.5,1,1.0,"Bumrah to Smith, 1 run  .tighter, short of a length on fourth stump, dropped into the covers for his first run",Bumrah,Smith,1.0,0,0,1,1,1.0,0,,1
"2.6 
• 
Bumrah to Warner, no run 
excellent line, beats the edge! Warner stuck on the crease as it jags away past his 
forward defensive 
end of over 31 run • 1 wicket 
AUS: 6/1CRR: 2.00  
David Warner5 (9b 1x4) 
Steven Smith1 (3b) 
Jasprit Bumrah 2-0-2-1 
Mohammed Siraj 1-0-4-0",2.6,0,0.0,"Bumrah to Warner, no run  .excellent line, beats the edge! Warner stuck on the crease as it jags away past his  .forward defensive",Bumrah,Warner,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Siraj to Smith, no run",3.1,0,0.0,"Siraj to Smith, no run",Siraj,Smith,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Siraj to Smith, no run 
defended back towards mid-off",3.2,0,0.0,"Siraj to Smith, no run  .defended back towards mid-off",Siraj,Smith,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Siraj to Smith, no run 
fuller in the channel, Smith snaps on to a drive but it's well cut off in the covers",3.3,0,0.0,"Siraj to Smith, no run  .fuller in the channel, Smith snaps on to a drive but it's well cut off in the covers",Siraj,Smith,0.0,0,0,1,1,0.0,0,,0
