raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Lee to McCullum, 1 wide 
goes full and wide of off stump, McCullum leaves, that's a bit of a tight call as it wasn't 
all that far away",0.1,1w,1.0,"Lee to McCullum, 1 wide  .goes full and wide of off stump, McCullum leaves, that's a bit of a tight call as it wasn't  .all that far away",Lee,McCullum,0.0,0,0,0,0,1.0,0,,1
"0.1 
• 
Lee to McCullum, no run 
pitches it up again and gets appreciable away movement off the track as McCullum 
shoulders arms, lots of swing on that ball away from the batsman",0.1,0,0.0,"Lee to McCullum, no run  .pitches it up again and gets appreciable away movement off the track as McCullum  .shoulders arms, lots of swing on that ball away from the batsman",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Lee to McCullum, no run 
loud shot and Lee sets off in celebration but Ian Gould stands unmoved! Lee hits a 
fullish length and gets the ball to swing in but McCullum gets the thinnest of inside 
edges as he attempts to work the ball toward midwicket",0.2,0,0.0,"Lee to McCullum, no run  .loud shot and Lee sets off in celebration but Ian Gould stands unmoved! Lee hits a  .fullish length and gets the ball to swing in but McCullum gets the thinnest of inside  .edges as he attempts to work the ball toward midwicket",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Lee to McCullum, no run 
fuller in length with some good away swing and carry to Paine behind the stumps as 
McCullum again opts to shoulder arms",0.3,0,0.0,"Lee to McCullum, no run  .fuller in length with some good away swing and carry to Paine behind the stumps as  .McCullum again opts to shoulder arms",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Lee to McCullum, no run 
full again and still Lee gets movement away from McCullum, who again leaves the ball 
be",0.4,0,0.0,"Lee to McCullum, no run  .full again and still Lee gets movement away from McCullum, who again leaves the ball  .be",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Lee to McCullum, no run 
what a ball! Much, much fuller in length, aiming at the yorker on off stump, the ball 
pitches middle and off and then beats the bat by nothing as McCullum goes to clip the 
ball and misses, that swung very, very late and somehow missed the edge, lovely 
bowling that",0.5,0,0.0,"Lee to McCullum, no run  .what a ball! Much, much fuller in length, aiming at the yorker on off stump, the ball  .pitches middle and off and then beats the bat by nothing as McCullum goes to clip the  .ball and misses, that swung very, very late and somehow missed the edge, lovely  .bowling that",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Lee to McCullum, 1 wide 
strays down the pads with a shorter ball, Paine collects",0.6,1w,1.0,"Lee to McCullum, 1 wide  .strays down the pads with a shorter ball, Paine collects",Lee,McCullum,0.0,0,0,0,0,1.0,0,,1
"0.6 
1lb 
Lee to McCullum, 1 leg bye 
drifts down the pads, 144ks, McCullum again goes for the flick and mistimes it, the ball 
dribbling off his pads to midwicket as he calls Redmond 
Steady outswing all over from Lee. That one full ball was a gem. McCullum survives. 
end of over 13 runs  
NZ: 3/0CRR: 3.00  
Brendon McCullum0 (6b) 
Aaron Redmond0 (0b) 
Brett Lee 1-0-2-0 
Now here's Peter Siddle from over the stumps.",0.6,1lb,1.0,"Lee to McCullum, 1 leg bye  .drifts down the pads, 144ks, McCullum again goes for the flick and mistimes it, the ball  .dribbling off his pads to midwicket as he calls Redmond  .Steady outswing all over from Lee. That one full ball was a gem. McCullum survives.",Lee,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Siddle to McCullum, no run 
bangs his first ball in hard and gets it to sit up, but it's too straight and McCullum hops 
up to work it toward midwicket with ease",1.1,0,0.0,"Siddle to McCullum, no run  .bangs his first ball in hard and gets it to sit up, but it's too straight and McCullum hops  .up to work it toward midwicket with ease",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Siddle to McCullum, no run 
similar ball and again he gets up to knock it to midwicket",1.2,0,0.0,"Siddle to McCullum, no run  .similar ball and again he gets up to knock it to midwicket",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Siddle to McCullum, no run 
too full and he drives fluently into the covers where Hauritz moves well to his left to 
save runs, he judged the ball and went back and across to stop it",1.3,0,0.0,"Siddle to McCullum, no run  .too full and he drives fluently into the covers where Hauritz moves well to his left to  .save runs, he judged the ball and went back and across to stop it",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Siddle to McCullum, no run 
advances and checks the shot, Siddle fumbles, no run though",1.4,0,0.0,"Siddle to McCullum, no run  .advances and checks the shot, Siddle fumbles, no run though",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Siddle to McCullum, no run 
pitches full and straight, 144ks, gets some movement in and McCullum eases a drive 
straight to cover",1.5,0,0.0,"Siddle to McCullum, no run  .pitches full and straight, 144ks, gets some movement in and McCullum eases a drive  .straight to cover",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Siddle to McCullum, no run 
full again and McCullum thuds forward, adjusting to defend the ball back down the track 
to Siddle who collects 
Maiden over and McCullum is scoreless after 12 deliveries. Very good start from Siddle. 
end of over 2Maiden 
NZ: 3/0CRR: 1.50  
Brendon McCullum0 (12b) 
Aaron Redmond0 (0b) 
Peter Siddle 1-1-0-0 
Brett Lee 1-0-2-0 
Redmond to face now.",1.6,0,0.0,"Siddle to McCullum, no run  .full again and McCullum thuds forward, adjusting to defend the ball back down the track  .to Siddle who collects  .Maiden over and McCullum is scoreless after 12 deliveries. Very good start from Siddle.",Siddle,McCullum,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Lee to Redmond, no run 
pitches full and Redmond defends ... he's got a high backlift that faces third slip, and 
keeps shaking the bat as the bowler runs in",2.1,0,0.0,"Lee to Redmond, no run  .pitches full and Redmond defends ... he's got a high backlift that faces third slip, and  .keeps shaking the bat as the bowler runs in",Lee,Redmond,0.0,0,0,1,1,0.0,0,,0
"2.2 
2 
Lee to Redmond, 2 runs 
cut away as he sees room, its a hurried shot and in the air wide of gully, there's a 
misfield by Siddle down near third man and Redmond gets a couple",2.2,2,2.0,"Lee to Redmond, 2 runs  .cut away as he sees room, its a hurried shot and in the air wide of gully, there's a  .misfield by Siddle down near third man and Redmond gets a couple",Lee,Redmond,2.0,0,0,1,1,2.0,0,,1
"2.3 
• 
Lee to Redmond, no run 
fuller and closer to off stump, deviates off the track and beats Redmond as he feels for 
it with poor movement, the late movement did him in there",2.3,0,0.0,"Lee to Redmond, no run  .fuller and closer to off stump, deviates off the track and beats Redmond as he feels for  .it with poor movement, the late movement did him in there",Lee,Redmond,0.0,0,0,1,1,0.0,0,,0
