raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Jansen to Warner, no run 
back of a length, fourth stump, he's back and across to defend 
See all photos",0.1,0,0.0,"Jansen to Warner, no run  .back of a length, fourth stump, he's back and across to defend  .See all photos",Jansen,Warner,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Jansen to Warner, 1 run 
good length, 135kph, wide of off, he punches neatly off the back foot with the slight 
shape away through point. Only timed well enough to take one 
Lots of cracks running down the surface",0.2,1,1.0,"Jansen to Warner, 1 run  .good length, 135kph, wide of off, he punches neatly off the back foot with the slight  .shape away through point. Only timed well enough to take one  .Lots of cracks running down the surface",Jansen,Warner,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Jansen to Head, FOUR runs 
laced through point! Length ball wide of off, he crouches low and lashes a square drive 
through point. Bread and butter for Head 
Second slip out. Extra man in the off side ring",0.3,4,4.0,"Jansen to Head, FOUR runs  .laced through point! Length ball wide of off, he crouches low and lashes a square drive  .through point. Bread and butter for Head  .Second slip out. Extra man in the off side ring",Jansen,Head,4.0,1,0,1,1,4.0,0,,1
"0.4 
1lb 
Jansen to Head, 1 leg bye 
back of a length on leg, he clips it off the inside edge onto thigh guard and it runs 
towards fine leg",0.4,1lb,1.0,"Jansen to Head, 1 leg bye  .back of a length on leg, he clips it off the inside edge onto thigh guard and it runs  .towards fine leg",Jansen,Head,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Jansen to Warner, FOUR runs 
clipped through forward square! 135kph gentle half volley outside leg and Warner 
gleefully clips it away with ease",0.5,4,4.0,"Jansen to Warner, FOUR runs  .clipped through forward square! 135kph gentle half volley outside leg and Warner  .gleefully clips it away with ease",Jansen,Warner,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Jansen to Warner, no run 
good length, 133kph, fourth stump, he sits back and punches it to cover 
Aalok: ""While most teams want their first team to play matches together in the build up 
to the world cup, Australia have gone the other way trying to test out their bench 
strength. Isn't this supposed to be done much earlier?"" Steve Smith, Pat Cummins, 
Glenn Maxwell, Mitchell Starc, Cameron Green are all injured while Stoinis and Agar 
have injury histories that mean they need to be managed. Hence they are testing their 
bench 
end of over 110 runs  
AUS: 10/0CRR: 10.00  
David Warner5 (4b 1x4) 
Travis Head4 (2b 1x4) 
Marco Jansen 1-0-9-0",0.6,0,0.0,"Jansen to Warner, no run  .good length, 133kph, fourth stump, he sits back and punches it to cover",Jansen,Warner,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Rabada to Head, no run 
good length fourth stump, he's back to defend",1.1,0,0.0,"Rabada to Head, no run  .good length fourth stump, he's back to defend",Rabada,Head,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Rabada to Head, FOUR runs 
cut with control behind point! Fraction of width, he controls the cut through the gap and 
it races away",1.2,4,4.0,"Rabada to Head, FOUR runs  .cut with control behind point! Fraction of width, he controls the cut through the gap and  .it races away",Rabada,Head,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Rabada to Head, no run 
140kph, good length, top of off, he jumps back to defend",1.3,0,0.0,"Rabada to Head, no run  .140kph, good length, top of off, he jumps back to defend",Rabada,Head,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Rabada to Head, FOUR runs 
off the fingers at midwicket! Klaasen almost took a screamer! Shaping into the pads, 
he clips it in the air and Klaasen flying to his left like a goalkeeper tips it over the bar and 
it runs for four",1.4,4,4.0,"Rabada to Head, FOUR runs  .off the fingers at midwicket! Klaasen almost took a screamer! Shaping into the pads,  .he clips it in the air and Klaasen flying to his left like a goalkeeper tips it over the bar and  .it runs for four",Rabada,Head,4.0,1,0,1,1,4.0,0,,1
