raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Cottrell to Philippe, no run 
inswinger lands full on middle, dug out with a firm defense.",0.1,0,0.0,"Cottrell to Philippe, no run  .inswinger lands full on middle, dug out with a firm defense.",Cottrell,Philippe,0.0,0,0,1,1,0.0,0,,0
"0.2 
1lb 
Cottrell to Philippe, 1 leg bye 
back of a length on the hips, flicked off the pads to long leg, leg bye signaled.",0.2,1lb,1.0,"Cottrell to Philippe, 1 leg bye  .back of a length on the hips, flicked off the pads to long leg, leg bye signaled.",Cottrell,Philippe,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Cottrell to McDermott, no run 
back of a length again on the hips, this time McDermott can't flick it away and it caroms 
to short midwicket.",0.3,0,0.0,"Cottrell to McDermott, no run  .back of a length again on the hips, this time McDermott can't flick it away and it caroms  .to short midwicket.",Cottrell,McDermott,0.0,0,0,1,1,0.0,0,,0
"0.4 
W 
Cottrell to McDermott, OUT 
first time angled across off stump and it results in a wicket! After three on the legs, 
Cottrell shoots this on a good length passing seventh stump, very wide and could have 
easily been left alone on the angle as there was no swing back in but McDermott 
chases it and a healthy edge off the toe of the bat goes through to the keeper. 
Ben McDermott c †Hope b Cottrell 0 (2b 0x4 0x6 5m) SR: 0",0.4,W,0.0,"Cottrell to McDermott, OUT  .first time angled across off stump and it results in a wicket! After three on the legs,  .Cottrell shoots this on a good length passing seventh stump, very wide and could have  .easily been left alone on the angle as there was no swing back in but McDermott  .chases it and a healthy edge off the toe of the bat goes through to the keeper.  .Ben McDermott c †Hope b Cottrell 0 (2b 0x4 0x6 5m) SR: 0",Cottrell,McDermott,0.0,0,0,1,1,0.0,1,c †Hope b Cottrell,0
"0.5 
• 
Cottrell to Marsh, no run 
knee high full toss on fourth stump, Marsh cautious starting off and pats it back gently 
rather than punishing it.",0.5,0,0.0,"Cottrell to Marsh, no run  .knee high full toss on fourth stump, Marsh cautious starting off and pats it back gently  .rather than punishing it.",Cottrell,Marsh,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Cottrell to Marsh, no run 
full on off stump, firm drive back past Cottrell but it's cut off at mid-on. 
David: ""Surprising WI allowed aus to change team, I thought teams like to be ruthless"". 
Definitely no one in the West Indies team today who graduated from the ""Cobra Kai"" 
school of ""No Mercy! Strike First! Strike Hard!"" Well, maybe not the no mercy bit, but 
they've struck first today. 
end of over 1Wicket maiden 
AUS: 1/1CRR: 1.00  
Mitchell Marsh0 (2b) 
Josh Philippe0 (2b) 
Sheldon Cottrell 1-1-0-1 
Holder has the new ball from the opposite end.",0.6,0,0.0,"Cottrell to Marsh, no run  .full on off stump, firm drive back past Cottrell but it's cut off at mid-on.",Cottrell,Marsh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Holder to Philippe, no run 
good length ball on fifth stump, left alone.",1.1,0,0.0,"Holder to Philippe, no run  .good length ball on fifth stump, left alone.",Holder,Philippe,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Holder to Philippe, no run 
back of a length on off at 129 kph, Philippe gets in line to defend.",1.2,0,0.0,"Holder to Philippe, no run  .back of a length on off at 129 kph, Philippe gets in line to defend.",Holder,Philippe,0.0,0,0,1,1,0.0,0,,0
"1.3 
2 
Holder to Philippe, 2 runs 
back of a length on middle at 127 kph, flicks this off the stumps through midwicket.",1.3,2,2.0,"Holder to Philippe, 2 runs  .back of a length on middle at 127 kph, flicks this off the stumps through midwicket.",Holder,Philippe,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Holder to Philippe, no run 
back of a length outside off stump, left alone to Hope behind the stumps.",1.4,0,0.0,"Holder to Philippe, no run  .back of a length outside off stump, left alone to Hope behind the stumps.",Holder,Philippe,0.0,0,0,1,1,0.0,0,,0
