raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Starc to Lewis, 1 wide 
full and swinging down leg at 144 kph. Extra marks the first run of the match.",0.1,1w,1.0,"Starc to Lewis, 1 wide  .full and swinging down leg at 144 kph. Extra marks the first run of the match.",Starc,Lewis,0.0,0,0,0,0,1.0,0,,1
"0.1 
1lb 
Starc to Lewis, 1 leg bye 
full and tailing into leg stump at 148 kph, Lewis overbalances missing a flick and it 
comes off his pads behind square for a leg bye.",0.1,1lb,1.0,"Starc to Lewis, 1 leg bye  .full and tailing into leg stump at 148 kph, Lewis overbalances missing a flick and it  .comes off his pads behind square for a leg bye.",Starc,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.2 
2 
Starc to Hope, 2 runs 
full inswinger on fifth stump at 144 kph, Hope punches this straight down the ground 
past mid-off for a pair, not timed well enough to reach the rope.",0.2,2,2.0,"Starc to Hope, 2 runs  .full inswinger on fifth stump at 144 kph, Hope punches this straight down the ground  .past mid-off for a pair, not timed well enough to reach the rope.",Starc,Hope,2.0,0,0,1,1,2.0,0,,1
"0.3 
• 
Starc to Hope, no run 
full and wider on sixth stump, Hope miscues a drive into the off side ring.",0.3,0,0.0,"Starc to Hope, no run  .full and wider on sixth stump, Hope miscues a drive into the off side ring.",Starc,Hope,0.0,0,0,1,1,0.0,0,,0
"0.4 
3 
Starc to Hope, 3 runs 
full on fourth stump at 142 kph, punched on the up back down the ground again and 
Wade chases from mid-off to corral it before the rope for three.",0.4,3,3.0,"Starc to Hope, 3 runs  .full on fourth stump at 142 kph, punched on the up back down the ground again and  .Wade chases from mid-off to corral it before the rope for three.",Starc,Hope,3.0,0,0,1,1,3.0,0,,1
"0.5 
• 
Starc to Lewis, no run 
good length ball on off stump at 147 kph, defended back to Starc.",0.5,0,0.0,"Starc to Lewis, no run  .good length ball on off stump at 147 kph, defended back to Starc.",Starc,Lewis,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Starc to Lewis, no run 
good length ball on middle stump at 143 kph, defended to mid-on. 
Kent: ""What in God's name is Darren Bravo doing on the team. Instead of dropping 
Mohammed they should have dropped Darren. He is a completely waste of time and 
money. Terrible choice"". Looks like some of you West Indies fans are still unhappy with 
team selection. 
end of over 17 runs  
WI: 7/0CRR: 7.00  
Evin Lewis0 (3b) 
Shai Hope5 (3b) 
Mitchell Starc 1-0-6-0 
Hazlewood takes the new ball opposite Starc. Over the stumps to Hope.",0.6,0,0.0,"Starc to Lewis, no run  .good length ball on middle stump at 143 kph, defended to mid-on.",Starc,Lewis,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Hazlewood to Hope, no run 
good length ball on seventh stump at 139 kph, left alone.",1.1,0,0.0,"Hazlewood to Hope, no run  .good length ball on seventh stump at 139 kph, left alone.",Hazlewood,Hope,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Hazlewood to Hope, no run 
back of a length on fourth stump, defended to cover.",1.2,0,0.0,"Hazlewood to Hope, no run  .back of a length on fourth stump, defended to cover.",Hazlewood,Hope,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hazlewood to Hope, no run 
full on seventh stump, Hope reaches out and drives square to backward point.",1.3,0,0.0,"Hazlewood to Hope, no run  .full on seventh stump, Hope reaches out and drives square to backward point.",Hazlewood,Hope,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hazlewood to Hope, no run 
back of a length on sixth stump swinging away and left alone.",1.4,0,0.0,"Hazlewood to Hope, no run  .back of a length on sixth stump swinging away and left alone.",Hazlewood,Hope,0.0,0,0,1,1,0.0,0,,0
