raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Farooqi starts off with a pitched up outswinger outside off that Naim eases to point 
with the open face 
Shahab: ""My prediction about this match, Bangladesh win by 60 to 70 runs""",0.1,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Farooqi starts off with a pitched up outswinger outside off that Naim eases to point  .with the open face",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Fazalhaq Farooqi to Mohammad Naim, FOUR runs 
Pulls back his length just a little and that's enough for Naim to free his arms and slap it 
away square. Backward point falls to his left but can't stop it and the ball races away for 
the first boundary of the game",0.2,4,4.0,"Fazalhaq Farooqi to Mohammad Naim, FOUR runs  .Pulls back his length just a little and that's enough for Naim to free his arms and slap it  .away square. Backward point falls to his left but can't stop it and the ball races away for  .the first boundary of the game",Fazalhaq Farooqi,Mohammad Naim,4.0,1,0,1,1,4.0,0,,1
"0.3 
5w 
Fazalhaq Farooqi to Mohammad Naim, 5 wide 
Uh oh. That's wayward from Farooqi. Looks for the inswinger but ends up firing it full 
down leg and Gurbaz can't stop that",0.3,5w,5.0,"Fazalhaq Farooqi to Mohammad Naim, 5 wide  .Uh oh. That's wayward from Farooqi. Looks for the inswinger but ends up firing it full  .down leg and Gurbaz can't stop that",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,0,0,5.0,0,,1
"0.3 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Goes back to the outswinger, full outside off and Naim shoulders arms",0.3,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Goes back to the outswinger, full outside off and Naim shoulders arms",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Fazalhaq Farooqi to Mohammad Naim, no run 
Full on middle now and Naim defends",0.4,0,0.0,"Fazalhaq Farooqi to Mohammad Naim, no run  .Full on middle now and Naim defends",Fazalhaq Farooqi,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Fazalhaq Farooqi to Mohammad Naim, FOUR runs 
Edge doesn't carry but it goes through slips for four! Length ball outside off and Naim 
looks for the cut again. Ends up under-edging it that bounces just before the cordon and 
goes between first and second slip",0.5,4,4.0,"Fazalhaq Farooqi to Mohammad Naim, FOUR runs  .Edge doesn't carry but it goes through slips for four! Length ball outside off and Naim  .looks for the cut again. Ends up under-edging it that bounces just before the cordon and  .goes between first and second slip",Fazalhaq Farooqi,Mohammad Naim,4.0,1,0,1,1,4.0,0,,1
"0.6 
1 
Fazalhaq Farooqi to Mohammad Naim, 1 run 
Good outswinger outside off but Naim punches it out to point to end the over with a 
single. Good start for Bangladesh 
end of over 114 runs  
BAN: 14/0CRR: 14.00  
Mohammad Naim9 (6b 2x4) 
Mehidy Hasan Miraz0 (0b) 
Fazalhaq Farooqi 1-0-14-0 
Mujeeb Ur Rahman to share the new ball",0.6,1,1.0,"Fazalhaq Farooqi to Mohammad Naim, 1 run  .Good outswinger outside off but Naim punches it out to point to end the over with a  .single. Good start for Bangladesh",Fazalhaq Farooqi,Mohammad Naim,1.0,0,0,1,1,1.0,0,,1
"1.1 
2 
Mujeeb to Mohammad Naim, 2 runs 
Mujeeb starts off by throwing it up wide and Naim cuts in front of point. Doesn't have 
the legs to go all the way and the batters pick up two",1.1,2,2.0,"Mujeeb to Mohammad Naim, 2 runs  .Mujeeb starts off by throwing it up wide and Naim cuts in front of point. Doesn't have  .the legs to go all the way and the batters pick up two",Mujeeb,Mohammad Naim,2.0,0,0,1,1,2.0,0,,1
"1.2 
• 
Mujeeb to Mohammad Naim, no run 
Fuller outside off, Naim eases it to point",1.2,0,0.0,"Mujeeb to Mohammad Naim, no run  .Fuller outside off, Naim eases it to point",Mujeeb,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Mujeeb to Mohammad Naim, 1 run 
On a length outside off, slow through the air, and Naim punches it out to point where a 
fumble lets the batters steal a single 
Ibrahim Omer: ""My prediction is Bangladesh scoring a 350 plus total with Naim and 
Shakib scoring hundreds.""",1.3,1,1.0,"Mujeeb to Mohammad Naim, 1 run  .On a length outside off, slow through the air, and Naim punches it out to point where a  .fumble lets the batters steal a single",Mujeeb,Mohammad Naim,1.0,0,0,1,1,1.0,0,,1
