raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Anderson to Tamim, 2 runs 
short ball, which is revealing, might not be many in Tamim's half. Slow pitch to do that 
on. Worked off the arm around the corner towards fine leg",0.1,2,2.0,"Anderson to Tamim, 2 runs  .short ball, which is revealing, might not be many in Tamim's half. Slow pitch to do that  .on. Worked off the arm around the corner towards fine leg",Anderson,Tamim,2.0,0,0,1,1,2.0,0,,1
"0.2 
1lb 
Anderson to Tamim, 1 leg bye 
again Anderson is back of a length and trying to tuck Tamim for space, looks like it 
comes off the pads and bobbles towards Prior",0.2,1lb,1.0,"Anderson to Tamim, 1 leg bye  .again Anderson is back of a length and trying to tuck Tamim for space, looks like it  .comes off the pads and bobbles towards Prior",Anderson,Tamim,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Anderson to Imrul, no run 
Imrul also likes to have a dash but here he is a picture of resistance, waving Anderson 
through to the keeper",0.3,0,0.0,"Anderson to Imrul, no run  .Imrul also likes to have a dash but here he is a picture of resistance, waving Anderson  .through to the keeper",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Anderson to Imrul, no run 
Anderson finds some early swing and celebrates by appealing as Imrul is struck high on 
the pad. The umpire indicates it was going over, it was",0.4,0,0.0,"Anderson to Imrul, no run  .Anderson finds some early swing and celebrates by appealing as Imrul is struck high on  .the pad. The umpire indicates it was going over, it was",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Anderson to Imrul, no run 
touch of swing again, that will keep Anderson smiling. Imrul is rooted to the crease a 
touch and defending with his hands",0.5,0,0.0,"Anderson to Imrul, no run  .touch of swing again, that will keep Anderson smiling. Imrul is rooted to the crease a  .touch and defending with his hands",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Anderson to Imrul, no run 
again Imrul is defeated by swing as the ball bends past his inside edge and crashes into 
his thigh 
Good start from Anderson but no first-over disaster for Bangladesh. 
end of over 13 runs  
BAN: 3/0CRR: 3.00 • RRR: 4.55 
Imrul Kayes0 (4b) 
Tamim Iqbal2 (2b) 
James Anderson 1-0-2-0 
With Stuart Broad out injured it's the wild-eyed Ajmal Shahzad, he's getting plenty of 
advice from Anderson.",0.6,0,0.0,"Anderson to Imrul, no run  .again Imrul is defeated by swing as the ball bends past his inside edge and crashes into  .his thigh  .Good start from Anderson but no first-over disaster for Bangladesh.",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shahzad to Tamim, no run 
starts tidily enough, searching for swing at a full length outside off stump",1.1,0,0.0,"Shahzad to Tamim, no run  .starts tidily enough, searching for swing at a full length outside off stump",Shahzad,Tamim,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Shahzad to Tamim, 2 runs 
this is close enough for Tamim and he flicks with the around-the-wicket angle through 
the leg side for a couple",1.2,2,2.0,"Shahzad to Tamim, 2 runs  .this is close enough for Tamim and he flicks with the around-the-wicket angle through  .the leg side for a couple",Shahzad,Tamim,2.0,0,0,1,1,2.0,0,,1
"1.3 
3 
Shahzad to Tamim, 3 runs 
flick of the wrists earns Tamim three, would have been four but for an excellent full-
length slide along the square-leg boundary from Morgan. It was full around middle and 
off and Tamim just whipped his wrists through the delivery",1.3,3,3.0,"Shahzad to Tamim, 3 runs  .flick of the wrists earns Tamim three, would have been four but for an excellent full- .length slide along the square-leg boundary from Morgan. It was full around middle and  .off and Tamim just whipped his wrists through the delivery",Shahzad,Tamim,3.0,0,0,1,1,3.0,0,,1
"1.4 
1 
Shahzad to Imrul, 1 run 
Imrul apes Tamim, though without the same panache and works a single towards 
square leg",1.4,1,1.0,"Shahzad to Imrul, 1 run  .Imrul apes Tamim, though without the same panache and works a single towards  .square leg",Shahzad,Imrul,1.0,0,0,1,1,1.0,0,,1
"1.5 
1 
Shahzad to Tamim, 1 run 
not the right place to bowl really, on the pads and Tamim can help himself to a single 
Shahzad is absolutely drenched in sweat, he looks almost as worn out as Shoaib.",1.5,1,1.0,"Shahzad to Tamim, 1 run  .not the right place to bowl really, on the pads and Tamim can help himself to a single  .Shahzad is absolutely drenched in sweat, he looks almost as worn out as Shoaib.",Shahzad,Tamim,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Shahzad to Imrul, no run 
beaten! Much better delivery here, lands just outside off and zips away past a groping 
outside edge 
end of over 27 runs  
BAN: 10/0CRR: 5.00 • RRR: 4.50 
Imrul Kayes1 (6b) 
Tamim Iqbal8 (6b) 
Ajmal Shahzad 1-0-7-0 
James Anderson 1-0-2-0",1.6,0,0.0,"Shahzad to Imrul, no run  .beaten! Much better delivery here, lands just outside off and zips away past a groping  .outside edge",Shahzad,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Anderson to Tamim, no run 
good work from Anderson, hammering that back of a length and leaving Tamim with no 
room to cut",2.1,0,0.0,"Anderson to Tamim, no run  .good work from Anderson, hammering that back of a length and leaving Tamim with no  .room to cut",Anderson,Tamim,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Anderson to Tamim, 1 run 
all the best batsmen are good judges of a single and Tamim is one of the best, drops 
this to mid-off and scoots off",2.2,1,1.0,"Anderson to Tamim, 1 run  .all the best batsmen are good judges of a single and Tamim is one of the best, drops  .this to mid-off and scoots off",Anderson,Tamim,1.0,0,0,1,1,1.0,0,,1
"2.3 
• 
Anderson to Imrul, no run 
Anderson is holding his length and line outside off stump, Imrul shapes to play before 
deciding against it",2.3,0,0.0,"Anderson to Imrul, no run  .Anderson is holding his length and line outside off stump, Imrul shapes to play before  .deciding against it",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Anderson to Imrul, no run 
shorter delivery but the line remains impeccable",2.4,0,0.0,"Anderson to Imrul, no run  .shorter delivery but the line remains impeccable",Anderson,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Anderson to Imrul, 1 run 
ball carrying through quite nicely off the dewy surface and slides off the edge to third 
man",2.5,1,1.0,"Anderson to Imrul, 1 run  .ball carrying through quite nicely off the dewy surface and slides off the edge to third  .man",Anderson,Imrul,1.0,0,0,1,1,1.0,0,,1
"2.6 
4 
Anderson to Tamim, FOUR runs 
oh no, Bopara fluffs a save on the fine leg boundary and turns one into four! It wasn't a 
great deliver - shoved down the leg side - but Tamim's work didn't deserve four. Bopara 
just overran it a touch 
end of over 36 runs  
BAN: 16/0CRR: 5.33 • RRR: 4.46 
Tamim Iqbal13 (9b 1x4) 
Imrul Kayes2 (9b) 
James Anderson 2-0-8-0 
Ajmal Shahzad 1-0-7-0",2.6,4,4.0,"Anderson to Tamim, FOUR runs  .oh no, Bopara fluffs a save on the fine leg boundary and turns one into four! It wasn't a  .great deliver - shoved down the leg side - but Tamim's work didn't deserve four. Bopara  .just overran it a touch",Anderson,Tamim,4.0,1,0,1,1,4.0,0,,1
"3.1 
1 
Shahzad to Imrul, 1 run 
another thickish edge earns Imrul a single",3.1,1,1.0,"Shahzad to Imrul, 1 run  .another thickish edge earns Imrul a single",Shahzad,Imrul,1.0,0,0,1,1,1.0,0,,1
