raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Hasan Mahmud to Doheny, no run 
Length ball around off, pushes to backward point",0.1,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball around off, pushes to backward point",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Hasan Mahmud to Doheny, no run 
Full length outside off, driven to point-cover",0.2,0,0.0,"Hasan Mahmud to Doheny, no run  .Full length outside off, driven to point-cover",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Hasan Mahmud to Doheny, no run 
Full length pitched outside off, defended to point",0.3,0,0.0,"Hasan Mahmud to Doheny, no run  .Full length pitched outside off, defended to point",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Hasan Mahmud to Doheny, no run 
Length ball on off and middle, looks to defends and gets hit on the pads",0.4,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball on off and middle, looks to defends and gets hit on the pads",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Hasan Mahmud to Doheny, no run 
Doheny gone! Full length outside off, looks to defend and misses. DRS confirms it's not 
out as it is missing the wicket - extra bounce",0.5,0,0.0,"Hasan Mahmud to Doheny, no run  .Doheny gone! Full length outside off, looks to defend and misses. DRS confirms it's not  .out as it is missing the wicket - extra bounce",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.6 
2 
Hasan Mahmud to Doheny, 2 runs 
Full length on middle, helps it to deep fine leg for two 
end of over 12 runs  
IRE: 2/0CRR: 2.00 • RRR: 5.00 • Need 245 runs from 49 overs 
Stephen Doheny2 (6b) 
Paul Stirling0 (0b) 
Hasan Mahmud 1-0-2-0 
Shoriful to bowl from the other end. Two slips to continue",0.6,2,2.0,"Hasan Mahmud to Doheny, 2 runs  .Full length on middle, helps it to deep fine leg for two",Hasan Mahmud,Doheny,2.0,0,0,1,1,2.0,0,,1
"1.1 
• 
Shoriful Islam to Stirling, no run 
Length ball pitched wide of off, Stirling lets it go",1.1,0,0.0,"Shoriful Islam to Stirling, no run  .Length ball pitched wide of off, Stirling lets it go",Shoriful Islam,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Shoriful Islam to Stirling, 1 run 
Fuller outside off, inside-edges to square leg as he tries to go for a drive",1.2,1,1.0,"Shoriful Islam to Stirling, 1 run  .Fuller outside off, inside-edges to square leg as he tries to go for a drive",Shoriful Islam,Stirling,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Shoriful Islam to Doheny, no run 
Full length outside off, defended with soft hands on the backfoot",1.3,0,0.0,"Shoriful Islam to Doheny, no run  .Full length outside off, defended with soft hands on the backfoot",Shoriful Islam,Doheny,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Shoriful Islam to Doheny, FOUR runs 
Full length outside off, driven through offside to beat the backward point for four. Third 
man couldn't stop the boundary",1.4,4,4.0,"Shoriful Islam to Doheny, FOUR runs  .Full length outside off, driven through offside to beat the backward point for four. Third  .man couldn't stop the boundary",Shoriful Islam,Doheny,4.0,1,0,1,1,4.0,0,,1
