raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Hasan Mahmud to Doheny, no run 
Back of a length ball to start, outside off with a bit of movement away. 136 kph. Doheny 
goes back and punches it towards cover-point.",0.1,0,0.0,"Hasan Mahmud to Doheny, no run  .Back of a length ball to start, outside off with a bit of movement away. 136 kph. Doheny  .goes back and punches it towards cover-point.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Hasan Mahmud to Doheny, no run 
Length ball on off, he gets behind it and defends it towards the off side.",0.2,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball on off, he gets behind it and defends it towards the off side.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Hasan Mahmud to Doheny, no run 
Lifts off a length, bowled at 136 kph again, he punches it to backward point.",0.3,0,0.0,"Hasan Mahmud to Doheny, no run  .Lifts off a length, bowled at 136 kph again, he punches it to backward point.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Hasan Mahmud to Doheny, no run 
Jags away from a length outside off, he looks to punch but gets it off the toe end 
towards the bowler.",0.4,0,0.0,"Hasan Mahmud to Doheny, no run  .Jags away from a length outside off, he looks to punch but gets it off the toe end  .towards the bowler.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Hasan Mahmud to Doheny, 1 run 
Back of a length outside off, he stands back and punches it past backward point.",0.5,1,1.0,"Hasan Mahmud to Doheny, 1 run  .Back of a length outside off, he stands back and punches it past backward point.",Hasan Mahmud,Doheny,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Hasan Mahmud to Stirling, 1 run 
Length ball angling in on the pads, turns it off his hips through backward square leg to 
get off the mark. 
end of over 12 runs  
IRE: 2/0CRR: 2.00 • RRR: 5.57 • Need 273 runs from 49 overs 
Paul Stirling1 (1b) 
Stephen Doheny1 (5b) 
Hasan Mahmud 1-0-2-0 
Mustafizur Rahman is back in the XI and will take the second new ball from the other 
end. Two slips stay for Stirling.",0.6,1,1.0,"Hasan Mahmud to Stirling, 1 run  .Length ball angling in on the pads, turns it off his hips through backward square leg to  .get off the mark.",Hasan Mahmud,Stirling,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Mustafizur to Stirling, no run 
A hint of shape in at 113 kph, on a length. He gets half-forward and defends it towards 
cover.",1.1,0,0.0,"Mustafizur to Stirling, no run  .A hint of shape in at 113 kph, on a length. He gets half-forward and defends it towards  .cover.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Mustafizur to Stirling, no run 
Angling away on a length, he charges down and gets the defensive blade down, to play 
it towards point.",1.2,0,0.0,"Mustafizur to Stirling, no run  .Angling away on a length, he charges down and gets the defensive blade down, to play  .it towards point.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Mustafizur to Stirling, no run 
Fuller around off and middle, defends it from the crease.",1.3,0,0.0,"Mustafizur to Stirling, no run  .Fuller around off and middle, defends it from the crease.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Mustafizur to Stirling, no run 
Bowls it on a length around middle and leg and slants it away. Blocks it towards cover.",1.4,0,0.0,"Mustafizur to Stirling, no run  .Bowls it on a length around middle and leg and slants it away. Blocks it towards cover.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Mustafizur to Stirling, no run 
Looks to punch this length ball away but gets it back towards the bowler off the inner 
half.",1.5,0,0.0,"Mustafizur to Stirling, no run  .Looks to punch this length ball away but gets it back towards the bowler off the inner  .half.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.6 
1lb 
Mustafizur to Stirling, 1 leg bye 
Back of a length on the hips, goes off the pads towards square leg after he misses the 
flick. 
end of over 2Maiden 
IRE: 3/0CRR: 1.50 • RRR: 5.66 • Need 272 runs from 48 overs 
Paul Stirling1 (7b) 
Stephen Doheny1 (5b) 
Mustafizur Rahman 1-1-0-0 
Hasan Mahmud 1-0-2-0",1.6,1lb,1.0,"Mustafizur to Stirling, 1 leg bye  .Back of a length on the hips, goes off the pads towards square leg after he misses the  .flick.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"2.1 
1w 
Hasan Mahmud to Stirling, 1 wide 
Full and down leg, misses the flick.",2.1,1w,1.0,"Hasan Mahmud to Stirling, 1 wide  .Full and down leg, misses the flick.",Hasan Mahmud,Stirling,0.0,0,0,0,0,1.0,0,,1
"2.1 
1lb 
Hasan Mahmud to Stirling, 1 leg bye 
Full on the pads, misses the flick and it rolls off the pads to fine leg.",2.1,1lb,1.0,"Hasan Mahmud to Stirling, 1 leg bye  .Full on the pads, misses the flick and it rolls off the pads to fine leg.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Hasan Mahmud to Doheny, no run 
Length ball on off and middle, hops and defends it back.",2.2,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball on off and middle, hops and defends it back.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Hasan Mahmud to Doheny, no run 
Length ball outside off at 133 kph, swings further away. He is in his crease and throws 
his hand at that but misses.",2.3,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball outside off at 133 kph, swings further away. He is in his crease and throws  .his hand at that but misses.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Hasan Mahmud to Doheny, no run 
Length ball on the fourth-stump channel, defended back from the crease.",2.4,0,0.0,"Hasan Mahmud to Doheny, no run  .Length ball on the fourth-stump channel, defended back from the crease.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"2.5 
1lb 
Hasan Mahmud to Doheny, 1 leg bye 
Another leg bye. Length ball on middle and leg, he misses the tuck.",2.5,1lb,1.0,"Hasan Mahmud to Doheny, 1 leg bye  .Another leg bye. Length ball on middle and leg, he misses the tuck.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Hasan Mahmud to Stirling, no run 
Beauty! Back of a length outside off, he plays inside the line and gets beaten. 
end of over 33 runs  
IRE: 6/0CRR: 2.00 • RRR: 5.72 • Need 269 runs from 47 overs 
Paul Stirling1 (9b) 
Stephen Doheny1 (9b) 
Hasan Mahmud 2-0-3-0 
Mustafizur Rahman 1-1-0-0",2.6,0,0.0,"Hasan Mahmud to Stirling, no run  .Beauty! Back of a length outside off, he plays inside the line and gets beaten.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.1 
1 
Mustafizur to Doheny, 1 run 
Full and angling away, goes for the drive but gets a thick outside edge to deep third.",3.1,1,1.0,"Mustafizur to Doheny, 1 run  .Full and angling away, goes for the drive but gets a thick outside edge to deep third.",Mustafizur,Doheny,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Mustafizur to Stirling, no run 
Beats him! Bowls it on a length across him, has him fish at that but goes past the 
outside edge.",3.2,0,0.0,"Mustafizur to Stirling, no run  .Beats him! Bowls it on a length across him, has him fish at that but goes past the  .outside edge.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Mustafizur to Stirling, no run 
Driving length at 134 kph, going away from him. He goes for the drive with little 
footwork and gets beaten on the outside edge.",3.3,0,0.0,"Mustafizur to Stirling, no run  .Driving length at 134 kph, going away from him. He goes for the drive with little  .footwork and gets beaten on the outside edge.",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.4 
1 
Mustafizur to Stirling, 1 run 
Full and shaping in a touch. He goes for the drive back but gets it off the inner half. 
Tamim runs to his right from mid-on, dives and keeps them to one. Seems to have 
landed a tad awkwardly.",3.4,1,1.0,"Mustafizur to Stirling, 1 run  .Full and shaping in a touch. He goes for the drive back but gets it off the inner half.  .Tamim runs to his right from mid-on, dives and keeps them to one. Seems to have  .landed a tad awkwardly.",Mustafizur,Stirling,1.0,0,0,1,1,1.0,0,,1
"3.5 
1w 
Mustafizur to Doheny, 1 wide 
Length ball outside off, he misses the flick.",3.5,1w,1.0,"Mustafizur to Doheny, 1 wide  .Length ball outside off, he misses the flick.",Mustafizur,Doheny,0.0,0,0,0,0,1.0,0,,1
"3.5 
1 
Mustafizur to Doheny, 1 run 
Throws his hand at that full ball outside off, gets a thick outside edge to deep third.",3.5,1,1.0,"Mustafizur to Doheny, 1 run  .Throws his hand at that full ball outside off, gets a thick outside edge to deep third.",Mustafizur,Doheny,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Mustafizur to Stirling, no run 
Fuller on middle and leg, defensively pushed to mid-off with a ""no run"" shout. 
end of over 44 runs  
IRE: 10/0CRR: 2.50 • RRR: 5.76 • Need 265 runs from 46 overs 
Paul Stirling2 (13b) 
Stephen Doheny3 (11b) 
Mustafizur Rahman 2-1-4-0 
Hasan Mahmud 2-0-3-0",3.6,0,0.0,"Mustafizur to Stirling, no run",Mustafizur,Stirling,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Hasan Mahmud to Doheny, no run 
Outside off on a length, looks to cut but gets a bottom edge towards the keeper.",4.1,0,0.0,"Hasan Mahmud to Doheny, no run  .Outside off on a length, looks to cut but gets a bottom edge towards the keeper.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Hasan Mahmud to Doheny, no run 
Once again gets behind that and defends it towards cover.",4.2,0,0.0,"Hasan Mahmud to Doheny, no run  .Once again gets behind that and defends it towards cover.",Hasan Mahmud,Doheny,0.0,0,0,1,1,0.0,0,,0
"4.3 
1 
Hasan Mahmud to Doheny, 1 run 
Angles it in on a length, looks to punch but gets an inside edge to fine leg.",4.3,1,1.0,"Hasan Mahmud to Doheny, 1 run  .Angles it in on a length, looks to punch but gets an inside edge to fine leg.",Hasan Mahmud,Doheny,1.0,0,0,1,1,1.0,0,,1
"4.4 
4lb 
Hasan Mahmud to Stirling, 4 leg byes 
Angles it on the pads, Stirling thinks of flinking it but just evades it. The ball goes off his 
thigh pads to the fine leg ropes.",4.4,4lb,4.0,"Hasan Mahmud to Stirling, 4 leg byes  .Angles it on the pads, Stirling thinks of flinking it but just evades it. The ball goes off his  .thigh pads to the fine leg ropes.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"4.5 
2 
Hasan Mahmud to Stirling, 2 runs 
Intent from Stirling now. Charges down and thumps this over midwicket. But the ball 
plonks out the outfield and rolls towards the ropes before Chowdhury pulls it back. 
See all photos",4.5,2,2.0,"Hasan Mahmud to Stirling, 2 runs  .Intent from Stirling now. Charges down and thumps this over midwicket. But the ball  .plonks out the outfield and rolls towards the ropes before Chowdhury pulls it back.  .See all photos",Hasan Mahmud,Stirling,2.0,0,0,1,1,2.0,0,,1
"4.6 
• 
Hasan Mahmud to Stirling, no run 
Walks down to the length ball again but lets it hit his thigh guard and roll to the on side. 
end of over 57 runs  
IRE: 17/0CRR: 3.40 • RRR: 5.73 • Need 258 runs from 45 overs 
Paul Stirling4 (16b) 
Stephen Doheny4 (14b) 
Hasan Mahmud 3-0-6-0 
Mustafizur Rahman 2-1-4-0",4.6,0,0.0,"Hasan Mahmud to Stirling, no run  .Walks down to the length ball again but lets it hit his thigh guard and roll to the on side.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Mustafizur to Doheny, no run 
Angles it away on a length, he plays inside the line and it goes past the outside edge.",5.1,0,0.0,"Mustafizur to Doheny, no run  .Angles it away on a length, he plays inside the line and it goes past the outside edge.",Mustafizur,Doheny,0.0,0,0,1,1,0.0,0,,0
"5.2 
W 
Mustafizur to Doheny, OUT 
Regulation catch to second slip and The Fizz is on the board! Doheny was never at 
ease in the middle. Another ball angled across him on a fullish length. He push-drives at 
it. Gets a thick outside edge that travels to Litton's lap. Bangladesh strike early. 
Stephen Doheny c Litton Das b Mustafizur Rahman 4 (16b 0x4 0x6 23m) SR: 25 
Previous 
Next 
See all photos 
Andy Balbirnie, the Ireland captain, walks out to the middle.",5.2,W,0.0,"Mustafizur to Doheny, OUT  .Regulation catch to second slip and The Fizz is on the board! Doheny was never at  .ease in the middle. Another ball angled across him on a fullish length. He push-drives at  .it. Gets a thick outside edge that travels to Litton's lap. Bangladesh strike early.  .Stephen Doheny c Litton Das b Mustafizur Rahman 4 (16b 0x4 0x6 23m) SR: 25",Mustafizur,Doheny,0.0,0,0,1,1,0.0,1,c Litton Das b Mustafizur Rahman,0
"5.3 
• 
Mustafizur to Balbirnie, no run 
Fuller on the stumps, he defensively pushes it back to the bowler.",5.3,0,0.0,"Mustafizur to Balbirnie, no run  .Fuller on the stumps, he defensively pushes it back to the bowler.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
Mustafizur to Balbirnie, no run 
Length ball landing outside leg, angling towards middle and off, defended towards 
cover.",5.4,0,0.0,"Mustafizur to Balbirnie, no run  .Length ball landing outside leg, angling towards middle and off, defended towards  .cover.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"5.5 
4 
Mustafizur to Balbirnie, FOUR runs 
Clipped away through midwicket! First four off the bat. Full and on the pads, he flicks it 
through midwicket off the meat.",5.5,4,4.0,"Mustafizur to Balbirnie, FOUR runs  .Clipped away through midwicket! First four off the bat. Full and on the pads, he flicks it  .through midwicket off the meat.",Mustafizur,Balbirnie,4.0,1,0,1,1,4.0,0,,1
"5.6 
• 
Mustafizur to Balbirnie, no run 
Angles this away on a length, he covers the stumps and shoulders arms. 
end of over 64 runs • 1 wicket 
IRE: 21/1CRR: 3.50 • RRR: 5.77 • Need 254 runs from 44 overs 
Andy Balbirnie4 (4b 1x4) 
Paul Stirling4 (16b) 
Mustafizur Rahman 3-1-8-1 
Hasan Mahmud 3-0-6-0",5.6,0,0.0,"Mustafizur to Balbirnie, no run  .Angles this away on a length, he covers the stumps and shoulders arms.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Hasan Mahmud to Stirling, no run 
Length ball around off, gets forward and defends it towards mid-on.",6.1,0,0.0,"Hasan Mahmud to Stirling, no run  .Length ball around off, gets forward and defends it towards mid-on.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"6.2 
4 
Hasan Mahmud to Stirling, FOUR runs 
Thrashed! Short of length and outside off, there is a bit of away movement as well. 
Allows Stirling to free his arms and hit it well over backward point.",6.2,4,4.0,"Hasan Mahmud to Stirling, FOUR runs  .Thrashed! Short of length and outside off, there is a bit of away movement as well.  .Allows Stirling to free his arms and hit it well over backward point.",Hasan Mahmud,Stirling,4.0,1,0,1,1,4.0,0,,1
"6.3 
4 
Hasan Mahmud to Stirling, FOUR runs 
The umpire has to take cover! This is full in length on the stumps, Stirling takes a couple 
of steps down and hits it right back. The ump moves to his left and lets it pass.",6.3,4,4.0,"Hasan Mahmud to Stirling, FOUR runs  .The umpire has to take cover! This is full in length on the stumps, Stirling takes a couple  .of steps down and hits it right back. The ump moves to his left and lets it pass.",Hasan Mahmud,Stirling,4.0,1,0,1,1,4.0,0,,1
"6.4 
• 
Hasan Mahmud to Stirling, no run 
Full and outside off, digs it out towards cover.",6.4,0,0.0,"Hasan Mahmud to Stirling, no run  .Full and outside off, digs it out towards cover.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Hasan Mahmud to Stirling, no run 
Full on the pads, he looks to work it away but gets it off the leading edge to cover.",6.5,0,0.0,"Hasan Mahmud to Stirling, no run  .Full on the pads, he looks to work it away but gets it off the leading edge to cover.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Hasan Mahmud to Stirling, no run 
Fuller around off, lunges and defends it towards point. 
Iftu: ""Wonderful to see how Stirling is taking on Hasan"" 
end of over 78 runs  
IRE: 29/1CRR: 4.14 • RRR: 5.72 • Need 246 runs from 43 overs 
Paul Stirling12 (22b 2x4) 
Andy Balbirnie4 (4b 1x4) 
Hasan Mahmud 4-0-14-0 
Mustafizur Rahman 3-1-8-1",6.6,0,0.0,"Hasan Mahmud to Stirling, no run  .Fuller around off, lunges and defends it towards point.",Hasan Mahmud,Stirling,0.0,0,0,1,1,0.0,0,,0
"7.1 
• 
Mustafizur to Balbirnie, no run 
Length ball angling away, he punches it towards cover.",7.1,0,0.0,"Mustafizur to Balbirnie, no run  .Length ball angling away, he punches it towards cover.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"7.2 
• 
Mustafizur to Balbirnie, no run 
Another one on a length on middle and leg, he gets behind it and pushes it defensively 
to mid-off.",7.2,0,0.0,"Mustafizur to Balbirnie, no run  .Another one on a length on middle and leg, he gets behind it and pushes it defensively  .to mid-off.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"7.3 
4 
Mustafizur to Balbirnie, FOUR runs 
Super shot. Full and outside off, he leans into that and drives it crisply through covers.",7.3,4,4.0,"Mustafizur to Balbirnie, FOUR runs  .Super shot. Full and outside off, he leans into that and drives it crisply through covers.",Mustafizur,Balbirnie,4.0,1,0,1,1,4.0,0,,1
"7.4 
• 
Mustafizur to Balbirnie, no run 
Length ball around middle and leg, he goes back and pushes it towards mid-on.",7.4,0,0.0,"Mustafizur to Balbirnie, no run  .Length ball around middle and leg, he goes back and pushes it towards mid-on.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"7.5 
• 
Mustafizur to Balbirnie, no run 
Goes back and keeps it out towards cover-point. 
Around the stumps now.",7.5,0,0.0,"Mustafizur to Balbirnie, no run  .Goes back and keeps it out towards cover-point.  .Around the stumps now.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"7.6 
• 
Mustafizur to Balbirnie, no run 
Bowls it on a length on off and middle, clipped to midwicket. 
end of over 84 runs  
IRE: 33/1CRR: 4.12 • RRR: 5.76 • Need 242 runs from 42 overs 
Andy Balbirnie8 (10b 2x4) 
Paul Stirling12 (22b 2x4) 
Mustafizur Rahman 4-1-12-1 
Hasan Mahmud 4-0-14-0 
Ebadot Hossain has the ball now, replacing Mahmud.",7.6,0,0.0,"Mustafizur to Balbirnie, no run  .Bowls it on a length on off and middle, clipped to midwicket.",Mustafizur,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"8.1 
1w 
Ebadot Hossain to Stirling, 1 wide 
Angles the length ball down leg, he misses the flick.",8.1,1w,1.0,"Ebadot Hossain to Stirling, 1 wide  .Angles the length ball down leg, he misses the flick.",Ebadot Hossain,Stirling,0.0,0,0,0,0,1.0,0,,1
"8.1 
• 
Ebadot Hossain to Stirling, no run 
Back of a length on the stumps, he misses the pull and wears it on the tummy. 
Deep square leg in place now. Fine leg comes in.",8.1,0,0.0,"Ebadot Hossain to Stirling, no run  .Back of a length on the stumps, he misses the pull and wears it on the tummy.  .Deep square leg in place now. Fine leg comes in.",Ebadot Hossain,Stirling,0.0,0,0,1,1,0.0,0,,0
