raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bukhari to Tamim, no run 
goodish length on middle, gets across and turns it to midwicket off the front foot",0.1,0,0.0,"Bukhari to Tamim, no run  .goodish length on middle, gets across and turns it to midwicket off the front foot",Bukhari,Tamim,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bukhari to Tamim, no run",0.2,0,0.0,"Bukhari to Tamim, no run",Bukhari,Tamim,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bukhari to Tamim, no run 
beaten, came back in, good length and he is induced into driving at the ball but it just 
nipped back in to get to the keeper through the gap",0.3,0,0.0,"Bukhari to Tamim, no run  .beaten, came back in, good length and he is induced into driving at the ball but it just  .nipped back in to get to the keeper through the gap",Bukhari,Tamim,0.0,0,0,1,1,0.0,0,,0
"0.4 
W 
Bukhari to Tamim, OUT 
Bukhari's struck in the first over, around a good length on the off, appeared to nip back 
in, Tamim was pushing through the line, got an inside edge onto the thighs and then 
onto the off stump. There's no controlling Bukhari, he's pumped 
Tamim Iqbal b Mudassar Bukhari 0 (4b 0x4 0x6 1m) SR: 0 
Junaid Siddique comes in",0.4,W,0.0,"Bukhari to Tamim, OUT  .Bukhari's struck in the first over, around a good length on the off, appeared to nip back  .in, Tamim was pushing through the line, got an inside edge onto the thighs and then  .onto the off stump. There's no controlling Bukhari, he's pumped  .Tamim Iqbal b Mudassar Bukhari 0 (4b 0x4 0x6 1m) SR: 0",Bukhari,Tamim,0.0,0,0,1,1,0.0,1,b Mudassar Bukhari,0
"0.5 
• 
Bukhari to Siddique, no run 
good length on the off, gets forward to the pitch and defends it solidly",0.5,0,0.0,"Bukhari to Siddique, no run  .good length on the off, gets forward to the pitch and defends it solidly",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bukhari to Siddique, no run 
short of a good length on middle, gets on the back foot and punches it back to the 
bowler, Bukhari exchanges stares with Junaid 
end of over 1Wicket maiden 
BAN: 0/1CRR: 0.00 • RRR: 3.28 
Zunaed Siddique0 (2b) 
Imrul Kayes0 (0b) 
Mudassar Bukhari 1-1-0-1 
Netherlands opt for spin. Adeel Raja, the offspinner, to bowl now. A slip and a midwicket 
are catchers",0.6,0,0.0,"Bukhari to Siddique, no run  .short of a good length on middle, gets on the back foot and punches it back to the  .bowler, Bukhari exchanges stares with Junaid",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Adeel Raja to Imrul, no run 
lets out a grunt as he delivers that from round the wicket, on middle and off, tapped into 
the off side",1.1,0,0.0,"Adeel Raja to Imrul, no run  .lets out a grunt as he delivers that from round the wicket, on middle and off, tapped into  .the off side",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Adeel Raja to Imrul, no run 
shortish on the off, much slower through the air, moves back and defends it into the off 
side",1.2,0,0.0,"Adeel Raja to Imrul, no run  .shortish on the off, much slower through the air, moves back and defends it into the off  .side",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Adeel Raja to Imrul, no run 
short of a good length on the off, another big grunt, punched back to the bowler, no turn, 
just alterations in length and pace",1.3,0,0.0,"Adeel Raja to Imrul, no run  .short of a good length on the off, another big grunt, punched back to the bowler, no turn,  .just alterations in length and pace",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Adeel Raja to Imrul, no run 
slowed it up this time, looped it up on middle and off, gets a stride out and defends",1.4,0,0.0,"Adeel Raja to Imrul, no run  .slowed it up this time, looped it up on middle and off, gets a stride out and defends",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Adeel Raja to Imrul, no run 
angling in towards middle and leg, swept towards short fine leg",1.5,0,0.0,"Adeel Raja to Imrul, no run  .angling in towards middle and leg, swept towards short fine leg",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"1.6 
3 
Adeel Raja to Imrul, 3 runs 
first runs, pitched up on middle and leg, driven firmly through midwicket and mid-on for 
three runs, big cheers from the crowd 
end of over 23 runs  
BAN: 3/1CRR: 1.50 • RRR: 3.29 
Imrul Kayes3 (6b) 
Zunaed Siddique0 (2b) 
Adeel Raja 1-0-3-0 
Mudassar Bukhari 1-1-0-1 
Mark Kidger: ""The one remote chance for The Netherlands is that a couple of early 
wickets trigger a panic in Bangladesh at the enormity of what is about to happen. It 
looks though like Bangladesh are about to make the battle for places in the Quarter 
Finals even tighter.""",1.6,3,3.0,"Adeel Raja to Imrul, 3 runs  .first runs, pitched up on middle and leg, driven firmly through midwicket and mid-on for  .three runs, big cheers from the crowd",Adeel Raja,Imrul,3.0,0,0,1,1,3.0,0,,1
"2.1 
• 
Bukhari to Imrul, no run 
short of a good length outside off, holds its line, lets it through",2.1,0,0.0,"Bukhari to Imrul, no run  .short of a good length outside off, holds its line, lets it through",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Bukhari to Imrul, no run 
pushed it a little fuller, not quite the right length to cut, tries to slash it through point but 
it doesn't rise as much as he expected",2.2,0,0.0,"Bukhari to Imrul, no run  .pushed it a little fuller, not quite the right length to cut, tries to slash it through point but  .it doesn't rise as much as he expected",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Bukhari to Imrul, no run 
in the channel outside off, a probing line, lets it through to the keeper",2.3,0,0.0,"Bukhari to Imrul, no run  .in the channel outside off, a probing line, lets it through to the keeper",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Bukhari to Imrul, no run 
short and wide and he goes after it again but fails to make contact, reached for it but 
couldn't connect",2.4,0,0.0,"Bukhari to Imrul, no run  .short and wide and he goes after it again but fails to make contact, reached for it but  .couldn't connect",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Bukhari to Imrul, no run 
in the corridor on a good length, a hint of movement in towards the batsman but wide 
enough to leave it be",2.5,0,0.0,"Bukhari to Imrul, no run  .in the corridor on a good length, a hint of movement in towards the batsman but wide  .enough to leave it be",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Bukhari to Imrul, no run 
slightly short outside off, leaves it alone to the keeper, moving away but only slightly, 
two maidens for Bukhari 
end of over 3Maiden 
BAN: 3/1CRR: 1.00 • RRR: 3.36 
Imrul Kayes3 (12b) 
Zunaed Siddique0 (2b) 
Mudassar Bukhari 2-2-0-1 
Adeel Raja 1-0-3-0",2.6,0,0.0,"Bukhari to Imrul, no run  .slightly short outside off, leaves it alone to the keeper, moving away but only slightly,  .two maidens for Bukhari",Bukhari,Imrul,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Adeel Raja to Siddique, no run 
flighted on middle, gets a stride out and plays it back to the bowler",3.1,0,0.0,"Adeel Raja to Siddique, no run  .flighted on middle, gets a stride out and plays it back to the bowler",Adeel Raja,Siddique,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Adeel Raja to Siddique, no run 
gets across to a delivery angling towards leg stump, tries to tickle it fine, is struck on the 
pads, a stifled appeal from the bowler",3.2,0,0.0,"Adeel Raja to Siddique, no run  .gets across to a delivery angling towards leg stump, tries to tickle it fine, is struck on the  .pads, a stifled appeal from the bowler",Adeel Raja,Siddique,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Adeel Raja to Siddique, no run 
floating it full on the off, drawing the batsman forward, driven down to mid-off",3.3,0,0.0,"Adeel Raja to Siddique, no run  .floating it full on the off, drawing the batsman forward, driven down to mid-off",Adeel Raja,Siddique,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Adeel Raja to Siddique, no run 
tossed up on the off, gets forward and pushes it gently to extra cover",3.4,0,0.0,"Adeel Raja to Siddique, no run  .tossed up on the off, gets forward and pushes it gently to extra cover",Adeel Raja,Siddique,0.0,0,0,1,1,0.0,0,,0
"3.5 
1 
Adeel Raja to Siddique, 1 run 
fires it slightly quicker on middle, flicked away off the front foot past midwicket for a 
single to get off the mark",3.5,1,1.0,"Adeel Raja to Siddique, 1 run  .fires it slightly quicker on middle, flicked away off the front foot past midwicket for a  .single to get off the mark",Adeel Raja,Siddique,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Adeel Raja to Imrul, no run 
bowls it on a good length just outside off, gets forward and taps it in the direction of 
cover 
end of over 41 run  
BAN: 4/1CRR: 1.00 • RRR: 3.41 
Imrul Kayes3 (13b) 
Zunaed Siddique1 (7b) 
Adeel Raja 2-0-4-0 
Mudassar Bukhari 2-2-0-1 
Shaun: ""The English team would be watching this match with trepidation. Their future is 
almost out of their own hands & relies on the pluck of the Dutch."" Not really. They need 
to beat West Indies.",3.6,0,0.0,"Adeel Raja to Imrul, no run  .bowls it on a good length just outside off, gets forward and taps it in the direction of  .cover",Adeel Raja,Imrul,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Bukhari to Siddique, no run 
inside edge, almost dragged it on, short of a good length outside off, tried to punch it 
through extra cover, the shot was on but the bat face turned at the last moment",4.1,0,0.0,"Bukhari to Siddique, no run  .inside edge, almost dragged it on, short of a good length outside off, tried to punch it  .through extra cover, the shot was on but the bat face turned at the last moment",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
"4.2 
4 
Bukhari to Siddique, FOUR runs 
short and he's seized the length early, banged in on middle, rocks forward and then back 
and pulls it stylishly over square leg for a welcome boundary",4.2,4,4.0,"Bukhari to Siddique, FOUR runs  .short and he's seized the length early, banged in on middle, rocks forward and then back  .and pulls it stylishly over square leg for a welcome boundary",Bukhari,Siddique,4.0,1,0,1,1,4.0,0,,1
"4.3 
• 
Bukhari to Siddique, no run 
shortish on the off, gets on the back foot and punches it towards extra cover",4.3,0,0.0,"Bukhari to Siddique, no run  .shortish on the off, gets on the back foot and punches it towards extra cover",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Bukhari to Siddique, no run 
draws him forward with a ball on the good length, Junaid gets a big stride out and 
pushes it through to mid-off",4.4,0,0.0,"Bukhari to Siddique, no run  .draws him forward with a ball on the good length, Junaid gets a big stride out and  .pushes it through to mid-off",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Bukhari to Siddique, no run 
short of a good length, gets forward and knocks it towards extra cover",4.5,0,0.0,"Bukhari to Siddique, no run  .short of a good length, gets forward and knocks it towards extra cover",Bukhari,Siddique,0.0,0,0,1,1,0.0,0,,0
