raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Henry to Tanzid Hasan, 2 runs 
back of a length from over the wicket, 132kph. Worked off the body through backward 
square for the first run 
See all photos",0.1,2,2.0,"Henry to Tanzid Hasan, 2 runs  .back of a length from over the wicket, 132kph. Worked off the body through backward  .square for the first run  .See all photos",Henry,Tanzid Hasan,2.0,0,0,1,1,2.0,0,,1
"0.2 
• 
Henry to Tanzid Hasan, no run 
shortish, induces a pull from Tanzid. Doesn't connect as the ball skids through outside 
off 
 
Tanzid Hasan vs NZ in ODIs 
INNS 
4 
RUNS 
39 
SR 
105.40 
AVE 
13.00",0.2,0,0.0,"Henry to Tanzid Hasan, no run  .shortish, induces a pull from Tanzid. Doesn't connect as the ball skids through outside  .off  .  .Tanzid Hasan vs NZ in ODIs  .INNS  .4  .RUNS  .39  .SR  .105.40  .AVE  .13.00",Henry,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Henry to Tanzid Hasan, no run 
swatted to mid-on on the bounce! The ball just died in front of O'Rourke. Firmly struck 
by Tanzid but in the air for a good way... just taken on the half-volley",0.3,0,0.0,"Henry to Tanzid Hasan, no run  .swatted to mid-on on the bounce! The ball just died in front of O'Rourke. Firmly struck  .by Tanzid but in the air for a good way... just taken on the half-volley",Henry,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Henry to Tanzid Hasan, 1 run 
angled across on a length,132kph and dabbed behind square, only half-stopped by 
backward point 
Here's Sakeeb Ferdous: ""I'm feeling optimistic! Bangladesh have shown great resilience 
lately, especially after that impressive fightback against India. If the top order can fire, 
and with players like Mahmudullah bringing in that experience, the Tigers definitely got 
what it takes to challenge the Kiwis today. With Nahid Rana's pace and bounce, I reckon 
the Tigers can even surprise New Zealand! The spirit is strong, and we are in for a 
cracking match. Let's make this one count.""",0.4,1,1.0,"Henry to Tanzid Hasan, 1 run  .angled across on a length,132kph and dabbed behind square, only half-stopped by  .backward point",Henry,Tanzid Hasan,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Henry to Shanto, no run 
nipping back into the pads, Henry bellows an appeal... not given by Kumar Dharmasena 
but NZ review. Doesn't look like any inside edge involved. Must have been close to 
pitching outside leg, though. Yep, landed a good inch or so outside leg stump, so NZ 
lose the review. Shanto survives a first-baller!",0.5,0,0.0,"Henry to Shanto, no run  .nipping back into the pads, Henry bellows an appeal... not given by Kumar Dharmasena  .but NZ review. Doesn't look like any inside edge involved. Must have been close to  .pitching outside leg, though. Yep, landed a good inch or so outside leg stump, so NZ  .lose the review. Shanto survives a first-baller!",Henry,Shanto,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Henry to Shanto, no run 
slanted across, this one keeps going and beats the outside edge 
end of over 13 runs  
BAN: 3/0CRR: 3.00  
Najmul Hossain Shanto0 (2b) 
Tanzid Hasan3 (4b) 
Matt Henry 1-0-3-0 
It'll be Kyle Jamieson from the other end. He hasn't played for NZ since a Test against 
SA last February. Lone slip posted",0.6,0,0.0,"Henry to Shanto, no run  .slanted across, this one keeps going and beats the outside edge",Henry,Shanto,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Jamieson to Tanzid Hasan, no run 
over the wicket, slammed on a length and curling back at the left-hander. Blocked into 
the leg side",1.1,0,0.0,"Jamieson to Tanzid Hasan, no run  .over the wicket, slammed on a length and curling back at the left-hander. Blocked into  .the leg side",Jamieson,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Jamieson to Tanzid Hasan, no run 
pushed across, 136kph on a length. Defended on fourth stump 
""Are there two Tanzid Hasans? One who is sitting this one out and one who is opening?"" 
No, Austen. The one sitting out is Tanzim Hasan",1.2,0,0.0,"Jamieson to Tanzid Hasan, no run  .pushed across, 136kph on a length. Defended on fourth stump",Jamieson,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Jamieson to Tanzid Hasan, no run 
short of a length, Tanzid looks to pull and plinks it short of mid-on again. Hurried for 
pace",1.3,0,0.0,"Jamieson to Tanzid Hasan, no run  .short of a length, Tanzid looks to pull and plinks it short of mid-on again. Hurried for  .pace",Jamieson,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Jamieson to Tanzid Hasan, FOUR runs 
pitched up on the pads, 136kph, Tanzid flicks it away behind square! A little short-arm 
jab around the corner, gets it wide of fine leg for the first boundary 
 
Kyle Jamieson in 1st inns (in ODIs) 
INNS 
8 
WKTS 
6 
ECON 
5.54 
AVE 
58.66",1.4,4,4.0,"Jamieson to Tanzid Hasan, FOUR runs  .pitched up on the pads, 136kph, Tanzid flicks it away behind square! A little short-arm  .jab around the corner, gets it wide of fine leg for the first boundary  .  .Kyle Jamieson in 1st inns (in ODIs)  .INNS  .8  .WKTS  .6  .ECON  .5.54  .AVE  .58.66",Jamieson,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"1.5 
6 
Jamieson to Tanzid Hasan, SIX runs 
plundered over deep midwicket! Picked up off the pads and nonchalantly whipped all 
the way for six! Lovely timing from Tanzid, sent the ball well in front of square 
See all photos 
Pindi already looking handy for batting",1.5,6,6.0,"Jamieson to Tanzid Hasan, SIX runs  .plundered over deep midwicket! Picked up off the pads and nonchalantly whipped all  .the way for six! Lovely timing from Tanzid, sent the ball well in front of square  .See all photos  .Pindi already looking handy for batting",Jamieson,Tanzid Hasan,6.0,0,1,1,1,6.0,0,,1
"1.6 
• 
Jamieson to Tanzid Hasan, no run 
lets this one go in the channel 
end of over 210 runs  
BAN: 13/0CRR: 6.50  
Tanzid Hasan13 (10b 1x4 1x6) 
Najmul Hossain Shanto0 (2b) 
Kyle Jamieson 1-0-10-0 
Matt Henry 1-0-3-0",1.6,0,0.0,"Jamieson to Tanzid Hasan, no run  .lets this one go in the channel",Jamieson,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Henry to Shanto, no run 
back of a length, Shanto chops it into the ground coming out of his ground. Henry has 
an unsuccessful shy at the stumps in his follow through",2.1,0,0.0,"Henry to Shanto, no run  .back of a length, Shanto chops it into the ground coming out of his ground. Henry has  .an unsuccessful shy at the stumps in his follow through",Henry,Shanto,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Henry to Shanto, no run 
length ball in the channel, sliding across and past the edge as Shanto feels for it",2.2,0,0.0,"Henry to Shanto, no run  .length ball in the channel, sliding across and past the edge as Shanto feels for it",Henry,Shanto,0.0,0,0,1,1,0.0,0,,0
"2.3 
1 
Henry to Shanto, 1 run 
tighter to the off stump, 136kph and steered through backward point for Shanto's first 
run",2.3,1,1.0,"Henry to Shanto, 1 run  .tighter to the off stump, 136kph and steered through backward point for Shanto's first  .run",Henry,Shanto,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Henry to Tanzid Hasan, no run 
back of a length, tapped down into the covers",2.4,0,0.0,"Henry to Tanzid Hasan, no run  .back of a length, tapped down into the covers",Henry,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
