raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rajitha to Mohammad Naim, no run 
full ball on off. Presses forward and defends",0.1,0,0.0,"Rajitha to Mohammad Naim, no run  .full ball on off. Presses forward and defends",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Rajitha to Mohammad Naim, no run 
full on middle. Bit of seam movement in. Flicks to midwicket confidently",0.2,0,0.0,"Rajitha to Mohammad Naim, no run  .full on middle. Bit of seam movement in. Flicks to midwicket confidently",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Rajitha to Mohammad Naim, no run 
good length ball on middle. Naim on his toes, chops it onto the deck",0.3,0,0.0,"Rajitha to Mohammad Naim, no run  .good length ball on middle. Naim on his toes, chops it onto the deck",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Rajitha to Mohammad Naim, FOUR runs 
first runs! Full ball outside off and Naim drives, although not convincingly, through the 
covers",0.4,4,4.0,"Rajitha to Mohammad Naim, FOUR runs  .first runs! Full ball outside off and Naim drives, although not convincingly, through the  .covers",Rajitha,Mohammad Naim,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Rajitha to Mohammad Naim, no run 
yorker attempted around off, Naim digs it out to mid off 
Qaaid: ""Surprised that SL aren't playing Kusal Perera, he's an aggressive player and 
vastly experienced. Karunaratne and Nissanka are too slow in terms of strike rate to be 
opening together, Kusal Perera should come into the side in place of one of them "" -- He 
might, later in the tournament. KJP has just recovered from testing positive for Covid 
etc.",0.5,0,0.0,"Rajitha to Mohammad Naim, no run  .yorker attempted around off, Naim digs it out to mid off",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rajitha to Mohammad Naim, no run 
full ball on middle. Carefully fended off the front foot 
end of over 14 runs  
BAN: 4/0CRR: 4.00  
Mohammad Naim4 (6b 1x4) 
Tanzid Hasan0 (0b) 
Kasun Rajitha 1-0-4-0 
Theekshana, one slip too. Will he get the ball to turn away?",0.6,0,0.0,"Rajitha to Mohammad Naim, no run  .full ball on middle. Carefully fended off the front foot",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Theekshana to Tanzid Hasan, no run 
drifter, length ball around leg. Misses the flick off the back foot. Hits the pad, gentle lbw 
enquiry",1.1,0,0.0,"Theekshana to Tanzid Hasan, no run  .drifter, length ball around leg. Misses the flick off the back foot. Hits the pad, gentle lbw  .enquiry",Theekshana,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.2 
W 
Theekshana to Tanzid Hasan, OUT 
hits him on the back foot, terrific delivery! Full ball originating on a leg-stump line, but 
the ball drifts across towards middle and off, and hits the back leg after Tanzid missed 
the defensive prod. A duck on debut, never a sight we like to see, but that was indeed a 
beautiful ball. 
Tanzid Hasan lbw b Theekshana 0 (2b 0x4 0x6 6m) SR: 0",1.2,W,0.0,"Theekshana to Tanzid Hasan, OUT  .hits him on the back foot, terrific delivery! Full ball originating on a leg-stump line, but  .the ball drifts across towards middle and off, and hits the back leg after Tanzid missed  .the defensive prod. A duck on debut, never a sight we like to see, but that was indeed a  .beautiful ball.  .Tanzid Hasan lbw b Theekshana 0 (2b 0x4 0x6 6m) SR: 0",Theekshana,Tanzid Hasan,0.0,0,0,1,1,0.0,1,lbw b Theekshana,0
"1.3 
• 
Theekshana to Shanto, no run 
another left-hand batter, Shanto gets forward to defend this front-foot ball to the off 
side. Theekshana tries to stop the ball with his foot, but rolls his ankles over the ball by 
mistake. Dangerous!",1.3,0,0.0,"Theekshana to Shanto, no run  .another left-hand batter, Shanto gets forward to defend this front-foot ball to the off  .side. Theekshana tries to stop the ball with his foot, but rolls his ankles over the ball by  .mistake. Dangerous!",Theekshana,Shanto,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Theekshana to Shanto, no run 
length ball pitching outslde leg. Wants to flick behind fine leg but hits the pad",1.4,0,0.0,"Theekshana to Shanto, no run  .length ball pitching outslde leg. Wants to flick behind fine leg but hits the pad",Theekshana,Shanto,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Theekshana to Shanto, no run 
full on leg. Bit of turn towards middle. Blocked off the front foot",1.5,0,0.0,"Theekshana to Shanto, no run  .full on leg. Bit of turn towards middle. Blocked off the front foot",Theekshana,Shanto,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Theekshana to Shanto, no run 
is that a double-wicket maiden or just a wicket maiden? Skiddy delivery, length on leg. 
Goes straight through and hits Shanto on the pad with him on the back foot. LBW 
appeal turned down but Shanaka reviews after a long think. Replay shows this was a 
length ball around leg with Shanto totally missing the flick. However the ball is pitching 
outside leg according to technology, so that's that. SL lose a review but a gun over from 
Theekshana 
end of over 2Wicket maiden 
BAN: 4/1CRR: 2.00  
Najmul Hossain Shanto0 (4b) 
Mohammad Naim4 (6b 1x4) 
Maheesh Theekshana 1-1-0-1 
Kasun Rajitha 1-0-4-0",1.6,0,0.0,"Theekshana to Shanto, no run  .is that a double-wicket maiden or just a wicket maiden? Skiddy delivery, length on leg.  .Goes straight through and hits Shanto on the pad with him on the back foot. LBW  .appeal turned down but Shanaka reviews after a long think. Replay shows this was a  .length ball around leg with Shanto totally missing the flick. However the ball is pitching  .outside leg according to technology, so that's that. SL lose a review but a gun over from  .Theekshana",Theekshana,Shanto,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Rajitha to Mohammad Naim, no run 
length ball on middle and leg. Naim fends it to the leg side",2.1,0,0.0,"Rajitha to Mohammad Naim, no run  .length ball on middle and leg. Naim fends it to the leg side",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Rajitha to Mohammad Naim, no run 
around the stumps, getting a length ball from off to slide into leg with the angle. Hits 
him high on the back leg",2.2,0,0.0,"Rajitha to Mohammad Naim, no run  .around the stumps, getting a length ball from off to slide into leg with the angle. Hits  .him high on the back leg",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Rajitha to Mohammad Naim, no run 
full ball outside off, and he connects well with a front-foot drive. But to mid off 
Salman Rahman: ""Why would you have a youngster open on Asia Cup pressure match 
when you have the likes of Afif Hossain who opened decently the one chance he got. """,2.3,0,0.0,"Rajitha to Mohammad Naim, no run  .full ball outside off, and he connects well with a front-foot drive. But to mid off",Rajitha,Mohammad Naim,0.0,0,0,1,1,0.0,0,,0
