raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Kaleem Sana to Ura, no run",0.1,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Kaleem Sana to Ura, no run",0.2,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Kaleem Sana to Ura, no run",0.3,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Kaleem Sana to Ura, 1 run",0.4,1,1.0,"Kaleem Sana to Ura, 1 run",Kaleem Sana,Ura,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Kaleem Sana to Doriga, no run",0.5,0,0.0,"Kaleem Sana to Doriga, no run",Kaleem Sana,Doriga,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Kaleem Sana to Doriga, no run 
end of over 11 run  
PNG: 1/0CRR: 1.00 • RRR: 4.44 • Need 218 runs from 49 overs 
Kiplin Doriga0 (2b) 
Tony Ura1 (4b) 
Kaleem Sana 1-0-1-0",0.6,0,0.0,"Kaleem Sana to Doriga, no run",Kaleem Sana,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Gordon to Ura, FOUR runs",1.1,4,4.0,"Gordon to Ura, FOUR runs",Gordon,Ura,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Gordon to Ura, 1 run",1.2,1,1.0,"Gordon to Ura, 1 run",Gordon,Ura,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Gordon to Doriga, no run",1.3,0,0.0,"Gordon to Doriga, no run",Gordon,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.4 
W 
Gordon to Doriga, OUT 
Kiplin Doriga lbw b Gordon 0 (4b 0x4 0x6) SR: 0",1.4,W,0.0,"Gordon to Doriga, OUT  .Kiplin Doriga lbw b Gordon 0 (4b 0x4 0x6) SR: 0",Gordon,Doriga,0.0,0,0,1,1,0.0,1,lbw b Gordon,0
"1.5 
1 
Gordon to Bau, 1 run",1.5,1,1.0,"Gordon to Bau, 1 run",Gordon,Bau,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Gordon to Ura, 1 run 
end of over 27 runs • 1 wicket 
PNG: 8/1CRR: 4.00 • RRR: 4.39 • Need 211 runs from 48 overs 
Tony Ura7 (7b 1x4) 
Sese Bau1 (1b) 
Jeremy Gordon 1-0-7-1 
Kaleem Sana 1-0-1-0",1.6,1,1.0,"Gordon to Ura, 1 run",Gordon,Ura,1.0,0,0,1,1,1.0,0,,1
"2.1 
• 
Kaleem Sana to Ura, no run",2.1,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Kaleem Sana to Ura, FOUR runs",2.2,4,4.0,"Kaleem Sana to Ura, FOUR runs",Kaleem Sana,Ura,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Kaleem Sana to Ura, no run",2.3,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Kaleem Sana to Ura, no run",2.4,0,0.0,"Kaleem Sana to Ura, no run",Kaleem Sana,Ura,0.0,0,0,1,1,0.0,0,,0
"2.5 
4 
Kaleem Sana to Ura, FOUR runs",2.5,4,4.0,"Kaleem Sana to Ura, FOUR runs",Kaleem Sana,Ura,4.0,1,0,1,1,4.0,0,,1
"2.6 
1 
Kaleem Sana to Ura, 1 run 
end of over 39 runs  
PNG: 17/1CRR: 5.66 • RRR: 4.29 • Need 202 runs from 47 overs 
Tony Ura16 (13b 3x4) 
Sese Bau1 (1b) 
Kaleem Sana 2-0-10-0 
Jeremy Gordon 1-0-7-1",2.6,1,1.0,"Kaleem Sana to Ura, 1 run",Kaleem Sana,Ura,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Gordon to Ura, no run",3.1,0,0.0,"Gordon to Ura, no run",Gordon,Ura,0.0,0,0,1,1,0.0,0,,0
"3.2 
1 
Gordon to Ura, 1 run",3.2,1,1.0,"Gordon to Ura, 1 run",Gordon,Ura,1.0,0,0,1,1,1.0,0,,1
"3.3 
• 
Gordon to Bau, no run",3.3,0,0.0,"Gordon to Bau, no run",Gordon,Bau,0.0,0,0,1,1,0.0,0,,0
