raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Kaleem Sana to Modani, no run",0.1,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Kaleem Sana to Modani, no run",0.2,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Kaleem Sana to Modani, no run",0.3,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Kaleem Sana to Modani, no run",0.4,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Kaleem Sana to Modani, no run",0.5,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Kaleem Sana to Modani, no run 
end of over 1Maiden 
USA: 0/0CRR: 0.00 • RRR: 4.06 • Need 199 runs from 49 overs 
Sushant Modani0 (6b) 
Saiteja Mukkamalla0 (0b) 
Kaleem Sana 1-1-0-0",0.6,0,0.0,"Kaleem Sana to Modani, no run",Kaleem Sana,Modani,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Gordon to Mukkamalla, no run",1.1,0,0.0,"Gordon to Mukkamalla, no run",Gordon,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Gordon to Mukkamalla, 1 run",1.2,1,1.0,"Gordon to Mukkamalla, 1 run",Gordon,Mukkamalla,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Gordon to Modani, no run",1.3,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Gordon to Modani, no run",1.4,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Gordon to Modani, no run",1.5,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Gordon to Modani, no run 
end of over 21 run  
USA: 1/0CRR: 0.50 • RRR: 4.12 • Need 198 runs from 48 overs 
Sushant Modani0 (10b) 
Saiteja Mukkamalla1 (2b) 
Jeremy Gordon 1-0-1-0 
Kaleem Sana 1-1-0-0",1.6,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Kaleem Sana to Mukkamalla, no run",2.1,0,0.0,"Kaleem Sana to Mukkamalla, no run",Kaleem Sana,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Kaleem Sana to Mukkamalla, no run",2.2,0,0.0,"Kaleem Sana to Mukkamalla, no run",Kaleem Sana,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Kaleem Sana to Mukkamalla, no run",2.3,0,0.0,"Kaleem Sana to Mukkamalla, no run",Kaleem Sana,Mukkamalla,0.0,0,0,1,1,0.0,0,,0
"2.4 
W 
Kaleem Sana to Mukkamalla, OUT 
Saiteja Mukkamalla c †Wijeyeratne b Kaleem Sana 1 (6b 0x4 0x6) SR: 16.66",2.4,W,0.0,"Kaleem Sana to Mukkamalla, OUT  .Saiteja Mukkamalla c †Wijeyeratne b Kaleem Sana 1 (6b 0x4 0x6) SR: 16.66",Kaleem Sana,Mukkamalla,0.0,0,0,1,1,0.0,1,c †Wijeyeratne b Kaleem Sana,0
"2.5 
• 
Kaleem Sana to Patel, no run",2.5,0,0.0,"Kaleem Sana to Patel, no run",Kaleem Sana,Patel,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Kaleem Sana to Patel, no run 
end of over 3Wicket maiden 
USA: 1/1CRR: 0.33 • RRR: 4.21 • Need 198 runs from 47 overs 
Monank Patel0 (2b) 
Sushant Modani0 (10b) 
Kaleem Sana 2-2-0-1 
Jeremy Gordon 1-0-1-0",2.6,0,0.0,"Kaleem Sana to Patel, no run",Kaleem Sana,Patel,0.0,0,0,1,1,0.0,0,,0
"3.1 
1w 
Gordon to Modani, 1 wide",3.1,1w,1.0,"Gordon to Modani, 1 wide",Gordon,Modani,0.0,0,0,0,0,1.0,0,,1
"3.1 
• 
Gordon to Modani, no run",3.1,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"3.2 
1w 
Gordon to Modani, 1 wide",3.2,1w,1.0,"Gordon to Modani, 1 wide",Gordon,Modani,0.0,0,0,0,0,1.0,0,,1
"3.2 
• 
Gordon to Modani, no run",3.2,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Gordon to Modani, 1 run",3.3,1,1.0,"Gordon to Modani, 1 run",Gordon,Modani,1.0,0,0,1,1,1.0,0,,1
"3.4 
1w 
Gordon to Patel, 1 wide",3.4,1w,1.0,"Gordon to Patel, 1 wide",Gordon,Patel,0.0,0,0,0,0,1.0,0,,1
"3.4 
• 
Gordon to Patel, no run",3.4,0,0.0,"Gordon to Patel, no run",Gordon,Patel,0.0,0,0,1,1,0.0,0,,0
"3.5 
1 
Gordon to Patel, 1 run",3.5,1,1.0,"Gordon to Patel, 1 run",Gordon,Patel,1.0,0,0,1,1,1.0,0,,1
"3.6 
• 
Gordon to Modani, no run 
end of over 45 runs  
USA: 6/1CRR: 1.50 • RRR: 4.19 • Need 193 runs from 46 overs 
Sushant Modani1 (14b) 
Monank Patel1 (4b) 
Jeremy Gordon 2-0-6-0 
Kaleem Sana 2-2-0-1",3.6,0,0.0,"Gordon to Modani, no run",Gordon,Modani,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Kaleem Sana to Patel, no run",4.1,0,0.0,"Kaleem Sana to Patel, no run",Kaleem Sana,Patel,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Kaleem Sana to Patel, no run",4.2,0,0.0,"Kaleem Sana to Patel, no run",Kaleem Sana,Patel,0.0,0,0,1,1,0.0,0,,0
"4.3 
1b 
Kaleem Sana to Patel, 1 bye",4.3,1b,1.0,"Kaleem Sana to Patel, 1 bye",Kaleem Sana,Patel,0.0,0,0,1,1,0.0,0,,1
