raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Khaleel Ahmed to Arya, no run 
bends his back a fair bit for that inswinger from short of length, Arya defends it back 
See all photos",0.1,0,0.0,"Khaleel Ahmed to Arya, no run  .bends his back a fair bit for that inswinger from short of length, Arya defends it back  .See all photos",Khaleel Ahmed,Arya,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Khaleel Ahmed to Arya, no run 
hint of outswing now from off stump, a watchful Arya taps it into the off side",0.2,0,0.0,"Khaleel Ahmed to Arya, no run  .hint of outswing now from off stump, a watchful Arya taps it into the off side",Khaleel Ahmed,Arya,0.0,0,0,1,1,0.0,0,,0
"0.3 
4 
Khaleel Ahmed to Arya, FOUR runs 
he gets some width, only a hint of it, and he deftly dabs it late enough to beat the slip 
fielder easily for four",0.3,4,4.0,"Khaleel Ahmed to Arya, FOUR runs  .he gets some width, only a hint of it, and he deftly dabs it late enough to beat the slip  .fielder easily for four",Khaleel Ahmed,Arya,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Khaleel Ahmed to Arya, no run 
beats him with the outswinger this time! Bangs it into the pitch, away movement and 
good bounce, and Arya punches and misses. Khaleel signals to the keeper he heard 
something but nobody is listening to him",0.4,0,0.0,"Khaleel Ahmed to Arya, no run  .beats him with the outswinger this time! Bangs it into the pitch, away movement and  .good bounce, and Arya punches and misses. Khaleel signals to the keeper he heard  .something but nobody is listening to him",Khaleel Ahmed,Arya,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Khaleel Ahmed to Arya, no run 
more into the body this time with the angle, and he pushes it down to mid on",0.5,0,0.0,"Khaleel Ahmed to Arya, no run  .more into the body this time with the angle, and he pushes it down to mid on",Khaleel Ahmed,Arya,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Khaleel Ahmed to Arya, FOUR runs 
swings wildly against the length ball outside off, doesn't middle it the way he wants to 
but all he needs to do is clear midwicket, and he has managed that off the inner half of 
the bat 
end of over 18 runs  
PBKS: 8/0CRR: 8.00 • RRR: 9.63 • Need 183 runs from 114b 
Priyansh Arya8 (6b 2x4) 
Prabhsimran Singh0 (0b) 
Khaleel Ahmed 1-0-8-0 
Anushul Kamboj to Prabhsimran Singh, who is not just a powerplay basher anymore",0.6,4,4.0,"Khaleel Ahmed to Arya, FOUR runs  .swings wildly against the length ball outside off, doesn't middle it the way he wants to  .but all he needs to do is clear midwicket, and he has managed that off the inner half of  .the bat",Khaleel Ahmed,Arya,4.0,1,0,1,1,4.0,0,,1
"1.1 
1 
Kamboj to Prabhsimran, 1 run 
starts with a short of length ball, Prabhsimran tucks it to leg for one 
Priyansh Arya average vs CSK115.00",1.1,1,1.0,"Kamboj to Prabhsimran, 1 run  .starts with a short of length ball, Prabhsimran tucks it to leg for one  .Priyansh Arya average vs CSK115.00",Kamboj,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Kamboj to Arya, FOUR runs 
too short and pulled away with disdain for four! Not a lot of bounce for Kamboj, Arya 
gets on top of that easily and gives it a whack",1.2,4,4.0,"Kamboj to Arya, FOUR runs  .too short and pulled away with disdain for four! Not a lot of bounce for Kamboj, Arya  .gets on top of that easily and gives it a whack",Kamboj,Arya,4.0,1,0,1,1,4.0,0,,1
"1.3 
1 
Kamboj to Arya, 1 run 
flicked over the square leg region this time, there's a fielder in the deep, and he gets one 
And this is the first instance of four uncapped opening batters in an IPL match - Shaik 
Rasheed, Ayush Mhatre, Priyansh Arya and Prabhsimran Singh. 
Sampath chimes in again: CSK lost their last six wickets in the space of 11 balls, the 
fewest by any team in an IPL innings. PWI against SRH in 2013 and SRH against KXIP in 
2020 lost their last six wickets in 13 balls.",1.3,1,1.0,"Kamboj to Arya, 1 run  .flicked over the square leg region this time, there's a fielder in the deep, and he gets one  .And this is the first instance of four uncapped opening batters in an IPL match - Shaik  .Rasheed, Ayush Mhatre, Priyansh Arya and Prabhsimran Singh.  .Sampath chimes in again: CSK lost their last six wickets in the space of 11 balls, the  .fewest by any team in an IPL innings. PWI against SRH in 2013 and SRH against KXIP in  .2020 lost their last six wickets in 13 balls.",Kamboj,Arya,1.0,0,0,1,1,1.0,0,,1
"1.4 
1 
Kamboj to Prabhsimran, 1 run 
short of length and towards the hips, he clips it away for one to leg",1.4,1,1.0,"Kamboj to Prabhsimran, 1 run  .short of length and towards the hips, he clips it away for one to leg",Kamboj,Prabhsimran,1.0,0,0,1,1,1.0,0,,1
