raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Khaleel Ahmed to Jaiswal, FOUR runs 
wow, what a way to get the innings going! Half-volley outside off and this swings in 
beautifully into the slot. Jaiswal goes through the line and cracks it past extra cover!",0.1,4,4.0,"Khaleel Ahmed to Jaiswal, FOUR runs  .wow, what a way to get the innings going! Half-volley outside off and this swings in  .beautifully into the slot. Jaiswal goes through the line and cracks it past extra cover!",Khaleel Ahmed,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Khaleel Ahmed to Jaiswal, no run 
back of a length, just outside off. A bit of shape back in and Jaiswal, pressing half 
forward, taps it down the ground",0.2,0,0.0,"Khaleel Ahmed to Jaiswal, no run  .back of a length, just outside off. A bit of shape back in and Jaiswal, pressing half  .forward, taps it down the ground",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.3 
W 
Khaleel Ahmed to Jaiswal, OUT 
chipped in the air and Ashwin gobbles it up! Khaleel issues a fiery send-off, and he has 
another early breakthrough this season! On a length outside off and this seems to just 
stick in the surface a little. Jaiswal tries to drive on the up but cannot get on top of it. 
Pops it straight to Ashwin at mid off, and he makes absolutely no mistake. CSK on the 
board early, and Jaiswal's indifferent start to the season continues! 
Yashasvi Jaiswal c Ashwin b Ahmed 4 (3b 1x4 0x6 2m) SR: 133.33 
Rana in at 3",0.3,W,0.0,"Khaleel Ahmed to Jaiswal, OUT  .chipped in the air and Ashwin gobbles it up! Khaleel issues a fiery send-off, and he has  .another early breakthrough this season! On a length outside off and this seems to just  .stick in the surface a little. Jaiswal tries to drive on the up but cannot get on top of it.  .Pops it straight to Ashwin at mid off, and he makes absolutely no mistake. CSK on the  .board early, and Jaiswal's indifferent start to the season continues!  .Yashasvi Jaiswal c Ashwin b Ahmed 4 (3b 1x4 0x6 2m) SR: 133.33",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,1,c Ashwin b Ahmed,0
"0.4 
• 
Khaleel Ahmed to Rana, no run 
full toss outside off and that takes Rana by surprise. He cannot make contact and ends 
up wafting at thin air 
Rob: ""Is Jamie O likely to bowl given the fact he is a death specialist or picked for his 
batting?"" -- Very likely that he will bowl. Although the amount of overs might depend on 
how the conditions play",0.4,0,0.0,"Khaleel Ahmed to Rana, no run  .full toss outside off and that takes Rana by surprise. He cannot make contact and ends  .up wafting at thin air",Khaleel Ahmed,Rana,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Khaleel Ahmed to Rana, FOUR runs 
Rana off the mark with a boundary too! Khaleel goes searching and bowls it too full 
outside off. Rana opens his bat face and threads it between point and backward point!",0.5,4,4.0,"Khaleel Ahmed to Rana, FOUR runs  .Rana off the mark with a boundary too! Khaleel goes searching and bowls it too full  .outside off. Rana opens his bat face and threads it between point and backward point!",Khaleel Ahmed,Rana,4.0,1,0,1,1,4.0,0,,1
"0.6 
1b 
Khaleel Ahmed to Rana, 1 bye 
back of a length outside off. Moves away a touch and then wobbles away an even 
greater deal after beating Rana on the cut. Lands on the half-volley, just in front of Dhoni 
and he fumbles his collection, allowing a bye 
end of over 19 runs • 1 wicket 
RR: 9/1CRR: 9.00  
Nitish Rana4 (3b 1x4) 
Sanju Samson0 (0b) 
Khaleel Ahmed 1-0-8-1 
Well, speaking of Overton, he has been handed the responsibility of sharing the new 
ball. Over the wicket",0.6,1b,1.0,"Khaleel Ahmed to Rana, 1 bye  .back of a length outside off. Moves away a touch and then wobbles away an even  .greater deal after beating Rana on the cut. Lands on the half-volley, just in front of Dhoni  .and he fumbles his collection, allowing a bye",Khaleel Ahmed,Rana,0.0,0,0,1,1,0.0,0,,1
"1.1 
1 
Overton to Rana, 1 run 
dug into the track on leg stump. Rana lets the ball come to him before helping it down 
to fine leg 
Samson on strike for the first time tonight",1.1,1,1.0,"Overton to Rana, 1 run  .dug into the track on leg stump. Rana lets the ball come to him before helping it down  .to fine leg  .Samson on strike for the first time tonight",Overton,Rana,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Overton to Samson, 1 run 
back of a length just outside off. Samson gets up on his toes and dabs it enough to 
backward point's left to get off the mark",1.2,1,1.0,"Overton to Samson, 1 run  .back of a length just outside off. Samson gets up on his toes and dabs it enough to  .backward point's left to get off the mark",Overton,Samson,1.0,0,0,1,1,1.0,0,,1
"1.3 
4 
Overton to Rana, FOUR runs 
full and swinging into the pads. Rana rolls his wrists nicely and clips it behind square. 
Pathirana gives chase from fine leg but the ball has just enough on it to beat him to the 
fence, despite a slide!",1.3,4,4.0,"Overton to Rana, FOUR runs  .full and swinging into the pads. Rana rolls his wrists nicely and clips it behind square.  .Pathirana gives chase from fine leg but the ball has just enough on it to beat him to the  .fence, despite a slide!",Overton,Rana,4.0,1,0,1,1,4.0,0,,1
"1.4 
2 
Overton to Rana, 2 runs 
miscued but safe! Banged into the track just outside off. Rana has a swipe across the 
line and splices it because of the extra bounce. Plonks it over mid wicket and bags a 
brace",1.4,2,2.0,"Overton to Rana, 2 runs  .miscued but safe! Banged into the track just outside off. Rana has a swipe across the  .line and splices it because of the extra bounce. Plonks it over mid wicket and bags a  .brace",Overton,Rana,2.0,0,0,1,1,2.0,0,,1
"1.5 
6 
Overton to Rana, SIX runs 
through the hands, and Rana has his first maximum! Shortish again, angling across the 
batter outside off. Rana throws the kitchen sink at it and Khaleel is very interested at 
deep third. He jumps up but cannot clasp his hands on time. Flicks the finger and clears 
the rope!",1.5,6,6.0,"Overton to Rana, SIX runs  .through the hands, and Rana has his first maximum! Shortish again, angling across the  .batter outside off. Rana throws the kitchen sink at it and Khaleel is very interested at  .deep third. He jumps up but cannot clasp his hands on time. Flicks the finger and clears  .the rope!",Overton,Rana,6.0,0,1,1,1,6.0,0,,1
"1.6 
• 
Overton to Rana, no run 
another short ball, just outside off. Rana looks to hack it across the line and only 
connects with the fresh Guwahati air 
end of over 214 runs  
RR: 23/1CRR: 11.50  
Nitish Rana17 (8b 2x4 1x6) 
Sanju Samson1 (1b) 
Jamie Overton 1-0-14-0 
Khaleel Ahmed 1-0-8-1 
Khaleel again. Watch out for the in-swinger to Samson, if the ball continues to swing",1.6,0,0.0,"Overton to Rana, no run  .another short ball, just outside off. Rana looks to hack it across the line and only  .connects with the fresh Guwahati air",Overton,Rana,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Khaleel Ahmed to Samson, no run 
back of a length on middle and leg. Samson gets behind the line and plays it back to the 
bowler",2.1,0,0.0,"Khaleel Ahmed to Samson, no run  .back of a length on middle and leg. Samson gets behind the line and plays it back to the  .bowler",Khaleel Ahmed,Samson,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Khaleel Ahmed to Samson, 1 run 
much fuller on middle and leg. Samson pokes it towards mid off and calls for the single 
early. Makes it very comfortably in the end 
Prasanna: ""All of that happening in the first over, so happy to see Rana coming in. Good 
for Rana, Good for RR!"" -- And he has gotten off to a pretty good start here",2.2,1,1.0,"Khaleel Ahmed to Samson, 1 run  .much fuller on middle and leg. Samson pokes it towards mid off and calls for the single  .early. Makes it very comfortably in the end",Khaleel Ahmed,Samson,1.0,0,0,1,1,1.0,0,,1
"2.3 
1 
Khaleel Ahmed to Rana, 1 run 
back of a length outside off. Rana waits for it and then opens his bat face to guide it to 
deep third. Pathirana nearly over-ran that",2.3,1,1.0,"Khaleel Ahmed to Rana, 1 run  .back of a length outside off. Rana waits for it and then opens his bat face to guide it to  .deep third. Pathirana nearly over-ran that",Khaleel Ahmed,Rana,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Khaleel Ahmed to Samson, no run 
back of a length, pitching just outside leg and finishing on the stumps. Samson, caught 
on the crease, plays all over it to get rapped on the pads",2.4,0,0.0,"Khaleel Ahmed to Samson, no run  .back of a length, pitching just outside leg and finishing on the stumps. Samson, caught  .on the crease, plays all over it to get rapped on the pads",Khaleel Ahmed,Samson,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Khaleel Ahmed to Samson, no run 
length ball on the pads. Samson sits deep in his crease and flicks it on the bounce to 
mid wicket 
Early signs are that the ball is not quite coming on to the bat and is just holding in the 
surface",2.5,0,0.0,"Khaleel Ahmed to Samson, no run  .length ball on the pads. Samson sits deep in his crease and flicks it on the bounce to  .mid wicket  .Early signs are that the ball is not quite coming on to the bat and is just holding in the  .surface",Khaleel Ahmed,Samson,0.0,0,0,1,1,0.0,0,,0
"2.6 
4 
Khaleel Ahmed to Samson, FOUR runs 
back of a length on the hips. Samson uses the pace on offer and clips it beautifully 
through square leg. Pathirana tries to channel his inner Premier League footballer with a 
leg-first slide but cannot quite prevent the boundary! 
end of over 36 runs  
RR: 29/1CRR: 9.66  
Sanju Samson6 (6b 1x4) 
Nitish Rana18 (9b 2x4 1x6) 
Khaleel Ahmed 2-0-14-1 
Jamie Overton 1-0-14-0",2.6,4,4.0,"Khaleel Ahmed to Samson, FOUR runs  .back of a length on the hips. Samson uses the pace on offer and clips it beautifully  .through square leg. Pathirana tries to channel his inner Premier League footballer with a  .leg-first slide but cannot quite prevent the boundary!",Khaleel Ahmed,Samson,4.0,1,0,1,1,4.0,0,,1
"3.1 
4 
Overton to Rana, FOUR runs 
Rana is on the charge! This is short again and also outside leg, which is asking for 
trouble with fine leg up. Rana gets inside the line and helps it over the fielder! 
 
Jamie Overton in Powerplay overs (in T20s) 
BALLS 
629 
WKTS 
28 
4s/6s 
116/35 
ECON 
9.49 
AVE 
35.53",3.1,4,4.0,"Overton to Rana, FOUR runs  .Rana is on the charge! This is short again and also outside leg, which is asking for  .trouble with fine leg up. Rana gets inside the line and helps it over the fielder!  .  .Jamie Overton in Powerplay overs (in T20s)  .BALLS  .629  .WKTS  .28  .4s/6s  .116/35  .ECON  .9.49  .AVE  .35.53",Overton,Rana,4.0,1,0,1,1,4.0,0,,1
