raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Khaleel Ahmed to Jaiswal, FOUR runs 
starts with a wayward delivery down leg side, too far away from Dhoni's reach even with 
the dive, Jaiswal tried to hammer it too ... oh he got a bit of glove on it as he swung 
across the line, should go down as a chance",0.1,4,4.0,"Khaleel Ahmed to Jaiswal, FOUR runs  .starts with a wayward delivery down leg side, too far away from Dhoni's reach even with  .the dive, Jaiswal tried to hammer it too ... oh he got a bit of glove on it as he swung  .across the line, should go down as a chance",Khaleel Ahmed,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Khaleel Ahmed to Jaiswal, no run 
a full ball swinging into the pads, Jaiswal gets an inside edge on to the pad",0.2,0,0.0,"Khaleel Ahmed to Jaiswal, no run  .a full ball swinging into the pads, Jaiswal gets an inside edge on to the pad",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Khaleel Ahmed to Jaiswal, no run 
Khaleel angles the ball into the left-hander from over the wicket and gets it to seam 
away off the pitch, beating the inside edge of Jaiswal's front foot drive",0.3,0,0.0,"Khaleel Ahmed to Jaiswal, no run  .Khaleel angles the ball into the left-hander from over the wicket and gets it to seam  .away off the pitch, beating the inside edge of Jaiswal's front foot drive",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Khaleel Ahmed to Jaiswal, no run 
slants this one into the pads and hits them as Jaiswal misses the flick",0.4,0,0.0,"Khaleel Ahmed to Jaiswal, no run  .slants this one into the pads and hits them as Jaiswal misses the flick",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Khaleel Ahmed to Jaiswal, 1 run 
played to mid on for a single",0.5,1,1.0,"Khaleel Ahmed to Jaiswal, 1 run  .played to mid on for a single",Khaleel Ahmed,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Khaleel Ahmed to V Suryavanshi, no run 
good length angling into the left-hander from around the wicket, Suryavanshi tries to 
pull but gets hit on the thigh 
end of over 15 runs  
RR: 5/0CRR: 5.00 • RRR: 9.63 • Need 183 runs from 114b 
Vaibhav Suryavanshi0 (1b) 
Yashasvi Jaiswal5 (5b 1x4) 
Khaleel Ahmed 1-0-5-0 
Anshul Kamboj from over the wicket ...",0.6,0,0.0,"Khaleel Ahmed to V Suryavanshi, no run  .good length angling into the left-hander from around the wicket, Suryavanshi tries to  .pull but gets hit on the thigh",Khaleel Ahmed,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Kamboj to Jaiswal, no run 
angles the ball across the left-hander and beats the outside edge of Jaiswal's front-foot 
drive with a good length ball that shapes away",1.1,0,0.0,"Kamboj to Jaiswal, no run  .angles the ball across the left-hander and beats the outside edge of Jaiswal's front-foot  .drive with a good length ball that shapes away",Kamboj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Kamboj to Jaiswal, no run 
Jaiswal presses forward to drive again and then checks his shot and plays towards mid 
off, Kamboj is keeping it on a good length so far",1.2,0,0.0,"Kamboj to Jaiswal, no run  .Jaiswal presses forward to drive again and then checks his shot and plays towards mid  .off, Kamboj is keeping it on a good length so far",Kamboj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Kamboj to Jaiswal, no run 
backs away outside leg stump, Kamboj follows him with a full ball that swings back into 
the left-hander and hits Jaiswal's pads as he attempts to flick awkwardly",1.3,0,0.0,"Kamboj to Jaiswal, no run  .backs away outside leg stump, Kamboj follows him with a full ball that swings back into  .the left-hander and hits Jaiswal's pads as he attempts to flick awkwardly",Kamboj,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"1.4 
6 
Kamboj to Jaiswal, SIX runs 
up and cover the cover-point boundary! Kamboj gave him too much width this time and 
the length was full enough for Jaiswal to get under and free his arms while driving 
powerfully",1.4,6,6.0,"Kamboj to Jaiswal, SIX runs  .up and cover the cover-point boundary! Kamboj gave him too much width this time and  .the length was full enough for Jaiswal to get under and free his arms while driving  .powerfully",Kamboj,Jaiswal,6.0,0,1,1,1,6.0,0,,1
"1.5 
1 
Kamboj to Jaiswal, 1 run 
driven on the up behind point for a single",1.5,1,1.0,"Kamboj to Jaiswal, 1 run  .driven on the up behind point for a single",Kamboj,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Kamboj to V Suryavanshi, no run 
gets behind the line of a good length ball and defends on the off side 
end of over 27 runs  
RR: 12/0CRR: 6.00 • RRR: 9.77 • Need 176 runs from 108b 
Vaibhav Suryavanshi0 (2b) 
Yashasvi Jaiswal12 (10b 1x4 1x6) 
Anshul Kamboj 1-0-7-0 
Khaleel Ahmed 1-0-5-0 
Gokul Pradeep V: ""I thought Khaleel will be taken to cleaners, but he proved me wrong. 
What a great first over!!"" Let's he how he fares in his second ...",1.6,0,0.0,"Kamboj to V Suryavanshi, no run  .gets behind the line of a good length ball and defends on the off side",Kamboj,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Khaleel Ahmed to Jaiswal, no run 
short of a length just outside off, cramping Jaiswal for room as he bottom edges the cut 
towards short third 
 
Yashasvi Jaiswal in IPL, 2025 
INNS 
14 
RUNS 
539 
SR 
157.14 
AVE 
44.91 
HS 
75",2.1,0,0.0,"Khaleel Ahmed to Jaiswal, no run  .short of a length just outside off, cramping Jaiswal for room as he bottom edges the cut  .towards short third  .  .Yashasvi Jaiswal in IPL, 2025  .INNS  .14  .RUNS  .539  .SR  .157.14  .AVE  .44.91  .HS  .75",Khaleel Ahmed,Jaiswal,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Khaleel Ahmed to Jaiswal, FOUR runs 
this time he makes superb contact with the cut shot, using the width on offer outside 
off to free his arms and beat the fielder on the backward point boundary",2.2,4,4.0,"Khaleel Ahmed to Jaiswal, FOUR runs  .this time he makes superb contact with the cut shot, using the width on offer outside  .off to free his arms and beat the fielder on the backward point boundary",Khaleel Ahmed,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"2.3 
4 
Khaleel Ahmed to Jaiswal, FOUR runs 
over cover this time, length ball from Khaleel and Jaiswal plants his foot forward and 
lofts over the in field for another boundary",2.3,4,4.0,"Khaleel Ahmed to Jaiswal, FOUR runs  .over cover this time, length ball from Khaleel and Jaiswal plants his foot forward and  .lofts over the in field for another boundary",Khaleel Ahmed,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"2.4 
6 
Khaleel Ahmed to Jaiswal, SIX runs 
this time it goes all the way over cover! Similar ball, length with width outside off, 
Jaiswal attacks again, lofting with power and hitting it farther than the previous one",2.4,6,6.0,"Khaleel Ahmed to Jaiswal, SIX runs  .this time it goes all the way over cover! Similar ball, length with width outside off,  .Jaiswal attacks again, lofting with power and hitting it farther than the previous one",Khaleel Ahmed,Jaiswal,6.0,0,1,1,1,6.0,0,,1
"2.5 
4 
Khaleel Ahmed to Jaiswal, FOUR runs 
more punishment for Khaleel, short and wide, flayed off the back foot to the backward 
point boundary",2.5,4,4.0,"Khaleel Ahmed to Jaiswal, FOUR runs  .more punishment for Khaleel, short and wide, flayed off the back foot to the backward  .point boundary",Khaleel Ahmed,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"2.6 
1 
Khaleel Ahmed to Jaiswal, 1 run 
nearly in the blockhole to finish, dug out towards mid on for a quick single to end an 
expensive over 
Rajkumar Lingav: ""Full credit to you @Gokul Pradeep V for jinxing Khaleel."" 
end of over 319 runs  
RR: 31/0CRR: 10.33 • RRR: 9.23 • Need 157 runs from 102b 
Yashasvi Jaiswal31 (16b 4x4 2x6) 
Vaibhav Suryavanshi0 (2b) 
Khaleel Ahmed 2-0-24-0 
Anshul Kamboj 1-0-7-0",2.6,1,1.0,"Khaleel Ahmed to Jaiswal, 1 run  .nearly in the blockhole to finish, dug out towards mid on for a quick single to end an  .expensive over",Khaleel Ahmed,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"3.1 
1 
Kamboj to Jaiswal, 1 run 
good length angling across the left-hander from over the wicket, Jaiswal moves forward 
and drives wide of mid-off",3.1,1,1.0,"Kamboj to Jaiswal, 1 run  .good length angling across the left-hander from over the wicket, Jaiswal moves forward  .and drives wide of mid-off",Kamboj,Jaiswal,1.0,0,0,1,1,1.0,0,,1
"3.2 
1 
Kamboj to V Suryavanshi, 1 run 
full and straight, Suryavanshi stays in his crease, moves towards the off a touch, and 
digs it out past the bowler",3.2,1,1.0,"Kamboj to V Suryavanshi, 1 run  .full and straight, Suryavanshi stays in his crease, moves towards the off a touch, and  .digs it out past the bowler",Kamboj,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"3.3 
4 
Kamboj to Jaiswal, FOUR runs 
lofted in the air and just over the head of Ashwin on the edge of the circle at mid off, 
Jaiswal did not time it all that well, but it was well enough in the end",3.3,4,4.0,"Kamboj to Jaiswal, FOUR runs  .lofted in the air and just over the head of Ashwin on the edge of the circle at mid off,  .Jaiswal did not time it all that well, but it was well enough in the end",Kamboj,Jaiswal,4.0,1,0,1,1,4.0,0,,1
"3.4 
W 
Kamboj to Jaiswal, OUT 
hits off stump and Kamboj is pumped! Hard length angling across the left-hander from 
over the wicket, Jasiwal swipes across the line and gets a thin inside edge that drags 
the ball back on to off stump 
Yashasvi Jaiswal b Kamboj 36 (19b 5x4 2x6 17m) SR: 189.47 
See all photos 
Mohit: ""All of first 32 team runs were made by same batter! Is this a record?"" 
Sanju Samson at No. 3 ...",3.4,W,0.0,"Kamboj to Jaiswal, OUT  .hits off stump and Kamboj is pumped! Hard length angling across the left-hander from  .over the wicket, Jasiwal swipes across the line and gets a thin inside edge that drags  .the ball back on to off stump  .Yashasvi Jaiswal b Kamboj 36 (19b 5x4 2x6 17m) SR: 189.47",Kamboj,Jaiswal,0.0,0,0,1,1,0.0,1,b Kamboj,0
"3.5 
• 
Kamboj to Samson, no run 
played watchfully from his crease towards point",3.5,0,0.0,"Kamboj to Samson, no run  .played watchfully from his crease towards point",Kamboj,Samson,0.0,0,0,1,1,0.0,0,,0
"3.6 
1 
Kamboj to Samson, 1 run 
stays in his crease and works the ball with the angle into him through midwicket 
end of over 47 runs • 1 wicket 
RR: 38/1CRR: 9.50 • RRR: 9.37 • Need 150 runs from 96b 
Sanju Samson1 (2b) 
Vaibhav Suryavanshi1 (3b) 
Anshul Kamboj 2-0-14-1 
Khaleel Ahmed 2-0-24-0 
Khaleel gets a third over in the powerplay.",3.6,1,1.0,"Kamboj to Samson, 1 run  .stays in his crease and works the ball with the angle into him through midwicket",Kamboj,Samson,1.0,0,0,1,1,1.0,0,,1
"4.1 
1 
Khaleel Ahmed to Samson, 1 run 
length ball on the pads, Samson clips it in the air towards deep backward square leg",4.1,1,1.0,"Khaleel Ahmed to Samson, 1 run  .length ball on the pads, Samson clips it in the air towards deep backward square leg",Khaleel Ahmed,Samson,1.0,0,0,1,1,1.0,0,,1
"4.2 
4 
Khaleel Ahmed to V Suryavanshi, FOUR runs 
superb ball but it goes for four off the outside edge! Khaleel angled it into the left-
hander from over the wicket, pitched on a good length and seamed it away, Suryavanshi 
went poking at it and got a thick outside edge past Dhoni",4.2,4,4.0,"Khaleel Ahmed to V Suryavanshi, FOUR runs  .superb ball but it goes for four off the outside edge! Khaleel angled it into the left- .hander from over the wicket, pitched on a good length and seamed it away, Suryavanshi  .went poking at it and got a thick outside edge past Dhoni",Khaleel Ahmed,V Suryavanshi,4.0,1,0,1,1,4.0,0,,1
"4.3 
1 
Khaleel Ahmed to V Suryavanshi, 1 run 
full ball on middle, played off the pads towards midwicket",4.3,1,1.0,"Khaleel Ahmed to V Suryavanshi, 1 run  .full ball on middle, played off the pads towards midwicket",Khaleel Ahmed,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"4.4 
4 
Khaleel Ahmed to Samson, FOUR runs 
that's a lovely shot from Samson, just pressed forward and played a lofted checked-
drive to a full ball, timing it so well that the ball bounced just inside the straight 
boundary",4.4,4,4.0,"Khaleel Ahmed to Samson, FOUR runs  .that's a lovely shot from Samson, just pressed forward and played a lofted checked- .drive to a full ball, timing it so well that the ball bounced just inside the straight  .boundary",Khaleel Ahmed,Samson,4.0,1,0,1,1,4.0,0,,1
"4.5 
• 
Khaleel Ahmed to Samson, no run 
short of a length outside off, cut off the back foot to point",4.5,0,0.0,"Khaleel Ahmed to Samson, no run  .short of a length outside off, cut off the back foot to point",Khaleel Ahmed,Samson,0.0,0,0,1,1,0.0,0,,0
"4.6 
1 
Khaleel Ahmed to Samson, 1 run 
slower ball with width outside off, Samson mis-times the cut off the back foot in front of 
point 
end of over 511 runs  
RR: 49/1CRR: 9.80 • RRR: 9.26 • Need 139 runs from 90b 
Sanju Samson7 (6b 1x4) 
Vaibhav Suryavanshi6 (5b 1x4) 
Khaleel Ahmed 3-0-35-0 
Anshul Kamboj 2-0-14-1",4.6,1,1.0,"Khaleel Ahmed to Samson, 1 run  .slower ball with width outside off, Samson mis-times the cut off the back foot in front of  .point",Khaleel Ahmed,Samson,1.0,0,0,1,1,1.0,0,,1
"5.1 
• 
Kamboj to Samson, no run 
good length on a tight line around off stump, Test match stuff in a T20 game, Samson 
stays in his crease and punches to mid on",5.1,0,0.0,"Kamboj to Samson, no run  .good length on a tight line around off stump, Test match stuff in a T20 game, Samson  .stays in his crease and punches to mid on",Kamboj,Samson,0.0,0,0,1,1,0.0,0,,0
"5.2 
1 
Kamboj to Samson, 1 run 
good length again on off stump, this time Samson opens the face and steers through 
point to bring up the fifty for RR ... by the way, Kamboj has a really long run up",5.2,1,1.0,"Kamboj to Samson, 1 run  .good length again on off stump, this time Samson opens the face and steers through  .point to bring up the fifty for RR ... by the way, Kamboj has a really long run up",Kamboj,Samson,1.0,0,0,1,1,1.0,0,,1
"5.3 
1 
Kamboj to V Suryavanshi, 1 run 
full toss angling across the left-hander, Suryavanshi drives but can't beat the diving 
Brevis at cover",5.3,1,1.0,"Kamboj to V Suryavanshi, 1 run  .full toss angling across the left-hander, Suryavanshi drives but can't beat the diving  .Brevis at cover",Kamboj,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"5.4 
• 
Kamboj to Samson, no run 
played off the pads towards midwicket 
 
Vaibhav Suryavanshi in IPL, 2025 
INNS 
7 
RUNS 
202 
SR 
212.63 
AVE 
33.66 
HS 
101",5.4,0,0.0,"Kamboj to Samson, no run  .played off the pads towards midwicket  .  .Vaibhav Suryavanshi in IPL, 2025  .INNS  .7  .RUNS  .202  .SR  .212.63  .AVE  .33.66  .HS  .101",Kamboj,Samson,0.0,0,0,1,1,0.0,0,,0
"5.5 
1 
Kamboj to Samson, 1 run 
driven to extra cover where a sharp save keeps it to just a single",5.5,1,1.0,"Kamboj to Samson, 1 run  .driven to extra cover where a sharp save keeps it to just a single",Kamboj,Samson,1.0,0,0,1,1,1.0,0,,1
"5.6 
4 
Kamboj to V Suryavanshi, FOUR runs 
shot! Moves forward and towards the off to drive a length ball on the up through the 
covers 
end of over 67 runs  
RR: 56/1CRR: 9.33 • RRR: 9.42 • Need 132 runs from 84b 
Vaibhav Suryavanshi11 (7b 2x4) 
Sanju Samson9 (10b 1x4) 
Anshul Kamboj 3-0-21-1 
Khaleel Ahmed 3-0-35-0 
Ashwin comes on as soon as the powerplay is over.",5.6,4,4.0,"Kamboj to V Suryavanshi, FOUR runs  .shot! Moves forward and towards the off to drive a length ball on the up through the  .covers",Kamboj,V Suryavanshi,4.0,1,0,1,1,4.0,0,,1
"6.1 
1 
Ashwin to Samson, 1 run 
stays back to one outside off and punches to long off",6.1,1,1.0,"Ashwin to Samson, 1 run  .stays back to one outside off and punches to long off",Ashwin,Samson,1.0,0,0,1,1,1.0,0,,1
"6.2 
1 
Ashwin to V Suryavanshi, 1 run 
around the wicket to the left-hander, driven from the crease to long off for one more 
Rajat: ""Samson, Abhishek, Sai Sudharsan, Jaiswal, Gill. Agarkar and co have to select 2 
of these and a backup for the T20I team. A very strong headache!""",6.2,1,1.0,"Ashwin to V Suryavanshi, 1 run  .around the wicket to the left-hander, driven from the crease to long off for one more",Ashwin,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
"6.3 
6 
Ashwin to Samson, SIX runs 
that's high, very high, and just far enough to clear Brevis on the straight boundary. 
Samson cleared his front foot and lofted the ball straight back over the bowler's head, it 
didn't look like he timed it all that well at first",6.3,6,6.0,"Ashwin to Samson, SIX runs  .that's high, very high, and just far enough to clear Brevis on the straight boundary.  .Samson cleared his front foot and lofted the ball straight back over the bowler's head, it  .didn't look like he timed it all that well at first",Ashwin,Samson,6.0,0,1,1,1,6.0,0,,1
"6.4 
1 
Ashwin to Samson, 1 run 
pulled towards long on for a single",6.4,1,1.0,"Ashwin to Samson, 1 run  .pulled towards long on for a single",Ashwin,Samson,1.0,0,0,1,1,1.0,0,,1
"6.5 
• 
Ashwin to V Suryavanshi, no run 
pushed into the covers",6.5,0,0.0,"Ashwin to V Suryavanshi, no run  .pushed into the covers",Ashwin,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"6.6 
• 
Ashwin to V Suryavanshi, no run 
played off the pads towards the fielder at short fine 
end of over 79 runs  
RR: 65/1CRR: 9.28 • RRR: 9.46 • Need 123 runs from 78b 
Vaibhav Suryavanshi12 (10b 2x4) 
Sanju Samson17 (13b 1x4 1x6) 
Ravichandran Ashwin 1-0-9-0 
Anshul Kamboj 3-0-21-1 
 
Noor Ahmad in IPL, 2025 
INNS 
13 
WKTS 
20 
ECON 
8.01 
AVE 
17.30 
BEST 
4/18",6.6,0,0.0,"Ashwin to V Suryavanshi, no run  .played off the pads towards the fielder at short fine",Ashwin,V Suryavanshi,0.0,0,0,1,1,0.0,0,,0
"7.1 
1 
Noor Ahmad to Samson, 1 run 
Noor slides his first ball across the right-hander from over the wicket, Samson uses the 
width to cut behind point",7.1,1,1.0,"Noor Ahmad to Samson, 1 run  .Noor slides his first ball across the right-hander from over the wicket, Samson uses the  .width to cut behind point",Noor Ahmad,Samson,1.0,0,0,1,1,1.0,0,,1
"7.2 
1 
Noor Ahmad to V Suryavanshi, 1 run 
slogged down to long on with the angle into the left-hander from over the wicket, did not 
time that well",7.2,1,1.0,"Noor Ahmad to V Suryavanshi, 1 run  .slogged down to long on with the angle into the left-hander from over the wicket, did not  .time that well",Noor Ahmad,V Suryavanshi,1.0,0,0,1,1,1.0,0,,1
