raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Khaleel Ahmed to Abhishek, no run 
Swing and a miss! Back of a length at 135kph outside off, Abhishek looks to pull but is 
beaten on the outside edge",0.1,0,0.0,"Khaleel Ahmed to Abhishek, no run  .Swing and a miss! Back of a length at 135kph outside off, Abhishek looks to pull but is  .beaten on the outside edge",Khaleel Ahmed,Abhishek,0.0,0,0,1,1,0.0,0,,0
"0.2 
W 
Khaleel Ahmed to Abhishek, OUT 
Chipped to cover! First ball wicket in the first innings, and a second-ball strike in the 
second! This is on a length outside off at 137kph, Abhishek looks to go through the line 
and spoons a simple chance to the young Ayush Mhatre, who takes an easy catch 
Abhishek Sharma c Mhatre b Ahmed 0 (2b 0x4 0x6 2m) SR: 0 
See all photos 
Ishan Kishan",0.2,W,0.0,"Khaleel Ahmed to Abhishek, OUT  .Chipped to cover! First ball wicket in the first innings, and a second-ball strike in the  .second! This is on a length outside off at 137kph, Abhishek looks to go through the line  .and spoons a simple chance to the young Ayush Mhatre, who takes an easy catch  .Abhishek Sharma c Mhatre b Ahmed 0 (2b 0x4 0x6 2m) SR: 0",Khaleel Ahmed,Abhishek,0.0,0,0,1,1,0.0,1,c Mhatre b Ahmed,0
"0.3 
1w 
Khaleel Ahmed to Ishan, 1 wide 
Khaleel messes up his line and goes way too wide 
Prashant SR: ""Aaron and Finch are in the Time Out, and I felt that ""AND"" was mistakenly 
written."" -- I don't blame you! 
 
Ishan Kishan vs Khaleel Ahmed 
BALLS 
28 
RUNS 
49 
OUTS 
0 
SR 
175.00 
4s/6s 
9/0",0.3,1w,1.0,"Khaleel Ahmed to Ishan, 1 wide  .Khaleel messes up his line and goes way too wide",Khaleel Ahmed,Ishan,0.0,0,0,0,0,1.0,0,,1
"0.3 
1 
Khaleel Ahmed to Ishan, 1 run 
On a length outside off, hint of inward movement, Kishan opens his blade to run it down 
to deep third",0.3,1,1.0,"Khaleel Ahmed to Ishan, 1 run  .On a length outside off, hint of inward movement, Kishan opens his blade to run it down  .to deep third",Khaleel Ahmed,Ishan,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Khaleel Ahmed to Head, no run 
Just short of good length around off, Head blocks on the back foot",0.4,0,0.0,"Khaleel Ahmed to Head, no run  .Just short of good length around off, Head blocks on the back foot",Khaleel Ahmed,Head,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Khaleel Ahmed to Head, FOUR runs 
Slashed over slip! Travis Head gets off the mark in style. Short and wide, he throws his 
bat at it. It's a bit of an edge, but he hit it hard enough to easily fetch a boundary",0.5,4,4.0,"Khaleel Ahmed to Head, FOUR runs  .Slashed over slip! Travis Head gets off the mark in style. Short and wide, he throws his  .bat at it. It's a bit of an edge, but he hit it hard enough to easily fetch a boundary",Khaleel Ahmed,Head,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Khaleel Ahmed to Head, no run 
Back of length outside off, cut to point. Eventful first over comes to an end 
end of over 16 runs • 1 wicket 
SRH: 6/1CRR: 6.00 • RRR: 7.84 • Need 149 runs from 114b 
Travis Head4 (3b 1x4) 
Ishan Kishan1 (1b) 
Khaleel Ahmed 1-0-6-1 
Anshul Kamboj from the other end",0.6,0,0.0,"Khaleel Ahmed to Head, no run  .Back of length outside off, cut to point. Eventful first over comes to an end",Khaleel Ahmed,Head,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Kamboj to Ishan, no run 
Length ball angled across him, Kishan eases it to backward point",1.1,0,0.0,"Kamboj to Ishan, no run  .Length ball angled across him, Kishan eases it to backward point",Kamboj,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Kamboj to Ishan, no run 
Full around middle, tucked to midwicket",1.2,0,0.0,"Kamboj to Ishan, no run  .Full around middle, tucked to midwicket",Kamboj,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Kamboj to Ishan, FOUR runs 
Clubbed down the ground! This is in the slot around off and Kishan drives it straight of 
mid-off. He hit it in the air, but in the gap",1.3,4,4.0,"Kamboj to Ishan, FOUR runs  .Clubbed down the ground! This is in the slot around off and Kishan drives it straight of  .mid-off. He hit it in the air, but in the gap",Kamboj,Ishan,4.0,1,0,1,1,4.0,0,,1
"1.4 
1 
Kamboj to Ishan, 1 run 
Full around off, he looks to drive and gets an inside edge onto his boots and the ball 
deflects towards extra cover. They take a quick single",1.4,1,1.0,"Kamboj to Ishan, 1 run  .Full around off, he looks to drive and gets an inside edge onto his boots and the ball  .deflects towards extra cover. They take a quick single",Kamboj,Ishan,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Kamboj to Head, no run 
Drives this full ball to mid-off",1.5,0,0.0,"Kamboj to Head, no run  .Drives this full ball to mid-off",Kamboj,Head,0.0,0,0,1,1,0.0,0,,0
"1.6 
2 
Kamboj to Head, 2 runs 
On a length around leg, tucked out to deep backward square's left 
Here's a stat from Namooh: First time in IPL at Chennai when opening partnership in 
both the innings didn't score a run, tenth time in IPL 
end of over 27 runs  
SRH: 13/1CRR: 6.50 • RRR: 7.88 • Need 142 runs from 108b 
Travis Head6 (5b 1x4) 
Ishan Kishan6 (5b 1x4) 
Anshul Kamboj 1-0-7-0 
Khaleel Ahmed 1-0-6-1",1.6,2,2.0,"Kamboj to Head, 2 runs  .On a length around leg, tucked out to deep backward square's left  .Here's a stat from Namooh: First time in IPL at Chennai when opening partnership in  .both the innings didn't score a run, tenth time in IPL",Kamboj,Head,2.0,0,0,1,1,2.0,0,,1
