raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Axar Patel to B Sai Sudharsan, no run 
bowls fullish, and just outside leg. The ball turns down further, and is clipped to short 
fine leg 
Over the stumps now",0.1,0,0.0,"Axar Patel to B Sai Sudharsan, no run  .bowls fullish, and just outside leg. The ball turns down further, and is clipped to short  .fine leg  .Over the stumps now",Axar Patel,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Axar Patel to B Sai Sudharsan, FOUR runs 
the man at short fine leg dived to his left and got a hand, but the ball dribbled away for 
four. It was on a length on the stumps, as Sai pulled off the bottom of the bat",0.2,4,4.0,"Axar Patel to B Sai Sudharsan, FOUR runs  .the man at short fine leg dived to his left and got a hand, but the ball dribbled away for  .four. It was on a length on the stumps, as Sai pulled off the bottom of the bat",Axar Patel,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"0.3 
1 
Axar Patel to B Sai Sudharsan, 1 run 
fuller, and on middle and off. Punched wide of long-on 
Gill facing his first ball 
Axar back around the wicket",0.3,1,1.0,"Axar Patel to B Sai Sudharsan, 1 run  .fuller, and on middle and off. Punched wide of long-on  .Gill facing his first ball  .Axar back around the wicket",Axar Patel,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
Axar Patel to Gill, no run 
half an appeal for lbw, but Gill seemed to have got an inside edge as he looked to block 
this full and flat ball just outsdie off",0.4,0,0.0,"Axar Patel to Gill, no run  .half an appeal for lbw, but Gill seemed to have got an inside edge as he looked to block  .this full and flat ball just outsdie off",Axar Patel,Gill,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Axar Patel to Gill, no run 
on a length around middle and off, and straightening after pitching. Gill pushes to extra 
cover 
 
Shubman Gill vs Axar Patel 
BALLS 
54 
RUNS 
78 
OUTS 
0 
SR 
144.44 
4s/6s 
1/8",0.5,0,0.0,"Axar Patel to Gill, no run  .on a length around middle and off, and straightening after pitching. Gill pushes to extra  .cover  .  .Shubman Gill vs Axar Patel  .BALLS  .54  .RUNS  .78  .OUTS  .0  .SR  .144.44  .4s/6s  .1/8",Axar Patel,Gill,0.0,0,0,1,1,0.0,0,,0
"0.6 
6 
Axar Patel to Gill, SIX runs 
bam! Six over deep midwicket! You don't really see Gill reaching out for a ball outside 
off, and dispatch it across the line. This one was on a length, and around sixth stump, as 
he swung full stretch, and just cleared the boundary 
end of over 111 runs  
GT: 11/0CRR: 11.00 • RRR: 9.94 • Need 189 runs from 114b 
Shubman Gill6 (3b 1x6) 
Sai Sudharsan5 (3b 1x4) 
Axar Patel 1-0-11-0 
Natarajan from the other end",0.6,6,6.0,"Axar Patel to Gill, SIX runs  .bam! Six over deep midwicket! You don't really see Gill reaching out for a ball outside  .off, and dispatch it across the line. This one was on a length, and around sixth stump, as  .he swung full stretch, and just cleared the boundary",Axar Patel,Gill,6.0,0,1,1,1,6.0,0,,1
"1.1 
6 
Natarajan to B Sai Sudharsan, SIX runs 
six for Sai Sudharsan too! Short of a length on leg, and Sai Sudharsan waits before 
having a full swipe at it for a flat six over fine leg",1.1,6,6.0,"Natarajan to B Sai Sudharsan, SIX runs  .six for Sai Sudharsan too! Short of a length on leg, and Sai Sudharsan waits before  .having a full swipe at it for a flat six over fine leg",Natarajan,B Sai Sudharsan,6.0,0,1,1,1,6.0,0,,1
"1.2 
4 
Natarajan to B Sai Sudharsan, FOUR runs 
slapped to deep-backward point. Natarajan swung this away, but bowled on the shorter 
side, and wide of off. Sai Sudharsan had plenty of room to cut away for four",1.2,4,4.0,"Natarajan to B Sai Sudharsan, FOUR runs  .slapped to deep-backward point. Natarajan swung this away, but bowled on the shorter  .side, and wide of off. Sai Sudharsan had plenty of room to cut away for four",Natarajan,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.3 
4 
Natarajan to B Sai Sudharsan, FOUR runs 
this is great batting! He punches this short-of-a-length ball around sixth stump through 
extra cover, and beats the man at deep cover to his left",1.3,4,4.0,"Natarajan to B Sai Sudharsan, FOUR runs  .this is great batting! He punches this short-of-a-length ball around sixth stump through  .extra cover, and beats the man at deep cover to his left",Natarajan,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Natarajan to B Sai Sudharsan, no run 
shorter side of a length again, but this is much closer to off. Sai Sudharsan punches 
hard to mid-on, with a high right elbow 
Pmdixit: ""Orange Cap competition begins between these two""",1.4,0,0.0,"Natarajan to B Sai Sudharsan, no run  .shorter side of a length again, but this is much closer to off. Sai Sudharsan punches  .hard to mid-on, with a high right elbow",Natarajan,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.5 
2 
Natarajan to B Sai Sudharsan, 2 runs 
another one which swing away, but this pitches on a good length and in the corridor 
outside off. Punched towards deep cover, and they push for two",1.5,2,2.0,"Natarajan to B Sai Sudharsan, 2 runs  .another one which swing away, but this pitches on a good length and in the corridor  .outside off. Punched towards deep cover, and they push for two",Natarajan,B Sai Sudharsan,2.0,0,0,1,1,2.0,0,,1
