raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Chahar to J Fraser-McGurk, OUT 
Golden duck for JFM and it's a super softy. Reaches out to a 132ks fullish ball outside 
off, wanted to drive through cover but pushed at it way too early. Was too late to check 
the shot and the ball spooned straight to the infielder. 
Jake Fraser-McGurk c Jacks b Chahar 0 (1b 0x4 0x6 1m) SR: 0 
 
IMPACT SUBDC 
KK Nair 
Mukesh Kumar 
People's wish in the comments come trues. Karun Nair is the Impact Sub for DC, 
Mukesh Kumar is out 
Jake Fraser-McGurk average in IPL 20259.20",0.1,W,0.0,"Chahar to J Fraser-McGurk, OUT  .Golden duck for JFM and it's a super softy. Reaches out to a 132ks fullish ball outside  .off, wanted to drive through cover but pushed at it way too early. Was too late to check  .the shot and the ball spooned straight to the infielder.  .Jake Fraser-McGurk c Jacks b Chahar 0 (1b 0x4 0x6 1m) SR: 0",Chahar,J Fraser-McGurk,0.0,0,0,1,1,0.0,1,c Jacks b Chahar,0
"0.2 
1 
Chahar to Nair, 1 run 
Big inswinging yorker on off, Nair does well to jam it towards point. Kept the hands soft, 
so the bat-face opened. Tilak swoops in from backward point and underarms a direct hit 
at the striker's but the batter is in",0.2,1,1.0,"Chahar to Nair, 1 run  .Big inswinging yorker on off, Nair does well to jam it towards point. Kept the hands soft,  .so the bat-face opened. Tilak swoops in from backward point and underarms a direct hit  .at the striker's but the batter is in",Chahar,Nair,1.0,0,0,1,1,1.0,0,,1
"0.3 
4 
Chahar to Abishek Porel, FOUR runs 
Overpitched and Porel nails the cover drive. With a flourish too. Ball was swinging in 
towards fourth stump, batter played in front of the body",0.3,4,4.0,"Chahar to Abishek Porel, FOUR runs  .Overpitched and Porel nails the cover drive. With a flourish too. Ball was swinging in  .towards fourth stump, batter played in front of the body",Chahar,Abishek Porel,4.0,1,0,1,1,4.0,0,,1
"0.4 
1 
Chahar to Abishek Porel, 1 run 
Swing in again, nicely driven. Mid-on stops it 
Raj Patel : ""Whatta ball that",0.4,1,1.0,"Chahar to Abishek Porel, 1 run  .Swing in again, nicely driven. Mid-on stops it",Chahar,Abishek Porel,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Chahar to Nair, no run 
LBW appeal turned down, looked too straight. Fullish ball swung in and beat the flick, 
impact was outside leg as it hit front pad",0.5,0,0.0,"Chahar to Nair, no run  .LBW appeal turned down, looked too straight. Fullish ball swung in and beat the flick,  .impact was outside leg as it hit front pad",Chahar,Nair,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Chahar to Nair, no run 
Similar ball, 138ks, Nair tries to whip it fine. Misses, ball goes off the pad to the keeper's 
left, he stops it 
Walt: ""Gotta move on from JFM. He's too unreliable as an opener and too prone to 
cheap, easy dismissals. Surely DC have better options to open?"" 
end of over 16 runs • 1 wicket 
DC: 6/1CRR: 6.00 • RRR: 10.52 • Need 200 runs from 114b 
Karun Nair1 (3b) 
Abishek Porel5 (2b 1x4) 
Deepak Chahar 1-0-6-1 
Only the second time since 2019 that Trent Boult hasn't bowled the first over in the IPL 
for his team, says Sampath, our statistician. Boult's bowling the second though. Has a 
slip",0.6,0,0.0,"Chahar to Nair, no run  .Similar ball, 138ks, Nair tries to whip it fine. Misses, ball goes off the pad to the keeper's  .left, he stops it",Chahar,Nair,0.0,0,0,1,1,0.0,0,,0
"1.1 
1 
Boult to Abishek Porel, 1 run 
Length on leg, flicked to deep square leg.",1.1,1,1.0,"Boult to Abishek Porel, 1 run  .Length on leg, flicked to deep square leg.",Boult,Abishek Porel,1.0,0,0,1,1,1.0,0,,1
"1.2 
4 
Boult to Nair, FOUR runs 
No swing and Nair drives it on top of the bounce. Deep point's in place but it's well to his 
right. Was a length ball angling away through fifth, was an attempted inswinger",1.2,4,4.0,"Boult to Nair, FOUR runs  .No swing and Nair drives it on top of the bounce. Deep point's in place but it's well to his  .right. Was a length ball angling away through fifth, was an attempted inswinger",Boult,Nair,4.0,1,0,1,1,4.0,0,,1
"1.3 
4 
Boult to Nair, FOUR runs 
Cut well, a bit like Steve Smith from Nair. The flash of the bat is quick but the follow-
through stops around when bat's in line with the front shoulder. Deep point's beaten to 
the left this time, in fact he didn't move 
 
Karun Nair vs Trent Boult 
BALLS 
5 
RUNS 
15 
OUTS 
0 
SR 
300.00 
4s/6s 
2/1",1.3,4,4.0,"Boult to Nair, FOUR runs  .Cut well, a bit like Steve Smith from Nair. The flash of the bat is quick but the follow- .through stops around when bat's in line with the front shoulder. Deep point's beaten to  .the left this time, in fact he didn't move  .  .Karun Nair vs Trent Boult  .BALLS  .5  .RUNS  .15  .OUTS  .0  .SR  .300.00  .4s/6s  .2/1",Boult,Nair,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Boult to Nair, no run 
Miscommunication. Nair wants the run, is sent back as Rohit comes in from point and 
throws. No direct hit. Was a length ball, scramble seam, on the back leg that beat the 
pull",1.4,0,0.0,"Boult to Nair, no run  .Miscommunication. Nair wants the run, is sent back as Rohit comes in from point and  .throws. No direct hit. Was a length ball, scramble seam, on the back leg that beat the  .pull",Boult,Nair,0.0,0,0,1,1,0.0,0,,0
