raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Arshdeep to Rahul, no run 
Full and swinging in from outside off, driven straight to cover, 133.3kph 
 
KL Rahul vs Arshdeep Singh 
BALLS 
27 
RUNS 
31 
OUTS 
2 
SR 
114.81 
4s/6s 
4/1",0.1,0,0.0,"Arshdeep to Rahul, no run  .Full and swinging in from outside off, driven straight to cover, 133.3kph  .  .KL Rahul vs Arshdeep Singh  .BALLS  .27  .RUNS  .31  .OUTS  .2  .SR  .114.81  .4s/6s  .4/1",Arshdeep,Rahul,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Arshdeep to Rahul, no run 
Lovely! Swinging in from outside off, but not too much, 134.8kph. Rahul looks to drive 
down the ground, accounting for the swing, but it passes just past the outside edge",0.2,0,0.0,"Arshdeep to Rahul, no run  .Lovely! Swinging in from outside off, but not too much, 134.8kph. Rahul looks to drive  .down the ground, accounting for the swing, but it passes just past the outside edge",Arshdeep,Rahul,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
Arshdeep to Rahul, 1 run 
Fuller on off, driven to mid-off for a quick one 
praf: ""so neither Atal not Karun opening?? oh man.. this is the exact issue with DC 
management.. no clarity "" I, too, thought Atal would open. But understandable why they 
went with Rahul",0.3,1,1.0,"Arshdeep to Rahul, 1 run  .Fuller on off, driven to mid-off for a quick one",Arshdeep,Rahul,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Arshdeep to du Plessis, 1 run 
Very full outside off, squeezed through point",0.4,1,1.0,"Arshdeep to du Plessis, 1 run  .Very full outside off, squeezed through point",Arshdeep,du Plessis,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Arshdeep to Rahul, 1 run 
Short ball on middle and leg, gets big on Rahul as he pulls through backward square leg",0.5,1,1.0,"Arshdeep to Rahul, 1 run  .Short ball on middle and leg, gets big on Rahul as he pulls through backward square leg",Arshdeep,Rahul,1.0,0,0,1,1,1.0,0,,1
"0.6 
4 
Arshdeep to du Plessis, FOUR runs 
Cracks the pull in front of square. Short again from Arshdeep, du Plessis quickly 
transfers his weight back and hits it away from the man in the deep 
end of over 17 runs  
DC: 7/0CRR: 7.00 • RRR: 10.52 • Need 200 runs from 114b 
Faf du Plessis5 (2b 1x4) 
KL Rahul2 (4b) 
Arshdeep Singh 1-0-7-0 
Azmatullah Omarzai from the other end",0.6,4,4.0,"Arshdeep to du Plessis, FOUR runs  .Cracks the pull in front of square. Short again from Arshdeep, du Plessis quickly  .transfers his weight back and hits it away from the man in the deep",Arshdeep,du Plessis,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Azmatullah to Rahul, no run 
Fuller around off, a hint of outswing, push-drives it to mid-off, 129kph",1.1,0,0.0,"Azmatullah to Rahul, no run  .Fuller around off, a hint of outswing, push-drives it to mid-off, 129kph",Azmatullah,Rahul,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Azmatullah to Rahul, no run 
Length ball outside off, punched to cover",1.2,0,0.0,"Azmatullah to Rahul, no run  .Length ball outside off, punched to cover",Azmatullah,Rahul,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Azmatullah to Rahul, FOUR runs 
What timing, KL! Shaping away from a length outside off, Rahul goes back and punches 
it through cover-point. Man in the deep was behind square",1.3,4,4.0,"Azmatullah to Rahul, FOUR runs  .What timing, KL! Shaping away from a length outside off, Rahul goes back and punches  .it through cover-point. Man in the deep was behind square",Azmatullah,Rahul,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Azmatullah to Rahul, no run 
Length ball on off and middle, 133.9kph, pushed back defensively",1.4,0,0.0,"Azmatullah to Rahul, no run  .Length ball on off and middle, 133.9kph, pushed back defensively",Azmatullah,Rahul,0.0,0,0,1,1,0.0,0,,0
