raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Starc to Salt, no run 
fullish just outside off, shaping back in a touch. Salt gets onto the front foot and drives 
it towards mid off 
 
Phil Salt vs Mitchell Starc 
BALLS 
9 
RUNS 
19 
OUTS 
0 
SR 
211.11 
4s/6s 
1/2",0.1,0,0.0,"Starc to Salt, no run  .fullish just outside off, shaping back in a touch. Salt gets onto the front foot and drives  .it towards mid off  .  .Phil Salt vs Mitchell Starc  .BALLS  .9  .RUNS  .19  .OUTS  .0  .SR  .211.11  .4s/6s  .1/2",Starc,Salt,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Starc to Salt, no run 
on a length now, and curving back into middle and leg. Salt has a swish at it and jams it 
off the inside edge into his pads",0.2,0,0.0,"Starc to Salt, no run  .on a length now, and curving back into middle and leg. Salt has a swish at it and jams it  .off the inside edge into his pads",Starc,Salt,0.0,0,0,1,1,0.0,0,,0
"0.3 
5w 
Starc to Salt, 5 wide 
that has flown over everyone's heads! Banged into the track on middle and off. Kicks up 
off the surface and sails over both the batter and the keeper. One bounce and into the 
fence!",0.3,5w,5.0,"Starc to Salt, 5 wide  .that has flown over everyone's heads! Banged into the track on middle and off. Kicks up  .off the surface and sails over both the batter and the keeper. One bounce and into the  .fence!",Starc,Salt,0.0,0,0,0,0,5.0,0,,1
"0.3 
1 
Starc to Salt, 1 run 
back of a length outside off. Salt throws his hands at it and jabs it towards deep 
backward point 
Kohli has scored 40 runs off 19 balls facing Starc in the IPL. Odds favouring the RCB 
talisman",0.3,1,1.0,"Starc to Salt, 1 run  .back of a length outside off. Salt throws his hands at it and jabs it towards deep  .backward point  .Kohli has scored 40 runs off 19 balls facing Starc in the IPL. Odds favouring the RCB  .talisman",Starc,Salt,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Starc to Kohli, 1 run 
back of a length just outside off. Kohli drops it into the off side and canters across to 
the other end",0.4,1,1.0,"Starc to Kohli, 1 run  .back of a length just outside off. Kohli drops it into the off side and canters across to  .the other end",Starc,Kohli,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Starc to Salt, no run 
length on middle and off. Salt gets a half stride forward and pushes it towards cover 
This contest just feels like it could bubble over soon. Salt will want to break free, Starc 
will want a wicket early",0.5,0,0.0,"Starc to Salt, no run  .length on middle and off. Salt gets a half stride forward and pushes it towards cover  .This contest just feels like it could bubble over soon. Salt will want to break free, Starc  .will want a wicket early",Starc,Salt,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Starc to Salt, no run 
full and wide outside off. Salt is a little taken aback by how full that is and cannot waft 
at it in time. Not a great deal of swing, but good variation on the length 
end of over 17 runs  
RCB: 7/0CRR: 7.00  
Phil Salt1 (5b) 
Virat Kohli1 (1b) 
Mitchell Starc 1-0-7-0 
Axar takes responsibility of sharing the new ball. This is an interesting call",0.6,0,0.0,"Starc to Salt, no run  .full and wide outside off. Salt is a little taken aback by how full that is and cannot waft  .at it in time. Not a great deal of swing, but good variation on the length",Starc,Salt,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Axar Patel to Kohli, FOUR runs 
sliced, and Kohli gets his first boundary! Back of a length on middle and off. Holds in 
the surface and Kohli, looking to back away and cut it, gets enough bat to clear short 
third! 
 
Virat Kohli vs Axar Patel 
BALLS 
72 
RUNS 
82 
OUTS 
1 
SR 
113.88 
4s/6s 
6/2",1.1,4,4.0,"Axar Patel to Kohli, FOUR runs  .sliced, and Kohli gets his first boundary! Back of a length on middle and off. Holds in  .the surface and Kohli, looking to back away and cut it, gets enough bat to clear short  .third!  .  .Virat Kohli vs Axar Patel  .BALLS  .72  .RUNS  .82  .OUTS  .1  .SR  .113.88  .4s/6s  .6/2",Axar Patel,Kohli,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Axar Patel to Kohli, no run 
back of a length, angling into the stumps. Kohli stays put this time and taps it tamely 
into the on side",1.2,0,0.0,"Axar Patel to Kohli, no run  .back of a length, angling into the stumps. Kohli stays put this time and taps it tamely  .into the on side",Axar Patel,Kohli,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Axar Patel to Kohli, 1 run 
back of a length on middle and leg. Kohli stabs it enough to mid on's right and picks up 
a single",1.3,1,1.0,"Axar Patel to Kohli, 1 run  .back of a length on middle and leg. Kohli stabs it enough to mid on's right and picks up  .a single",Axar Patel,Kohli,1.0,0,0,1,1,1.0,0,,1
"1.4 
6 
Axar Patel to Salt, SIX runs 
dragged down, and smashed into the stands! Not a great ball, sitting up on off stump. 
Salt lines it up early and thunders it over deep mid wicket!",1.4,6,6.0,"Axar Patel to Salt, SIX runs  .dragged down, and smashed into the stands! Not a great ball, sitting up on off stump.  .Salt lines it up early and thunders it over deep mid wicket!",Axar Patel,Salt,6.0,0,1,1,1,6.0,0,,1
"1.5 
4 
Axar Patel to Salt, FOUR runs 
this is another scorcher! Back of a length on middle and off. Salt stays leg side, gets his 
hands through the ball and cracks it between extra cover and long off!",1.5,4,4.0,"Axar Patel to Salt, FOUR runs  .this is another scorcher! Back of a length on middle and off. Salt stays leg side, gets his  .hands through the ball and cracks it between extra cover and long off!",Axar Patel,Salt,4.0,1,0,1,1,4.0,0,,1
"1.6 
1 
Axar Patel to Salt, 1 run 
pushed in on a length on leg stump. Salt presses half forward and pushes it towards 
long off 
end of over 216 runs  
RCB: 23/0CRR: 11.50  
Phil Salt12 (8b 1x4 1x6) 
Virat Kohli6 (4b 1x4) 
Axar Patel 1-0-16-0 
Mitchell Starc 1-0-7-0 
Starc to continue",1.6,1,1.0,"Axar Patel to Salt, 1 run  .pushed in on a length on leg stump. Salt presses half forward and pushes it towards  .long off",Axar Patel,Salt,1.0,0,0,1,1,1.0,0,,1
"2.1 
6 
Starc to Salt, SIX runs 
Salt goes bang! And this England-Australia contest is living up to its billing! Right in the 
slot on middle and leg. Salt plants his front foot, goes through the line and pummels it 
over the bowler's head!",2.1,6,6.0,"Starc to Salt, SIX runs  .Salt goes bang! And this England-Australia contest is living up to its billing! Right in the  .slot on middle and leg. Salt plants his front foot, goes through the line and pummels it  .over the bowler's head!",Starc,Salt,6.0,0,1,1,1,6.0,0,,1
