raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Shafiul to Strauss, 1 wide 
begins with a wide down the leg side...a gentle loosener",0.1,1w,1.0,"Shafiul to Strauss, 1 wide  .begins with a wide down the leg side...a gentle loosener",Shafiul,Strauss,0.0,0,0,0,0,1.0,0,,1
"0.1 
1 
Shafiul to Strauss, 1 run 
on leg stump, a hint of swing but it's easily flicked out to deep square leg",0.1,1,1.0,"Shafiul to Strauss, 1 run  .on leg stump, a hint of swing but it's easily flicked out to deep square leg",Shafiul,Strauss,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Shafiul to Prior, no run 
that's a good one, Prior is beaten by one which straightens from outside off stump and 
draws the batsman into a loose push",0.2,0,0.0,"Shafiul to Prior, no run  .that's a good one, Prior is beaten by one which straightens from outside off stump and  .draws the batsman into a loose push",Shafiul,Prior,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shafiul to Prior, no run 
beauty! Two in two, but this one was better. Started closer to the stumps and held its 
line to zip past the outside edge. Squared up Prior completely 
Encouragement for the seamers early on",0.3,0,0.0,"Shafiul to Prior, no run  .beauty! Two in two, but this one was better. Started closer to the stumps and held its  .line to zip past the outside edge. Squared up Prior completely  .Encouragement for the seamers early on",Shafiul,Prior,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shafiul to Prior, no run 
fuller and wider outside off which allows Prior to leave alone 
Already a huge amount of noise around the ground when each ball is delivered",0.4,0,0.0,"Shafiul to Prior, no run  .fuller and wider outside off which allows Prior to leave alone  .Already a huge amount of noise around the ground when each ball is delivered",Shafiul,Prior,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Shafiul to Prior, 1 run 
back of a length outside off, driven square towards backward point who can't stop it 
cleanly despite a good dive",0.5,1,1.0,"Shafiul to Prior, 1 run  .back of a length outside off, driven square towards backward point who can't stop it  .cleanly despite a good dive",Shafiul,Prior,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Shafiul to Strauss, 1 run 
worked off middle and leg to the man at deep square 
Early movement with the new ball so it's important Bangladesh make the most of it 
end of over 14 runs  
ENG: 4/0CRR: 4.00  
Andrew Strauss2 (2b) 
Matt Prior1 (4b) 
Shafiul Islam 1-0-4-0 
So it's seam from both ends with Rubel Hossain sharing the new ball",0.6,1,1.0,"Shafiul to Strauss, 1 run  .worked off middle and leg to the man at deep square  .Early movement with the new ball so it's important Bangladesh make the most of it",Shafiul,Strauss,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Rubel to Strauss, no run 
on off stump, Strauss defends on the back foot to the leg side",1.1,0,0.0,"Rubel to Strauss, no run  .on off stump, Strauss defends on the back foot to the leg side",Rubel,Strauss,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Rubel to Strauss, no run 
a strangled shout for lbw as Strauss misses a pull, beaten by a lack of bounce, but it's 
still going well over the stumps 
A wide slip and a short midwicket in place",1.2,0,0.0,"Rubel to Strauss, no run  .a strangled shout for lbw as Strauss misses a pull, beaten by a lack of bounce, but it's  .still going well over the stumps  .A wide slip and a short midwicket in place",Rubel,Strauss,0.0,0,0,1,1,0.0,0,,0
"1.3 
2 
Rubel to Strauss, 2 runs 
worked away through midwicket, nicely placed and allows time for a couple as deep 
square scampers around",1.3,2,2.0,"Rubel to Strauss, 2 runs  .worked away through midwicket, nicely placed and allows time for a couple as deep  .square scampers around",Rubel,Strauss,2.0,0,0,1,1,2.0,0,,1
"1.4 
• 
Rubel to Strauss, no run 
another appeal for lbw as Strauss misses another pull, this shout is more elongated but 
it's pitched well outside leg stump...oh my goodness, they review it. What a waste. It 
started not out and it's still not out.",1.4,0,0.0,"Rubel to Strauss, no run  .another appeal for lbw as Strauss misses another pull, this shout is more elongated but  .it's pitched well outside leg stump...oh my goodness, they review it. What a waste. It  .started not out and it's still not out.",Rubel,Strauss,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Rubel to Strauss, no run 
that's a good one outside off, pushed across Strauss who felt for it playing away from 
his body",1.5,0,0.0,"Rubel to Strauss, no run  .that's a good one outside off, pushed across Strauss who felt for it playing away from  .his body",Rubel,Strauss,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Rubel to Strauss, no run 
back of a length and solidly defended back towards the bowler 
A tricky start for the batsmen and a very odd review from Shakib 
end of over 22 runs  
ENG: 6/0CRR: 3.00  
Andrew Strauss4 (8b) 
Matt Prior1 (4b) 
Rubel Hossain 1-0-2-0 
Shafiul Islam 1-0-4-0",1.6,0,0.0,"Rubel to Strauss, no run  .back of a length and solidly defended back towards the bowler  .A tricky start for the batsmen and a very odd review from Shakib",Rubel,Strauss,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Shafiul to Prior, 1 run 
leans forward and opens the face to guide the ball through backward point...looks for 
two but third man is round quickly",2.1,1,1.0,"Shafiul to Prior, 1 run  .leans forward and opens the face to guide the ball through backward point...looks for  .two but third man is round quickly",Shafiul,Prior,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Shafiul to Strauss, 1 run 
full outside off, drives and gets a thickish out edge down to third man",2.2,1,1.0,"Shafiul to Strauss, 1 run  .full outside off, drives and gets a thickish out edge down to third man",Shafiul,Strauss,1.0,0,0,1,1,1.0,0,,1
"2.3 
4 
Shafiul to Prior, FOUR runs 
hint of width and it's met with a flowing square drive which races between point and 
cover...that will make Prior feel better 
Two slips in place",2.3,4,4.0,"Shafiul to Prior, FOUR runs  .hint of width and it's met with a flowing square drive which races between point and  .cover...that will make Prior feel better  .Two slips in place",Shafiul,Prior,4.0,1,0,1,1,4.0,0,,1
