raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
McCarthy to Roy, no run 
pitched up, swinging away wide of the stumps, Roy has a ragged slash and fails to 
connect",0.1,0,0.0,"McCarthy to Roy, no run  .pitched up, swinging away wide of the stumps, Roy has a ragged slash and fails to  .connect",McCarthy,Roy,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
McCarthy to Roy, no run 
length ball on off, 85mph/137kph and Roy chops down into the off side, gets bat on ball",0.2,0,0.0,"McCarthy to Roy, no run  .length ball on off, 85mph/137kph and Roy chops down into the off side, gets bat on ball",McCarthy,Roy,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
McCarthy to Roy, no run 
back of a length, 79mph and chopped into the covers",0.3,0,0.0,"McCarthy to Roy, no run  .back of a length, 79mph and chopped into the covers",McCarthy,Roy,0.0,0,0,1,1,0.0,0,,0
"0.4 
3nb 
McCarthy to Roy, (no ball) 2 runs 
full in the channel and Roy throws the hands, slashes a couple wide of third man to get 
going 
McCarthy's overtsepped here, too",0.4,3nb,3.0,"McCarthy to Roy, (no ball) 2 runs  .full in the channel and Roy throws the hands, slashes a couple wide of third man to get  .going  .McCarthy's overtsepped here, too",McCarthy,Roy,2.0,0,0,1,0,3.0,0,,1
"0.4 
• 
McCarthy to Roy, no run 
full and Roy attempts to wipe it off the stumps, miscued",0.4,0,0.0,"McCarthy to Roy, no run  .full and Roy attempts to wipe it off the stumps, miscued",McCarthy,Roy,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
McCarthy to Roy, no run 
good length on off, 84mph/136kph as Roy walks into line and blocks 
Agh, this is bad for Ireland, McCarthy is walking off injured... Looks to have tweaked a 
hamstring or similar on the delivery before last. Paul Stirling is going to take over, with 
one ball left to bowl",0.5,0,0.0,"McCarthy to Roy, no run  .good length on off, 84mph/136kph as Roy walks into line and blocks  .Agh, this is bad for Ireland, McCarthy is walking off injured... Looks to have tweaked a  .hamstring or similar on the delivery before last. Paul Stirling is going to take over, with  .one ball left to bowl",McCarthy,Roy,0.0,0,0,1,1,0.0,0,,0
"0.6 
1 
Stirling to Roy, 1 run 
flat offbreak around off stump, Roy goes back and punches through mid-on to keep the 
strike 
""I fancy a top order collapse for the sole reason of wanting to see Banton play a 
substantial knock ..."" says Abhijato, wistfully 
end of over 14 runs  
ENG: 4/0CRR: 4.00 • RRR: 3.44 
Jason Roy3 (7b) 
Jonny Bairstow0 (0b) 
Paul Stirling",0.6,1,1.0,"Stirling to Roy, 1 run  .flat offbreak around off stump, Roy goes back and punches through mid-on to keep the  .strike",Stirling,Roy,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Young to Roy, no run 
back of a length on off stump, Roy shows it a straight bat",1.1,0,0.0,"Young to Roy, no run  .back of a length on off stump, Roy shows it a straight bat",Young,Roy,0.0,0,0,1,1,0.0,0,,0
"1.2 
4lb 
Young to Roy, 4 leg byes 
strays on to the pads, Roy flicks at it and the ball sneaks past short fine leg and away to 
the rope - off the thigh pad",1.2,4lb,4.0,"Young to Roy, 4 leg byes  .strays on to the pads, Roy flicks at it and the ball sneaks past short fine leg and away to  .the rope - off the thigh pad",Young,Roy,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Young to Roy, 1 run 
length, 83mph/134kph and a hint of swing on middle and off, Roy tucks it around the 
corner to deep backward square",1.3,1,1.0,"Young to Roy, 1 run  .length, 83mph/134kph and a hint of swing on middle and off, Roy tucks it around the  .corner to deep backward square",Young,Roy,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Young to Bairstow, no run 
short ball, sits up nicely but Bairstow swings across the line and fails to connect",1.4,0,0.0,"Young to Bairstow, no run  .short ball, sits up nicely but Bairstow swings across the line and fails to connect",Young,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Young to Bairstow, no run 
length, YJB goes hard again, the ball nips back to hit the pads... was there an inside 
edge? Yes, looks like it, only a strangled appeal from Young",1.5,0,0.0,"Young to Bairstow, no run  .length, YJB goes hard again, the ball nips back to hit the pads... was there an inside  .edge? Yes, looks like it, only a strangled appeal from Young",Young,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.6 
2 
Young to Bairstow, 2 runs 
on the stumps, 79mph/127kph and swung away through square leg for a couple 
Here's Bairstow talking before the game about how he's still keen on playing Tests for 
England 
end of over 27 runs  
ENG: 11/0CRR: 5.50 • RRR: 3.37 
Jonny Bairstow2 (3b) 
Jason Roy4 (10b) 
Craig Young 1-0-3-0 
Paul Stirling",1.6,2,2.0,"Young to Bairstow, 2 runs  .on the stumps, 79mph/127kph and swung away through square leg for a couple  .Here's Bairstow talking before the game about how he's still keen on playing Tests for  .England",Young,Bairstow,2.0,0,0,1,1,2.0,0,,1
