raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Woakes to Conway, no run 
'...this life is more than just a read-through,"" declare the Chillis over the tannoy as 
Woakes hits a good length outside off, and nips the ball away",0.1,0,0.0,"Woakes to Conway, no run",Woakes,Conway,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Woakes to Conway, no run 
'Happy birthday to you!' declare the crowd to Buttler, as Woakes nips one back off the 
seam, to thump the pads",0.2,0,0.0,"Woakes to Conway, no run  .'Happy birthday to you!' declare the crowd to Buttler, as Woakes nips one back off the  .seam, to thump the pads",Woakes,Conway,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Woakes to Conway, no run 
fuller length on the toes, clipped square and Rashid sprawls well",0.3,0,0.0,"Woakes to Conway, no run  .fuller length on the toes, clipped square and Rashid sprawls well",Woakes,Conway,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Woakes to Conway, 1 run 
forward, pushed to cover, through for the single 
Hugh: ""Might be in a minority, but I reckon that's a good total on a tricky pitch. Especially 
with a bowling heavy / batting light side. "" I don't think you're in a minority at all. I 
thought 280 was looking like their limit at one stage",0.4,1,1.0,"Woakes to Conway, 1 run  .forward, pushed to cover, through for the single",Woakes,Conway,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Woakes to Young, no run 
very full, tailing into the toes, thumps the pads outside the line of leg",0.5,0,0.0,"Woakes to Young, no run  .very full, tailing into the toes, thumps the pads outside the line of leg",Woakes,Young,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Woakes to Young, no run 
hits a good length on off stump, fenced to the off side. A very tidy opening gambit from 
Woakes 
end of over 11 run  
NZ: 1/0CRR: 1.00 • RRR: 5.93 • Need 291 runs from 49 overs 
Will Young0 (2b) 
Devon Conway1 (4b) 
Chris Woakes 1-0-1-0 
Gus Atkinson will wait for his debut moment, as Reece Topley gets first dibs",0.6,0,0.0,"Woakes to Young, no run  .hits a good length on off stump, fenced to the off side. A very tidy opening gambit from  .Woakes",Woakes,Young,0.0,0,0,1,1,0.0,0,,0
"1.1 
1w 
Topley to Conway, 1 wide 
swing from a wide line outside off, takes it too far from Conway's arc for the umpire's 
liking",1.1,1w,1.0,"Topley to Conway, 1 wide  .swing from a wide line outside off, takes it too far from Conway's arc for the umpire's  .liking",Topley,Conway,0.0,0,0,0,0,1.0,0,,1
"1.1 
• 
Topley to Conway, no run 
that's a tidy length, over the wicket, shaping away with two slips waiting. Left alone",1.1,0,0.0,"Topley to Conway, no run  .that's a tidy length, over the wicket, shaping away with two slips waiting. Left alone",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Topley to Conway, no run 
back of a length, curling towards an off-stump line, solid on the front foot",1.2,0,0.0,"Topley to Conway, no run  .back of a length, curling towards an off-stump line, solid on the front foot",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Topley to Conway, no run 
lift outside off, wide line but the extra bounce causes Conway bother as he raises his 
hands and under-edges into the cordon",1.3,0,0.0,"Topley to Conway, no run  .lift outside off, wide line but the extra bounce causes Conway bother as he raises his  .hands and under-edges into the cordon",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.4 
4 
Topley to Conway, FOUR runs 
overpitched this time, and Conway reads the swing well with an open-faced push clean 
through point",1.4,4,4.0,"Topley to Conway, FOUR runs  .overpitched this time, and Conway reads the swing well with an open-faced push clean  .through point",Topley,Conway,4.0,1,0,1,1,4.0,0,,1
"1.5 
1w 
Topley to Conway, 1 wide 
hits the pitch harder, down the leg side 
Trav: ""Where's Finn Allen?"" He got the chop. Poor chap",1.5,1w,1.0,"Topley to Conway, 1 wide  .hits the pitch harder, down the leg side",Topley,Conway,0.0,0,0,0,0,1.0,0,,1
"1.5 
1 
Topley to Conway, 1 run 
inside-edge, past the stumps! Hard-hander from Conway, this one held its line with less 
swing and he's lucky not to play on",1.5,1,1.0,"Topley to Conway, 1 run  .inside-edge, past the stumps! Hard-hander from Conway, this one held its line with less  .swing and he's lucky not to play on",Topley,Conway,1.0,0,0,1,1,1.0,0,,1
"1.6 
1 
Topley to Young, 1 run 
back of a length, dabbed down to the off side, another single to finish an intermittently 
threatening over 
end of over 28 runs  
NZ: 9/0CRR: 4.50 • RRR: 5.89 • Need 283 runs from 48 overs 
Will Young1 (3b) 
Devon Conway6 (9b 1x4) 
Reece Topley 1-0-8-0 
Chris Woakes 1-0-1-0",1.6,1,1.0,"Topley to Young, 1 run  .back of a length, dabbed down to the off side, another single to finish an intermittently  .threatening over",Topley,Young,1.0,0,0,1,1,1.0,0,,1
