raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Willey to Young, no run 
starts over the wicket, length ball on off, defended",0.1,0,0.0,"Willey to Young, no run  .starts over the wicket, length ball on off, defended",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Willey to Young, no run 
angled across, slightly shorter and chopped into the covers",0.2,0,0.0,"Willey to Young, no run  .angled across, slightly shorter and chopped into the covers",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Willey to Young, no run 
good length, shaping back a fraction and defended watchfully",0.3,0,0.0,"Willey to Young, no run  .good length, shaping back a fraction and defended watchfully",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Willey to Young, FOUR runs 
pinged through point, just a cushioned drive from Young as he opens the face but the 
ball races away",0.4,4,4.0,"Willey to Young, FOUR runs  .pinged through point, just a cushioned drive from Young as he opens the face but the  .ball races away",Willey,Young,4.0,1,0,1,1,4.0,0,,1
"0.5 
• 
Willey to Young, no run 
lovely line, nibbling across and past the edge as Young tries to get out",0.5,0,0.0,"Willey to Young, no run  .lovely line, nibbling across and past the edge as Young tries to get out",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Willey to Young, no run 
pitched up and pushed back towards mid-on 
end of over 14 runs  
NZ: 4/0CRR: 4.00 • RRR: 6.28 • Need 308 runs from 49 overs 
Will Young4 (6b 1x4) 
Devon Conway0 (0b) 
David Willey 1-0-4-0 
Reece Topley, two slips",0.6,0,0.0,"Willey to Young, no run  .pitched up and pushed back towards mid-on",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Topley to Conway, no run 
length ball, holding its line and left alone in the channel",1.1,0,0.0,"Topley to Conway, no run  .length ball, holding its line and left alone in the channel",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Topley to Conway, no run 
slightly shorter, this jumps to hit the splice with Conway defending",1.2,0,0.0,"Topley to Conway, no run  .slightly shorter, this jumps to hit the splice with Conway defending",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Topley to Conway, no run 
hung out in the channel, left alone",1.3,0,0.0,"Topley to Conway, no run  .hung out in the channel, left alone",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Topley to Conway, no run 
length ball, appreciable seam movement away from Conway as he gets across and 
waves it by",1.4,0,0.0,"Topley to Conway, no run  .length ball, appreciable seam movement away from Conway as he gets across and  .waves it by",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Topley to Conway, no run 
hits a length, this jags off the pitch, Conway wants to leave but has to really jerk his 
hands as the ball zips past the toe of the bat",1.5,0,0.0,"Topley to Conway, no run  .hits a length, this jags off the pitch, Conway wants to leave but has to really jerk his  .hands as the ball zips past the toe of the bat",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Topley to Conway, no run 
in the corridor, Conway continues to be watchful 
end of over 2Maiden 
NZ: 4/0CRR: 2.00 • RRR: 6.41 • Need 308 runs from 48 overs 
Devon Conway0 (6b) 
Will Young4 (6b 1x4) 
Reece Topley 1-1-0-0 
David Willey 1-0-4-0 
Single slip in",1.6,0,0.0,"Topley to Conway, no run  .in the corridor, Conway continues to be watchful",Topley,Conway,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Willey to Young, no run 
lovely line from Willey, shaping in and then nipping away past the bat as Young prods 
and misses",2.1,0,0.0,"Willey to Young, no run  .lovely line from Willey, shaping in and then nipping away past the bat as Young prods  .and misses",Willey,Young,0.0,0,0,1,1,0.0,0,,0
"2.2 
1 
Willey to Young, 1 run 
good length, 80mph/129kph and jabbed down into the point region for one",2.2,1,1.0,"Willey to Young, 1 run  .good length, 80mph/129kph and jabbed down into the point region for one",Willey,Young,1.0,0,0,1,1,1.0,0,,1
"2.3 
1w 
Willey to Conway, 1 wide 
back of a length and veering down leg",2.3,1w,1.0,"Willey to Conway, 1 wide  .back of a length and veering down leg",Willey,Conway,0.0,0,0,0,0,1.0,0,,1
"2.3 
• 
Willey to Conway, no run 
pitched up, 82mph/132kph outside off and steered into the covers 
Gitanshu: ""What a day for ODI cricket. 3 matches. Targets in 200s, 300s and 400s. No 
easy chasing!"" Happy World Cup Preparation Day, everyone",2.3,0,0.0,"Willey to Conway, no run  .pitched up, 82mph/132kph outside off and steered into the covers",Willey,Conway,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Willey to Conway, 1 run 
tapped down in front of mid-on, they jog the single",2.4,1,1.0,"Willey to Conway, 1 run  .tapped down in front of mid-on, they jog the single",Willey,Conway,1.0,0,0,1,1,1.0,0,,1
