raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to Salt, no run 
full and swinging first up, loud appeal... but turned down. Sliding past leg stump. Salt 
was looking to whip into the leg side but beaten for pace",0.1,0,0.0,"Shaheen Shah Afridi to Salt, no run  .full and swinging first up, loud appeal... but turned down. Sliding past leg stump. Salt  .was looking to whip into the leg side but beaten for pace",Shaheen Shah Afridi,Salt,0.0,0,0,1,1,0.0,0,,0
"0.2 
1lb 
Shaheen Shah Afridi to Salt, 1 leg bye 
tickled away off the hip behind square. 87mph/141kph. Leg bye, so Salt not yet off the 
mark in international cricket 
Malan, the left-hander, marks out his guard. Three slips.",0.2,1lb,1.0,"Shaheen Shah Afridi to Salt, 1 leg bye  .tickled away off the hip behind square. 87mph/141kph. Leg bye, so Salt not yet off the  .mark in international cricket  .Malan, the left-hander, marks out his guard. Three slips.",Shaheen Shah Afridi,Salt,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Malan, no run 
full outside off at 88mph/142kph. Malan opens the face and steers to backward point, 
where Imam fields",0.3,0,0.0,"Shaheen Shah Afridi to Malan, no run  .full outside off at 88mph/142kph. Malan opens the face and steers to backward point,  .where Imam fields",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Malan, no run 
angling in, defended from a length towards mid-on. 87mph/140kph",0.4,0,0.0,"Shaheen Shah Afridi to Malan, no run  .angling in, defended from a length towards mid-on. 87mph/140kph",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Shaheen Shah Afridi to Malan, 1 run 
length ball, nipping away, opens the face and dabs down to deep third to get off the 
mark",0.5,1,1.0,"Shaheen Shah Afridi to Malan, 1 run  .length ball, nipping away, opens the face and dabs down to deep third to get off the  .mark",Shaheen Shah Afridi,Malan,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Shaheen Shah Afridi to Salt, no run 
length ball, angled across him, punched firmly and compactly to mid-off 
Muhammad Arsala: ""Few early matches of PSL and that to in Karachi, one of the few 
bowler friendly grounds in South Asia. Unfair to base that argument in so less data 
sample!"" -- Aha, so we should base it off your random hunch instead, I suppose? 
end of over 12 runs  
ENG: 2/0CRR: 2.00 • RRR: 2.85 
Phil Salt0 (3b) 
Dawid Malan1 (3b) 
Shaheen Shah Afridi 1-0-1-0 
Hasan Ali to share the new ball. Couple of slips. Over the wicket to the left-hander.",0.6,0,0.0,"Shaheen Shah Afridi to Salt, no run  .length ball, angled across him, punched firmly and compactly to mid-off",Shaheen Shah Afridi,Salt,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Hasan Ali to Malan, FOUR runs 
wide outside off, flashed uppishly through the ring! Enough width for Malan to throw his 
hands, and he cuts it over short cover and away for four",1.1,4,4.0,"Hasan Ali to Malan, FOUR runs  .wide outside off, flashed uppishly through the ring! Enough width for Malan to throw his  .hands, and he cuts it over short cover and away for four",Hasan Ali,Malan,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Hasan Ali to Malan, no run 
angling back in from a length, defended into the covers with a loud shout of ""NO!""",1.2,0,0.0,"Hasan Ali to Malan, no run",Hasan Ali,Malan,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Hasan Ali to Malan, no run 
length ball, dabbed into the ring defensively",1.3,0,0.0,"Hasan Ali to Malan, no run  .length ball, dabbed into the ring defensively",Hasan Ali,Malan,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Hasan Ali to Malan, no run 
bit of width, 84mph/135kph and angled across Malan, who mistimes the cover drive, 
inside-edging to short midwicket",1.4,0,0.0,"Hasan Ali to Malan, no run  .bit of width, 84mph/135kph and angled across Malan, who mistimes the cover drive,  .inside-edging to short midwicket",Hasan Ali,Malan,0.0,0,0,1,1,0.0,0,,0
