raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to Malan, no run 
good nip and shape, angled in from over the wicket and (Mick) Jagging away through to 
the keeper. Keeps low as it does so, which indicates it's fairly slow",0.1,0,0.0,"Shaheen Shah Afridi to Malan, no run  .good nip and shape, angled in from over the wicket and (Mick) Jagging away through to  .the keeper. Keeps low as it does so, which indicates it's fairly slow",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shaheen Shah Afridi to Malan, no run 
more lateral movement, on a wide initial line, but Malan chases loosely with his 
favoured drive and can't catch up with the ball",0.2,0,0.0,"Shaheen Shah Afridi to Malan, no run  .more lateral movement, on a wide initial line, but Malan chases loosely with his  .favoured drive and can't catch up with the ball",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shaheen Shah Afridi to Malan, no run 
turned inside-out, Shaheen fires it a touch fuller, into the pads, and Malan is through his 
clip early as the ball loops to cover off a leading edge",0.3,0,0.0,"Shaheen Shah Afridi to Malan, no run  .turned inside-out, Shaheen fires it a touch fuller, into the pads, and Malan is through his  .clip early as the ball loops to cover off a leading edge",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Malan, no run 
left alone with more ease this time, barely gets above shin height as Malan shoulders 
arms. The slips won't be in business at that depth",0.4,0,0.0,"Shaheen Shah Afridi to Malan, no run  .left alone with more ease this time, barely gets above shin height as Malan shoulders  .arms. The slips won't be in business at that depth",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shaheen Shah Afridi to Malan, no run 
driven without conviction, rising on the back foot to meet the fuller length, angled into 
the off stump",0.5,0,0.0,"Shaheen Shah Afridi to Malan, no run  .driven without conviction, rising on the back foot to meet the fuller length, angled into  .the off stump",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shaheen Shah Afridi to Malan, no run 
outside off, tight line shaping in at the bat, Malan plays inside the line to complete the 
maiden 
end of over 1Maiden 
ENG: 0/0CRR: 0.00  
Dawid Malan0 (6b) 
Jonny Bairstow0 (0b) 
Shaheen Shah Afridi 1-1-0-0 
Rauf will share the powerplay honours, with Bairstow in his sights",0.6,0,0.0,"Shaheen Shah Afridi to Malan, no run  .outside off, tight line shaping in at the bat, Malan plays inside the line to complete the  .maiden",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"1.1 
5w 
Haris Rauf to Bairstow, 5 wide 
yikes, that is wild and woolly! Barely hits the cut strip, down the leg-side, and swinging 
further away. Rizwan doesn't bother to move",1.1,5w,5.0,"Haris Rauf to Bairstow, 5 wide  .yikes, that is wild and woolly! Barely hits the cut strip, down the leg-side, and swinging  .further away. Rizwan doesn't bother to move",Haris Rauf,Bairstow,0.0,0,0,0,0,5.0,0,,1
"1.1 
• 
Haris Rauf to Bairstow, no run 
much better! Right on the money, hoppinh over off stump with shape into the batter, 
Bairstow half-plays half-leaves",1.1,0,0.0,"Haris Rauf to Bairstow, no run  .much better! Right on the money, hoppinh over off stump with shape into the batter,  .Bairstow half-plays half-leaves",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.2 
1w 
Haris Rauf to Bairstow, 1 wide 
back of a length outside off, and swinging away. England are punching along nicely 
now... without a scoring shot",1.2,1w,1.0,"Haris Rauf to Bairstow, 1 wide  .back of a length outside off, and swinging away. England are punching along nicely  .now... without a scoring shot",Haris Rauf,Bairstow,0.0,0,0,0,0,1.0,0,,1
"1.2 
• 
Haris Rauf to Bairstow, no run 
onto the front foot, meeting the full length, eased to mid-off",1.2,0,0.0,"Haris Rauf to Bairstow, no run  .onto the front foot, meeting the full length, eased to mid-off",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Haris Rauf to Bairstow, no run 
well bowled, tight line and length, no pace off the pitch but the speed through the air 
hurries Bairstow nonetheless. Tentative in the channel outside off",1.3,0,0.0,"Haris Rauf to Bairstow, no run  .well bowled, tight line and length, no pace off the pitch but the speed through the air  .hurries Bairstow nonetheless. Tentative in the channel outside off",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Haris Rauf to Bairstow, no run 
flashes through the line of the fuller length, into the covers, off an inside-edge into the 
pad. Lining it up is tricky at the moment",1.4,0,0.0,"Haris Rauf to Bairstow, no run  .flashes through the line of the fuller length, into the covers, off an inside-edge into the  .pad. Lining it up is tricky at the moment",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Haris Rauf to Bairstow, no run 
fired into the pads, a big inside-edge kills the lbw appeal as it emerges from Rauf's 
throat. Close though!",1.5,0,0.0,"Haris Rauf to Bairstow, no run  .fired into the pads, a big inside-edge kills the lbw appeal as it emerges from Rauf's  .throat. Close though!",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Haris Rauf to Bairstow, no run 
lovely ball to finish... and Pakistan think there's an edge! Or is it just Rizwan playing with 
the crowd? DIdn't sound like anything, and indeed daylight between bat and ball. But 
superb line outside off, shaping away fractionally to leave Bairstow flinching 
end of over 26 runs  
ENG: 6/0CRR: 3.00  
Jonny Bairstow0 (6b) 
Dawid Malan0 (6b) 
Haris Rauf 1-0-6-0 
Shaheen Shah Afridi 1-1-0-0",1.6,0,0.0,"Haris Rauf to Bairstow, no run  .lovely ball to finish... and Pakistan think there's an edge! Or is it just Rizwan playing with  .the crowd? DIdn't sound like anything, and indeed daylight between bat and ball. But  .superb line outside off, shaping away fractionally to leave Bairstow flinching",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Shaheen Shah Afridi to Malan, 1 run 
popped in the air, dropped by the bowler! Malan punches through the line, the bat-face 
closes on impact as he fails to gauge the pace once more, and Afridi likewise is done by 
a lack of pace... the ball just looped past his left hand, very catchable but he didn't lay a 
finger on it. 
First run off the bat, and a streaky one",2.1,1,1.0,"Shaheen Shah Afridi to Malan, 1 run  .popped in the air, dropped by the bowler! Malan punches through the line, the bat-face  .closes on impact as he fails to gauge the pace once more, and Afridi likewise is done by  .a lack of pace... the ball just looped past his left hand, very catchable but he didn't lay a  .finger on it.  .First run off the bat, and a streaky one",Shaheen Shah Afridi,Malan,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Shaheen Shah Afridi to Bairstow, no run 
tucked to the on-side",2.2,0,0.0,"Shaheen Shah Afridi to Bairstow, no run  .tucked to the on-side",Shaheen Shah Afridi,Bairstow,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Shaheen Shah Afridi to Bairstow, no run 
targeting the front pad, nudged into the leg side with a closed face again 
Leg slip in place now",2.3,0,0.0,"Shaheen Shah Afridi to Bairstow, no run  .targeting the front pad, nudged into the leg side with a closed face again  .Leg slip in place now",Shaheen Shah Afridi,Bairstow,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Shaheen Shah Afridi to Bairstow, 1 run 
nips into the legs once more, but Bairstow clips it very square for the single. The pace 
off the pitch is too slow to bring that catcher into play",2.4,1,1.0,"Shaheen Shah Afridi to Bairstow, 1 run  .nips into the legs once more, but Bairstow clips it very square for the single. The pace  .off the pitch is too slow to bring that catcher into play",Shaheen Shah Afridi,Bairstow,1.0,0,0,1,1,1.0,0,,1
"2.5 
• 
Shaheen Shah Afridi to Malan, no run 
line and length, hint of swing as Malan lets it be",2.5,0,0.0,"Shaheen Shah Afridi to Malan, no run  .line and length, hint of swing as Malan lets it be",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Shaheen Shah Afridi to Malan, no run 
very wide on the crease, and nearly spears one into the off stump! Malan gets his 
angles scrambled, and flicks out his back leg as the ball flashes by, emphasising the 
extent to which he lost his bearings... but not his off stump 
end of over 32 runs  
ENG: 8/0CRR: 2.66  
Dawid Malan1 (9b) 
Jonny Bairstow1 (9b) 
Shaheen Shah Afridi 2-1-2-0 
Haris Rauf 1-0-6-0",2.6,0,0.0,"Shaheen Shah Afridi to Malan, no run  .very wide on the crease, and nearly spears one into the off stump! Malan gets his  .angles scrambled, and flicks out his back leg as the ball flashes by, emphasising the  .extent to which he lost his bearings... but not his off stump",Shaheen Shah Afridi,Malan,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Haris Rauf to Bairstow, no run 
swing and a miss! Bairstow has a heave through the line and can't connect. But the 
intent is plain",3.1,0,0.0,"Haris Rauf to Bairstow, no run  .swing and a miss! Bairstow has a heave through the line and can't connect. But the  .intent is plain",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Haris Rauf to Bairstow, no run 
tight line, keeps low past the off stump, can't connect on the drive. Super restrictive 
bowling, bar the wides of course",3.2,0,0.0,"Haris Rauf to Bairstow, no run  .tight line, keeps low past the off stump, can't connect on the drive. Super restrictive  .bowling, bar the wides of course",Haris Rauf,Bairstow,0.0,0,0,1,1,0.0,0,,0
"3.3 
4 
Haris Rauf to Bairstow, FOUR runs 
connects this time! Leaning into the drive, full length again but a fraction of width this 
time. Plays it late with an open face, a crunching connection through backward point",3.3,4,4.0,"Haris Rauf to Bairstow, FOUR runs  .connects this time! Leaning into the drive, full length again but a fraction of width this  .time. Plays it late with an open face, a crunching connection through backward point",Haris Rauf,Bairstow,4.0,1,0,1,1,4.0,0,,1
"3.4 
4 
Haris Rauf to Bairstow, FOUR runs 
too straight, and Bairstow is away now! An over-correction on the pads, and flicked 
supremely off the toes through backward square",3.4,4,4.0,"Haris Rauf to Bairstow, FOUR runs  .too straight, and Bairstow is away now! An over-correction on the pads, and flicked  .supremely off the toes through backward square",Haris Rauf,Bairstow,4.0,1,0,1,1,4.0,0,,1
"3.5 
1 
Haris Rauf to Bairstow, 1 run 
width, outside off, chases it with an open face, slashed down to deep third 
Mohsin: ""Rauf's last ball of first over was clocked at 95.3mph? Is it the fastest ball of 
the wc?"" Gosh, it would have to be up there. Wood is the fastest I've seen recorded",3.5,1,1.0,"Haris Rauf to Bairstow, 1 run  .width, outside off, chases it with an open face, slashed down to deep third",Haris Rauf,Bairstow,1.0,0,0,1,1,1.0,0,,1
"3.6 
4 
Haris Rauf to Malan, FOUR runs 
full length, and slapped fiercely through the covers! 151kph is all very well, but it can 
come onto the bat nicely, and off again even more nicely! 
Raghav: ""I am waiting for the comment from Andrew to confirm that getting into the 
semis now is too far for Pak. When would that be now? Until 10 overs at this pace? "" 
They'd need to chase this down inside 2 overs already... 
end of over 413 runs  
ENG: 21/0CRR: 5.25  
Dawid Malan5 (10b 1x4) 
Jonny Bairstow10 (14b 2x4) 
Haris Rauf 2-0-19-0 
Shaheen Shah Afridi 2-1-2-0",3.6,4,4.0,"Haris Rauf to Malan, FOUR runs  .full length, and slapped fiercely through the covers! 151kph is all very well, but it can  .come onto the bat nicely, and off again even more nicely!",Haris Rauf,Malan,4.0,1,0,1,1,4.0,0,,1
"4.1 
• 
Shaheen Shah Afridi to Bairstow, no run 
squared up, full length again, squeezed into the covers",4.1,0,0.0,"Shaheen Shah Afridi to Bairstow, no run  .squared up, full length again, squeezed into the covers",Shaheen Shah Afridi,Bairstow,0.0,0,0,1,1,0.0,0,,0
