raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Alzarri Joseph to Salt, no run 
inside-edged into the back pad, skews away into the off side. A hint of outswing up front",0.1,0,0.0,"Alzarri Joseph to Salt, no run  .inside-edged into the back pad, skews away into the off side. A hint of outswing up front",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Alzarri Joseph to Salt, no run 
punched back, half-stopped in his follow-through and parried to mid-off",0.2,0,0.0,"Alzarri Joseph to Salt, no run  .punched back, half-stopped in his follow-through and parried to mid-off",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Alzarri Joseph to Salt, no run 
a touch short of a good length, some shape in off the seam to thud into Salt's back 
thigh pad",0.3,0,0.0,"Alzarri Joseph to Salt, no run  .a touch short of a good length, some shape in off the seam to thud into Salt's back  .thigh pad",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Alzarri Joseph to Salt, FOUR runs 
floaty half-volley, spanked down the ground for a one-bounce four! Just short of the 
rope. Joseph gets a bit greedy, overpitching looking for the nick off, and Salt presents 
the full face to ping him back over his head",0.4,4,4.0,"Alzarri Joseph to Salt, FOUR runs  .floaty half-volley, spanked down the ground for a one-bounce four! Just short of the  .rope. Joseph gets a bit greedy, overpitching looking for the nick off, and Salt presents  .the full face to ping him back over his head",Alzarri Joseph,Salt,4.0,1,0,1,1,4.0,0,,1
"0.5 
4 
Alzarri Joseph to Salt, FOUR runs 
fullish again, less convincing this time as Salt looks to drive through mid-on but the 
inside-edge skews away for four. Past his own pads, down towards long leg and a half-
hearted dive from Carty on the rope can't cut it off",0.5,4,4.0,"Alzarri Joseph to Salt, FOUR runs  .fullish again, less convincing this time as Salt looks to drive through mid-on but the  .inside-edge skews away for four. Past his own pads, down towards long leg and a half- .hearted dive from Carty on the rope can't cut it off",Alzarri Joseph,Salt,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Alzarri Joseph to Salt, no run 
""wait there, no!"" is the cry as Salt prods into the off side 
end of over 18 runs  
ENG: 8/0CRR: 8.00  
Phil Salt8 (6b 2x4) 
Will Jacks0 (0b) 
Alzarri Joseph 1-0-8-0 
Shepherd, not Thomas, will share the new ball. Two slips.",0.6,0,0.0,"Alzarri Joseph to Salt, no run",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Shepherd to Jacks, no run 
sprayed down the leg side, past the pads. Not sure how that isn't a wide, did it flick the 
pad on its way through? Jacks shakes his head in surprise.",1.1,0,0.0,"Shepherd to Jacks, no run  .sprayed down the leg side, past the pads. Not sure how that isn't a wide, did it flick the  .pad on its way through? Jacks shakes his head in surprise.",Shepherd,Jacks,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Shepherd to Jacks, no run 
fourth-stump line, defended solidly",1.2,0,0.0,"Shepherd to Jacks, no run  .fourth-stump line, defended solidly",Shepherd,Jacks,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Shepherd to Jacks, 1 run 
angling in from wide on the crease, wristy flick around the corner to get off the mark 
The technology for DRS is briefly down. The umpires wander over to Shai Hope to let 
him know.",1.3,1,1.0,"Shepherd to Jacks, 1 run  .angling in from wide on the crease, wristy flick around the corner to get off the mark  .The technology for DRS is briefly down. The umpires wander over to Shai Hope to let  .him know.",Shepherd,Jacks,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Shepherd to Salt, no run 
hint of width outside off, punched to cover point",1.4,0,0.0,"Shepherd to Salt, no run  .hint of width outside off, punched to cover point",Shepherd,Salt,0.0,0,0,1,1,0.0,0,,0
"1.5 
6 
Shepherd to Salt, SIX runs 
hauled off just short of a length, over square leg for six! Not a full-blooded pull shot, 
just a pick-up into the wind which carries it on its way!",1.5,6,6.0,"Shepherd to Salt, SIX runs  .hauled off just short of a length, over square leg for six! Not a full-blooded pull shot,  .just a pick-up into the wind which carries it on its way!",Shepherd,Salt,6.0,0,1,1,1,6.0,0,,1
"1.6 
4 
Shepherd to Salt, FOUR runs 
width outside off, pinged through the off side for four more! Salt is in the mood early 
on. 
end of over 211 runs  
ENG: 19/0CRR: 9.50  
Phil Salt18 (9b 3x4 1x6) 
Will Jacks1 (3b) 
Romario Shepherd 1-0-11-0 
Alzarri Joseph 1-0-8-0 
Aatzaz Latif: ""Both teams captain are wicketkeeper also is this the first time?"" -- Sure it's 
happened hundreds of times before, Aatzaz... the 2011 World Cup final for a start! 
Just the one slip now",1.6,4,4.0,"Shepherd to Salt, FOUR runs  .width outside off, pinged through the off side for four more! Salt is in the mood early  .on.",Shepherd,Salt,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Alzarri Joseph to Jacks, no run 
pushed into the off side",2.1,0,0.0,"Alzarri Joseph to Jacks, no run  .pushed into the off side",Alzarri Joseph,Jacks,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Alzarri Joseph to Jacks, no run 
steered to point with an open face",2.2,0,0.0,"Alzarri Joseph to Jacks, no run  .steered to point with an open face",Alzarri Joseph,Jacks,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Alzarri Joseph to Jacks, no run 
back of a length, pushed back",2.3,0,0.0,"Alzarri Joseph to Jacks, no run  .back of a length, pushed back",Alzarri Joseph,Jacks,0.0,0,0,1,1,0.0,0,,0
"2.4 
6 
Alzarri Joseph to Jacks, SIX runs 
wide half-volley, launched into-out over extra cover for six! That is Jacks' strongest 
area, hitting over the off side. 89m, onto the grass banks. Beautiful",2.4,6,6.0,"Alzarri Joseph to Jacks, SIX runs  .wide half-volley, launched into-out over extra cover for six! That is Jacks' strongest  .area, hitting over the off side. 89m, onto the grass banks. Beautiful",Alzarri Joseph,Jacks,6.0,0,1,1,1,6.0,0,,1
"2.5 
• 
Alzarri Joseph to Jacks, no run 
skidding through into the thigh pad from just back of a length 
DRS is available again.",2.5,0,0.0,"Alzarri Joseph to Jacks, no run  .skidding through into the thigh pad from just back of a length  .DRS is available again.",Alzarri Joseph,Jacks,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Alzarri Joseph to Jacks, no run 
hard length, defended to short cover 
Mark: ""This is the England approach that we didn't see in the World Cup - or, at least, it 
didn't come off - see ball, hit ball as far as possible. The West Indies may be in for a little 
punishment as England's batters work off some frustration."" 
end of over 36 runs  
ENG: 25/0CRR: 8.33  
Will Jacks7 (9b 1x6) 
Phil Salt18 (9b 3x4 1x6) 
Alzarri Joseph 2-0-14-0 
Romario Shepherd 1-0-11-0 
""Ladies and gentlemen, England are off to a flyer,"" says the PA announcer at the Viv.",2.6,0,0.0,"Alzarri Joseph to Jacks, no run  .hard length, defended to short cover",Alzarri Joseph,Jacks,0.0,0,0,1,1,0.0,0,,0
"3.1 
1 
Shepherd to Salt, 1 run 
full on the pads, tucked out to deep backward square",3.1,1,1.0,"Shepherd to Salt, 1 run  .full on the pads, tucked out to deep backward square",Shepherd,Salt,1.0,0,0,1,1,1.0,0,,1
"3.2 
4 
Shepherd to Jacks, FOUR runs 
short and wide, punched away through point. Stands tall and finds the gap between 
cover-point and backward point",3.2,4,4.0,"Shepherd to Jacks, FOUR runs  .short and wide, punched away through point. Stands tall and finds the gap between  .cover-point and backward point",Shepherd,Jacks,4.0,1,0,1,1,4.0,0,,1
"3.3 
1 
Shepherd to Jacks, 1 run 
fullish, tip-and-run to Joseph at mid-off who was relatively deep, towards the edge of the 
ring",3.3,1,1.0,"Shepherd to Jacks, 1 run  .fullish, tip-and-run to Joseph at mid-off who was relatively deep, towards the edge of the  .ring",Shepherd,Jacks,1.0,0,0,1,1,1.0,0,,1
"3.4 
1 
Shepherd to Salt, 1 run 
freebie on the pads, whipped out to deep backward square with a roll of the wrists",3.4,1,1.0,"Shepherd to Salt, 1 run  .freebie on the pads, whipped out to deep backward square with a roll of the wrists",Shepherd,Salt,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Shepherd to Jacks, no run 
worked to mid-on, Cariah is in tight enough to prevent a single",3.5,0,0.0,"Shepherd to Jacks, no run  .worked to mid-on, Cariah is in tight enough to prevent a single",Shepherd,Jacks,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Shepherd to Jacks, no run 
back of a length, steered to cover point 
end of over 47 runs  
ENG: 32/0CRR: 8.00  
Will Jacks12 (13b 1x4 1x6) 
Phil Salt20 (11b 3x4 1x6) 
Romario Shepherd 2-0-18-0 
Alzarri Joseph 2-0-14-0 
Stephen: ""Different players, Mark. If we'd had these two in the World Cup, we might not 
have made such a pig's ear of it.""",3.6,0,0.0,"Shepherd to Jacks, no run  .back of a length, steered to cover point",Shepherd,Jacks,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Alzarri Joseph to Salt, no run 
back of a length, dead-batted to backward point",4.1,0,0.0,"Alzarri Joseph to Salt, no run  .back of a length, dead-batted to backward point",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Alzarri Joseph to Salt, no run 
short ball, doesn't quite get up as expected and Salt is through the pull early. Strikes him 
on the shoulder on its way through to Hope",4.2,0,0.0,"Alzarri Joseph to Salt, no run  .short ball, doesn't quite get up as expected and Salt is through the pull early. Strikes him  .on the shoulder on its way through to Hope",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
"4.3 
6 
Alzarri Joseph to Salt, SIX runs 
effortless pick-up over midwicket! Too full, angling into the pads, and Salt flicks it away 
with disdain",4.3,6,6.0,"Alzarri Joseph to Salt, SIX runs  .effortless pick-up over midwicket! Too full, angling into the pads, and Salt flicks it away  .with disdain",Alzarri Joseph,Salt,6.0,0,1,1,1,6.0,0,,1
"4.4 
• 
Alzarri Joseph to Salt, no run 
good comeback, striking Salt on the bottom glove with one which rears up from a 
length. He'll be OK to continue",4.4,0,0.0,"Alzarri Joseph to Salt, no run  .good comeback, striking Salt on the bottom glove with one which rears up from a  .length. He'll be OK to continue",Alzarri Joseph,Salt,0.0,0,0,1,1,0.0,0,,0
