raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Jadeja to B Sai Sudharsan, 1 run 
flat and outside leg, swatted away behind square for one. Off the mark straightaway 
Long off and deep midwicket at the rope for Gill",0.1,1,1.0,"Jadeja to B Sai Sudharsan, 1 run  .flat and outside leg, swatted away behind square for one. Off the mark straightaway  .Long off and deep midwicket at the rope for Gill",Jadeja,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.2 
1 
Jadeja to Gill, 1 run 
pitched up slightly and Gill drives down to long off. Also off the mark in no time",0.2,1,1.0,"Jadeja to Gill, 1 run  .pitched up slightly and Gill drives down to long off. Also off the mark in no time",Jadeja,Gill,1.0,0,0,1,1,1.0,0,,1
"0.3 
2 
Jadeja to B Sai Sudharsan, 2 runs 
that fielding effort in the deep will do Jadeja proud. Sai Sudharsan pulls the shorter ball 
to the leg side and Hooda slides full length after the a sprint to save two",0.3,2,2.0,"Jadeja to B Sai Sudharsan, 2 runs  .that fielding effort in the deep will do Jadeja proud. Sai Sudharsan pulls the shorter ball  .to the leg side and Hooda slides full length after the a sprint to save two",Jadeja,B Sai Sudharsan,2.0,0,0,1,1,2.0,0,,1
"0.4 
1 
Jadeja to B Sai Sudharsan, 1 run 
turn this time for the flatter delivery on the stumps and the inside edge to leg fetches 
him one more",0.4,1,1.0,"Jadeja to B Sai Sudharsan, 1 run  .turn this time for the flatter delivery on the stumps and the inside edge to leg fetches  .him one more",Jadeja,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Jadeja to Gill, 1 run 
a bit short on the stumps, tucked to leg for one",0.5,1,1.0,"Jadeja to Gill, 1 run  .a bit short on the stumps, tucked to leg for one",Jadeja,Gill,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Jadeja to B Sai Sudharsan, 1 run 
ends the over with a short ball, but it's quick as well and Sai Sudharsan can't clear 
midwicket. Only one 
end of over 17 runs  
GT: 7/0CRR: 7.00 • RRR: 11.78 • Need 224 runs from 114b 
Sai Sudharsan5 (4b) 
Shubman Gill2 (2b) 
Ravindra Jadeja 1-0-7-0 
Who takes the new ball now - it's Khaleel Ahmed. A slip in place",0.6,1,1.0,"Jadeja to B Sai Sudharsan, 1 run  .ends the over with a short ball, but it's quick as well and Sai Sudharsan can't clear  .midwicket. Only one",Jadeja,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.1 
4 
Khaleel Ahmed to B Sai Sudharsan, FOUR runs 
not a poor delivery to start with but Sai Sudharsan has clipped that off the stumps with 
such timing and wristwork, it's raced away for four! Sublime timing 
Namooh says the last time CSK opened with a spinner was also against GT in 
Ahmedabad in 2024. It was Mitchell Santner on that occasion",1.1,4,4.0,"Khaleel Ahmed to B Sai Sudharsan, FOUR runs  .not a poor delivery to start with but Sai Sudharsan has clipped that off the stumps with  .such timing and wristwork, it's raced away for four! Sublime timing  .Namooh says the last time CSK opened with a spinner was also against GT in  .Ahmedabad in 2024. It was Mitchell Santner on that occasion",Khaleel Ahmed,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.2 
1w 
Khaleel Ahmed to B Sai Sudharsan, 1 wide 
strays too much on leg, just past leg for a wide",1.2,1w,1.0,"Khaleel Ahmed to B Sai Sudharsan, 1 wide  .strays too much on leg, just past leg for a wide",Khaleel Ahmed,B Sai Sudharsan,0.0,0,0,0,0,1.0,0,,1
"1.2 
1 
Khaleel Ahmed to B Sai Sudharsan, 1 run 
swinging in a fair bit from well outside off, he pushes it down to mid on for one 
 
Shubman Gill vs Khaleel Ahmed 
BALLS 
29 
RUNS 
44 
OUTS 
2 
SR 
151.72 
4s/6s 
6/1",1.2,1,1.0,"Khaleel Ahmed to B Sai Sudharsan, 1 run  .swinging in a fair bit from well outside off, he pushes it down to mid on for one  .  .Shubman Gill vs Khaleel Ahmed  .BALLS  .29  .RUNS  .44  .OUTS  .2  .SR  .151.72  .4s/6s  .6/1",Khaleel Ahmed,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Khaleel Ahmed to Gill, no run 
beaten outside off! It's the left-arm angle from Khaleel, the ball lands right on the seam, 
and goes away a hint to beat the poking bat",1.3,0,0.0,"Khaleel Ahmed to Gill, no run  .beaten outside off! It's the left-arm angle from Khaleel, the ball lands right on the seam,  .and goes away a hint to beat the poking bat",Khaleel Ahmed,Gill,0.0,0,0,1,1,0.0,0,,0
