raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Starc to B Sai Sudharsan, 1 run 
Length ball on middle to start, 141.5kph, a hint of shape away from the left-hander, Sai 
Sudharsan clipps it in front of square on the leg side and gets going 
Stays over the wicket to Gill, slip stays",0.1,1,1.0,"Starc to B Sai Sudharsan, 1 run  .Length ball on middle to start, 141.5kph, a hint of shape away from the left-hander, Sai  .Sudharsan clipps it in front of square on the leg side and gets going  .Stays over the wicket to Gill, slip stays",Starc,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.2 
1 
Starc to Gill, 1 run 
Length ball slanting away, 140kph, Gill pats it towards point and jogs to the other end",0.2,1,1.0,"Starc to Gill, 1 run  .Length ball slanting away, 140kph, Gill pats it towards point and jogs to the other end",Starc,Gill,1.0,0,0,1,1,1.0,0,,1
"0.3 
1 
Starc to B Sai Sudharsan, 1 run 
Length ball outside off, steered to deep third",0.3,1,1.0,"Starc to B Sai Sudharsan, 1 run  .Length ball outside off, steered to deep third",Starc,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.4 
1 
Starc to Gill, 1 run 
Fuller and outside off, pushes it with soft hands towards mid-off and sprints to the other 
end 
Around the wicket",0.4,1,1.0,"Starc to Gill, 1 run  .Fuller and outside off, pushes it with soft hands towards mid-off and sprints to the other  .end  .Around the wicket",Starc,Gill,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Starc to B Sai Sudharsan, no run 
Digs it into the surface, angling it across Sai Sud after pitching outside leg, he arches 
back to play the ramp but misses 
Back to over the wicket",0.5,0,0.0,"Starc to B Sai Sudharsan, no run  .Digs it into the surface, angling it across Sai Sud after pitching outside leg, he arches  .back to play the ramp but misses  .Back to over the wicket",Starc,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Starc to B Sai Sudharsan, FOUR runs 
Creamed through cover. Full length ball outside off, Sai Sudharsan comes forward and 
plays a punchy drive through cover 
end of over 18 runs  
GT: 8/0CRR: 8.00 • RRR: 10.31 • Need 196 runs from 114b 
Sai Sudharsan6 (4b 1x4) 
Shubman Gill2 (2b) 
Mitchell Starc 1-0-8-0 
Previous highest total in the IPL where no batter scored 40 was 188 for 9 by Chennai 
Super Kings vs Rajasthan Royals in 2021 
200/6 - Rhinos vs Tuskers, 2023 (HS 38) 
201/7 - Australia vs England, 2024 (HS 39) 
203/8 - Delhi Capitals vs Gujarat Titans, 2025 (HS 39) 
211/8 - Romania vs Czech Republic, 2021 (HS 38) 
216/8 - Lancashire vs Durham, 2024 (HS 38) 
216/8 - Malta vs Bulgaria, 2020 (HS 34) 
200-plus totals in T20s where no batter scored 40 or more: 
Mukesh Kumar from the other end",0.6,4,4.0,"Starc to B Sai Sudharsan, FOUR runs  .Creamed through cover. Full length ball outside off, Sai Sudharsan comes forward and  .plays a punchy drive through cover",Starc,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"1.1 
4 
Mukesh Kumar to Gill, FOUR runs 
Easy on the eye, Gill! Shape away from a length outside off, Gill leans into it and times 
the drive away from the body. This is a ground he loves and it shows",1.1,4,4.0,"Mukesh Kumar to Gill, FOUR runs  .Easy on the eye, Gill! Shape away from a length outside off, Gill leans into it and times  .the drive away from the body. This is a ground he loves and it shows",Mukesh Kumar,Gill,4.0,1,0,1,1,4.0,0,,1
"1.2 
1 
Mukesh Kumar to Gill, 1 run 
Fuller outside off, driven straight back at Mukesh, who fumbles and parries it towards 
mid-on",1.2,1,1.0,"Mukesh Kumar to Gill, 1 run  .Fuller outside off, driven straight back at Mukesh, who fumbles and parries it towards  .mid-on",Mukesh Kumar,Gill,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Mukesh Kumar to B Sai Sudharsan, 1 run 
Length ball angling away outside off, cut away past backward point 
 
Shubman Gill vs Mukesh Kumar 
BALLS 
11 
RUNS 
14 
OUTS 
1 
SR 
127.27 
4s/6s 
3/0",1.3,1,1.0,"Mukesh Kumar to B Sai Sudharsan, 1 run  .Length ball angling away outside off, cut away past backward point  .  .Shubman Gill vs Mukesh Kumar  .BALLS  .11  .RUNS  .14  .OUTS  .1  .SR  .127.27  .4s/6s  .3/0",Mukesh Kumar,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.4 
W 
Mukesh Kumar to Gill, OUT 
Mix-up and Gill is out of here! A very poor judgement call and it proves to be the end of 
the GT captain's stay in the middle. It is a length ball on off and middle, he clips it 
straight to midwicket and rushes for a single. Sai Sudharsan spotted Nair get to the ball 
and didn't rush. Nair had all the time in the world to nail the direct hit at the striker's end. 
Massive wicket 
Shubman Gill run out (Nair) 7 (5b 1x4 0x6 9m) SR: 140 
See all photos 
Jos Buttler walks in next",1.4,W,0.0,"Mukesh Kumar to Gill, OUT  .Mix-up and Gill is out of here! A very poor judgement call and it proves to be the end of  .the GT captain's stay in the middle. It is a length ball on off and middle, he clips it  .straight to midwicket and rushes for a single. Sai Sudharsan spotted Nair get to the ball  .and didn't rush. Nair had all the time in the world to nail the direct hit at the striker's end.  .Massive wicket  .Shubman Gill run out (Nair) 7 (5b 1x4 0x6 9m) SR: 140",Mukesh Kumar,Gill,0.0,0,0,1,1,0.0,0,run out (Nair),0
"1.5 
• 
Mukesh Kumar to Buttler, no run 
Fuller outside off, driven to mid-off",1.5,0,0.0,"Mukesh Kumar to Buttler, no run  .Fuller outside off, driven to mid-off",Mukesh Kumar,Buttler,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
Mukesh Kumar to Buttler, FOUR runs 
Over extra cover, just! Full and outside off, not much swing this time around. Buttler 
does not take his foot towards the line of the ball but drives it aerially over short extra 
cover 
end of over 210 runs • 1 wicket 
GT: 18/1CRR: 9.00 • RRR: 10.33 • Need 186 runs from 108b 
Jos Buttler4 (2b 1x4) 
Sai Sudharsan7 (5b 1x4) 
Mukesh Kumar 1-0-10-0 
Mitchell Starc 1-0-8-0",1.6,4,4.0,"Mukesh Kumar to Buttler, FOUR runs  .Over extra cover, just! Full and outside off, not much swing this time around. Buttler  .does not take his foot towards the line of the ball but drives it aerially over short extra  .cover",Mukesh Kumar,Buttler,4.0,1,0,1,1,4.0,0,,1
"2.1 
4 
Starc to B Sai Sudharsan, FOUR runs 
Back-to-back fours for GT. Sai Sudharsan has smartly used Starc's pace here. Stands 
tall to get on his toes and slaps the length ball through point",2.1,4,4.0,"Starc to B Sai Sudharsan, FOUR runs  .Back-to-back fours for GT. Sai Sudharsan has smartly used Starc's pace here. Stands  .tall to get on his toes and slaps the length ball through point",Starc,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"2.2 
4 
Starc to B Sai Sudharsan, FOUR runs 
And this is even better! Sai Sudharsan is getting the GT flags waving in the crowd. This 
one is fuller than the previous ball, he gets forward and drives it to the left of the cover 
fielder",2.2,4,4.0,"Starc to B Sai Sudharsan, FOUR runs  .And this is even better! Sai Sudharsan is getting the GT flags waving in the crowd. This  .one is fuller than the previous ball, he gets forward and drives it to the left of the cover  .fielder",Starc,B Sai Sudharsan,4.0,1,0,1,1,4.0,0,,1
"2.3 
1 
Starc to B Sai Sudharsan, 1 run 
Length ball just outside off, goes for the punch but gets it off the outer half wide of 
short third",2.3,1,1.0,"Starc to B Sai Sudharsan, 1 run  .Length ball just outside off, goes for the punch but gets it off the outer half wide of  .short third",Starc,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"2.4 
2 
Starc to Buttler, 2 runs 
Length ball angling away, 140.3kph, he opens the face of the bat to get it well wide of 
deep backward point and hares back for two",2.4,2,2.0,"Starc to Buttler, 2 runs  .Length ball angling away, 140.3kph, he opens the face of the bat to get it well wide of  .deep backward point and hares back for two",Starc,Buttler,2.0,0,0,1,1,2.0,0,,1
