raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Arora to B Sai Sudharsan, 1 wide 
A hint of swing but the line is well outside off as Sudharsan shoulders arms. Called a 
wide. 
See all photos",0.1,1w,1.0,"Arora to B Sai Sudharsan, 1 wide  .A hint of swing but the line is well outside off as Sudharsan shoulders arms. Called a  .wide.  .See all photos",Arora,B Sai Sudharsan,0.0,0,0,0,0,1.0,0,,1
"0.1 
1 
Arora to B Sai Sudharsan, 1 run 
On a length around middle stump, Sudharsan pushes at it and gets it off the inside half 
of the blade to the on-side 
Stays over the wicket to Gill with a slip around",0.1,1,1.0,"Arora to B Sai Sudharsan, 1 run  .On a length around middle stump, Sudharsan pushes at it and gets it off the inside half  .of the blade to the on-side  .Stays over the wicket to Gill with a slip around",Arora,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Arora to Gill, no run 
Gentle length ball at 131kph on off stump. Gill gets right behind it and defends back to 
the bowler",0.2,0,0.0,"Arora to Gill, no run  .Gentle length ball at 131kph on off stump. Gill gets right behind it and defends back to  .the bowler",Arora,Gill,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Arora to Gill, no run 
Goes a touch fuller in length outside off stump at 125kph. Gill stretches forward and 
drives to cover",0.3,0,0.0,"Arora to Gill, no run  .Goes a touch fuller in length outside off stump at 125kph. Gill stretches forward and  .drives to cover",Arora,Gill,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Arora to Gill, no run 
Shimmies down the pitch to the 130.5kph length ball outside off and punches to mid-off",0.4,0,0.0,"Arora to Gill, no run  .Shimmies down the pitch to the 130.5kph length ball outside off and punches to mid-off",Arora,Gill,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Arora to Gill, 1 run 
Tucked away to deep midwicket for a run. Goes for the inswinger at 125.3kph on off 
and middle stump. He clips this neatly to Ramandeep",0.5,1,1.0,"Arora to Gill, 1 run  .Tucked away to deep midwicket for a run. Goes for the inswinger at 125.3kph on off  .and middle stump. He clips this neatly to Ramandeep",Arora,Gill,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Arora to B Sai Sudharsan, 1 run 
Angles the good length ball across Sudharsan outside off stump. He bunts this to cover-
point for a run. Tidy over from Arora. 
Abhiram: ""Still remember the 2023 fixture of this. And Rinku's 6,6,6,6,6 off the final 5 
balls. Again KKR are chasing and Rinku is in the side. Maybe we see this again?"" 
end of over 14 runs  
GT: 4/0CRR: 4.00  
Sai Sudharsan2 (2b) 
Shubman Gill1 (4b) 
Vaibhav Arora 1-0-4-0 
Spin early from KKR. Here's Moeen Ali from around the wicket. Long-off and deep 
square leg are back. A slip is in place",0.6,1,1.0,"Arora to B Sai Sudharsan, 1 run  .Angles the good length ball across Sudharsan outside off stump. He bunts this to cover- .point for a run. Tidy over from Arora.",Arora,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.1 
• 
Moeen Ali to B Sai Sudharsan, no run 
Quicker length ball at off stump, he pushes to point and searches for a run. Is sent back 
quickly",1.1,0,0.0,"Moeen Ali to B Sai Sudharsan, no run  .Quicker length ball at off stump, he pushes to point and searches for a run. Is sent back  .quickly",Moeen Ali,B Sai Sudharsan,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Moeen Ali to B Sai Sudharsan, 1 run 
Floated on a length at middle stump, Sudharsan works this neatly to deep square leg for 
a run 
Over the wicket to Gill, slip goes",1.2,1,1.0,"Moeen Ali to B Sai Sudharsan, 1 run  .Floated on a length at middle stump, Sudharsan works this neatly to deep square leg for  .a run  .Over the wicket to Gill, slip goes",Moeen Ali,B Sai Sudharsan,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Moeen Ali to Gill, 1 run 
Shortens the length just a touch outside off, Gill eases to long-on",1.3,1,1.0,"Moeen Ali to Gill, 1 run  .Shortens the length just a touch outside off, Gill eases to long-on",Moeen Ali,Gill,1.0,0,0,1,1,1.0,0,,1
