raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Siraj to Rickelton, 2 runs 
full and swinging into the pads. Rickelton gets onto the front foot and flicks it away past 
mid wicket for a couple of runs 
 
Ryan Rickelton vs Mohammed Siraj 
BALLS 
9 
RUNS 
7 
OUTS 
2 
SR 
77.77 
4s/6s 
1/0",0.1,2,2.0,"Siraj to Rickelton, 2 runs  .full and swinging into the pads. Rickelton gets onto the front foot and flicks it away past  .mid wicket for a couple of runs  .  .Ryan Rickelton vs Mohammed Siraj  .BALLS  .9  .RUNS  .7  .OUTS  .2  .SR  .77.77  .4s/6s  .1/0",Siraj,Rickelton,2.0,0,0,1,1,2.0,0,,1
"0.2 
W 
Siraj to Rickelton, OUT 
in the air and taken beautifully by Sai Sudharsan! Siraj strikes early against the 
Mumbai Indians again! On a length just outside off and this seems to hold in the 
surface a touch. Rickelton wants to punch this on the up but is a touch early into the 
stroke. Pops it uppishly towards short extra cover, where Sudharsan swoops down low 
and snaffles up a sharp chance. The Waknhede Stadium is stunned, and this is just the 
start the Titans would have envisioned in their pre-game team talks! 
Ryan Rickelton c Sai Sudharsan b Mohammed Siraj 2 (2b 0x4 0x6 2m) SR: 100 
See all photos 
Jacks in early. Good opportunity for him to show off his wares. He did score a century 
against this opposition last year, although that was in RCB colours",0.2,W,0.0,"Siraj to Rickelton, OUT  .in the air and taken beautifully by Sai Sudharsan! Siraj strikes early against the  .Mumbai Indians again! On a length just outside off and this seems to hold in the  .surface a touch. Rickelton wants to punch this on the up but is a touch early into the  .stroke. Pops it uppishly towards short extra cover, where Sudharsan swoops down low  .and snaffles up a sharp chance. The Waknhede Stadium is stunned, and this is just the  .start the Titans would have envisioned in their pre-game team talks!  .Ryan Rickelton c Sai Sudharsan b Mohammed Siraj 2 (2b 0x4 0x6 2m) SR: 100",Siraj,Rickelton,0.0,0,0,1,1,0.0,1,c Sai Sudharsan b Mohammed Siraj,0
"0.3 
• 
Siraj to Jacks, no run 
angled in full just outside off. Jacks pushes it to mid on and sets off for the single, only 
to be sent back by Rohit. Jacks almost ran a run by himself - half of it while setting off, 
half of it while getting back",0.3,0,0.0,"Siraj to Jacks, no run  .angled in full just outside off. Jacks pushes it to mid on and sets off for the single, only  .to be sent back by Rohit. Jacks almost ran a run by himself - half of it while setting off,  .half of it while getting back",Siraj,Jacks,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Siraj to Jacks, no run 
dropped - oh dear! What a difference two balls makes! Full and shaping away outside 
off. There for the drive and Jacks throws his hands at it. Smashes it straight to 
Sudharsan at short extra cover but this time, the stroke is too hot to handle for the 
youngster",0.4,0,0.0,"Siraj to Jacks, no run  .dropped - oh dear! What a difference two balls makes! Full and shaping away outside  .off. There for the drive and Jacks throws his hands at it. Smashes it straight to  .Sudharsan at short extra cover but this time, the stroke is too hot to handle for the  .youngster",Siraj,Jacks,0.0,0,0,1,1,0.0,0,,0
"0.5 
4 
Siraj to Jacks, FOUR runs 
insult to injury! Siraj goes full again and Jacks is sweating on that full ball on leg stump. 
Jacks plants his front foot and clips it over mid on!",0.5,4,4.0,"Siraj to Jacks, FOUR runs  .insult to injury! Siraj goes full again and Jacks is sweating on that full ball on leg stump.  .Jacks plants his front foot and clips it over mid on!",Siraj,Jacks,4.0,1,0,1,1,4.0,0,,1
"0.6 
• 
Siraj to Jacks, no run 
back of a length outside off. Jacks gets up on his toes and jabs it towards point. An 
eventful over comes to an end 
end of over 16 runs • 1 wicket 
MI: 6/1CRR: 6.00  
Will Jacks4 (4b 1x4) 
Rohit Sharma0 (0b) 
Mohammed Siraj 1-0-6-1 
Arshad from over the wicket. Watch out for the in-swinger to the RHBs",0.6,0,0.0,"Siraj to Jacks, no run  .back of a length outside off. Jacks gets up on his toes and jabs it towards point. An  .eventful over comes to an end",Siraj,Jacks,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Arshad Khan to Rohit Sharma, no run 
back of a length just outside off. Rohit has a tentative prod at it and chops it off the 
under-edge towards the keeper",1.1,0,0.0,"Arshad Khan to Rohit Sharma, no run  .back of a length just outside off. Rohit has a tentative prod at it and chops it off the  .under-edge towards the keeper",Arshad Khan,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Arshad Khan to Rohit Sharma, 1 run 
back of a length on leg stump. Rohit lets the ball curve into him before tucking it 
uppishly towards deep square leg",1.2,1,1.0,"Arshad Khan to Rohit Sharma, 1 run  .back of a length on leg stump. Rohit lets the ball curve into him before tucking it  .uppishly towards deep square leg",Arshad Khan,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.3 
1 
Arshad Khan to Jacks, 1 run 
on a length just outside off. Jacks looks to go downtown but chalks it terribly. On the 
bounce to mid off in the end and Jacks gets a single for his toil",1.3,1,1.0,"Arshad Khan to Jacks, 1 run  .on a length just outside off. Jacks looks to go downtown but chalks it terribly. On the  .bounce to mid off in the end and Jacks gets a single for his toil",Arshad Khan,Jacks,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Arshad Khan to Rohit Sharma, no run 
full and shaping into the pads. Rohit looks for that pick-up flick but fails to make 
contact. Rapped on the front leg",1.4,0,0.0,"Arshad Khan to Rohit Sharma, no run  .full and shaping into the pads. Rohit looks for that pick-up flick but fails to make  .contact. Rapped on the front leg",Arshad Khan,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.5 
2 
Arshad Khan to Rohit Sharma, 2 runs 
well well! Back of a length wide outside off. Rohit gets across his stumps, gets down on 
one knee and laps it high into the air. No short fine leg in place, meaning Buttler has to 
chase after it. He gets there and pulls it back in",1.5,2,2.0,"Arshad Khan to Rohit Sharma, 2 runs  .well well! Back of a length wide outside off. Rohit gets across his stumps, gets down on  .one knee and laps it high into the air. No short fine leg in place, meaning Buttler has to  .chase after it. He gets there and pulls it back in",Arshad Khan,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"1.6 
• 
Arshad Khan to Rohit Sharma, no run 
massive lbw shout, not given! Back of a length on leg stump, swerving back in slightly. 
Rohit has a swipe across the line and gets pinged on the back leg. Arshad was very 
interested but the umpire was unmoved 
end of over 24 runs  
MI: 10/1CRR: 5.00  
Rohit Sharma3 (5b) 
Will Jacks5 (5b 1x4) 
Arshad Khan 1-0-4-0 
Mohammed Siraj 1-0-6-1",1.6,0,0.0,"Arshad Khan to Rohit Sharma, no run  .massive lbw shout, not given! Back of a length on leg stump, swerving back in slightly.  .Rohit has a swipe across the line and gets pinged on the back leg. Arshad was very  .interested but the umpire was unmoved",Arshad Khan,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.1 
6 
Siraj to Jacks, SIX runs 
Jacks is fighting fire with fire! Fullish and moving away wide outside off. Jacks dances 
down the track, holds his shape and caresses it delightfully over extra cover!",2.1,6,6.0,"Siraj to Jacks, SIX runs  .Jacks is fighting fire with fire! Fullish and moving away wide outside off. Jacks dances  .down the track, holds his shape and caresses it delightfully over extra cover!",Siraj,Jacks,6.0,0,1,1,1,6.0,0,,1
"2.2 
4 
Siraj to Jacks, FOUR runs 
Jacks has come to play tonight! Siraj makes the mistake of over-pitching again and 
bowls it right where Jacks wants it: in the slot. Jacks goes through the line and slams it 
over mid off!",2.2,4,4.0,"Siraj to Jacks, FOUR runs  .Jacks has come to play tonight! Siraj makes the mistake of over-pitching again and  .bowls it right where Jacks wants it: in the slot. Jacks goes through the line and slams it  .over mid off!",Siraj,Jacks,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Siraj to Jacks, no run 
back of a length outside off. Jacks stays on top of the bounce and punches it towards 
point, who dives sharply to his right and saves a few runs. Shahrukh was the fielder",2.3,0,0.0,"Siraj to Jacks, no run  .back of a length outside off. Jacks stays on top of the bounce and punches it towards  .point, who dives sharply to his right and saves a few runs. Shahrukh was the fielder",Siraj,Jacks,0.0,0,0,1,1,0.0,0,,0
"2.4 
1 
Siraj to Jacks, 1 run 
hard length on middle and off. Jacks stabs it towards mid on and saunters across to 
the other end 
The commentators on air, during the last over, mentioned that DRS may be experiencing 
a slight hiccup, so may not be available for the moment",2.4,1,1.0,"Siraj to Jacks, 1 run  .hard length on middle and off. Jacks stabs it towards mid on and saunters across to  .the other end  .The commentators on air, during the last over, mentioned that DRS may be experiencing  .a slight hiccup, so may not be available for the moment",Siraj,Jacks,1.0,0,0,1,1,1.0,0,,1
"2.5 
4 
Siraj to Rohit Sharma, FOUR runs 
shot! Slanted in on a full length outside off. Rohit gets across his stumps early, gets 
down low and laps it away fine for four!",2.5,4,4.0,"Siraj to Rohit Sharma, FOUR runs  .shot! Slanted in on a full length outside off. Rohit gets across his stumps early, gets  .down low and laps it away fine for four!",Siraj,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"2.6 
• 
Siraj to Rohit Sharma, no run 
fullish outside off. Rohit presses half forward and taps it gently into the off side 
end of over 315 runs  
MI: 25/1CRR: 8.33  
Rohit Sharma7 (7b 1x4) 
Will Jacks16 (9b 2x4 1x6) 
Mohammed Siraj 2-0-21-1 
Arshad Khan 1-0-4-0",2.6,0,0.0,"Siraj to Rohit Sharma, no run  .fullish outside off. Rohit presses half forward and taps it gently into the off side",Siraj,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Arshad Khan to Jacks, no run 
back of a length just outside off. Jacks gets up on his toes and jabs it towards cover 
The ball, barring the odd occasion, seems to be coming onto the bat nicely",3.1,0,0.0,"Arshad Khan to Jacks, no run  .back of a length just outside off. Jacks gets up on his toes and jabs it towards cover  .The ball, barring the odd occasion, seems to be coming onto the bat nicely",Arshad Khan,Jacks,0.0,0,0,1,1,0.0,0,,0
"3.2 
1lb 
Arshad Khan to Jacks, 1 leg bye 
full and swinging into the pads. Jacks has a swing at it and misses. Gets rapped on the 
pads but the umpire moves away rather quickly, indicating his disinterest 
 
Rohit Sharma vs left-arm pace in T20s 
RUNS 
1449 
OUTS 
61 
4s/6s 
151/68 
SR 
136.31 
AVE 
23.75",3.2,1lb,1.0,"Arshad Khan to Jacks, 1 leg bye  .full and swinging into the pads. Jacks has a swing at it and misses. Gets rapped on the  .pads but the umpire moves away rather quickly, indicating his disinterest  .  .Rohit Sharma vs left-arm pace in T20s  .RUNS  .1449  .OUTS  .61  .4s/6s  .151/68  .SR  .136.31  .AVE  .23.75",Arshad Khan,Jacks,0.0,0,0,1,1,0.0,0,,0
"3.3 
W 
Arshad Khan to Rohit Sharma, OUT 
Rohit falls, and those at the ground cannot believe their eyes! Hard length on middle 
and off. Rohit backs away, looking to slap this over mid off. The ball, though, just gets a 
little big on him and he splices it tamely towards Prasidh at mid off. A simple, simple 
catch, and Rohit, after a string of good scores, falls cheaply in front of thousands of 
adoring MI fans! 
Rohit Sharma c Prasidh Krishna b Arshad Khan 7 (8b 1x4 0x6 17m) SR: 87.5 
See all photos 
SKY is the new batter in",3.3,W,0.0,"Arshad Khan to Rohit Sharma, OUT  .Rohit falls, and those at the ground cannot believe their eyes! Hard length on middle  .and off. Rohit backs away, looking to slap this over mid off. The ball, though, just gets a  .little big on him and he splices it tamely towards Prasidh at mid off. A simple, simple  .catch, and Rohit, after a string of good scores, falls cheaply in front of thousands of  .adoring MI fans!  .Rohit Sharma c Prasidh Krishna b Arshad Khan 7 (8b 1x4 0x6 17m) SR: 87.5",Arshad Khan,Rohit Sharma,0.0,0,0,1,1,0.0,1,c Prasidh Krishna b Arshad Khan,0
"3.4 
• 
Arshad Khan to Suryakumar, no run 
back of a length outside off. SKY goes back and across before patting it towards cover",3.4,0,0.0,"Arshad Khan to Suryakumar, no run  .back of a length outside off. SKY goes back and across before patting it towards cover",Arshad Khan,Suryakumar,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Arshad Khan to Suryakumar, no run 
fuller on middle and off. A hint of shape back into SKY, and he gets a thick inside edge 
as he looks to drive down the ground. He was probably looking for an on-drive",3.5,0,0.0,"Arshad Khan to Suryakumar, no run  .fuller on middle and off. A hint of shape back into SKY, and he gets a thick inside edge  .as he looks to drive down the ground. He was probably looking for an on-drive",Arshad Khan,Suryakumar,0.0,0,0,1,1,0.0,0,,0
