raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Siraj to Head, 1 run 
On a length on leg at 146kph, swinging into Head, he tucks it out to deep square leg",0.1,1,1.0,"Siraj to Head, 1 run  .On a length on leg at 146kph, swinging into Head, he tucks it out to deep square leg",Siraj,Head,1.0,0,0,1,1,1.0,0,,1
"0.2 
6 
Siraj to Abhishek, SIX runs 
And here we go! Abhishek gives Siraj the charge and hammers this leg-stump half-
volley for a flat six over long-off",0.2,6,6.0,"Siraj to Abhishek, SIX runs  .And here we go! Abhishek gives Siraj the charge and hammers this leg-stump half- .volley for a flat six over long-off",Siraj,Abhishek,6.0,0,1,1,1,6.0,0,,1
"0.3 
1 
Siraj to Abhishek, 1 run 
Length ball on middle, he drops it towards cover for a quick single. Head has to hurry to 
the striker's end but the throw is well wide anyway",0.3,1,1.0,"Siraj to Abhishek, 1 run  .Length ball on middle, he drops it towards cover for a quick single. Head has to hurry to  .the striker's end but the throw is well wide anyway",Siraj,Abhishek,1.0,0,0,1,1,1.0,0,,1
"0.4 
4 
Siraj to Head, FOUR runs 
Crunched through cover point! Full outside off, Head gets low and crashes it away in 
the gap",0.4,4,4.0,"Siraj to Head, FOUR runs  .Crunched through cover point! Full outside off, Head gets low and crashes it away in  .the gap",Siraj,Head,4.0,1,0,1,1,4.0,0,,1
"0.5 
1w 
Siraj to Head, 1 wide 
Swings this length ball down leg",0.5,1w,1.0,"Siraj to Head, 1 wide  .Swings this length ball down leg",Siraj,Head,0.0,0,0,0,0,1.0,0,,1
"0.5 
1 
Siraj to Head, 1 run 
On a length around off, punched to extra cover's right",0.5,1,1.0,"Siraj to Head, 1 run  .On a length around off, punched to extra cover's right",Siraj,Head,1.0,0,0,1,1,1.0,0,,1
"0.6 
1 
Siraj to Abhishek, 1 run 
Full and angled across Abhishek, who slices it square on the off side. Goes in the air, 
but the point fielder is in the deep so he gets a single 
end of over 115 runs  
SRH: 15/0CRR: 15.00 • RRR: 11.05 • Need 210 runs from 114b 
Abhishek Sharma8 (3b 1x6) 
Travis Head6 (3b 1x4) 
Mohammed Siraj 1-0-15-0 
Ishant Sharma from the other end. From around the wicket",0.6,1,1.0,"Siraj to Abhishek, 1 run  .Full and angled across Abhishek, who slices it square on the off side. Goes in the air,  .but the point fielder is in the deep so he gets a single",Siraj,Abhishek,1.0,0,0,1,1,1.0,0,,1
"1.1 
1 
Ishant Sharma to Abhishek, 1 run 
Full around off, 137kph, clipped to deep square leg's left 
SS: ""Abhishek averages 148 when he has hit a 6 this season. Bye Bye GT. :)""",1.1,1,1.0,"Ishant Sharma to Abhishek, 1 run  .Full around off, 137kph, clipped to deep square leg's left",Ishant Sharma,Abhishek,1.0,0,0,1,1,1.0,0,,1
"1.2 
1lb 
Ishant Sharma to Head, 1 leg bye 
Full on the pads, 141kph, Head looks to whip it away and it goes off his pads to Buttler's 
right 
 
Abhishek Sharma vs Ishant Sharma 
BALLS 
25 
RUNS 
46 
OUTS 
0 
SR 
184.00 
4s/6s 
10/0",1.2,1lb,1.0,"Ishant Sharma to Head, 1 leg bye  .Full on the pads, 141kph, Head looks to whip it away and it goes off his pads to Buttler's  .right  .  .Abhishek Sharma vs Ishant Sharma  .BALLS  .25  .RUNS  .46  .OUTS  .0  .SR  .184.00  .4s/6s  .10/0",Ishant Sharma,Head,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Ishant Sharma to Abhishek, no run 
Full around middle, Abhishek flicks it to short fine leg and wants a single but Head 
sends him back",1.3,0,0.0,"Ishant Sharma to Abhishek, no run  .Full around middle, Abhishek flicks it to short fine leg and wants a single but Head  .sends him back",Ishant Sharma,Abhishek,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Ishant Sharma to Abhishek, 1 run 
Abhishek skips out of his crease and Ishant goes short of length around off. Head 
adjusts to push it to cover for a quick run",1.4,1,1.0,"Ishant Sharma to Abhishek, 1 run  .Abhishek skips out of his crease and Ishant goes short of length around off. Head  .adjusts to push it to cover for a quick run",Ishant Sharma,Abhishek,1.0,0,0,1,1,1.0,0,,1
"1.5 
1lb 
Ishant Sharma to Head, 1 leg bye 
On a length around middle, Head looks to flick it leg side but it goes square off his pads 
Over the wicket",1.5,1lb,1.0,"Ishant Sharma to Head, 1 leg bye  .On a length around middle, Head looks to flick it leg side but it goes square off his pads  .Over the wicket",Ishant Sharma,Head,0.0,0,0,1,1,0.0,0,,0
"1.6 
6 
Ishant Sharma to Abhishek, SIX runs 
The change in angle works in Abhishek's favour! This is overpitched outside off. 
Abhishek clears his front leg and hits another flat six over long-off. An expensive end to 
an otherwise good over 
end of over 210 runs  
SRH: 25/0CRR: 12.50 • RRR: 11.11 • Need 200 runs from 108b 
Abhishek Sharma16 (7b 2x6) 
Travis Head6 (5b 1x4) 
Ishant Sharma 1-0-8-0 
Mohammed Siraj 1-0-15-0",1.6,6,6.0,"Ishant Sharma to Abhishek, SIX runs  .The change in angle works in Abhishek's favour! This is overpitched outside off.  .Abhishek clears his front leg and hits another flat six over long-off. An expensive end to  .an otherwise good over",Ishant Sharma,Abhishek,6.0,0,1,1,1,6.0,0,,1
"2.1 
1 
Siraj to Head, 1 run 
Back of a length on leg, Head defends and the ball bounces towards Buttler's left. They 
manage a quick run",2.1,1,1.0,"Siraj to Head, 1 run  .Back of a length on leg, Head defends and the ball bounces towards Buttler's left. They  .manage a quick run",Siraj,Head,1.0,0,0,1,1,1.0,0,,1
"2.2 
1 
Siraj to Abhishek, 1 run 
Back of length outside leg, Head backs away and drops it towards cover",2.2,1,1.0,"Siraj to Abhishek, 1 run  .Back of length outside leg, Head backs away and drops it towards cover",Siraj,Abhishek,1.0,0,0,1,1,1.0,0,,1
"2.3 
1w 
Siraj to Head, 1 wide 
Bouncer on leg, Head looks to ramp but misses. Called wide on height immediately. 
Buttler collected that at full stretch above his head",2.3,1w,1.0,"Siraj to Head, 1 wide  .Bouncer on leg, Head looks to ramp but misses. Called wide on height immediately.  .Buttler collected that at full stretch above his head",Siraj,Head,0.0,0,0,0,0,1.0,0,,1
"2.3 
4 
Siraj to Head, FOUR runs 
That's more like it for Head! Back of a length on leg and going across, Head backs away 
and heaves this away between midwicket and mid-on 
See all photos",2.3,4,4.0,"Siraj to Head, FOUR runs  .That's more like it for Head! Back of a length on leg and going across, Head backs away  .and heaves this away between midwicket and mid-on  .See all photos",Siraj,Head,4.0,1,0,1,1,4.0,0,,1
"2.4 
• 
Siraj to Head, no run 
On a length on leg and going across, Head backs away and punches it hard but straight 
to the cover fielder on the bounce",2.4,0,0.0,"Siraj to Head, no run  .On a length on leg and going across, Head backs away and punches it hard but straight  .to the cover fielder on the bounce",Siraj,Head,0.0,0,0,1,1,0.0,0,,0
"2.5 
1lb 
Siraj to Head, 1 leg bye 
On a length outside leg, Head looks to swipe it away but it goes off his hips to short fine 
leg",2.5,1lb,1.0,"Siraj to Head, 1 leg bye  .On a length outside leg, Head looks to swipe it away but it goes off his hips to short fine  .leg",Siraj,Head,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Siraj to Abhishek, no run 
Yorker outside leg, Abhishek backs away and ends up squeezing it back to the bowler. 
Siraj collects and immediately throws down the stumps at the striker's end but Abhishek 
ensures he stays inside the crease. He isn't happy at that throw and seems to gesture 
something to the square leg umpire 
end of over 38 runs  
SRH: 33/0CRR: 11.00 • RRR: 11.29 • Need 192 runs from 102b 
Abhishek Sharma17 (9b 2x6) 
Travis Head11 (9b 2x4) 
Mohammed Siraj 2-0-22-0 
Ishant Sharma 1-0-8-0 
Ishant starts this over from over the wicket",2.6,0,0.0,"Siraj to Abhishek, no run  .Yorker outside leg, Abhishek backs away and ends up squeezing it back to the bowler.  .Siraj collects and immediately throws down the stumps at the striker's end but Abhishek  .ensures he stays inside the crease. He isn't happy at that throw and seems to gesture  .something to the square leg umpire",Siraj,Abhishek,0.0,0,0,1,1,0.0,0,,0
"3.1 
1w 
Ishant Sharma to Head, 1 wide 
Ishant looks for the wide yorker but goes too wide",3.1,1w,1.0,"Ishant Sharma to Head, 1 wide  .Ishant looks for the wide yorker but goes too wide",Ishant Sharma,Head,0.0,0,0,0,0,1.0,0,,1
"3.1 
• 
Ishant Sharma to Head, no run 
Full outside off, Head laces a drive hard to cover's left, but the fielder does well there to 
stop it",3.1,0,0.0,"Ishant Sharma to Head, no run  .Full outside off, Head laces a drive hard to cover's left, but the fielder does well there to  .stop it",Ishant Sharma,Head,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Ishant Sharma to Head, FOUR runs 
Finds the gap this time for sure! This is overpitched outside off and Head launches it 
down the ground and well straight of mid-off",3.2,4,4.0,"Ishant Sharma to Head, FOUR runs  .Finds the gap this time for sure! This is overpitched outside off and Head launches it  .down the ground and well straight of mid-off",Ishant Sharma,Head,4.0,1,0,1,1,4.0,0,,1
"3.3 
• 
Ishant Sharma to Head, no run 
Full and wide, 141kph, it beats Head's attempted cut 
Now Ishant goes back to bowling from over the wicket",3.3,0,0.0,"Ishant Sharma to Head, no run  .Full and wide, 141kph, it beats Head's attempted cut  .Now Ishant goes back to bowling from over the wicket",Ishant Sharma,Head,0.0,0,0,1,1,0.0,0,,0
"3.4 
1 
Ishant Sharma to Head, 1 run 
Full around off, Head swings this along the ground to mid-on's left for a single",3.4,1,1.0,"Ishant Sharma to Head, 1 run  .Full around off, Head swings this along the ground to mid-on's left for a single",Ishant Sharma,Head,1.0,0,0,1,1,1.0,0,,1
