raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1 
Fazalhaq Farooqi to Rohit Sharma, 1 run 
Tucked off the hips to deep backward square. 135ks. Length ball, too straight. Wonder 
if the sole slip played a part there 
Two slips, first slip is a bit wide though.",0.1,1,1.0,"Fazalhaq Farooqi to Rohit Sharma, 1 run  .Tucked off the hips to deep backward square. 135ks. Length ball, too straight. Wonder  .if the sole slip played a part there  .Two slips, first slip is a bit wide though.",Fazalhaq Farooqi,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Fazalhaq Farooqi to Ishan, no run 
Back of length, comes back in to surprise Kishan. His feet are jammed but is able to get 
the bat down and clip it towards midwicket",0.2,0,0.0,"Fazalhaq Farooqi to Ishan, no run  .Back of length, comes back in to surprise Kishan. His feet are jammed but is able to get  .the bat down and clip it towards midwicket",Fazalhaq Farooqi,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Fazalhaq Farooqi to Ishan, no run 
Much more stable this time. Length around top of middle, punched off the back foot 
with a straight-ish bat face",0.3,0,0.0,"Fazalhaq Farooqi to Ishan, no run  .Much more stable this time. Length around top of middle, punched off the back foot  .with a straight-ish bat face",Fazalhaq Farooqi,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Fazalhaq Farooqi to Ishan, no run 
Length just outside off, KIshan tried to guide it with the fully open bat face. Hits the 
edge and falls onto him and then just below 
Salar: ""Fans' predictions are interesting, but Cricket is mother of unpredictables""",0.4,0,0.0,"Fazalhaq Farooqi to Ishan, no run  .Length just outside off, KIshan tried to guide it with the fully open bat face. Hits the  .edge and falls onto him and then just below",Fazalhaq Farooqi,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Fazalhaq Farooqi to Ishan, no run 
Kishan, unlike in India's game, doesn't chase the wide one. This was on a length though.",0.5,0,0.0,"Fazalhaq Farooqi to Ishan, no run  .Kishan, unlike in India's game, doesn't chase the wide one. This was on a length though.",Fazalhaq Farooqi,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.6 
1w 
Fazalhaq Farooqi to Ishan, 1 wide 
Let go again. Length ball landed in front of the off-side tramline before going away a bit 
further",0.6,1w,1.0,"Fazalhaq Farooqi to Ishan, 1 wide  .Let go again. Length ball landed in front of the off-side tramline before going away a bit  .further",Fazalhaq Farooqi,Ishan,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Fazalhaq Farooqi to Ishan, no run 
Straightens his line a bit while hanging onto the length. Kishan's still happy to let it pass. 
Not much swing in the first over. 
Bash: ""Is it only me or everyone waiting for Naveen bowling to Kohli!"" 
end of over 12 runs  
IND: 2/0CRR: 2.00 • RRR: 5.53 • Need 271 runs from 49 overs 
Ishan Kishan0 (5b) 
Rohit Sharma1 (1b) 
Fazalhaq Farooqi 1-0-2-0 
Mujeeb",0.6,0,0.0,"Fazalhaq Farooqi to Ishan, no run  .Straightens his line a bit while hanging onto the length. Kishan's still happy to let it pass.  .Not much swing in the first over.",Fazalhaq Farooqi,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Mujeeb to Rohit Sharma, no run 
Length ball spins in to fifth stump, punched off the back foot to mid-off",1.1,0,0.0,"Mujeeb to Rohit Sharma, no run  .Length ball spins in to fifth stump, punched off the back foot to mid-off",Mujeeb,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
2 
Mujeeb to Rohit Sharma, 2 runs 
Full on the pads, clipped to midwicket",1.2,2,2.0,"Mujeeb to Rohit Sharma, 2 runs  .Full on the pads, clipped to midwicket",Mujeeb,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"1.3 
2 
Mujeeb to Rohit Sharma, 2 runs 
Shortish ball on the pads, 95ks, clipped along the ground to the left of deep square 
Square leg and long-on out",1.3,2,2.0,"Mujeeb to Rohit Sharma, 2 runs  .Shortish ball on the pads, 95ks, clipped along the ground to the left of deep square  .Square leg and long-on out",Mujeeb,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"1.4 
1 
Mujeeb to Rohit Sharma, 1 run 
Length on leg, 99ks, punched off the back foot to long-on 
Caradhras: ""I expect a slow start. Both openers have a need to prove today.""",1.4,1,1.0,"Mujeeb to Rohit Sharma, 1 run  .Length on leg, 99ks, punched off the back foot to long-on",Mujeeb,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Mujeeb to Ishan, no run 
Fullish ball outside off, Kishan goes across before letting it go. That 102ks nut 
drifted/swung away a bit",1.5,0,0.0,"Mujeeb to Ishan, no run  .Fullish ball outside off, Kishan goes across before letting it go. That 102ks nut  .drifted/swung away a bit",Mujeeb,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Mujeeb to Ishan, no run 
Full outside off, blocked to cover 
end of over 25 runs  
IND: 7/0CRR: 3.50 • RRR: 5.54 • Need 266 runs from 48 overs 
Ishan Kishan0 (7b) 
Rohit Sharma6 (5b) 
Mujeeb Ur Rahman 1-0-5-0 
Fazalhaq Farooqi 1-0-2-0 
Slip remains",1.6,0,0.0,"Mujeeb to Ishan, no run  .Full outside off, blocked to cover",Mujeeb,Ishan,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Fazalhaq Farooqi to Rohit Sharma, no run 
Length on off, 135ks, blocked in front",2.1,0,0.0,"Fazalhaq Farooqi to Rohit Sharma, no run  .Length on off, 135ks, blocked in front",Fazalhaq Farooqi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Fazalhaq Farooqi to Rohit Sharma, FOUR runs 
Clipped through square leg. Farooqi's muddle-and-leg line not working. It's on a length 
and Rohit doesn't have to move an inch, just tucks it to the right of square leg 
Calcu20: ""All I want is this to go down the wire. We haven't had a single thriller so far, its 
very sad.""",2.2,4,4.0,"Fazalhaq Farooqi to Rohit Sharma, FOUR runs  .Clipped through square leg. Farooqi's muddle-and-leg line not working. It's on a length  .and Rohit doesn't have to move an inch, just tucks it to the right of square leg",Fazalhaq Farooqi,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Fazalhaq Farooqi to Rohit Sharma, no run 
Full on fourth, blocked to cover. 136ks 
Kohli chants go on as the bowler runs in. Rohit pulled out as the bowler ran in. Not sure 
why but he had a chat with the ump",2.3,0,0.0,"Fazalhaq Farooqi to Rohit Sharma, no run  .Full on fourth, blocked to cover. 136ks  .Kohli chants go on as the bowler runs in. Rohit pulled out as the bowler ran in. Not sure  .why but he had a chat with the ump",Fazalhaq Farooqi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Fazalhaq Farooqi to Rohit Sharma, no run 
Length on off, Rohit shaped for the swing in but had to adjust late and defend it in front",2.4,0,0.0,"Fazalhaq Farooqi to Rohit Sharma, no run  .Length on off, Rohit shaped for the swing in but had to adjust late and defend it in front",Fazalhaq Farooqi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Fazalhaq Farooqi to Rohit Sharma, no run 
Full on off, 133ks, nudged to square leg.",2.5,0,0.0,"Fazalhaq Farooqi to Rohit Sharma, no run  .Full on off, 133ks, nudged to square leg.",Fazalhaq Farooqi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.6 
2 
Fazalhaq Farooqi to Rohit Sharma, 2 runs 
Just under the hips again, Rohit helps himself to another flick. Two to deep-backward 
square. 
Srinivasan: """" I think India will make it interesting since they dont like good left arm pace, 
googly specialists and a good offspinner"""" 
end of over 36 runs  
IND: 13/0CRR: 4.33 • RRR: 5.53 • Need 260 runs from 47 overs 
Rohit Sharma12 (11b 1x4) 
Ishan Kishan0 (7b) 
Fazalhaq Farooqi 2-0-8-0 
Mujeeb Ur Rahman 1-0-5-0",2.6,2,2.0,"Fazalhaq Farooqi to Rohit Sharma, 2 runs  .Just under the hips again, Rohit helps himself to another flick. Two to deep-backward  .square.",Fazalhaq Farooqi,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"3.1 
• 
Mujeeb to Ishan, no run 
Goes on one knee and tries to shovel the length ball square on the leg side, missed it 
and got hit on the middle of the front pad",3.1,0,0.0,"Mujeeb to Ishan, no run  .Goes on one knee and tries to shovel the length ball square on the leg side, missed it  .and got hit on the middle of the front pad",Mujeeb,Ishan,0.0,0,0,1,1,0.0,0,,0
"3.2 
4 
Mujeeb to Ishan, FOUR runs 
Full outside off, driven with the drift to the sweeper-cover boundary.",3.2,4,4.0,"Mujeeb to Ishan, FOUR runs  .Full outside off, driven with the drift to the sweeper-cover boundary.",Mujeeb,Ishan,4.0,1,0,1,1,4.0,0,,1
"3.3 
1 
Mujeeb to Ishan, 1 run 
Tad short on the pads, Kishan goes square-on and pulls to deep deep square leg",3.3,1,1.0,"Mujeeb to Ishan, 1 run  .Tad short on the pads, Kishan goes square-on and pulls to deep deep square leg",Mujeeb,Ishan,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Mujeeb to Rohit Sharma, no run 
Fullish ball outside off, patted to point",3.4,0,0.0,"Mujeeb to Rohit Sharma, no run  .Fullish ball outside off, patted to point",Mujeeb,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.5 
4 
Mujeeb to Rohit Sharma, FOUR runs 
Short and Rohit swats it wide of midwicket. Deep square has no chance. Cross-seam 
wrong-un on middle, Rohit stood still and pulled it into the ground",3.5,4,4.0,"Mujeeb to Rohit Sharma, FOUR runs  .Short and Rohit swats it wide of midwicket. Deep square has no chance. Cross-seam  .wrong-un on middle, Rohit stood still and pulled it into the ground",Mujeeb,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
