raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Lee to Sehwag, no run 
no four! Mini-victory for Lee. Sehwag stands back and punches a length ball to mid on.",0.1,0,0.0,"Lee to Sehwag, no run  .no four! Mini-victory for Lee. Sehwag stands back and punches a length ball to mid on.",Lee,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Lee to Sehwag, no run 
hohho! 143 kph and late swing on a full ball on leg stump, Sehwag looks to flick and 
gets a leading edge down the track. Lee collects and lines up a throw. Sehwag hurries 
back into the crease",0.2,0,0.0,"Lee to Sehwag, no run  .hohho! 143 kph and late swing on a full ball on leg stump, Sehwag looks to flick and  .gets a leading edge down the track. Lee collects and lines up a throw. Sehwag hurries  .back into the crease",Lee,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.3 
1w 
Lee to Sehwag, 1 wide 
half an appeal as Lee looks to squeeze Sehwag down the leg side. Clips the thigh, but 
wrongly called a wide",0.3,1w,1.0,"Lee to Sehwag, 1 wide  .half an appeal as Lee looks to squeeze Sehwag down the leg side. Clips the thigh, but  .wrongly called a wide",Lee,Sehwag,0.0,0,0,0,0,1.0,0,,1
"0.3 
4 
Lee to Sehwag, FOUR runs 
Motera is a blur on my TV screen. 147 kph, length ball outside off. Sehwag stays exactly 
where he is and bludgeons on the up through the covers. Lee has a half smile. Watson 
in the slips looks flustered. Sehwag quietly taps the pitch. The crowd roars.",0.3,4,4.0,"Lee to Sehwag, FOUR runs  .Motera is a blur on my TV screen. 147 kph, length ball outside off. Sehwag stays exactly  .where he is and bludgeons on the up through the covers. Lee has a half smile. Watson  .in the slips looks flustered. Sehwag quietly taps the pitch. The crowd roars.",Lee,Sehwag,4.0,1,0,1,1,4.0,0,,1
"0.4 
• 
Lee to Sehwag, no run 
angles in from around middle and off, Sehwag plays back out to mid on",0.4,0,0.0,"Lee to Sehwag, no run  .angles in from around middle and off, Sehwag plays back out to mid on",Lee,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Lee to Sehwag, no run 
gets away with this one. Seemed like it deserved to be wided. 147 kph from Lee. Who 
says he is old! Short and wide, Sehwag looks to upper cut and misses.",0.5,0,0.0,"Lee to Sehwag, no run  .gets away with this one. Seemed like it deserved to be wided. 147 kph from Lee. Who  .says he is old! Short and wide, Sehwag looks to upper cut and misses.",Lee,Sehwag,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Lee to Sehwag, no run 
Australia review a caught behind appeal that was turned down. Monster away seamer 
from Lee, he's doing Shane Warne at 145 kph. Lands on middle and off stump, short of 
a length, Sehwag looks to play back and is groping inside the line as the ball nips off. 
Did he edge it? He moved his back foot across to cover the line and the ball moved 
away so much, it missed the pad as well. Haddin collected and appealed. Replays don't 
suggest an edge. Watson and Hussey indicated as much. Ponting went for the review 
immediately. Lee's appeal was a little start-stop. Lots of replays. Nothing conclusive. 
They are taking their time over this one. Given not out in the end. Right decision, by the 
looks of it. 
end of over 15 runs  
IND: 5/0CRR: 5.00 • RRR: 5.22 
Virender Sehwag4 (6b 1x4) 
Sachin Tendulkar0 (0b) 
Brett Lee 1-0-5-0 
That over had everything. Except a wicket. Tait comes on from the other end.",0.6,0,0.0,"Lee to Sehwag, no run  .Australia review a caught behind appeal that was turned down. Monster away seamer  .from Lee, he's doing Shane Warne at 145 kph. Lands on middle and off stump, short of  .a length, Sehwag looks to play back and is groping inside the line as the ball nips off.  .Did he edge it? He moved his back foot across to cover the line and the ball moved  .away so much, it missed the pad as well. Haddin collected and appealed. Replays don't  .suggest an edge. Watson and Hussey indicated as much. Ponting went for the review  .immediately. Lee's appeal was a little start-stop. Lots of replays. Nothing conclusive.  .They are taking their time over this one. Given not out in the end. Right decision, by the  .looks of it.",Lee,Sehwag,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Tait to Tendulkar, FOUR runs 
No first-ball four for Sehwag. Who cares. First ball four for the other guy, what's his 
name. Tait begins with a gentle 134 kph loosener outside off. Mistake. Lands back of a 
length and gives him width outside off. The little man stays put, gets half across, opens 
the face and convinces the ball to roll along to the point boundary. Class.",1.1,4,4.0,"Tait to Tendulkar, FOUR runs  .No first-ball four for Sehwag. Who cares. First ball four for the other guy, what's his  .name. Tait begins with a gentle 134 kph loosener outside off. Mistake. Lands back of a  .length and gives him width outside off. The little man stays put, gets half across, opens  .the face and convinces the ball to roll along to the point boundary. Class.",Tait,Tendulkar,4.0,1,0,1,1,4.0,0,,1
"1.2 
1w 
Tait to Tendulkar, 1 wide 
bad start. Tait wides down the leg side.",1.2,1w,1.0,"Tait to Tendulkar, 1 wide  .bad start. Tait wides down the leg side.",Tait,Tendulkar,0.0,0,0,0,0,1.0,0,,1
"1.2 
4 
Tait to Tendulkar, FOUR runs 
deja vu. The last time I saw Tendulkar do this in a World Cup was 2003. Centurion. 
Against one Shoaib Akhtar. Tait is just as fast. The ball is going just as fast. Short ball 
outside off. Sachin gets under it and upper cuts it almost all the way to the third man 
fence.",1.2,4,4.0,"Tait to Tendulkar, FOUR runs  .deja vu. The last time I saw Tendulkar do this in a World Cup was 2003. Centurion.  .Against one Shoaib Akhtar. Tait is just as fast. The ball is going just as fast. Short ball  .outside off. Sachin gets under it and upper cuts it almost all the way to the third man  .fence.",Tait,Tendulkar,4.0,1,0,1,1,4.0,0,,1
