raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Bumrah to Labuschagne, no run 
back of a length outside off, chopped to backward point",0.1,0,0.0,"Bumrah to Labuschagne, no run  .back of a length outside off, chopped to backward point",Bumrah,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Bumrah to Labuschagne, no run 
ooh, what a delivery. Back of a length, angling in, pitching in the fifth-stump channel, 
jagging away off the seam, and then swinging late as well, after it's passed the 
batsman's uncertain jab",0.2,0,0.0,"Bumrah to Labuschagne, no run  .ooh, what a delivery. Back of a length, angling in, pitching in the fifth-stump channel,  .jagging away off the seam, and then swinging late as well, after it's passed the  .batsman's uncertain jab",Bumrah,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bumrah to Labuschagne, no run 
and again. This one pitches even closer to off stump before straightening past the 
edge. Labuschagne had to play at it, and the length just left his feet frozen",0.3,0,0.0,"Bumrah to Labuschagne, no run  .and again. This one pitches even closer to off stump before straightening past the  .edge. Labuschagne had to play at it, and the length just left his feet frozen",Bumrah,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bumrah to Labuschagne, no run 
ooh, Bumrah likes this pitch. Similar line to the first two balls, but this keeps going with 
the angle with some extra bounce. Labuschagne does well to get on his toes, ride the 
bounce, and defend it by his feet",0.4,0,0.0,"Bumrah to Labuschagne, no run  .ooh, Bumrah likes this pitch. Similar line to the first two balls, but this keeps going with  .the angle with some extra bounce. Labuschagne does well to get on his toes, ride the  .bounce, and defend it by his feet",Bumrah,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"0.5 
2 
Bumrah to Labuschagne, 2 runs 
onto the pads, clipped to the left of long leg",0.5,2,2.0,"Bumrah to Labuschagne, 2 runs  .onto the pads, clipped to the left of long leg",Bumrah,Labuschagne,2.0,0,0,1,1,2.0,0,,1
"0.6 
• 
Bumrah to Labuschagne, no run 
back of a length outside off, jags in off the seam this time and sneaks past the inside 
edge as Labuschagne looks to punch through cover. Kept a little low too 
end of over 12 runs  
AUS: 2/0CRR: 2.00 • RRR: 6.14 
Marnus Labuschagne2 (6b) 
Aaron Finch0 (0b) 
Jasprit Bumrah 1-0-2-0 
For our readers in the Indian subcontinent: Watch the highlights of India's innings here. 
Here he is, on debut. T Natarajan, left-arm over.",0.6,0,0.0,"Bumrah to Labuschagne, no run  .back of a length outside off, jags in off the seam this time and sneaks past the inside  .edge as Labuschagne looks to punch through cover. Kept a little low too",Bumrah,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Natarajan to Finch, no run 
back of a length, slanting across to off stump, punched to mid-off",1.1,0,0.0,"Natarajan to Finch, no run  .back of a length, slanting across to off stump, punched to mid-off",Natarajan,Finch,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Natarajan to Finch, no run 
full, angling across to off stump, tiny bit of shape back in. Gets forward for a push to 
mid-off",1.2,0,0.0,"Natarajan to Finch, no run  .full, angling across to off stump, tiny bit of shape back in. Gets forward for a push to  .mid-off",Natarajan,Finch,0.0,0,0,1,1,0.0,0,,0
"1.3 
6 
Natarajan to Finch, SIX runs 
drops short now, and it only gets up to about stomach height, just outside off. Finch 
swivels and dumps it over the forward square leg boundary. Welcome to international 
cricket!",1.3,6,6.0,"Natarajan to Finch, SIX runs  .drops short now, and it only gets up to about stomach height, just outside off. Finch  .swivels and dumps it over the forward square leg boundary. Welcome to international  .cricket!",Natarajan,Finch,6.0,0,1,1,1,6.0,0,,1
"1.4 
• 
Natarajan to Finch, no run 
back of a length close to off stump, chopped into the point region",1.4,0,0.0,"Natarajan to Finch, no run  .back of a length close to off stump, chopped into the point region",Natarajan,Finch,0.0,0,0,1,1,0.0,0,,0
"1.5 
1 
Natarajan to Finch, 1 run 
short, but this time it gets up to chest height, and closer to Finch's body with the line. 
Helped down to fine leg for a single",1.5,1,1.0,"Natarajan to Finch, 1 run  .short, but this time it gets up to chest height, and closer to Finch's body with the line.  .Helped down to fine leg for a single",Natarajan,Finch,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Natarajan to Labuschagne, no run 
short, some width too, but the angle away from the right-hander defeats Labuschagne, 
who looks to cut without getting across with his back foot 
end of over 27 runs  
AUS: 9/0CRR: 4.50 • RRR: 6.12 
Marnus Labuschagne2 (7b) 
Aaron Finch7 (5b 1x6) 
T Natarajan 1-0-7-0 
Jasprit Bumrah 1-0-2-0",1.6,0,0.0,"Natarajan to Labuschagne, no run  .short, some width too, but the angle away from the right-hander defeats Labuschagne,  .who looks to cut without getting across with his back foot",Natarajan,Labuschagne,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Bumrah to Finch, no run 
and again, past the outside edge. Bumrah angles it in, hits that hard length in the 
corridor, and straightens it past a hesitant defensive prod",2.1,0,0.0,"Bumrah to Finch, no run  .and again, past the outside edge. Bumrah angles it in, hits that hard length in the  .corridor, and straightens it past a hesitant defensive prod",Bumrah,Finch,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Bumrah to Finch, no run 
slightly fuller length, angling in towards off stump, defended back towards the bowler",2.2,0,0.0,"Bumrah to Finch, no run  .slightly fuller length, angling in towards off stump, defended back towards the bowler",Bumrah,Finch,0.0,0,0,1,1,0.0,0,,0
