raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Shami to Tanzid Hasan, FOUR runs 
what a lovely little flick off the pads. Just directs it past square leg as Shami strays 
down the leg side. Beats square leg 
See all photos",0.1,4,4.0,"Shami to Tanzid Hasan, FOUR runs  .what a lovely little flick off the pads. Just directs it past square leg as Shami strays  .down the leg side. Beats square leg  .See all photos",Shami,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Shami to Tanzid Hasan, no run 
full, just outside off, pushed back to Shami 
Arun: ""Wish the groundsmen have a rest day today :)"" 
No movement so far so he has gone over the wicket",0.2,0,0.0,"Shami to Tanzid Hasan, no run  .full, just outside off, pushed back to Shami",Shami,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shami to Tanzid Hasan, no run 
swinging in from middle and leg, flicks the pad on the way through to the keeper",0.3,0,0.0,"Shami to Tanzid Hasan, no run  .swinging in from middle and leg, flicks the pad on the way through to the keeper",Shami,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shami to Tanzid Hasan, no run 
again swinging back in, full and outside off, pushed to cover",0.4,0,0.0,"Shami to Tanzid Hasan, no run  .again swinging back in, full and outside off, pushed to cover",Shami,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Shami to Tanzid Hasan, 1 run 
walks at him, pushes a length ball to mid-off and charges off. Ishan Kishan is pretty 
tight there, and has got the direct hit in. Tanzid, though, has made it quite comfortably 
See all photos",0.5,1,1.0,"Shami to Tanzid Hasan, 1 run  .walks at him, pushes a length ball to mid-off and charges off. Ishan Kishan is pretty  .tight there, and has got the direct hit in. Tanzid, though, has made it quite comfortably  .See all photos",Shami,Tanzid Hasan,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Shami to Litton Das, no run 
swinging in, tucked away off the pad, but straight to square leg 
end of over 15 runs  
BAN: 5/0CRR: 5.00  
Litton Das0 (1b) 
Tanzid Hasan5 (5b 1x4) 
Mohammed Shami 1-0-5-0 
Shardul Thakur has the second new ball in hand. One slip and a short midwicket for him",0.6,0,0.0,"Shami to Litton Das, no run  .swinging in, tucked away off the pad, but straight to square leg",Shami,Litton Das,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Thakur to Tanzid Hasan, no run 
Tanzid charges at Thakur first up, the ball swings in, hits the inner half of the bat",1.1,0,0.0,"Thakur to Tanzid Hasan, no run  .Tanzid charges at Thakur first up, the ball swings in, hits the inner half of the bat",Thakur,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Thakur to Tanzid Hasan, no run 
swinging in, middle and leg, pushed to mid-on",1.2,0,0.0,"Thakur to Tanzid Hasan, no run  .swinging in, middle and leg, pushed to mid-on",Thakur,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Thakur to Tanzid Hasan, FOUR runs 
lovely shot. Just leans on a length ball, opens the face slightly and pushes it between 
mid-off and cover. Not more than a check-drive. Beautiful timing",1.3,4,4.0,"Thakur to Tanzid Hasan, FOUR runs  .lovely shot. Just leans on a length ball, opens the face slightly and pushes it between  .mid-off and cover. Not more than a check-drive. Beautiful timing",Thakur,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"1.4 
4 
Thakur to Tanzid Hasan, FOUR runs 
just as good. Slightly fuller from Thakur so he doesn't have to move too far forward. 
Again pushes at it with a slightly open face, beats mid-off to the right",1.4,4,4.0,"Thakur to Tanzid Hasan, FOUR runs  .just as good. Slightly fuller from Thakur so he doesn't have to move too far forward.  .Again pushes at it with a slightly open face, beats mid-off to the right",Thakur,Tanzid Hasan,4.0,1,0,1,1,4.0,0,,1
"1.5 
• 
Thakur to Tanzid Hasan, no run 
pulls the length back, gets straighter, and Tanzid defends it back to him 
Fazu: ""Irrespective of whether we get result today or on Sunday, the Men of the 
Tournament should be given to the groundmen with no questions whatsoever! Huge 
Huge respect from India!""",1.5,0,0.0,"Thakur to Tanzid Hasan, no run  .pulls the length back, gets straighter, and Tanzid defends it back to him",Thakur,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Thakur to Tanzid Hasan, no run 
heard a click as the ball passed the bat but nobody is excited on the field. Just a loose 
little waft as Thakur pushes this across him. The sound must have been something else 
end of over 28 runs  
BAN: 13/0CRR: 6.50  
Tanzid Hasan13 (11b 3x4) 
Litton Das0 (1b) 
Shardul Thakur 1-0-8-0 
Mohammed Shami 1-0-5-0",1.6,0,0.0,"Thakur to Tanzid Hasan, no run  .heard a click as the ball passed the bat but nobody is excited on the field. Just a loose  .little waft as Thakur pushes this across him. The sound must have been something else",Thakur,Tanzid Hasan,0.0,0,0,1,1,0.0,0,,0
"2.1 
W 
Shami to Litton Das, OUT 
seam movement. You can't do much when it happens off a good length and at Shami's 
pace. Just on the fuller side of good length, just outside off, Liton caught on the crease, 
the ball nips back in, kisses the pad on the way through to the wicket 
Litton Das b Mohammed Shami 0 (2b 0x4 0x6 11m) SR: 0 
See all photos 
Anamul Haque Bijoy is the new batter in. Two slips in",2.1,W,0.0,"Shami to Litton Das, OUT  .seam movement. You can't do much when it happens off a good length and at Shami's  .pace. Just on the fuller side of good length, just outside off, Liton caught on the crease,  .the ball nips back in, kisses the pad on the way through to the wicket  .Litton Das b Mohammed Shami 0 (2b 0x4 0x6 11m) SR: 0",Shami,Litton Das,0.0,0,0,1,1,0.0,1,b Mohammed Shami,0
"2.2 
1w 
Shami to Anamul, 1 wide 
walks at him first ball, the ball seams back in, misses the pad, called a wide. Doesn't 
carry to Rahul",2.2,1w,1.0,"Shami to Anamul, 1 wide  .walks at him first ball, the ball seams back in, misses the pad, called a wide. Doesn't  .carry to Rahul",Shami,Anamul,0.0,0,0,0,0,1.0,0,,1
"2.2 
1w 
Shami to Anamul, 1 wide 
another wide. Shami trying to be tight on the line, but ends up straying down leg",2.2,1w,1.0,"Shami to Anamul, 1 wide  .another wide. Shami trying to be tight on the line, but ends up straying down leg",Shami,Anamul,0.0,0,0,0,0,1.0,0,,1
"2.2 
• 
Shami to Anamul, no run 
seam movement again. Like a quick offbreak. Hits him high on the thigh pad",2.2,0,0.0,"Shami to Anamul, no run  .seam movement again. Like a quick offbreak. Hits him high on the thigh pad",Shami,Anamul,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Shami to Anamul, no run 
slightly short of a length, left alone outside off. This one moves extravagantly after 
passing the stumps, making Rahul dive to his left",2.3,0,0.0,"Shami to Anamul, no run  .slightly short of a length, left alone outside off. This one moves extravagantly after  .passing the stumps, making Rahul dive to his left",Shami,Anamul,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Shami to Anamul, no run 
on a good length, top of off, defended solidly",2.4,0,0.0,"Shami to Anamul, no run  .on a good length, top of off, defended solidly",Shami,Anamul,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Shami to Anamul, no run 
down the wicket, Shami goes with an outswinger this time, left alone outside off",2.5,0,0.0,"Shami to Anamul, no run  .down the wicket, Shami goes with an outswinger this time, left alone outside off",Shami,Anamul,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Shami to Anamul, no run 
down the wicket again, Shami goes with the outswinger again. Haque this time pushes 
at it with an open face, but can't go past backward point 
end of over 32 runs • 1 wicket 
BAN: 15/1CRR: 5.00  
Anamul Haque0 (5b) 
Tanzid Hasan13 (11b 3x4) 
Mohammed Shami 2-0-7-1 
Shardul Thakur 1-0-8-0",2.6,0,0.0,"Shami to Anamul, no run  .down the wicket again, Shami goes with the outswinger again. Haque this time pushes  .at it with an open face, but can't go past backward point",Shami,Anamul,0.0,0,0,1,1,0.0,0,,0
"3.1 
W 
Thakur to Tanzid Hasan, OUT 
and another wicket. Thakur's knack continues. A little lucky this time, though. Tanzid 
sees a short ball, goes for the pull from outside off, and gets a bottom edge onto his 
wicket 
Tanzid Hasan b Thakur 13 (12b 3x4 0x6 17m) SR: 108.33 
See all photos 
Shakib Al Hasan in early. The ball didn't move around much in the first two overs, and 
then suddenly it seamed for Shami. Let's see what it is doing for Thakur now. Two slips 
in place",3.1,W,0.0,"Thakur to Tanzid Hasan, OUT  .and another wicket. Thakur's knack continues. A little lucky this time, though. Tanzid  .sees a short ball, goes for the pull from outside off, and gets a bottom edge onto his  .wicket  .Tanzid Hasan b Thakur 13 (12b 3x4 0x6 17m) SR: 108.33",Thakur,Tanzid Hasan,0.0,0,0,1,1,0.0,1,b Thakur,0
"3.2 
• 
Thakur to Shakib, no run 
Shakib also shimmies down the wicket to defend a length ball",3.2,0,0.0,"Thakur to Shakib, no run  .Shakib also shimmies down the wicket to defend a length ball",Thakur,Shakib,0.0,0,0,1,1,0.0,0,,0
"3.3 
4 
Thakur to Shakib, FOUR runs 
lovely shot. Another shimmy down the wicket, Thakur swings it in, but Shakib covers it 
and drives it wide of the diving mid-off",3.3,4,4.0,"Thakur to Shakib, FOUR runs  .lovely shot. Another shimmy down the wicket, Thakur swings it in, but Shakib covers it  .and drives it wide of the diving mid-off",Thakur,Shakib,4.0,1,0,1,1,4.0,0,,1
"3.4 
1 
Thakur to Shakib, 1 run 
tucked away off the hip for one",3.4,1,1.0,"Thakur to Shakib, 1 run  .tucked away off the hip for one",Thakur,Shakib,1.0,0,0,1,1,1.0,0,,1
"3.5 
• 
Thakur to Anamul, no run 
Haque also walks down a little as he defends an outswinger",3.5,0,0.0,"Thakur to Anamul, no run  .Haque also walks down a little as he defends an outswinger",Thakur,Anamul,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Thakur to Anamul, no run 
big loopy outswinger, Haque has a drive at it, and is beaten comprehensively 
end of over 45 runs • 1 wicket 
BAN: 20/2CRR: 5.00  
Anamul Haque0 (7b) 
Shakib Al Hasan5 (3b 1x4) 
Shardul Thakur 2-0-13-1 
Mohammed Shami 2-0-7-1 
Shami back around the wicket to the left-hand batter",3.6,0,0.0,"Thakur to Anamul, no run  .big loopy outswinger, Haque has a drive at it, and is beaten comprehensively",Thakur,Anamul,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Shami to Shakib, no run 
slight shape away, Shakib punches it to backward point",4.1,0,0.0,"Shami to Shakib, no run  .slight shape away, Shakib punches it to backward point",Shami,Shakib,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Shami to Shakib, no run 
loose loose drive. Shami has pushed this up wide outside off, and Shakib just wafts at it 
without any feet. Lucky not to edge it",4.2,0,0.0,"Shami to Shakib, no run  .loose loose drive. Shami has pushed this up wide outside off, and Shakib just wafts at it  .without any feet. Lucky not to edge it",Shami,Shakib,0.0,0,0,1,1,0.0,0,,0
"4.3 
4 
Shami to Shakib, FOUR runs 
another drive away from the body, but this time he gets a good bit of it and lofts it over 
mid-off",4.3,4,4.0,"Shami to Shakib, FOUR runs  .another drive away from the body, but this time he gets a good bit of it and lofts it over  .mid-off",Shami,Shakib,4.0,1,0,1,1,4.0,0,,1
"4.4 
• 
Shami to Shakib, no run 
on a length, angling in, defended back to Shami",4.4,0,0.0,"Shami to Shakib, no run  .on a length, angling in, defended back to Shami",Shami,Shakib,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Shami to Shakib, no run 
another play and miss. Shakib is having drives at wide deliveries but his feet are not 
getting close to the line of the ball",4.5,0,0.0,"Shami to Shakib, no run  .another play and miss. Shakib is having drives at wide deliveries but his feet are not  .getting close to the line of the ball",Shami,Shakib,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Shami to Shakib, no run 
outside edge as this length ball just holds its line against the angle and squares him up. 
Falls safely well short of point 
end of over 54 runs  
BAN: 24/2CRR: 4.80  
Shakib Al Hasan9 (9b 2x4) 
Anamul Haque0 (7b) 
Mohammed Shami 3-0-11-1 
Shardul Thakur 2-0-13-1",4.6,0,0.0,"Shami to Shakib, no run  .outside edge as this length ball just holds its line against the angle and squares him up.  .Falls safely well short of point",Shami,Shakib,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Thakur to Anamul, no run 
outswinger, on a length, Amanul stays on the crease and defends",5.1,0,0.0,"Thakur to Anamul, no run  .outswinger, on a length, Amanul stays on the crease and defends",Thakur,Anamul,0.0,0,0,1,1,0.0,0,,0
"5.2 
4 
Thakur to Anamul, FOUR runs 
short-arm pull from down the wicket. Thakur sees him come down, shortens the length, 
and he just pulls it past midwicket",5.2,4,4.0,"Thakur to Anamul, FOUR runs  .short-arm pull from down the wicket. Thakur sees him come down, shortens the length,  .and he just pulls it past midwicket",Thakur,Anamul,4.0,1,0,1,1,4.0,0,,1
"5.3 
• 
Thakur to Anamul, no run 
full, nearly a yorker, inside edge into the toe",5.3,0,0.0,"Thakur to Anamul, no run  .full, nearly a yorker, inside edge into the toe",Thakur,Anamul,0.0,0,0,1,1,0.0,0,,0
"5.4 
W 
Thakur to Anamul, OUT 
another one goes down. Anamul has not looked at ease at all. Tries to pull this but the 
ball is nowhere near short enough. He gets a massive top edge for KL Rahul to settle 
under 
Anamul Haque c †Rahul b Thakur 4 (11b 1x4 0x6 17m) SR: 36.36 
See all photos 
Mehidy Hasan Miraz comes in at No. 5",5.4,W,0.0,"Thakur to Anamul, OUT  .another one goes down. Anamul has not looked at ease at all. Tries to pull this but the  .ball is nowhere near short enough. He gets a massive top edge for KL Rahul to settle  .under  .Anamul Haque c †Rahul b Thakur 4 (11b 1x4 0x6 17m) SR: 36.36",Thakur,Anamul,0.0,0,0,1,1,0.0,1,c †Rahul b Thakur,0
"5.5 
1 
Thakur to Mehidy Hasan Miraz, 1 run 
full outswinger, but it nips in after pitching. Just full enough to allow Mehidy to cover the 
movement and work it away past square leg",5.5,1,1.0,"Thakur to Mehidy Hasan Miraz, 1 run  .full outswinger, but it nips in after pitching. Just full enough to allow Mehidy to cover the  .movement and work it away past square leg",Thakur,Mehidy Hasan Miraz,1.0,0,0,1,1,1.0,0,,1
"5.6 
• 
Thakur to Shakib, no run 
drive on the up, can't get all of it, ends up pushing it to long-off 
end of over 65 runs • 1 wicket 
BAN: 29/3CRR: 4.83  
Shakib Al Hasan9 (10b 2x4) 
Mehidy Hasan Miraz1 (1b) 
Shardul Thakur 3-0-18-2 
Mohammed Shami 3-0-11-1",5.6,0,0.0,"Thakur to Shakib, no run  .drive on the up, can't get all of it, ends up pushing it to long-off",Thakur,Shakib,0.0,0,0,1,1,0.0,0,,0
"6.1 
• 
Shami to Mehidy Hasan Miraz, no run 
on a length, around off, defended back to Shami 
Dhaval: ""So a normal day in Lord Thakur's life. Expensive bit among the wickets as well. 
I hope he doesn't have to top it off with his batting.""",6.1,0,0.0,"Shami to Mehidy Hasan Miraz, no run  .on a length, around off, defended back to Shami",Shami,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"6.2 
• 
Shami to Mehidy Hasan Miraz, no run 
short of a length, outside off, punched to extra cover",6.2,0,0.0,"Shami to Mehidy Hasan Miraz, no run  .short of a length, outside off, punched to extra cover",Shami,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"6.3 
• 
Shami to Mehidy Hasan Miraz, no run 
nicely punched away off the back foot but again, can't beat the man at extra cover",6.3,0,0.0,"Shami to Mehidy Hasan Miraz, no run  .nicely punched away off the back foot but again, can't beat the man at extra cover",Shami,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"6.4 
• 
Shami to Mehidy Hasan Miraz, no run 
beaten on the inside edge. Mehidy sees an outswinger in the air and plays for it, but it 
pitches and nips back in",6.4,0,0.0,"Shami to Mehidy Hasan Miraz, no run  .beaten on the inside edge. Mehidy sees an outswinger in the air and plays for it, but it  .pitches and nips back in",Shami,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
"6.5 
• 
Shami to Mehidy Hasan Miraz, no run 
more seam movement back in, hits the pad this time, but too high",6.5,0,0.0,"Shami to Mehidy Hasan Miraz, no run  .more seam movement back in, hits the pad this time, but too high",Shami,Mehidy Hasan Miraz,0.0,0,0,1,1,0.0,0,,0
