raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mustafizur to Rohit Sharma, no run 
Gentle length ball just outside off, not a lot of swing. He gets across, nicely behind it and 
defends with the straight face of the bat 
See all photos",0.1,0,0.0,"Mustafizur to Rohit Sharma, no run  .Gentle length ball just outside off, not a lot of swing. He gets across, nicely behind it and  .defends with the straight face of the bat  .See all photos",Mustafizur,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
1lb 
Mustafizur to Rohit Sharma, 1 leg bye 
On a length but on the pads, he looks to flick it away, misses and is rapped on the pads 
as the ball rolls to square leg. There was a stifle appeal but that was always going down 
leg. 
VikasV: ""Well that explains. Again question is why isn't he in the squad? He was in the 
squad in NZ. I'm sure Bangladesh is as beautiful as NZ! Plus batting friendly pitches. "" 
Now, that's a good question. Read all about it here. 
Stays over the wicket to Dhawan. Two slips in place.",0.2,1lb,1.0,"Mustafizur to Rohit Sharma, 1 leg bye  .On a length but on the pads, he looks to flick it away, misses and is rapped on the pads  .as the ball rolls to square leg. There was a stifle appeal but that was always going down  .leg.",Mustafizur,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mustafizur to S Dhawan, no run 
On a length outside off, Dhawan defends it solidly.",0.3,0,0.0,"Mustafizur to S Dhawan, no run  .On a length outside off, Dhawan defends it solidly.",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Mustafizur to S Dhawan, no run 
Similar length ball, just a bit of shape away from Dhawan outside off, who opens the 
face of the bat to point.",0.4,0,0.0,"Mustafizur to S Dhawan, no run  .Similar length ball, just a bit of shape away from Dhawan outside off, who opens the  .face of the bat to point.",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Mustafizur to S Dhawan, no run 
Gentle nibble away from outside off, but that is quite a distance away for Dhawan to 
have anything to do with it. He shoulders arms.",0.5,0,0.0,"Mustafizur to S Dhawan, no run  .Gentle nibble away from outside off, but that is quite a distance away for Dhawan to  .have anything to do with it. He shoulders arms.",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Mustafizur to S Dhawan, no run 
That's better! Sucks Dhawan into playing a false shot. Short of a good length closer to 
off. Dhawan prods forward and pokes at it but is beaten. 
end of over 1Maiden 
IND: 1/0CRR: 1.00  
Shikhar Dhawan0 (4b) 
Rohit Sharma0 (2b) 
Mustafizur Rahman 1-1-0-0 
Hasan Mahmud to start at the other end. Over the wicket, two slips in place",0.6,0,0.0,"Mustafizur to S Dhawan, no run  .That's better! Sucks Dhawan into playing a false shot. Short of a good length closer to  .off. Dhawan prods forward and pokes at it but is beaten.",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Hasan Mahmud to Rohit Sharma, no run 
Length but quite a bit outside off. He leaves it alone.",1.1,0,0.0,"Hasan Mahmud to Rohit Sharma, no run  .Length but quite a bit outside off. He leaves it alone.",Hasan Mahmud,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Hasan Mahmud to Rohit Sharma, no run 
Short and wide but that came to Rohit a bit slower than what he expected. Is on the cut 
a bit soon and mistimes to backward point",1.2,0,0.0,"Hasan Mahmud to Rohit Sharma, no run  .Short and wide but that came to Rohit a bit slower than what he expected. Is on the cut  .a bit soon and mistimes to backward point",Hasan Mahmud,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Hasan Mahmud to Rohit Sharma, FOUR runs 
That's the way! Very short, very wide and Rohit is not going to miss out twice in a row. 
Smashes the cut between point and cover to get India's boundary counter running",1.3,4,4.0,"Hasan Mahmud to Rohit Sharma, FOUR runs  .That's the way! Very short, very wide and Rohit is not going to miss out twice in a row.  .Smashes the cut between point and cover to get India's boundary counter running",Hasan Mahmud,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"1.4 
1 
Hasan Mahmud to Rohit Sharma, 1 run 
A bit if in-swing into Rohit but gets the length ball on the pads. He flicks it to deep fine 
leg for a run 
Stays over. One wide slip in place",1.4,1,1.0,"Hasan Mahmud to Rohit Sharma, 1 run  .A bit if in-swing into Rohit but gets the length ball on the pads. He flicks it to deep fine  .leg for a run  .Stays over. One wide slip in place",Hasan Mahmud,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Hasan Mahmud to S Dhawan, no run 
Ooh, keeps a bit low around leg stump. But Dhawan is upto it and watches it closely to 
defend towards the on-side. They search for a single which is not on.",1.5,0,0.0,"Hasan Mahmud to S Dhawan, no run  .Ooh, keeps a bit low around leg stump. But Dhawan is upto it and watches it closely to  .defend towards the on-side. They search for a single which is not on.",Hasan Mahmud,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Hasan Mahmud to S Dhawan, no run 
Better length this time around, just shaping away from Dhawan, who plays inside the 
line of it. 
end of over 25 runs  
IND: 6/0CRR: 3.00  
Shikhar Dhawan0 (6b) 
Rohit Sharma5 (6b 1x4) 
Hasan Mahmud 1-0-5-0 
Mustafizur Rahman 1-1-0-0",1.6,0,0.0,"Hasan Mahmud to S Dhawan, no run  .Better length this time around, just shaping away from Dhawan, who plays inside the  .line of it.",Hasan Mahmud,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Mustafizur to Rohit Sharma, 1 run 
Length on the pads, he whips it to backward square leg. That was not the best of balls, 
Rohit certainly missed out.",2.1,1,1.0,"Mustafizur to Rohit Sharma, 1 run  .Length on the pads, he whips it to backward square leg. That was not the best of balls,  .Rohit certainly missed out.",Mustafizur,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"2.2 
4 
Mustafizur to S Dhawan, FOUR runs 
Dances down the ground and sends it soaring over covers. He did not intend to keep it 
down at any stage. Thumps it up and over.",2.2,4,4.0,"Mustafizur to S Dhawan, FOUR runs  .Dances down the ground and sends it soaring over covers. He did not intend to keep it  .down at any stage. Thumps it up and over.",Mustafizur,S Dhawan,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Mustafizur to S Dhawan, no run 
Decent come back. Gets the good length ball to shape into Dhawan, not giving him 
room. He can only defend it back to the bowler",2.3,0,0.0,"Mustafizur to S Dhawan, no run  .Decent come back. Gets the good length ball to shape into Dhawan, not giving him  .room. He can only defend it back to the bowler",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Mustafizur to S Dhawan, no run 
Good shape into Dhawan once more. On a length around middle, Dhawan seems to be a 
bit rushed and pushes it to mid-on",2.4,0,0.0,"Mustafizur to S Dhawan, no run  .Good shape into Dhawan once more. On a length around middle, Dhawan seems to be a  .bit rushed and pushes it to mid-on",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Mustafizur to S Dhawan, no run 
And, again. Length ball around middle, he looks to shimmy down again, but the bowler 
sees him early and darts it in inducing a false shot.",2.5,0,0.0,"Mustafizur to S Dhawan, no run  .And, again. Length ball around middle, he looks to shimmy down again, but the bowler  .sees him early and darts it in inducing a false shot.",Mustafizur,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"2.6 
1 
Mustafizur to S Dhawan, 1 run 
Comes down the track once again but Fizz is up to the task. Bangs this short around 
shoulder-high. Dhawan has to take evasive action towards square leg. 
Sanket: ""Fizz is really hitting the deck hard, and understanding what batter is trying to do 
against him. Good to see him in such rhythm"" 
end of over 36 runs  
IND: 12/0CRR: 4.00  
Shikhar Dhawan5 (11b 1x4) 
Rohit Sharma6 (7b 1x4) 
Mustafizur Rahman 2-1-6-0 
Hasan Mahmud 1-0-5-0 
Spin in the fourth over. Mehidy into the attack, around the wicket. One slip",2.6,1,1.0,"Mustafizur to S Dhawan, 1 run  .Comes down the track once again but Fizz is up to the task. Bangs this short around  .shoulder-high. Dhawan has to take evasive action towards square leg.",Mustafizur,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"3.1 
• 
Mehidy Hasan Miraz to S Dhawan, no run 
What a ball to start with! Turn and a bit of bounce just outside off. He is committed into 
the prod as the ball just spins past his blade.",3.1,0,0.0,"Mehidy Hasan Miraz to S Dhawan, no run  .What a ball to start with! Turn and a bit of bounce just outside off. He is committed into  .the prod as the ball just spins past his blade.",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Mehidy Hasan Miraz to S Dhawan, no run 
tossed up outside off, he taps it to point",3.2,0,0.0,"Mehidy Hasan Miraz to S Dhawan, no run  .tossed up outside off, he taps it to point",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"3.3 
1 
Mehidy Hasan Miraz to S Dhawan, 1 run 
a bit shorter this time on middle and leg, he gets the sweep out to deep backward 
square leg for a run 
Over the wicket to Rohit, one slip in place.",3.3,1,1.0,"Mehidy Hasan Miraz to S Dhawan, 1 run  .a bit shorter this time on middle and leg, he gets the sweep out to deep backward  .square leg for a run  .Over the wicket to Rohit, one slip in place.",Mehidy Hasan Miraz,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"3.4 
• 
Mehidy Hasan Miraz to Rohit Sharma, no run 
Loopy delivery on off, spinning into Rohit, who defends it with soft hands",3.4,0,0.0,"Mehidy Hasan Miraz to Rohit Sharma, no run  .Loopy delivery on off, spinning into Rohit, who defends it with soft hands",Mehidy Hasan Miraz,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.5 
• 
Mehidy Hasan Miraz to Rohit Sharma, no run 
And again, lovely lengths here from Miraz. Rohit comes forward to defend it.",3.5,0,0.0,"Mehidy Hasan Miraz to Rohit Sharma, no run  .And again, lovely lengths here from Miraz. Rohit comes forward to defend it.",Mehidy Hasan Miraz,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Mehidy Hasan Miraz to Rohit Sharma, no run 
Excellent start from the offie. A tad flat on middle and leg, Rohit gets across and works 
it to midwicket. 
end of over 41 run  
IND: 13/0CRR: 3.25  
Rohit Sharma6 (10b 1x4) 
Shikhar Dhawan6 (14b 1x4) 
Mehidy Hasan Miraz 1-0-1-0 
Mustafizur Rahman 2-1-6-0",3.6,0,0.0,"Mehidy Hasan Miraz to Rohit Sharma, no run  .Excellent start from the offie. A tad flat on middle and leg, Rohit gets across and works  .it to midwicket.",Mehidy Hasan Miraz,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.1 
1 
Hasan Mahmud to S Dhawan, 1 run 
On a length just outside off, a bit of shape not much. He opens the face of the bat to get 
the ball wide of backward point to deep third man",4.1,1,1.0,"Hasan Mahmud to S Dhawan, 1 run  .On a length just outside off, a bit of shape not much. He opens the face of the bat to get  .the ball wide of backward point to deep third man",Hasan Mahmud,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"4.2 
3w 
Hasan Mahmud to Rohit Sharma, 3 wide 
Very well done by Mushfiq down to his left. Length ball on leg and that kept going down 
leg. Would have been five wides if the keeper did not leap and saved a few runs",4.2,3w,3.0,"Hasan Mahmud to Rohit Sharma, 3 wide  .Very well done by Mushfiq down to his left. Length ball on leg and that kept going down  .leg. Would have been five wides if the keeper did not leap and saved a few runs",Hasan Mahmud,Rohit Sharma,0.0,0,0,0,0,3.0,0,,1
"4.2 
4 
Hasan Mahmud to Rohit Sharma, FOUR runs 
SHOT! Back of a length outside off, he stands tall and just punches it through a jam-
packed cover area for a four.",4.2,4,4.0,"Hasan Mahmud to Rohit Sharma, FOUR runs  .SHOT! Back of a length outside off, he stands tall and just punches it through a jam- .packed cover area for a four.",Hasan Mahmud,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"4.3 
• 
Hasan Mahmud to Rohit Sharma, no run 
Short of a good length just outside off, he opens the face of the blade to get it to point",4.3,0,0.0,"Hasan Mahmud to Rohit Sharma, no run  .Short of a good length just outside off, he opens the face of the blade to get it to point",Hasan Mahmud,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.4 
2 
Hasan Mahmud to Rohit Sharma, 2 runs 
A bit of mistime, but he gets a couple of runs. On a length homing in of off. He looks to 
drive, gets a thick inside edge past midwicket",4.4,2,2.0,"Hasan Mahmud to Rohit Sharma, 2 runs  .A bit of mistime, but he gets a couple of runs. On a length homing in of off. He looks to  .drive, gets a thick inside edge past midwicket",Hasan Mahmud,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"4.5 
• 
Hasan Mahmud to Rohit Sharma, no run 
A bit of inside-edge saves Rohit. Good length ball around off coming back into the 
batter, who gets some bat back onto his pads. There was a stifle appeal, but the umpire 
spotted the edge early.",4.5,0,0.0,"Hasan Mahmud to Rohit Sharma, no run  .A bit of inside-edge saves Rohit. Good length ball around off coming back into the  .batter, who gets some bat back onto his pads. There was a stifle appeal, but the umpire  .spotted the edge early.",Hasan Mahmud,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Hasan Mahmud to Rohit Sharma, no run 
And now beats Rohit all ends up. On a length shaping back into Rohit, who is late on it 
as the ball zooms past his bat. That kept a little ow as well 
end of over 510 runs  
IND: 23/0CRR: 4.60  
Rohit Sharma12 (15b 2x4) 
Shikhar Dhawan7 (15b 1x4) 
Hasan Mahmud 2-0-15-0 
Mehidy Hasan Miraz 1-0-1-0",4.6,0,0.0,"Hasan Mahmud to Rohit Sharma, no run  .And now beats Rohit all ends up. On a length shaping back into Rohit, who is late on it  .as the ball zooms past his bat. That kept a little ow as well",Hasan Mahmud,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"5.1 
• 
Mehidy Hasan Miraz to S Dhawan, no run 
Round-arm stuff into Dhawan, who gets forward and blocks",5.1,0,0.0,"Mehidy Hasan Miraz to S Dhawan, no run  .Round-arm stuff into Dhawan, who gets forward and blocks",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"5.2 
W 
Mehidy Hasan Miraz to S Dhawan, OUT 
First bit of innovation brings about Dhawan's downfall! The dot-ball pressure gets to 
Dhawan and he departs. Flatter on off, he goes for the reverse sweep, but the ball 
bounces a bit more, hits him on the wrist and ricochets back onto the stumps. Bog 
wicket for Bangladesh. Mehidy is elated, and why won't he! 
Shikhar Dhawan b Mehidy Hasan Miraz 7 (17b 1x4 0x6 28m) SR: 41.17 
See all photos 
Kohli in at No.3. Over the wicket. A slip and a leg slip in place.",5.2,W,0.0,"Mehidy Hasan Miraz to S Dhawan, OUT  .First bit of innovation brings about Dhawan's downfall! The dot-ball pressure gets to  .Dhawan and he departs. Flatter on off, he goes for the reverse sweep, but the ball  .bounces a bit more, hits him on the wrist and ricochets back onto the stumps. Bog  .wicket for Bangladesh. Mehidy is elated, and why won't he!  .Shikhar Dhawan b Mehidy Hasan Miraz 7 (17b 1x4 0x6 28m) SR: 41.17",Mehidy Hasan Miraz,S Dhawan,0.0,0,0,1,1,0.0,1,b Mehidy Hasan Miraz,0
"5.3 
• 
Mehidy Hasan Miraz to Kohli, no run 
Quicker on middle and leg, he works it to square leg.",5.3,0,0.0,"Mehidy Hasan Miraz to Kohli, no run  .Quicker on middle and leg, he works it to square leg.",Mehidy Hasan Miraz,Kohli,0.0,0,0,1,1,0.0,0,,0
"5.4 
• 
Mehidy Hasan Miraz to Kohli, no run 
Fuller on leg stump, he flicks to square leg",5.4,0,0.0,"Mehidy Hasan Miraz to Kohli, no run  .Fuller on leg stump, he flicks to square leg",Mehidy Hasan Miraz,Kohli,0.0,0,0,1,1,0.0,0,,0
