raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
2 
Henry to Rohit Sharma, 2 runs 
Inside-edge to get things underway, but Rohit Sharma is away. Back of a length ball 
holding its line around off stump. He pushes at it and gets thick inside-edge past his 
stumps towards deep fine leg",0.1,2,2.0,"Henry to Rohit Sharma, 2 runs  .Inside-edge to get things underway, but Rohit Sharma is away. Back of a length ball  .holding its line around off stump. He pushes at it and gets thick inside-edge past his  .stumps towards deep fine leg",Henry,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"0.2 
• 
Henry to Rohit Sharma, no run 
Good length ball around off stump. Rohit gets on top of the bounce and defends",0.2,0,0.0,"Henry to Rohit Sharma, no run  .Good length ball around off stump. Rohit gets on top of the bounce and defends",Henry,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Henry to Rohit Sharma, no run 
Slight bit on nip into Rohit on off and middle. Rohit gets across and he defends",0.3,0,0.0,"Henry to Rohit Sharma, no run  .Slight bit on nip into Rohit on off and middle. Rohit gets across and he defends",Henry,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Henry to Rohit Sharma, no run 
Beaten! Lovely bit of away seam movement from Henry off that good length area 
outside off. Rohit pushes at it, without much feet movement and gets beaten",0.4,0,0.0,"Henry to Rohit Sharma, no run  .Beaten! Lovely bit of away seam movement from Henry off that good length area  .outside off. Rohit pushes at it, without much feet movement and gets beaten",Henry,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Henry to Rohit Sharma, no run 
Oh, again! Good length ball, was the wobble-seam delivery that lands just outside off 
and nips away late. Rohit is opened up a little as he looks to defend and is beaten",0.5,0,0.0,"Henry to Rohit Sharma, no run  .Oh, again! Good length ball, was the wobble-seam delivery that lands just outside off  .and nips away late. Rohit is opened up a little as he looks to defend and is beaten",Henry,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Henry to Rohit Sharma, FOUR runs 
BANG! Not a poor delivery by any stretch of the imagination. Stifle short of a length on 
off, he is camped on the backfoot and pulls this in style through midwicket 
end of over 16 runs  
IND: 6/0CRR: 6.00  
Rohit Sharma6 (6b 1x4) 
Shubman Gill0 (0b) 
Matt Henry 1-0-6-0 
Kyle Jamieson with the new ball from the other end. He is over the wicket with a wide 
slip in place",0.6,4,4.0,"Henry to Rohit Sharma, FOUR runs  .BANG! Not a poor delivery by any stretch of the imagination. Stifle short of a length on  .off, he is camped on the backfoot and pulls this in style through midwicket",Henry,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Jamieson to Gill, no run 
Gentle good length ball to start off on off, he gets across and defends 
 
Kyle Jamieson in 1st inns (in ODIs) 
INNS 
9 
WKTS 
7 
ECON 
5.42 
AVE 
55.71",1.1,0,0.0,"Jamieson to Gill, no run  .Gentle good length ball to start off on off, he gets across and defends  .  .Kyle Jamieson in 1st inns (in ODIs)  .INNS  .9  .WKTS  .7  .ECON  .5.42  .AVE  .55.71",Jamieson,Gill,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Jamieson to Gill, no run 
Ooh, lots of movement for Jamieson. On a length outside off, and continuing to shape 
away from Gill who goes searching for it with his hands and is beaten",1.2,0,0.0,"Jamieson to Gill, no run  .Ooh, lots of movement for Jamieson. On a length outside off, and continuing to shape  .away from Gill who goes searching for it with his hands and is beaten",Jamieson,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Jamieson to Gill, no run 
Similar length ball outside off with plenty of movement away from Gill, who this time 
shoulders arms",1.3,0,0.0,"Jamieson to Gill, no run  .Similar length ball outside off with plenty of movement away from Gill, who this time  .shoulders arms",Jamieson,Gill,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Jamieson to Gill, 1 run 
Goes fuller now on middle, but Gill is up to the task as he presents the full face of the 
bat and pushes past the bowler. Mid-off gives chase and keeps them down to a run 
Similar field for Rohit. Jamieson is over the wicket",1.4,1,1.0,"Jamieson to Gill, 1 run  .Goes fuller now on middle, but Gill is up to the task as he presents the full face of the  .bat and pushes past the bowler. Mid-off gives chase and keeps them down to a run  .Similar field for Rohit. Jamieson is over the wicket",Jamieson,Gill,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
Jamieson to Rohit Sharma, no run 
Much fuller with a hint of shape away from Rohit outside off. He gets across a touch 
and pushes towards cover",1.5,0,0.0,"Jamieson to Rohit Sharma, no run  .Much fuller with a hint of shape away from Rohit outside off. He gets across a touch  .and pushes towards cover",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Jamieson to Rohit Sharma, no run 
On a length seaming away from Rohit but well outside off stump. He shoulders arms. 
Good carry through to the 'keeper 
end of over 21 run  
IND: 7/0CRR: 3.50  
Rohit Sharma6 (8b 1x4) 
Shubman Gill1 (4b) 
Kyle Jamieson 1-0-1-0 
Matt Henry 1-0-6-0",1.6,0,0.0,"Jamieson to Rohit Sharma, no run  .On a length seaming away from Rohit but well outside off stump. He shoulders arms.  .Good carry through to the 'keeper",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.1 
1 
Henry to Gill, 1 run 
A little edgy but he kept it down. Good length ball outside off, with a hint of away shape. 
Gill pushes at it but with soft hands and even though he got a thick outside edge, it was 
always going down.",2.1,1,1.0,"Henry to Gill, 1 run  .A little edgy but he kept it down. Good length ball outside off, with a hint of away shape.  .Gill pushes at it but with soft hands and even though he got a thick outside edge, it was  .always going down.",Henry,Gill,1.0,0,0,1,1,1.0,0,,1
"2.2 
6 
Henry to Rohit Sharma, SIX runs 
Rohit is away! Back of a length ball on off, Rohit charges down the track, gives himself a 
little bit of room and absolutely hammers the pull over mid-on and eventually over the 
ropes",2.2,6,6.0,"Henry to Rohit Sharma, SIX runs  .Rohit is away! Back of a length ball on off, Rohit charges down the track, gives himself a  .little bit of room and absolutely hammers the pull over mid-on and eventually over the  .ropes",Henry,Rohit Sharma,6.0,0,1,1,1,6.0,0,,1
"2.3 
1 
Henry to Rohit Sharma, 1 run 
On a length on off, Rohit gets a thick outside edge down to deep third",2.3,1,1.0,"Henry to Rohit Sharma, 1 run  .On a length on off, Rohit gets a thick outside edge down to deep third",Henry,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"2.4 
• 
Henry to Gill, no run 
Gill looks for a repeat of Rohit's shot, but is unsuccessful. Steps down to the good 
length ball on middle, but the ball seams away late and Gill is beaten all ends up",2.4,0,0.0,"Henry to Gill, no run  .Gill looks for a repeat of Rohit's shot, but is unsuccessful. Steps down to the good  .length ball on middle, but the ball seams away late and Gill is beaten all ends up",Henry,Gill,0.0,0,0,1,1,0.0,0,,0
"2.5 
W 
Henry to Gill, OUT 
Huge appeal for lbw as Gill misses an in-dipper and is caught in front of the stumps. 
The umpire's finger is up in a jiffy. That looks adjacent. Gill has a word with Rohit and 
reviews. Wow, that looks really close. Was a length ball that tailed back into Gill late. He 
plays with a straight bat, misses and is rapped on the pad right in front. At worst, it will 
be umpire's call on leg stump. Nope, replays confirm that the ball would have smashed 
into the top of leg stump. Gill goes and takes a review with him 
Shubman Gill lbw b Henry 2 (7b 0x4 0x6 13m) SR: 28.57 
See all photos 
Virat Kohli, playing his 300th ODI, comes in at No. 3 
 
Matt Henry vs IND in ODIs 
INNS 
11 
WKTS 
17 
ECON 
4.48 
AVE 
24.29",2.5,W,0.0,"Henry to Gill, OUT  .Huge appeal for lbw as Gill misses an in-dipper and is caught in front of the stumps.  .The umpire's finger is up in a jiffy. That looks adjacent. Gill has a word with Rohit and  .reviews. Wow, that looks really close. Was a length ball that tailed back into Gill late. He  .plays with a straight bat, misses and is rapped on the pad right in front. At worst, it will  .be umpire's call on leg stump. Nope, replays confirm that the ball would have smashed  .into the top of leg stump. Gill goes and takes a review with him  .Shubman Gill lbw b Henry 2 (7b 0x4 0x6 13m) SR: 28.57",Henry,Gill,0.0,0,0,1,1,0.0,1,lbw b Henry,0
"2.6 
• 
Henry to Kohli, no run 
On a length just outside off, Kohli defends solidly to mid-off 
end of over 38 runs • 1 wicket 
IND: 15/1CRR: 5.00  
Virat Kohli0 (1b) 
Rohit Sharma13 (10b 1x4 1x6) 
Matt Henry 2-0-14-1 
Kyle Jamieson 1-0-1-0",2.6,0,0.0,"Henry to Kohli, no run  .On a length just outside off, Kohli defends solidly to mid-off",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Jamieson to Rohit Sharma, no run 
Beaten! On a length with a hint of shape away from Rohit who feels for it outside off and 
is lucky to not get an edge on that",3.1,0,0.0,"Jamieson to Rohit Sharma, no run  .Beaten! On a length with a hint of shape away from Rohit who feels for it outside off and  .is lucky to not get an edge on that",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Jamieson to Rohit Sharma, no run 
Good length ball outside off shaping away from Rohit, who shoulders arms",3.2,0,0.0,"Jamieson to Rohit Sharma, no run  .Good length ball outside off shaping away from Rohit, who shoulders arms",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Jamieson to Rohit Sharma, no run 
On a length around off stump, Rohit is right behind it as he defends towards cover 
Bharat: ""Rohit - Kohli together in the middle after what seems like ages. Hope they stitch 
up one of those 150-200 run partnerships from the late 2010s.""",3.3,0,0.0,"Jamieson to Rohit Sharma, no run  .On a length around off stump, Rohit is right behind it as he defends towards cover",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Jamieson to Rohit Sharma, no run 
Rising back of a length ball outside off, he stands tall and punches to cover",3.4,0,0.0,"Jamieson to Rohit Sharma, no run  .Rising back of a length ball outside off, he stands tall and punches to cover",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.5 
2 
Jamieson to Rohit Sharma, 2 runs 
Back of a length ball outside off, he gets up on his toes and guides to the right of deep 
point for a couple of runs",3.5,2,2.0,"Jamieson to Rohit Sharma, 2 runs  .Back of a length ball outside off, he gets up on his toes and guides to the right of deep  .point for a couple of runs",Jamieson,Rohit Sharma,2.0,0,0,1,1,2.0,0,,1
"3.6 
• 
Jamieson to Rohit Sharma, no run 
Fuller in length on middle with a hint of away shape. Rohit drives to cover 
end of over 42 runs  
IND: 17/1CRR: 4.25  
Rohit Sharma15 (16b 1x4 1x6) 
Virat Kohli0 (1b) 
Kyle Jamieson 2-0-3-0 
Matt Henry 2-0-14-1",3.6,0,0.0,"Jamieson to Rohit Sharma, no run  .Fuller in length on middle with a hint of away shape. Rohit drives to cover",Jamieson,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Henry to Kohli, no run 
Back of a length ball just around off stump, he works this to square leg",4.1,0,0.0,"Henry to Kohli, no run  .Back of a length ball just around off stump, he works this to square leg",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"4.2 
• 
Henry to Kohli, no run 
Good length ball outside off, Kohli stretches forward and jabs at it. Squirts it off the 
inside half of the blade to square leg 
 
Virat Kohli vs NZ in ODIs 
INNS 
32 
RUNS 
1645 
SR 
95.52 
AVE 
58.75",4.2,0,0.0,"Henry to Kohli, no run  .Good length ball outside off, Kohli stretches forward and jabs at it. Squirts it off the  .inside half of the blade to square leg  .  .Virat Kohli vs NZ in ODIs  .INNS  .32  .RUNS  .1645  .SR  .95.52  .AVE  .58.75",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"4.3 
4 
Henry to Kohli, FOUR runs 
Aggression early on from Kohli, and he gets off the mark with a four. Fuller outside off 
stump. Kohli, I think was looking to go straight down the ground, instead drags this over 
mid-on. Gets enough bat on it, though",4.3,4,4.0,"Henry to Kohli, FOUR runs  .Aggression early on from Kohli, and he gets off the mark with a four. Fuller outside off  .stump. Kohli, I think was looking to go straight down the ground, instead drags this over  .mid-on. Gets enough bat on it, though",Henry,Kohli,4.0,1,0,1,1,4.0,0,,1
"4.4 
• 
Henry to Kohli, no run 
Good riposte. On a length outside off, he gets across and feels for the delivery and is 
beaten",4.4,0,0.0,"Henry to Kohli, no run  .Good riposte. On a length outside off, he gets across and feels for the delivery and is  .beaten",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"4.5 
• 
Henry to Kohli, no run 
On a good length outside off, Kohli thrashes this but can't beat cover point",4.5,0,0.0,"Henry to Kohli, no run  .On a good length outside off, Kohli thrashes this but can't beat cover point",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"4.6 
• 
Henry to Kohli, no run 
Length just outside off, Kohli plays this with soft hands towards the 'keeper. Was 
looking for a single but is sent back by Rohit 
end of over 54 runs  
IND: 21/1CRR: 4.20  
Virat Kohli4 (7b 1x4) 
Rohit Sharma15 (16b 1x4 1x6) 
Matt Henry 3-0-18-1 
Kyle Jamieson 2-0-3-0",4.6,0,0.0,"Henry to Kohli, no run  .Length just outside off, Kohli plays this with soft hands towards the 'keeper. Was  .looking for a single but is sent back by Rohit",Henry,Kohli,0.0,0,0,1,1,0.0,0,,0
"5.1 
1w 
Jamieson to Rohit Sharma, 1 wide 
Wayward length ball down leg, and that is the first wide of the innings 
Hari: ""Really like Matt Henry's rise. Steady growth and slowly turning into 
Mr.Dependable. This is crucial for NZ because their premier bowlers are no longer with 
them. If Henry stays injury free, he is destined to have a great all format career.""",5.1,1w,1.0,"Jamieson to Rohit Sharma, 1 wide  .Wayward length ball down leg, and that is the first wide of the innings",Jamieson,Rohit Sharma,0.0,0,0,0,0,1.0,0,,1
