raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Southee to S Dhawan, no run 
Starts with a fullish ball outside off, swings in just a touch. Dhawan lunges a bit, keeps 
his bat inside the line and lets it pass. 
See all photos",0.1,0,0.0,"Southee to S Dhawan, no run  .Starts with a fullish ball outside off, swings in just a touch. Dhawan lunges a bit, keeps  .his bat inside the line and lets it pass.  .See all photos",Southee,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Southee to S Dhawan, 1 run 
A delivery just fuller than good length, shaping in a touch. Dhawan plays it with soft 
hands to deep third to get going.",0.2,1,1.0,"Southee to S Dhawan, 1 run  .A delivery just fuller than good length, shaping in a touch. Dhawan plays it with soft  .hands to deep third to get going.",Southee,S Dhawan,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Southee to Gill, no run 
Full and just outside off, curving away just a touch. Gill gets forward and defends it 
towards mid-on.",0.3,0,0.0,"Southee to Gill, no run  .Full and just outside off, curving away just a touch. Gill gets forward and defends it  .towards mid-on.",Southee,Gill,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Southee to Gill, no run 
Fuller and outside off - around the fifth stump line. He gets his front foot forward and 
shoulders arms. Nice shape.",0.4,0,0.0,"Southee to Gill, no run  .Fuller and outside off - around the fifth stump line. He gets his front foot forward and  .shoulders arms. Nice shape.",Southee,Gill,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Southee to Gill, no run 
Lovely cherry! After a slew of awayswingers, this one zips through with the line after 
landing on a full length outside off. Gill goes for the drive through the off side but gets 
beaten on the inside.",0.5,0,0.0,"Southee to Gill, no run  .Lovely cherry! After a slew of awayswingers, this one zips through with the line after  .landing on a full length outside off. Gill goes for the drive through the off side but gets  .beaten on the inside.",Southee,Gill,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Southee to Gill, no run 
Fullish and just outside off, not much lateral movement. Gill takes a couple of steps 
down and then lifts his bat. 
In the USA, you can watch this game live on ESPN+. 
end of over 11 run  
IND: 1/0CRR: 1.00  
Shubman Gill0 (4b) 
Shikhar Dhawan1 (2b) 
Tim Southee 1-0-1-0 
Matt Henry to take the new ball from the other end. Two slips stand.",0.6,0,0.0,"Southee to Gill, no run  .Fullish and just outside off, not much lateral movement. Gill takes a couple of steps  .down and then lifts his bat.  .In the USA, you can watch this game live on ESPN+.",Southee,Gill,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Henry to S Dhawan, no run 
Full and just around off, driven to covers.",1.1,0,0.0,"Henry to S Dhawan, no run  .Full and just around off, driven to covers.",Henry,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Henry to S Dhawan, no run 
Oooh! Lands it just around good length and angles away from the left hander. Dhawan 
is deep inside the crease and plays inside the line. Was not far from the outside edge.",1.2,0,0.0,"Henry to S Dhawan, no run  .Oooh! Lands it just around good length and angles away from the left hander. Dhawan  .is deep inside the crease and plays inside the line. Was not far from the outside edge.",Henry,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.3 
4 
Henry to S Dhawan, FOUR runs 
Intent! Dhawan shimmies down and goes over the off side. Converts the length ball into 
a full one as a result. Makes good contact and gets it well over point.",1.3,4,4.0,"Henry to S Dhawan, FOUR runs  .Intent! Dhawan shimmies down and goes over the off side. Converts the length ball into  .a full one as a result. Makes good contact and gets it well over point.",Henry,S Dhawan,4.0,1,0,1,1,4.0,0,,1
"1.4 
• 
Henry to S Dhawan, no run 
Length ball angling away, he plays inside it.",1.4,0,0.0,"Henry to S Dhawan, no run  .Length ball angling away, he plays inside it.",Henry,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Henry to S Dhawan, no run 
Length ball, slanting away outside off, he lifts his bat to let it be.",1.5,0,0.0,"Henry to S Dhawan, no run  .Length ball, slanting away outside off, he lifts his bat to let it be.",Henry,S Dhawan,0.0,0,0,1,1,0.0,0,,0
"1.6 
2 
Henry to S Dhawan, 2 runs 
Full and on the pads, easily flicked away through square leg for a couple. 
end of over 26 runs  
IND: 7/0CRR: 3.50  
Shikhar Dhawan7 (8b 1x4) 
Shubman Gill0 (4b) 
Matt Henry 1-0-6-0 
Tim Southee 1-0-1-0",1.6,2,2.0,"Henry to S Dhawan, 2 runs  .Full and on the pads, easily flicked away through square leg for a couple.",Henry,S Dhawan,2.0,0,0,1,1,2.0,0,,1
"2.1 
1lb 
Southee to Gill, 1 leg bye 
Fullish and on the pads, Gill misses the flick. It rolls towards where short fine leg might 
have stood, off his pads.",2.1,1lb,1.0,"Southee to Gill, 1 leg bye  .Fullish and on the pads, Gill misses the flick. It rolls towards where short fine leg might  .have stood, off his pads.",Southee,Gill,0.0,0,0,1,1,0.0,0,,0
