raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
shape in early. And he has gone really full. Pitches on the crease. Rohit digs it out 
See all photos",0.1,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .shape in early. And he has gone really full. Pitches on the crease. Rohit digs it out  .See all photos",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Shaheen Shah Afridi to Rohit Sharma, FOUR runs 
uppish but wide of square leg. A casual little flick off the pads as Afridi swings this in. 
Just a touch too straight, and it goes wide of square leg",0.2,4,4.0,"Shaheen Shah Afridi to Rohit Sharma, FOUR runs  .uppish but wide of square leg. A casual little flick off the pads as Afridi swings this in.  .Just a touch too straight, and it goes wide of square leg",Shaheen Shah Afridi,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
seam movement. Back in, inside edge (?) onto the pad, but falls short of the keeper",0.3,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .seam movement. Back in, inside edge (?) onto the pad, but falls short of the keeper",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
pushes at a length ball, gets an inside edge",0.4,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .pushes at a length ball, gets an inside edge",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Shaheen Shah Afridi to Rohit Sharma, 1 run 
worked away for one 
Gill's first time against Pakistan",0.5,1,1.0,"Shaheen Shah Afridi to Rohit Sharma, 1 run  .worked away for one  .Gill's first time against Pakistan",Shaheen Shah Afridi,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"0.6 
1w 
Shaheen Shah Afridi to Gill, 1 wide 
Afridi slides down leg, called a wide",0.6,1w,1.0,"Shaheen Shah Afridi to Gill, 1 wide  .Afridi slides down leg, called a wide",Shaheen Shah Afridi,Gill,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Shaheen Shah Afridi to Gill, no run 
too full, nearly a yorker, dug out 
end of over 16 runs  
IND: 6/0CRR: 6.00  
Shubman Gill0 (1b) 
Rohit Sharma5 (5b 1x4) 
Shaheen Shah Afridi 1-0-6-0 
Naseem Shah with the other new ball. Two slips in place",0.6,0,0.0,"Shaheen Shah Afridi to Gill, no run  .too full, nearly a yorker, dug out",Shaheen Shah Afridi,Gill,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Naseem Shah to Rohit Sharma, no run 
good heat. On a length, 142ks, just outside off, holds its line. Good carry to the keeper",1.1,0,0.0,"Naseem Shah to Rohit Sharma, no run  .good heat. On a length, 142ks, just outside off, holds its line. Good carry to the keeper",Naseem Shah,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Naseem Shah to Rohit Sharma, no run 
and this one bounces well short of the keeper. Early signs of variable bounce. Just 
almost rolls along the ground. Good job it is well outside off",1.2,0,0.0,"Naseem Shah to Rohit Sharma, no run  .and this one bounces well short of the keeper. Early signs of variable bounce. Just  .almost rolls along the ground. Good job it is well outside off",Naseem Shah,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Naseem Shah to Rohit Sharma, 1 run 
on a length, good carry, dropped into the covers for one",1.3,1,1.0,"Naseem Shah to Rohit Sharma, 1 run  .on a length, good carry, dropped into the covers for one",Naseem Shah,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"1.4 
1lb 
Naseem Shah to Gill, 1 leg bye 
dropped? Does him in with pace and seam movement, gets an inside edge, Rizwan 
dives to his left but can't hold on. Not sure of an edge here, but it has been called a run. 
Apologies it is a leg-bye indeed",1.4,1lb,1.0,"Naseem Shah to Gill, 1 leg bye  .dropped? Does him in with pace and seam movement, gets an inside edge, Rizwan  .dives to his left but can't hold on. Not sure of an edge here, but it has been called a run.  .Apologies it is a leg-bye indeed",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Naseem Shah to Rohit Sharma, no run 
on a length, wicket to wicket, defended",1.5,0,0.0,"Naseem Shah to Rohit Sharma, no run  .on a length, wicket to wicket, defended",Naseem Shah,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Naseem Shah to Rohit Sharma, 1 run 
runs this down to deep third for a single 
end of over 23 runs  
IND: 9/0CRR: 4.50  
Rohit Sharma7 (10b 1x4) 
Shubman Gill0 (2b) 
Naseem Shah 1-0-2-0 
Shaheen Shah Afridi 1-0-6-0",1.6,1,1.0,"Naseem Shah to Rohit Sharma, 1 run  .runs this down to deep third for a single",Naseem Shah,Rohit Sharma,1.0,0,0,1,1,1.0,0,,1
"2.1 
1w 
Shaheen Shah Afridi to Rohit Sharma, 1 wide 
nice swing, and then seam movement too, but slides down leg",2.1,1w,1.0,"Shaheen Shah Afridi to Rohit Sharma, 1 wide  .nice swing, and then seam movement too, but slides down leg",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,0,0,1.0,0,,1
"2.1 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
pitched up, just outside off, pushed back to him defensively",2.1,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .pitched up, just outside off, pushed back to him defensively",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.2 
4 
Shaheen Shah Afridi to Rohit Sharma, FOUR runs 
flicked away for a six. Sweet as. Just a casual little clip off the toes, this time 
deliberately in the air over square leg. Actually not a six. He has yorked the boundary 
triangles",2.2,4,4.0,"Shaheen Shah Afridi to Rohit Sharma, FOUR runs  .flicked away for a six. Sweet as. Just a casual little clip off the toes, this time  .deliberately in the air over square leg. Actually not a six. He has yorked the boundary  .triangles",Shaheen Shah Afridi,Rohit Sharma,4.0,1,0,1,1,4.0,0,,1
"2.3 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
pushed to mid-off as Afridi stays full",2.3,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .pushed to mid-off as Afridi stays full",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
on a length, this one angles across. Left alone",2.4,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .on a length, this one angles across. Left alone",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.5 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
inswinging yorker, off and middle, dug out by Rohit",2.5,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .inswinging yorker, off and middle, dug out by Rohit",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
on a length, middle and off, uppishly played back to the left of Afridi 
end of over 35 runs  
IND: 14/0CRR: 4.66  
Rohit Sharma11 (16b 2x4) 
Shubman Gill0 (2b) 
Shaheen Shah Afridi 2-0-11-0 
Naseem Shah 1-0-2-0",2.6,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .on a length, middle and off, uppishly played back to the left of Afridi",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Naseem Shah to Gill, no run 
outswinger, again good heat, and left alone outside off",3.1,0,0.0,"Naseem Shah to Gill, no run  .outswinger, again good heat, and left alone outside off",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"3.2 
• 
Naseem Shah to Gill, no run 
top of off, on a length, defended back to him",3.2,0,0.0,"Naseem Shah to Gill, no run  .top of off, on a length, defended back to him",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Naseem Shah to Gill, no run 
left alone outside off",3.3,0,0.0,"Naseem Shah to Gill, no run  .left alone outside off",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Naseem Shah to Gill, no run 
leading edge. Short of a length, straight at the wicket, holds its line, but Gill is lucky it 
goes straight to ground",3.4,0,0.0,"Naseem Shah to Gill, no run  .leading edge. Short of a length, straight at the wicket, holds its line, but Gill is lucky it  .goes straight to ground",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"3.5 
1w 
Naseem Shah to Gill, 1 wide 
wide down the leg side here",3.5,1w,1.0,"Naseem Shah to Gill, 1 wide  .wide down the leg side here",Naseem Shah,Gill,0.0,0,0,0,0,1.0,0,,1
"3.5 
• 
Naseem Shah to Gill, no run 
back to that good length and line just outside off. Good carry too. Left alone 
Gill pulls out at the last moment as Naseem runs in. There is some rain around",3.5,0,0.0,"Naseem Shah to Gill, no run  .back to that good length and line just outside off. Good carry too. Left alone  .Gill pulls out at the last moment as Naseem runs in. There is some rain around",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"3.6 
• 
Naseem Shah to Gill, no run 
short of a length, just outside off, defended from the crease 
end of over 41 run  
IND: 15/0CRR: 3.75  
Shubman Gill0 (8b) 
Rohit Sharma11 (16b 2x4) 
Naseem Shah 2-0-3-0 
Shaheen Shah Afridi 2-0-11-0 
Afridi continues with one wide slip in place",3.6,0,0.0,"Naseem Shah to Gill, no run  .short of a length, just outside off, defended from the crease",Naseem Shah,Gill,0.0,0,0,1,1,0.0,0,,0
"4.1 
• 
Shaheen Shah Afridi to Rohit Sharma, no run 
on a length, middle and off, angling across. Defended 
Rain getting heavier 
I can confirm Virat Kohli is padded up to bat next and not Ishan Kishan",4.1,0,0.0,"Shaheen Shah Afridi to Rohit Sharma, no run  .on a length, middle and off, angling across. Defended  .Rain getting heavier  .I can confirm Virat Kohli is padded up to bat next and not Ishan Kishan",Shaheen Shah Afridi,Rohit Sharma,0.0,0,0,1,1,0.0,0,,0
