raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
W 
Bumrah to Nissanka, OUT 
and he strikes first ball. The Wankhede gets right behind Bumrah. Nissanka chats with 
Karunaratne and asks for a review of the on-field out decision. Wide of the crease, full, 
angling in, opening the batter up and bending away late to strike the back pad. The 
tracker returns umpire's call on clipping off stump. Nissanka bags a golden duck 
Pathum Nissanka lbw b Bumrah 0 (1b 0x4 0x6 2m) SR: 0 
See all photos 
Captain Mendis at No.3",0.1,W,0.0,"Bumrah to Nissanka, OUT  .and he strikes first ball. The Wankhede gets right behind Bumrah. Nissanka chats with  .Karunaratne and asks for a review of the on-field out decision. Wide of the crease, full,  .angling in, opening the batter up and bending away late to strike the back pad. The  .tracker returns umpire's call on clipping off stump. Nissanka bags a golden duck  .Pathum Nissanka lbw b Bumrah 0 (1b 0x4 0x6 2m) SR: 0",Bumrah,Nissanka,0.0,0,0,1,1,0.0,1,lbw b Bumrah,0
"0.2 
1w 
Bumrah to Kusal Mendis, 1 wide 
very full and swinging down the leg side, great take from Rahul, diving across to his left",0.2,1w,1.0,"Bumrah to Kusal Mendis, 1 wide  .very full and swinging down the leg side, great take from Rahul, diving across to his left",Bumrah,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"0.2 
1w 
Bumrah to Kusal Mendis, 1 wide 
back of a length and nipping down the leg side for another wide. Easier take for Rahul 
this time",0.2,1w,1.0,"Bumrah to Kusal Mendis, 1 wide  .back of a length and nipping down the leg side for another wide. Easier take for Rahul  .this time",Bumrah,Kusal Mendis,0.0,0,0,0,0,1.0,0,,1
"0.2 
• 
Bumrah to Kusal Mendis, no run 
on a good length and swings back in to brush the inside edge and roll away to 
midwicket",0.2,0,0.0,"Bumrah to Kusal Mendis, no run  .on a good length and swings back in to brush the inside edge and roll away to  .midwicket",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Bumrah to Kusal Mendis, no run 
ooooh! Great bowling from Bumrah. This threatens to come in but swings away outside 
off. Mendis aims for the leg side and misses",0.3,0,0.0,"Bumrah to Kusal Mendis, no run  .ooooh! Great bowling from Bumrah. This threatens to come in but swings away outside  .off. Mendis aims for the leg side and misses",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Bumrah to Kusal Mendis, no run 
Almost a return catch. Bumrah leaps but the ball bursts through his hands. Incoming 
delivery from Bumrah, full again, chipped in the air, but it does not stick. This one held 
up in the Wankhede surface",0.4,0,0.0,"Bumrah to Kusal Mendis, no run  .Almost a return catch. Bumrah leaps but the ball bursts through his hands. Incoming  .delivery from Bumrah, full again, chipped in the air, but it does not stick. This one held  .up in the Wankhede surface",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Bumrah to Kusal Mendis, no run 
much fuller and angling into off stump, Mendis plays back in the crease and defends",0.5,0,0.0,"Bumrah to Kusal Mendis, no run  .much fuller and angling into off stump, Mendis plays back in the crease and defends",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Bumrah to Kusal Mendis, no run 
pretty full and largely holds its line outside off, push-driven back to Bumrah 
end of over 12 runs • 1 wicket 
SL: 2/1CRR: 2.00 • RRR: 7.26 • Need 356 runs from 49 overs 
Kusal Mendis0 (5b) 
Dimuth Karunaratne0 (0b) 
Jasprit Bumrah 1-0-2-1 
Here is Siraj. He will operate from over the wicket",0.6,0,0.0,"Bumrah to Kusal Mendis, no run  .pretty full and largely holds its line outside off, push-driven back to Bumrah",Bumrah,Kusal Mendis,0.0,0,0,1,1,0.0,0,,0
"1.1 
W 
Siraj to Dimuth Karunaratne, OUT 
Siraj, too, strikes with his first ball. Karunaratne challenges the on-field out decision 
although this looks adjacent. Starts off with a full one that swings back in as opposed 
to going away with the angle. Catches Karunaratne on the crease, beats the inside edge 
and thumps the front pad well below the knee-roll. It would've crashed into middle and 
Karunaratne has to depart 
Dimuth Karunaratne lbw b Mohammed Siraj 0 (1b 0x4 0x6 10m) SR: 0 
Previous 
Next 
See all photos 
MSJ: ""Here comes India's real muscle. They might not have a Klassen but they sure 
have a Bumrah.""",1.1,W,0.0,"Siraj to Dimuth Karunaratne, OUT  .Siraj, too, strikes with his first ball. Karunaratne challenges the on-field out decision  .although this looks adjacent. Starts off with a full one that swings back in as opposed  .to going away with the angle. Catches Karunaratne on the crease, beats the inside edge  .and thumps the front pad well below the knee-roll. It would've crashed into middle and  .Karunaratne has to depart  .Dimuth Karunaratne lbw b Mohammed Siraj 0 (1b 0x4 0x6 10m) SR: 0",Siraj,Dimuth Karunaratne,0.0,0,0,1,1,0.0,1,lbw b Mohammed Siraj,0
"1.2 
• 
Siraj to Samarawickrama, no run 
Siraj thinks he his man. Umpire Brown raises his finger. Sadeera asks for a review. 
Another full ball from Siraj. Angling in and shaping away outside off. Sadeera wafts at it, 
but there's daylight between bat and ball. The on-field out decision has been reversed 
Romit : ""Wanted to catch my breath after that over from Bumrah but what a delivery by 
Siraj. Just stop it India!"" 
Ramesh Mukka: ""Siraj continuing where he left off at Asia Cup Final."" --- Three slips in 
place for Siraj against Sadeera",1.2,0,0.0,"Siraj to Samarawickrama, no run  .Siraj thinks he his man. Umpire Brown raises his finger. Sadeera asks for a review.  .Another full ball from Siraj. Angling in and shaping away outside off. Sadeera wafts at it,  .but there's daylight between bat and ball. The on-field out decision has been reversed",Siraj,Samarawickrama,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Siraj to Samarawickrama, no run 
good length and homing in at off stump, Sadeera gets forward and defends it solidly to 
mid-off",1.3,0,0.0,"Siraj to Samarawickrama, no run  .good length and homing in at off stump, Sadeera gets forward and defends it solidly to  .mid-off",Siraj,Samarawickrama,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Siraj to Samarawickrama, no run 
back of a length, angling in and straightening away outside off. Almost kissed the 
outside edge",1.4,0,0.0,"Siraj to Samarawickrama, no run  .back of a length, angling in and straightening away outside off. Almost kissed the  .outside edge",Siraj,Samarawickrama,0.0,0,0,1,1,0.0,0,,0
"1.5 
W 
Siraj to Samarawickrama, OUT 
The third slip comes into play. Good captaincy from Rohit. SL are 2 for 3 at the 
Wankhede. Siraj goes wide of the crease, but this largely holds its line wide of off. It 
possibly finishes on a set of stumps outside off. Sadeera goes searching for it and 
spars at it. The outside edge flies to third slip, where Iyer hangs onto a chest-high grab. 
All action at the Wankhede 
Sadeera Samarawickrama c Iyer b Mohammed Siraj 0 (4b 0x4 0x6 4m) SR: 0 
See all photos 
Diwakaram: """,1.5,W,0.0,"Siraj to Samarawickrama, OUT  .The third slip comes into play. Good captaincy from Rohit. SL are 2 for 3 at the  .Wankhede. Siraj goes wide of the crease, but this largely holds its line wide of off. It  .possibly finishes on a set of stumps outside off. Sadeera goes searching for it and  .spars at it. The outside edge flies to third slip, where Iyer hangs onto a chest-high grab.  .All action at the Wankhede  .Sadeera Samarawickrama c Iyer b Mohammed Siraj 0 (4b 0x4 0x6 4m) SR: 0",Siraj,Samarawickrama,0.0,0,0,1,1,0.0,1,c Iyer b Mohammed Siraj,0
