raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Mayers to Ishan, no run 
Pitched up with a hint of swing away from Kishan, who blocks towards cover point",0.1,0,0.0,"Mayers to Ishan, no run  .Pitched up with a hint of swing away from Kishan, who blocks towards cover point",Mayers,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Mayers to Ishan, no run 
Full on leg, Kishan punches it back past Mayers to mid-on 
Around the wicket now",0.2,0,0.0,"Mayers to Ishan, no run  .Full on leg, Kishan punches it back past Mayers to mid-on  .Around the wicket now",Mayers,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Mayers to Ishan, no run 
Outswinger on a length outside off and it beats Kishan's outside edge as he prods 
forward in defence",0.3,0,0.0,"Mayers to Ishan, no run  .Outswinger on a length outside off and it beats Kishan's outside edge as he prods  .forward in defence",Mayers,Ishan,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Mayers to Ishan, 1 run 
And Kishan is off the mark. Length ball outside off, Kishan stays tall and punches 
between cover and mid-on 
Only one slip for Gill",0.4,1,1.0,"Mayers to Ishan, 1 run  .And Kishan is off the mark. Length ball outside off, Kishan stays tall and punches  .between cover and mid-on  .Only one slip for Gill",Mayers,Ishan,1.0,0,0,1,1,1.0,0,,1
"0.5 
1 
Mayers to Gill, 1 run 
Booming inswinger, pitched up, and Gill clips it in front of square for his first run",0.5,1,1.0,"Mayers to Gill, 1 run  .Booming inswinger, pitched up, and Gill clips it in front of square for his first run",Mayers,Gill,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
Mayers to Ishan, no run 
Kishan moves across and shoulders arms to this outswinger outside off 
end of over 12 runs  
IND: 2/0CRR: 2.00  
Ishan Kishan1 (5b) 
Shubman Gill1 (1b) 
Kyle Mayers 1-0-2-0 
Jayden Seales from the other end. Over the wicket, with two slips in place",0.6,0,0.0,"Mayers to Ishan, no run  .Kishan moves across and shoulders arms to this outswinger outside off",Mayers,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.1 
4 
Seales to Gill, FOUR runs 
Cracked between point and cover for four. Swing and seam away on this length ball 
outside off, Gill gets on the back foot and slaps it in the gap",1.1,4,4.0,"Seales to Gill, FOUR runs  .Cracked between point and cover for four. Swing and seam away on this length ball  .outside off, Gill gets on the back foot and slaps it in the gap",Seales,Gill,4.0,1,0,1,1,4.0,0,,1
"1.2 
• 
Seales to Gill, no run 
Pitched fuller outside off and Gill lets this one go",1.2,0,0.0,"Seales to Gill, no run  .Pitched fuller outside off and Gill lets this one go",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"1.3 
1 
Seales to Gill, 1 run 
Full toss on off, Gill whips it between midwicket and mid-on for a single. Didn't connect 
as well as he would have liked 
Seales stays over the wicket to Kishan. Two slips still",1.3,1,1.0,"Seales to Gill, 1 run  .Full toss on off, Gill whips it between midwicket and mid-on for a single. Didn't connect  .as well as he would have liked  .Seales stays over the wicket to Kishan. Two slips still",Seales,Gill,1.0,0,0,1,1,1.0,0,,1
"1.4 
• 
Seales to Ishan, no run 
Fired full on off and going across Kishan, who shoulders arms",1.4,0,0.0,"Seales to Ishan, no run  .Fired full on off and going across Kishan, who shoulders arms",Seales,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Seales to Ishan, no run 
Full and going across Kishan. He makes a tentative push at it but was beaten by the 
pace",1.5,0,0.0,"Seales to Ishan, no run  .Full and going across Kishan. He makes a tentative push at it but was beaten by the  .pace",Seales,Ishan,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Seales to Ishan, no run 
Beaten again! On a length around off and it's closer to Kishan this time. Kishan looks to 
defend but the ball zips past the outside edge 
end of over 25 runs  
IND: 7/0CRR: 3.50  
Ishan Kishan1 (8b) 
Shubman Gill6 (4b 1x4) 
Jayden Seales 1-0-5-0 
Kyle Mayers 1-0-2-0",1.6,0,0.0,"Seales to Ishan, no run  .Beaten again! On a length around off and it's closer to Kishan this time. Kishan looks to  .defend but the ball zips past the outside edge",Seales,Ishan,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Mayers to Gill, no run 
Full and wide, Gill leans across and drives along the ground but picks out the cover 
fielder",2.1,0,0.0,"Mayers to Gill, no run  .Full and wide, Gill leans across and drives along the ground but picks out the cover  .fielder",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Mayers to Gill, no run 
On a length outside off and swinging in, Gill nudges it to square leg",2.2,0,0.0,"Mayers to Gill, no run  .On a length outside off and swinging in, Gill nudges it to square leg",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Mayers to Gill, no run 
Gill hits a hard drive back down the ground as Mayers pitches up another inswinger and 
Mayers gets a hand to it. Half a chance gone begging but that was hit very hard 
Shai Hope stands up to the stumps now",2.3,0,0.0,"Mayers to Gill, no run  .Gill hits a hard drive back down the ground as Mayers pitches up another inswinger and  .Mayers gets a hand to it. Half a chance gone begging but that was hit very hard  .Shai Hope stands up to the stumps now",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"2.4 
• 
Mayers to Gill, no run 
On a length around off, Gill steers it to point",2.4,0,0.0,"Mayers to Gill, no run  .On a length around off, Gill steers it to point",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"2.5 
1 
Mayers to Gill, 1 run 
Length ball angles into him from outside off, Gill clips it behind square to the fielder in 
the deep",2.5,1,1.0,"Mayers to Gill, 1 run  .Length ball angles into him from outside off, Gill clips it behind square to the fielder in  .the deep",Mayers,Gill,1.0,0,0,1,1,1.0,0,,1
"2.6 
1 
Mayers to Ishan, 1 run 
Full and straight, Kishan tucks it square on the leg-side 
end of over 32 runs  
IND: 9/0CRR: 3.00  
Ishan Kishan2 (9b) 
Shubman Gill7 (9b 1x4) 
Kyle Mayers 2-0-4-0 
Jayden Seales 1-0-5-0",2.6,1,1.0,"Mayers to Ishan, 1 run  .Full and straight, Kishan tucks it square on the leg-side",Mayers,Ishan,1.0,0,0,1,1,1.0,0,,1
"3.1 
1 
Seales to Ishan, 1 run 
Full on off, Kishan bunts it towards mid-off and takes off for a quick single. Was in 
safely, even as the throw went wide of the stumps at the non-striker's end",3.1,1,1.0,"Seales to Ishan, 1 run  .Full on off, Kishan bunts it towards mid-off and takes off for a quick single. Was in  .safely, even as the throw went wide of the stumps at the non-striker's end",Seales,Ishan,1.0,0,0,1,1,1.0,0,,1
"3.2 
• 
Seales to Gill, no run 
Full, wide and swinging away. Gill wasn't interested in that 
Jan: ""Was just thinking that it won't be too often when both the openers have a best 
score of 200 . Then realized both of them have played with Rohit Sharma :) """,3.2,0,0.0,"Seales to Gill, no run  .Full, wide and swinging away. Gill wasn't interested in that",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"3.3 
• 
Seales to Gill, no run 
Length ball angles into off and Gill stands tall to defend",3.3,0,0.0,"Seales to Gill, no run  .Length ball angles into off and Gill stands tall to defend",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"3.4 
4 
Seales to Gill, FOUR runs 
Beautifully whipped away! Overpitched on off and Gill shifts his weight forward and 
uses those strong wrists to get it between midwicket and mid-on",3.4,4,4.0,"Seales to Gill, FOUR runs  .Beautifully whipped away! Overpitched on off and Gill shifts his weight forward and  .uses those strong wrists to get it between midwicket and mid-on",Seales,Gill,4.0,1,0,1,1,4.0,0,,1
"3.5 
• 
Seales to Gill, no run 
Gill defends a back of length delivery on off",3.5,0,0.0,"Seales to Gill, no run  .Gill defends a back of length delivery on off",Seales,Gill,0.0,0,0,1,1,0.0,0,,0
"3.6 
4 
Seales to Gill, FOUR runs 
Cut away in the gap! Just slightly short and with enough width on off, Gill slaps it 
through point and it has the legs to go all the way. Gill picks up his third boundary 
end of over 49 runs  
IND: 18/0CRR: 4.50  
Shubman Gill15 (14b 3x4) 
Ishan Kishan3 (10b) 
Jayden Seales 2-0-14-0 
Kyle Mayers 2-0-4-0",3.6,4,4.0,"Seales to Gill, FOUR runs  .Cut away in the gap! Just slightly short and with enough width on off, Gill slaps it  .through point and it has the legs to go all the way. Gill picks up his third boundary",Seales,Gill,4.0,1,0,1,1,4.0,0,,1
"4.1 
1w 
Mayers to Ishan, 1 wide 
Full, wide and swinging away. Kishan leaves it alone and the umpire immediately calls it 
wide",4.1,1w,1.0,"Mayers to Ishan, 1 wide  .Full, wide and swinging away. Kishan leaves it alone and the umpire immediately calls it  .wide",Mayers,Ishan,0.0,0,0,0,0,1.0,0,,1
"4.1 
1 
Mayers to Ishan, 1 run 
A direct hit at the non-striker's end! Kishan slapped a length ball just outside off 
towards mid-off and took off for a quick single. He had to go around Mayers to 
complete that run. Good throw but Kishan was in safely",4.1,1,1.0,"Mayers to Ishan, 1 run  .A direct hit at the non-striker's end! Kishan slapped a length ball just outside off  .towards mid-off and took off for a quick single. He had to go around Mayers to  .complete that run. Good throw but Kishan was in safely",Mayers,Ishan,1.0,0,0,1,1,1.0,0,,1
"4.2 
• 
Mayers to Gill, no run 
Full around off, angling in and Gill defends",4.2,0,0.0,"Mayers to Gill, no run  .Full around off, angling in and Gill defends",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"4.3 
• 
Mayers to Gill, no run 
Full on off, clipped to midwicket",4.3,0,0.0,"Mayers to Gill, no run  .Full on off, clipped to midwicket",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
"4.4 
• 
Mayers to Gill, no run 
Length ball on fifth stump, defended towards point",4.4,0,0.0,"Mayers to Gill, no run  .Length ball on fifth stump, defended towards point",Mayers,Gill,0.0,0,0,1,1,0.0,0,,0
