raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Naveen-ul-Haq to Stirling, no run 
wider and keeps low outside the off stump, a slower one to start off with.",0.1,0,0.0,"Naveen-ul-Haq to Stirling, no run  .wider and keeps low outside the off stump, a slower one to start off with.",Naveen-ul-Haq,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Naveen-ul-Haq to Stirling, no run 
on a good length pitches wider and comes in, lets it go.",0.2,0,0.0,"Naveen-ul-Haq to Stirling, no run  .on a good length pitches wider and comes in, lets it go.",Naveen-ul-Haq,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Naveen-ul-Haq to Stirling, no run 
short of a length pitches wider and lets it go through to the keeper.",0.3,0,0.0,"Naveen-ul-Haq to Stirling, no run  .short of a length pitches wider and lets it go through to the keeper.",Naveen-ul-Haq,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Naveen-ul-Haq to Stirling, no run 
looking to drive through the off side, gets the thickish part of the bat and goes to mid-
on.",0.4,0,0.0,"Naveen-ul-Haq to Stirling, no run  .looking to drive through the off side, gets the thickish part of the bat and goes to mid- .on.",Naveen-ul-Haq,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Naveen-ul-Haq to Stirling, no run 
slower delivery short of a length, plays with an angled bat behind point.",0.5,0,0.0,"Naveen-ul-Haq to Stirling, no run  .slower delivery short of a length, plays with an angled bat behind point.",Naveen-ul-Haq,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Naveen-ul-Haq to Stirling, FOUR runs 
wider, drives away from the body and on the up to the extra cover fence. 
end of over 14 runs  
IRE: 4/0CRR: 4.00  
Paul Stirling4 (6b 1x4) 
Kevin O'Brien0 (0b) 
Naveen-ul-Haq 1-0-4-0 
Mujeeb to share the attack",0.6,4,4.0,"Naveen-ul-Haq to Stirling, FOUR runs  .wider, drives away from the body and on the up to the extra cover fence.",Naveen-ul-Haq,Stirling,4.0,1,0,1,1,4.0,0,,1
"1.1 
1 
Mujeeb to K O'Brien, 1 run 
fuller and clipped off the legs to deep midwicket.",1.1,1,1.0,"Mujeeb to K O'Brien, 1 run  .fuller and clipped off the legs to deep midwicket.",Mujeeb,K O'Brien,1.0,0,0,1,1,1.0,0,,1
"1.2 
1 
Mujeeb to Stirling, 1 run 
on legs and played to square leg.",1.2,1,1.0,"Mujeeb to Stirling, 1 run  .on legs and played to square leg.",Mujeeb,Stirling,1.0,0,0,1,1,1.0,0,,1
"1.3 
W 
Mujeeb to K O'Brien, OUT 
outside edge and taken at first slip, another failure for Kevin. Slight movement away 
from the bat this time, after the first two deliveries which came in. 
Kevin O'Brien c Gulbadin Naib b Mujeeb Ur Rahman 1 (2b 0x4 0x6 6m) SR: 50 
The skipper walks in.",1.3,W,0.0,"Mujeeb to K O'Brien, OUT  .outside edge and taken at first slip, another failure for Kevin. Slight movement away  .from the bat this time, after the first two deliveries which came in.  .Kevin O'Brien c Gulbadin Naib b Mujeeb Ur Rahman 1 (2b 0x4 0x6 6m) SR: 50",Mujeeb,K O'Brien,0.0,0,0,1,1,0.0,1,c Gulbadin Naib b Mujeeb Ur Rahman,0
"1.4 
1 
Mujeeb to Balbirnie, 1 run 
driven to the left off mid-off and gets off the mark.",1.4,1,1.0,"Mujeeb to Balbirnie, 1 run  .driven to the left off mid-off and gets off the mark.",Mujeeb,Balbirnie,1.0,0,0,1,1,1.0,0,,1
"1.5 
4 
Mujeeb to Stirling, FOUR runs 
driven on the up through covers to the fence.",1.5,4,4.0,"Mujeeb to Stirling, FOUR runs  .driven on the up through covers to the fence.",Mujeeb,Stirling,4.0,1,0,1,1,4.0,0,,1
"1.6 
4 
Mujeeb to Stirling, FOUR runs 
a long hop, Stirling quickly picks it up and dispatches to the midwicket fence. 
end of over 211 runs • 1 wicket 
IRE: 15/1CRR: 7.50  
Paul Stirling13 (9b 3x4) 
Andy Balbirnie1 (1b) 
Mujeeb Ur Rahman 1-0-11-1 
Naveen-ul-Haq 1-0-4-0",1.6,4,4.0,"Mujeeb to Stirling, FOUR runs  .a long hop, Stirling quickly picks it up and dispatches to the midwicket fence.",Mujeeb,Stirling,4.0,1,0,1,1,4.0,0,,1
"2.1 
• 
Naveen-ul-Haq to Balbirnie, no run 
plays with an angled bat behind point.",2.1,0,0.0,"Naveen-ul-Haq to Balbirnie, no run  .plays with an angled bat behind point.",Naveen-ul-Haq,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Naveen-ul-Haq to Balbirnie, no run 
wider outside the off stump and left alone.",2.2,0,0.0,"Naveen-ul-Haq to Balbirnie, no run  .wider outside the off stump and left alone.",Naveen-ul-Haq,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Naveen-ul-Haq to Balbirnie, no run 
short in length and pushes behind point.",2.3,0,0.0,"Naveen-ul-Haq to Balbirnie, no run  .short in length and pushes behind point.",Naveen-ul-Haq,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
Naveen-ul-Haq to Balbirnie, FOUR runs 
width and cut away through point to the fence.",2.4,4,4.0,"Naveen-ul-Haq to Balbirnie, FOUR runs  .width and cut away through point to the fence.",Naveen-ul-Haq,Balbirnie,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
Naveen-ul-Haq to Balbirnie, no run 
on a good length and plays to cover.",2.5,0,0.0,"Naveen-ul-Haq to Balbirnie, no run  .on a good length and plays to cover.",Naveen-ul-Haq,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
Naveen-ul-Haq to Balbirnie, no run 
stands tall and punches to the off side. 
end of over 34 runs  
IRE: 19/1CRR: 6.33  
Andy Balbirnie5 (7b 1x4) 
Paul Stirling13 (9b 3x4) 
Naveen-ul-Haq 2-0-8-0 
Mujeeb Ur Rahman 1-0-11-1",2.6,0,0.0,"Naveen-ul-Haq to Balbirnie, no run  .stands tall and punches to the off side.",Naveen-ul-Haq,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"3.1 
• 
Mujeeb to Stirling, no run 
turns it forward of square leg.",3.1,0,0.0,"Mujeeb to Stirling, no run  .turns it forward of square leg.",Mujeeb,Stirling,0.0,0,0,1,1,0.0,0,,0
"3.2 
1 
Mujeeb to Stirling, 1 run 
spins down leg and tucked behind square leg.",3.2,1,1.0,"Mujeeb to Stirling, 1 run  .spins down leg and tucked behind square leg.",Mujeeb,Stirling,1.0,0,0,1,1,1.0,0,,1
"3.3 
• 
Mujeeb to Balbirnie, no run 
flighted delivery driven to short cover.",3.3,0,0.0,"Mujeeb to Balbirnie, no run  .flighted delivery driven to short cover.",Mujeeb,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"3.4 
• 
Mujeeb to Balbirnie, no run 
stands in the crease and defends back to the bowler. 
Review by Ireland for LBW",3.4,0,0.0,"Mujeeb to Balbirnie, no run  .stands in the crease and defends back to the bowler.  .Review by Ireland for LBW",Mujeeb,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"3.5 
W 
Mujeeb to Balbirnie, OUT 
a tad shorter, goes for the sweep and misses, loud appeal and given. The skipper 
reviews it. Pitches outside the off stump and spins in, was the googly, strikes the body, 
Ultra edge shows no spike. Ball tracking shows hitting the body in line and hitting the 
stumps. 
Andy Balbirnie lbw b Mujeeb Ur Rahman 5 (10b 1x4 0x6 9m) SR: 50 
Ireland lose a review. 
Tector is the new batsman in.",3.5,W,0.0,"Mujeeb to Balbirnie, OUT  .a tad shorter, goes for the sweep and misses, loud appeal and given. The skipper  .reviews it. Pitches outside the off stump and spins in, was the googly, strikes the body,  .Ultra edge shows no spike. Ball tracking shows hitting the body in line and hitting the  .stumps.  .Andy Balbirnie lbw b Mujeeb Ur Rahman 5 (10b 1x4 0x6 9m) SR: 50",Mujeeb,Balbirnie,0.0,0,0,1,1,0.0,1,lbw b Mujeeb Ur Rahman,0
"3.6 
• 
Mujeeb to Tector, no run 
defends on the front foot to the off side. 
end of over 41 run • 1 wicket 
IRE: 20/2CRR: 5.00  
Harry Tector0 (1b) 
Paul Stirling14 (11b 3x4) 
Mujeeb Ur Rahman 2-0-12-2 
Naveen-ul-Haq 2-0-8-0",3.6,0,0.0,"Mujeeb to Tector, no run  .defends on the front foot to the off side.",Mujeeb,Tector,0.0,0,0,1,1,0.0,0,,0
