raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
5w 
Little to Tamim, 5 wide 
Poor start! Sprays this full and down leg, well past Tamim's leave. Tucker dives full 
length but fails to reach that. 
See all photos",0.1,5w,5.0,"Little to Tamim, 5 wide  .Poor start! Sprays this full and down leg, well past Tamim's leave. Tucker dives full  .length but fails to reach that.  .See all photos",Little,Tamim,0.0,0,0,0,0,5.0,0,,1
"0.1 
1w 
Little to Tamim, 1 wide 
Bowls it closer to the batter but still spears it down leg. Tamim misses the leg and it 
goes on. Another wide.",0.1,1w,1.0,"Little to Tamim, 1 wide  .Bowls it closer to the batter but still spears it down leg. Tamim misses the leg and it  .goes on. Another wide.",Little,Tamim,0.0,0,0,0,0,1.0,0,,1
"0.1 
1 
Little to Tamim, 1 run 
On a length on middle and leg now, easily tucked away through backward square leg to 
get going.",0.1,1,1.0,"Little to Tamim, 1 run  .On a length on middle and leg now, easily tucked away through backward square leg to  .get going.",Little,Tamim,1.0,0,0,1,1,1.0,0,,1
"0.2 
• 
Little to Talukdar, no run 
Angles it away on a length across the right-handed Talukdar, who fishes it at but is well 
away from the ball.",0.2,0,0.0,"Little to Talukdar, no run  .Angles it away on a length across the right-handed Talukdar, who fishes it at but is well  .away from the ball.",Little,Talukdar,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Little to Talukdar, no run 
On a length around off, punched off the back foot towards cover.",0.3,0,0.0,"Little to Talukdar, no run  .On a length around off, punched off the back foot towards cover.",Little,Talukdar,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Little to Talukdar, 1 wide 
Fullish but down leg now, he misses the tuck. Little is struggling with his lines.",0.4,1w,1.0,"Little to Talukdar, 1 wide  .Fullish but down leg now, he misses the tuck. Little is struggling with his lines.",Little,Talukdar,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Little to Talukdar, no run 
Back of a length around off, hops and defends it to backward point.",0.4,0,0.0,"Little to Talukdar, no run  .Back of a length around off, hops and defends it to backward point.",Little,Talukdar,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Little to Talukdar, no run 
Much better, bowls it full around off, draws Talukdar forward in defence.",0.5,0,0.0,"Little to Talukdar, no run  .Much better, bowls it full around off, draws Talukdar forward in defence.",Little,Talukdar,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Little to Talukdar, no run 
Fuller on off, presses forward to push it towards covers. Ends of the nine-ball opening 
over. 
end of over 18 runs  
BAN: 8/0CRR: 8.00  
Rony Talukdar0 (5b) 
Tamim Iqbal1 (1b) 
Josh Little 1-0-8-0 
Mark Adair runs with the second new ball from the opposite end. Two slips wait.",0.6,0,0.0,"Little to Talukdar, no run  .Fuller on off, presses forward to push it towards covers. Ends of the nine-ball opening  .over.",Little,Talukdar,0.0,0,0,1,1,0.0,0,,0
"1.1 
2w 
Adair to Tamim, 2 wide 
And Adair starts with a length ball down leg. Tamim leaves it alone and it doesn't carry 
to the keeper and he lets it through.",1.1,2w,2.0,"Adair to Tamim, 2 wide  .And Adair starts with a length ball down leg. Tamim leaves it alone and it doesn't carry  .to the keeper and he lets it through.",Adair,Tamim,0.0,0,0,0,0,2.0,0,,1
