raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
6 
McCarthy to Myburgh, SIX runs 
length ball on the pads, clipped it over deep backward of square leg, nice start to the 
chase..",0.1,6,6.0,"McCarthy to Myburgh, SIX runs  .length ball on the pads, clipped it over deep backward of square leg, nice start to the  .chase..",McCarthy,Myburgh,6.0,0,1,1,1,6.0,0,,1
"0.2 
• 
McCarthy to Myburgh, no run 
length ball, around leg stump, pushed back towards the bowler",0.2,0,0.0,"McCarthy to Myburgh, no run  .length ball, around leg stump, pushed back towards the bowler",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"0.3 
1 
McCarthy to Myburgh, 1 run 
fuller length, middle and leg, driven towards mid-off, mis-field allows the single",0.3,1,1.0,"McCarthy to Myburgh, 1 run  .fuller length, middle and leg, driven towards mid-off, mis-field allows the single",McCarthy,Myburgh,1.0,0,0,1,1,1.0,0,,1
"0.4 
• 
McCarthy to O'Dowd, no run 
on a length, nips back in from outside off, left alone",0.4,0,0.0,"McCarthy to O'Dowd, no run  .on a length, nips back in from outside off, left alone",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
McCarthy to O'Dowd, 1 run 
fuller on the pads, clips to long leg for a run",0.5,1,1.0,"McCarthy to O'Dowd, 1 run  .fuller on the pads, clips to long leg for a run",McCarthy,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"0.6 
• 
McCarthy to Myburgh, no run 
length ball down leg side, off the pad to on side 
end of over 18 runs  
NED: 8/0CRR: 8.00 • RRR: 3.18 
Stephan Myburgh7 (4b 1x6) 
Max O'Dowd1 (2b) 
Barry McCarthy 1-0-8-0",0.6,0,0.0,"McCarthy to Myburgh, no run  .length ball down leg side, off the pad to on side",McCarthy,Myburgh,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Young to O'Dowd, no run 
back of a length, outside off, defends it off the back foot",1.1,0,0.0,"Young to O'Dowd, no run  .back of a length, outside off, defends it off the back foot",Young,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"1.2 
1 
Young to O'Dowd, 1 run 
short of a length, works it towards square leg",1.2,1,1.0,"Young to O'Dowd, 1 run  .short of a length, works it towards square leg",Young,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"1.3 
• 
Young to Myburgh, no run 
back of a length, pitched outside leg stump, hits the pad and rolls to off side",1.3,0,0.0,"Young to Myburgh, no run  .back of a length, pitched outside leg stump, hits the pad and rolls to off side",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
Young to Myburgh, 1 run 
took couple of steps forward and off the outside edge to third man region",1.4,1,1.0,"Young to Myburgh, 1 run  .took couple of steps forward and off the outside edge to third man region",Young,Myburgh,1.0,0,0,1,1,1.0,0,,1
"1.5 
1 
Young to O'Dowd, 1 run 
on a length outside off, guides it to third man for a run",1.5,1,1.0,"Young to O'Dowd, 1 run  .on a length outside off, guides it to third man for a run",Young,O'Dowd,1.0,0,0,1,1,1.0,0,,1
"1.6 
• 
Young to Myburgh, no run 
back of a length on off, defends it off the back foot 
end of over 23 runs  
NED: 11/0CRR: 5.50 • RRR: 3.18 
Stephan Myburgh8 (7b 1x6) 
Max O'Dowd3 (5b) 
Craig Young 1-0-3-0 
Barry McCarthy 1-0-8-0",1.6,0,0.0,"Young to Myburgh, no run  .back of a length on off, defends it off the back foot",Young,Myburgh,0.0,0,0,1,1,0.0,0,,0
"2.1 
1w 
McCarthy to O'Dowd, 1 wide 
short and way outside off, called wide",2.1,1w,1.0,"McCarthy to O'Dowd, 1 wide  .short and way outside off, called wide",McCarthy,O'Dowd,0.0,0,0,0,0,1.0,0,,1
"2.1 
• 
McCarthy to O'Dowd, no run 
length ball outside off, took the inside half of the bat to square leg",2.1,0,0.0,"McCarthy to O'Dowd, no run  .length ball outside off, took the inside half of the bat to square leg",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
McCarthy to O'Dowd, no run 
fuller length, driven straight back to the bowler",2.2,0,0.0,"McCarthy to O'Dowd, no run  .fuller length, driven straight back to the bowler",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
McCarthy to O'Dowd, no run 
length ball, angling back in, defends it off the front foot",2.3,0,0.0,"McCarthy to O'Dowd, no run  .length ball, angling back in, defends it off the front foot",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.4 
4 
McCarthy to O'Dowd, FOUR runs 
on a length and outside off, driven uppishly to the right of mid-off for a boundary",2.4,4,4.0,"McCarthy to O'Dowd, FOUR runs  .on a length and outside off, driven uppishly to the right of mid-off for a boundary",McCarthy,O'Dowd,4.0,1,0,1,1,4.0,0,,1
"2.5 
• 
McCarthy to O'Dowd, no run 
length ball around off, defends it off the front foot",2.5,0,0.0,"McCarthy to O'Dowd, no run  .length ball around off, defends it off the front foot",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
"2.6 
• 
McCarthy to O'Dowd, no run 
short of a length on off, 127 kph, blocks it off the back foot 
end of over 35 runs  
NED: 16/0CRR: 5.33 • RRR: 3.14 
Max O'Dowd7 (11b 1x4) 
Stephan Myburgh8 (7b 1x6) 
Barry McCarthy 2-0-13-0 
Craig Young 1-0-3-0",2.6,0,0.0,"McCarthy to O'Dowd, no run  .short of a length on off, 127 kph, blocks it off the back foot",McCarthy,O'Dowd,0.0,0,0,1,1,0.0,0,,0
