raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rabada to Stirling, no run 
good outswing first ball and plenty of bounce, but pretty wide outside off makes it an 
easy leave",0.1,0,0.0,"Rabada to Stirling, no run  .good outswing first ball and plenty of bounce, but pretty wide outside off makes it an  .easy leave",Rabada,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.2 
1 
Rabada to Stirling, 1 run 
138.3kmh, angling into the batter and he tucks it to midwicket t get off the mark",0.2,1,1.0,"Rabada to Stirling, 1 run  .138.3kmh, angling into the batter and he tucks it to midwicket t get off the mark",Rabada,Stirling,1.0,0,0,1,1,1.0,0,,1
"0.3 
• 
Rabada to Balbirnie, no run 
similar to the first ball, away shape and wide outside off, left alone by Balbirnie this time",0.3,0,0.0,"Rabada to Balbirnie, no run  .similar to the first ball, away shape and wide outside off, left alone by Balbirnie this time",Rabada,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"0.4 
1 
Rabada to Balbirnie, 1 run 
140.2kmh, short of length on off with good bounce, he defends away from the body and 
gets an inside edge to fine leg",0.4,1,1.0,"Rabada to Balbirnie, 1 run  .140.2kmh, short of length on off with good bounce, he defends away from the body and  .gets an inside edge to fine leg",Rabada,Balbirnie,1.0,0,0,1,1,1.0,0,,1
"0.5 
• 
Rabada to Stirling, no run 
139.4kmh, Stirling gets a thick inside edge this time onto his pad off the full delivery on 
the stumps",0.5,0,0.0,"Rabada to Stirling, no run  .139.4kmh, Stirling gets a thick inside edge this time onto his pad off the full delivery on  .the stumps",Rabada,Stirling,0.0,0,0,1,1,0.0,0,,0
"0.6 
4 
Rabada to Stirling, FOUR runs 
just over backward point! Short and wide, like how Rabada started the match, but this 
time Stirling slaps it just over a leaping point for a cracking four 
AlistairDiamond: ""Do people keep their stats from rain-abandoned games? If you get a 
five-for or a 50 in a completed first innings then the game is washed out, does it get 
added to your career figures?"" Yup, they do 
end of over 16 runs  
IRE: 6/0CRR: 6.00  
Paul Stirling5 (4b 1x4) 
Andy Balbirnie1 (2b) 
Kagiso Rabada 1-0-6-0 
New opening pair for South Africa as well, here's Nortje with two slips",0.6,4,4.0,"Rabada to Stirling, FOUR runs  .just over backward point! Short and wide, like how Rabada started the match, but this  .time Stirling slaps it just over a leaping point for a cracking four",Rabada,Stirling,4.0,1,0,1,1,4.0,0,,1
"1.1 
• 
Nortje to Balbirnie, no run 
pitched up outside off, Balbirnie drives it to point",1.1,0,0.0,"Nortje to Balbirnie, no run  .pitched up outside off, Balbirnie drives it to point",Nortje,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Nortje to Balbirnie, FOUR runs 
caressed along the carpet for another four. Not really a half-volley but it was pitched up 
and Balbirnie leaned into it for a wonderful cover drive",1.2,4,4.0,"Nortje to Balbirnie, FOUR runs  .caressed along the carpet for another four. Not really a half-volley but it was pitched up  .and Balbirnie leaned into it for a wonderful cover drive",Nortje,Balbirnie,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Nortje to Balbirnie, no run 
138.6kmh, better length on the off stump and Balbirnie defends it back this time 
Ashish: ""What are the chances of rain ruining this match?"" The host broadcaster said 
35% chances of rain today, 65% humidity right now",1.3,0,0.0,"Nortje to Balbirnie, no run  .138.6kmh, better length on the off stump and Balbirnie defends it back this time",Nortje,Balbirnie,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Nortje to Balbirnie, no run 
bangs in the short ball this time with some late swing, Balbirnie sways out of the line 
and drops his hands",1.4,0,0.0,"Nortje to Balbirnie, no run  .bangs in the short ball this time with some late swing, Balbirnie sways out of the line  .and drops his hands",Nortje,Balbirnie,0.0,0,0,1,1,0.0,0,,0
