raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
4 
Little to Muhammad Waseem, FOUR runs 
full, swinging into leg, and he nonchalantly flicks Little over midwicket! Picked up with 
ease",0.1,4,4.0,"Little to Muhammad Waseem, FOUR runs  .full, swinging into leg, and he nonchalantly flicks Little over midwicket! Picked up with  .ease",Little,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"0.2 
• 
Little to Muhammad Waseem, no run 
squares the batter up with this length ball holding its line after pitching around off. 
Batter tried to fend off the back foot.... but the ball whizzes past",0.2,0,0.0,"Little to Muhammad Waseem, no run  .squares the batter up with this length ball holding its line after pitching around off.  .Batter tried to fend off the back foot.... but the ball whizzes past",Little,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.3 
2 
Little to Muhammad Waseem, 2 runs 
works this length ball off his pads to fine leg",0.3,2,2.0,"Little to Muhammad Waseem, 2 runs  .works this length ball off his pads to fine leg",Little,Muhammad Waseem,2.0,0,0,1,1,2.0,0,,1
"0.4 
• 
Little to Muhammad Waseem, no run 
good length ball around middle. Moving into leg. Cramped but fends still",0.4,0,0.0,"Little to Muhammad Waseem, no run  .good length ball around middle. Moving into leg. Cramped but fends still",Little,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"0.5 
1 
Little to Muhammad Waseem, 1 run 
outside edge goes past the vacant gully region. Little has two slips but this was too far 
for them",0.5,1,1.0,"Little to Muhammad Waseem, 1 run  .outside edge goes past the vacant gully region. Little has two slips but this was too far  .for them",Little,Muhammad Waseem,1.0,0,0,1,1,1.0,0,,1
"0.6 
1w 
Little to Sharma, 1 wide 
fullish around leg and swinging further down. Batter did attempt the flick, but was 
nowhere close",0.6,1w,1.0,"Little to Sharma, 1 wide  .fullish around leg and swinging further down. Batter did attempt the flick, but was  .nowhere close",Little,Sharma,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Little to Sharma, no run 
full around leg. Tries the flick. Hits the boot and goes to the keeper's left. Keeper's dive 
saves four leg byes 
end of over 18 runs  
UAE: 8/0CRR: 8.00 • RRR: 6.97 • Need 342 runs from 49 overs 
Aryansh Sharma0 (1b) 
Muhammad Waseem7 (5b 1x4) 
Josh Little 1-0-8-0",0.6,0,0.0,"Little to Sharma, no run  .full around leg. Tries the flick. Hits the boot and goes to the keeper's left. Keeper's dive  .saves four leg byes",Little,Sharma,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Adair to Muhammad Waseem, no run 
good length ball outside off. Movement away. Left alone",1.1,0,0.0,"Adair to Muhammad Waseem, no run  .good length ball outside off. Movement away. Left alone",Adair,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Adair to Muhammad Waseem, FOUR runs 
fullish outside off. Throws his hands at this square drive away from his body. Gets it 
past the diving point!",1.2,4,4.0,"Adair to Muhammad Waseem, FOUR runs  .fullish outside off. Throws his hands at this square drive away from his body. Gets it  .past the diving point!",Adair,Muhammad Waseem,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Adair to Muhammad Waseem, no run 
full ball just outside off stump. Moving away. Driven to mid off",1.3,0,0.0,"Adair to Muhammad Waseem, no run  .full ball just outside off stump. Moving away. Driven to mid off",Adair,Muhammad Waseem,0.0,0,0,1,1,0.0,0,,0
