raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Rampaul to Porterfield, no run",0.1,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.2 
4 
Rampaul to Porterfield, FOUR runs",0.2,4,4.0,"Rampaul to Porterfield, FOUR runs",Rampaul,Porterfield,4.0,1,0,1,1,4.0,0,,1
"0.3 
• 
Rampaul to Porterfield, no run",0.3,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Rampaul to Porterfield, no run",0.4,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Rampaul to Porterfield, no run",0.5,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Rampaul to Porterfield, no run 
end of over 14 runs  
IRE: 4/0CRR: 4.00  
William Porterfield4 (6b 1x4) 
Paul Stirling0 (0b) 
Ravi Rampaul 1-0-4-0",0.6,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Bernard to Stirling, no run",1.1,0,0.0,"Bernard to Stirling, no run",Bernard,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Bernard to Stirling, FOUR runs",1.2,4,4.0,"Bernard to Stirling, FOUR runs",Bernard,Stirling,4.0,1,0,1,1,4.0,0,,1
"1.3 
• 
Bernard to Stirling, no run",1.3,0,0.0,"Bernard to Stirling, no run",Bernard,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Bernard to Stirling, no run",1.4,0,0.0,"Bernard to Stirling, no run",Bernard,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.5 
1w 
Bernard to Stirling, 1 wide",1.5,1w,1.0,"Bernard to Stirling, 1 wide",Bernard,Stirling,0.0,0,0,0,0,1.0,0,,1
"1.5 
• 
Bernard to Stirling, no run",1.5,0,0.0,"Bernard to Stirling, no run",Bernard,Stirling,0.0,0,0,1,1,0.0,0,,0
"1.6 
• 
Bernard to Stirling, no run 
end of over 25 runs  
IRE: 9/0CRR: 4.50  
Paul Stirling4 (6b 1x4) 
William Porterfield4 (6b 1x4) 
David Bernard 1-0-5-0",1.6,0,0.0,"Bernard to Stirling, no run",Bernard,Stirling,0.0,0,0,1,1,0.0,0,,0
"2.1 
• 
Rampaul to Porterfield, no run",2.1,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
"2.2 
• 
Rampaul to Porterfield, no run",2.2,0,0.0,"Rampaul to Porterfield, no run",Rampaul,Porterfield,0.0,0,0,1,1,0.0,0,,0
