raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
1w 
Sumerauer to Johnson, 1 wide",0.1,1w,1.0,"Sumerauer to Johnson, 1 wide",Sumerauer,Johnson,0.0,0,0,0,0,1.0,0,,1
"0.1 
4 
Sumerauer to Johnson, FOUR runs",0.1,4,4.0,"Sumerauer to Johnson, FOUR runs",Sumerauer,Johnson,4.0,1,0,1,1,4.0,0,,1
"0.2 
W 
Sumerauer to Johnson, OUT 
Aaron Johnson lbw b Sumerauer 4 (2b 1x4 0x6) SR: 200",0.2,W,0.0,"Sumerauer to Johnson, OUT  .Aaron Johnson lbw b Sumerauer 4 (2b 1x4 0x6) SR: 200",Sumerauer,Johnson,0.0,0,0,1,1,0.0,1,lbw b Sumerauer,0
"0.3 
1w 
Sumerauer to Spoors, 1 wide",0.3,1w,1.0,"Sumerauer to Spoors, 1 wide",Sumerauer,Spoors,0.0,0,0,0,0,1.0,0,,1
"0.3 
5w 
Sumerauer to Spoors, 5 wide",0.3,5w,5.0,"Sumerauer to Spoors, 5 wide",Sumerauer,Spoors,0.0,0,0,0,0,5.0,0,,1
"0.3 
• 
Sumerauer to Spoors, no run",0.3,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.4 
1w 
Sumerauer to Spoors, 1 wide",0.4,1w,1.0,"Sumerauer to Spoors, 1 wide",Sumerauer,Spoors,0.0,0,0,0,0,1.0,0,,1
"0.4 
• 
Sumerauer to Spoors, no run",0.4,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Sumerauer to Spoors, no run",0.5,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Sumerauer to Spoors, no run 
end of over 112 runs • 1 wicket 
CAN: 12/1CRR: 12.00  
Matthew Spoors0 (4b) 
Pargat Singh0 (0b) 
Julius Sumerauer 1-0-12-1",0.6,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
AW Hawkins-Kay to Pargat Singh, no run",1.1,0,0.0,"AW Hawkins-Kay to Pargat Singh, no run",AW Hawkins-Kay,Pargat Singh,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
AW Hawkins-Kay to Pargat Singh, no run",1.2,0,0.0,"AW Hawkins-Kay to Pargat Singh, no run",AW Hawkins-Kay,Pargat Singh,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
AW Hawkins-Kay to Pargat Singh, no run",1.3,0,0.0,"AW Hawkins-Kay to Pargat Singh, no run",AW Hawkins-Kay,Pargat Singh,0.0,0,0,1,1,0.0,0,,0
"1.4 
1 
AW Hawkins-Kay to Pargat Singh, 1 run",1.4,1,1.0,"AW Hawkins-Kay to Pargat Singh, 1 run",AW Hawkins-Kay,Pargat Singh,1.0,0,0,1,1,1.0,0,,1
"1.5 
• 
AW Hawkins-Kay to Spoors, no run",1.5,0,0.0,"AW Hawkins-Kay to Spoors, no run",AW Hawkins-Kay,Spoors,0.0,0,0,1,1,0.0,0,,0
"1.6 
4 
AW Hawkins-Kay to Spoors, FOUR runs 
end of over 25 runs  
CAN: 17/1CRR: 8.50  
Matthew Spoors4 (6b 1x4) 
Pargat Singh1 (4b) 
Anthony Hawkins-Kay 1-0-5-0 
Julius Sumerauer 1-0-12-1",1.6,4,4.0,"AW Hawkins-Kay to Spoors, FOUR runs",AW Hawkins-Kay,Spoors,4.0,1,0,1,1,4.0,0,,1
"2.1 
1w 
Sumerauer to Pargat Singh, 1 wide",2.1,1w,1.0,"Sumerauer to Pargat Singh, 1 wide",Sumerauer,Pargat Singh,0.0,0,0,0,0,1.0,0,,1
"2.1 
1 
Sumerauer to Pargat Singh, 1 run",2.1,1,1.0,"Sumerauer to Pargat Singh, 1 run",Sumerauer,Pargat Singh,1.0,0,0,1,1,1.0,0,,1
"2.2 
• 
Sumerauer to Spoors, no run",2.2,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Sumerauer to Spoors, no run",2.3,0,0.0,"Sumerauer to Spoors, no run",Sumerauer,Spoors,0.0,0,0,1,1,0.0,0,,0
