raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Shikongo to Carlyon, no run",0.1,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Shikongo to Carlyon, no run",0.2,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Shikongo to Carlyon, no run",0.3,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.4 
• 
Shikongo to Carlyon, no run",0.4,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.5 
• 
Shikongo to Carlyon, no run",0.5,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"0.6 
• 
Shikongo to Carlyon, no run 
end of over 1Maiden 
JER: 0/0CRR: 0.00  
Harrison Carlyon0 (6b) 
Nick Greenwood0 (0b) 
Ben Shikongo 1-1-0-0",0.6,0,0.0,"Shikongo to Carlyon, no run",Shikongo,Carlyon,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Trumpelmann to Greenwood, no run",1.1,0,0.0,"Trumpelmann to Greenwood, no run",Trumpelmann,Greenwood,0.0,0,0,1,1,0.0,0,,0
"1.2 
• 
Trumpelmann to Greenwood, no run",1.2,0,0.0,"Trumpelmann to Greenwood, no run",Trumpelmann,Greenwood,0.0,0,0,1,1,0.0,0,,0
"1.3 
• 
Trumpelmann to Greenwood, no run",1.3,0,0.0,"Trumpelmann to Greenwood, no run",Trumpelmann,Greenwood,0.0,0,0,1,1,0.0,0,,0
"1.4 
• 
Trumpelmann to Greenwood, no run",1.4,0,0.0,"Trumpelmann to Greenwood, no run",Trumpelmann,Greenwood,0.0,0,0,1,1,0.0,0,,0
"1.5 
• 
Trumpelmann to Greenwood, no run",1.5,0,0.0,"Trumpelmann to Greenwood, no run",Trumpelmann,Greenwood,0.0,0,0,1,1,0.0,0,,0
"1.6 
1 
Trumpelmann to Greenwood, 1 run 
end of over 21 run  
JER: 1/0CRR: 0.50  
Nick Greenwood1 (6b) 
Harrison Carlyon0 (6b) 
Ruben Trumpelmann 1-0-1-0 
Ben Shikongo 1-1-0-0",1.6,1,1.0,"Trumpelmann to Greenwood, 1 run",Trumpelmann,Greenwood,1.0,0,0,1,1,1.0,0,,1
"2.1 
2 
Shikongo to Greenwood, 2 runs",2.1,2,2.0,"Shikongo to Greenwood, 2 runs",Shikongo,Greenwood,2.0,0,0,1,1,2.0,0,,1
"2.2 
• 
Shikongo to Greenwood, no run",2.2,0,0.0,"Shikongo to Greenwood, no run",Shikongo,Greenwood,0.0,0,0,1,1,0.0,0,,0
"2.3 
• 
Shikongo to Greenwood, no run",2.3,0,0.0,"Shikongo to Greenwood, no run",Shikongo,Greenwood,0.0,0,0,1,1,0.0,0,,0
