raw_data,overs,runs,team_runs,commentary,bowler,batsman,batsman_runs,batsman_fours,batsman_sixes,batsman_bowls_faced,bowler_bowls_done,bowler_runs_given,bowler_wickets,dismissal,runs_given_bool
"0.1 
• 
Sumerauer to Ura, no run",0.1,0,0.0,"Sumerauer to Ura, no run",Sumerauer,Ura,0.0,0,0,1,1,0.0,0,,0
"0.2 
• 
Sumerauer to Ura, no run",0.2,0,0.0,"Sumerauer to Ura, no run",Sumerauer,Ura,0.0,0,0,1,1,0.0,0,,0
"0.3 
• 
Sumerauer to Ura, no run",0.3,0,0.0,"Sumerauer to Ura, no run",Sumerauer,Ura,0.0,0,0,1,1,0.0,0,,0
"0.4 
4 
Sumerauer to Ura, FOUR runs",0.4,4,4.0,"Sumerauer to Ura, FOUR runs",Sumerauer,Ura,4.0,1,0,1,1,4.0,0,,1
"0.5 
1 
Sumerauer to Ura, 1 run",0.5,1,1.0,"Sumerauer to Ura, 1 run",Sumerauer,Ura,1.0,0,0,1,1,1.0,0,,1
"0.6 
1w 
Sumerauer to Doriga, 1 wide",0.6,1w,1.0,"Sumerauer to Doriga, 1 wide",Sumerauer,Doriga,0.0,0,0,0,0,1.0,0,,1
"0.6 
• 
Sumerauer to Doriga, no run 
end of over 16 runs  
PNG: 6/0CRR: 6.00 • RRR: 5.83 
Kiplin Doriga0 (1b) 
Tony Ura5 (5b 1x4) 
Julius Sumerauer 1-0-6-0",0.6,0,0.0,"Sumerauer to Doriga, no run",Sumerauer,Doriga,0.0,0,0,1,1,0.0,0,,0
"1.1 
• 
Miles to Ura, no run",1.1,0,0.0,"Miles to Ura, no run",Miles,Ura,0.0,0,0,1,1,0.0,0,,0
"1.2 
4 
Miles to Ura, FOUR runs",1.2,4,4.0,"Miles to Ura, FOUR runs",Miles,Ura,4.0,1,0,1,1,4.0,0,,1
"1.3 
6 
Miles to Ura, SIX runs",1.3,6,6.0,"Miles to Ura, SIX runs",Miles,Ura,6.0,0,1,1,1,6.0,0,,1
